"plj0588","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2013","16-34 y.","West Germany","33","0.00505799545413441","0.00296995769906585","0.00714603320920296"
"Very often","2013","16-34 y.","East Germany","16","","",""
"Very often","2013","35-65 y.","West Germany","134","0.0115948287174736","0.00964778568029361","0.0135418717546536"
"Very often","2013","35-65 y.","East Germany","29","","",""
"Very often","2013","66 and older","West Germany","40","0.0111353063295706","0.0077664079215742","0.014504204737567"
"Very often","2013","66 and older","East Germany","15","","",""
"Often","2013","16-34 y.","West Germany","222","0.0495821554179855","0.0431926059219636","0.0559717049140074"
"Often","2013","16-34 y.","East Germany","84","0.0611059816707614","0.0475707583349843","0.0746412050065385"
"Often","2013","35-65 y.","West Germany","573","0.0538729744420725","0.0497668124446151","0.0579791364395298"
"Often","2013","35-65 y.","East Germany","206","0.0737129129429707","0.0647718414486032","0.0826539844373383"
"Often","2013","66 and older","West Germany","170","0.0495334396485534","0.0425673981225117","0.0564994811745951"
"Often","2013","66 and older","East Germany","69","0.0609131063286941","0.0475902902638414","0.0742359223935468"
"Sometimes","2013","16-34 y.","West Germany","962","0.214265369431844","0.202188227060857","0.226342511802831"
"Sometimes","2013","16-34 y.","East Germany","292","0.263804426012084","0.238901354410519","0.288707497613648"
"Sometimes","2013","35-65 y.","West Germany","2244","0.201957139956427","0.194655530633077","0.209258749279776"
"Sometimes","2013","35-65 y.","East Germany","682","0.217815494773706","0.203691941722963","0.23193904782445"
"Sometimes","2013","66 and older","West Germany","643","0.190113140818905","0.177515574909442","0.202710706728369"
"Sometimes","2013","66 and older","East Germany","277","0.247759106809005","0.223710991181754","0.271807222436255"
"Rarely ","2013","16-34 y.","West Germany","2044","0.477221189680554","0.462519437621698","0.49192294173941"
"Rarely ","2013","16-34 y.","East Germany","531","0.434462511618264","0.406451929724163","0.462473093512366"
"Rarely ","2013","35-65 y.","West Germany","5271","0.455122541216155","0.446065434774022","0.464179647658288"
"Rarely ","2013","35-65 y.","East Germany","1532","0.461077515791254","0.444020812309303","0.478134219273206"
"Rarely ","2013","66 and older","West Germany","1435","0.377019646082494","0.361460435420802","0.392578856744185"
"Rarely ","2013","66 and older","East Germany","484","0.376463684737455","0.349475095147924","0.403452274326987"
"Never","2013","16-34 y.","West Germany","1173","0.253873290015482","0.241062820543876","0.266683759487089"
"Never","2013","16-34 y.","East Germany","280","0.225305258793213","0.201696875604786","0.24891364198164"
"Never","2013","35-65 y.","West Germany","3391","0.277452515667872","0.269309159911232","0.285595871424513"
"Never","2013","35-65 y.","East Germany","832","0.241206224496957","0.226567571670063","0.255844877323852"
"Never","2013","66 and older","West Germany","1439","0.372198467120477","0.356679355005671","0.387717579235283"
"Never","2013","66 and older","East Germany","393","0.30221508672515","0.276634728221356","0.327795445228945"
"Very often","2014","16-34 y.","West Germany","","","",""
"Very often","2014","16-34 y.","East Germany","","","",""
"Very often","2014","35-65 y.","West Germany","","","",""
"Very often","2014","35-65 y.","East Germany","","","",""
"Very often","2014","66 and older","West Germany","","","",""
"Very often","2014","66 and older","East Germany","","","",""
"Often","2014","16-34 y.","West Germany","","","",""
"Often","2014","16-34 y.","East Germany","","","",""
"Often","2014","35-65 y.","West Germany","","","",""
"Often","2014","35-65 y.","East Germany","","","",""
"Often","2014","66 and older","West Germany","","","",""
"Often","2014","66 and older","East Germany","","","",""
"Sometimes","2014","16-34 y.","West Germany","","","",""
"Sometimes","2014","16-34 y.","East Germany","","","",""
"Sometimes","2014","35-65 y.","West Germany","","","",""
"Sometimes","2014","35-65 y.","East Germany","","","",""
"Sometimes","2014","66 and older","West Germany","","","",""
"Sometimes","2014","66 and older","East Germany","","","",""
"Rarely ","2014","16-34 y.","West Germany","","","",""
"Rarely ","2014","16-34 y.","East Germany","","","",""
"Rarely ","2014","35-65 y.","West Germany","","","",""
"Rarely ","2014","35-65 y.","East Germany","","","",""
"Rarely ","2014","66 and older","West Germany","","","",""
"Rarely ","2014","66 and older","East Germany","","","",""
"Never","2014","16-34 y.","West Germany","","","",""
"Never","2014","16-34 y.","East Germany","","","",""
"Never","2014","35-65 y.","West Germany","","","",""
"Never","2014","35-65 y.","East Germany","","","",""
"Never","2014","66 and older","West Germany","","","",""
"Never","2014","66 and older","East Germany","","","",""
"Very often","2015","16-34 y.","West Germany","","","",""
"Very often","2015","16-34 y.","East Germany","","","",""
"Very often","2015","35-65 y.","West Germany","","","",""
"Very often","2015","35-65 y.","East Germany","","","",""
