"plj0588","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Full Time","lower secondary degree","12","","",""
"Very often","2013","Full Time","secondary school degree","22","","",""
"Very often","2013","Full Time","college entrance qualification","11","","",""
"Very often","2013","Full Time","Other degree","3","","",""
"Very often","2013","Full Time","no degree/no degree yet","","","",""
"Very often","2013","Part Time","lower secondary degree","20","","",""
"Very often","2013","Part Time","secondary school degree","22","","",""
"Very often","2013","Part Time","college entrance qualification","8","","",""
"Very often","2013","Part Time","Other degree","8","","",""
"Very often","2013","Part Time","no degree/no degree yet","3","","",""
"Very often","2013","Not Working","lower secondary degree","74","0.0182903992859132","0.013942652210298","0.0226381463615284"
"Very often","2013","Not Working","secondary school degree","30","0.0133331971015575","0.00838381612425629","0.0182825780788587"
"Very often","2013","Not Working","college entrance qualification","15","","",""
"Very often","2013","Not Working","Other degree","24","","",""
"Very often","2013","Not Working","no degree/no degree yet","9","","",""
"Often","2013","Full Time","lower secondary degree","82","0.0475854111203601","0.0380876909689677","0.0570831312717526"
"Often","2013","Full Time","secondary school degree","155","0.051960948455721","0.0444282285279447","0.0594936683834973"
"Often","2013","Full Time","college entrance qualification","101","0.0353520856162659","0.029210399256408","0.0414937719761238"
"Often","2013","Full Time","Other degree","33","0.0479078123367665","0.0298273984945548","0.0659882261789781"
"Often","2013","Full Time","no degree/no degree yet","6","","",""
"Often","2013","Part Time","lower secondary degree","91","0.0505878756037279","0.0395632763183315","0.0616124748891244"
"Often","2013","Part Time","secondary school degree","122","0.0550809787251831","0.0460894372301268","0.0640725202202395"
"Often","2013","Part Time","college entrance qualification","107","0.0530456921041273","0.0437808182684321","0.0623105659398226"
"Often","2013","Part Time","Other degree","38","0.0910137198969647","0.0642597211354419","0.117767718658488"
"Often","2013","Part Time","no degree/no degree yet","17","","",""
"Often","2013","Not Working","lower secondary degree","232","0.0625124641147977","0.0546578072089009","0.0703671210206945"
"Often","2013","Not Working","secondary school degree","141","0.0760363871026783","0.0645987411840438","0.0874740330213129"
"Often","2013","Not Working","college entrance qualification","61","0.0430652108341246","0.0333289025627393","0.0528015191055099"
"Often","2013","Not Working","Other degree","52","0.0713155796541972","0.0508930534629123","0.0917381058454822"
"Often","2013","Not Working","no degree/no degree yet","47","0.0786333568797468","0.0559729293983408","0.101293784361153"
"Sometimes","2013","Full Time","lower secondary degree","395","0.202590707733875","0.184659074664068","0.220522340803682"
"Sometimes","2013","Full Time","secondary school degree","602","0.186550547582281","0.173329565351024","0.199771529813539"
"Sometimes","2013","Full Time","college entrance qualification","549","0.168171734458483","0.15573263220583","0.180610836711137"
"Sometimes","2013","Full Time","Other degree","121","0.2139712200405","0.179252588282007","0.248689851798993"
"Sometimes","2013","Full Time","no degree/no degree yet","18","","",""
"Sometimes","2013","Part Time","lower secondary degree","291","0.202595373065956","0.182376062538321","0.222814683593591"
"Sometimes","2013","Part Time","secondary school degree","525","0.223213475014115","0.206802020296961","0.239624929731269"
"Sometimes","2013","Part Time","college entrance qualification","454","0.206321163434798","0.189593155468775","0.223049171400821"
"Sometimes","2013","Part Time","Other degree","117","0.246125548194055","0.206058765829947","0.286192330558164"
