"plj0588","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","in school","West Germany","108","0.28570050723733","0.240866096714096","0.330534917760564","5"
"Never","2013","general elemantary","West Germany","727","0.324561324405759","0.305158880131994","0.343963768679525","5"
"Never","2013","general elemantary","East Germany","88","0.224619943127412","0.180194710391572","0.269045175863252","5"
"Never","2013","middle vocational","West Germany","2855","0.303783626488274","0.294465880474944","0.313101372501605","5"
"Never","2013","middle vocational","East Germany","827","0.274037178548302","0.258205341452437","0.289869015644167","5"
"Never","2013","vocational + Abi","West Germany","400","0.247695727475099","0.225828525679879","0.26956292927032","5"
"Never","2013","vocational + Abi","East Germany","76","0.255609048986237","0.203960102853227","0.307257995119248","5"
"Never","2013","higher vocational","West Germany","356","0.284174389542081","0.259121403334042","0.309227375750121","5"
"Never","2013","higher vocational","East Germany","109","0.225681739524475","0.186261961125493","0.265101517923458","5"
"Never","2013","in school","East Germany","12","","","","5"
"Never","2013","inadequately","West Germany","65","0.263229088021532","0.211554245160581","0.314903930882483","5"
"Never","2013","inadequately","East Germany","10","","","","5"
"Never","2013","higher education","West Germany","1366","0.288301317864697","0.274871232685329","0.301731403044064","5"
"Never","2013","higher education","East Germany","358","0.223392212609441","0.201990354534473","0.24479407068441","5"
"Often","2013","in school","West Germany","19","","","","2"
"Often","2013","in school","East Germany","2","","","","2"
"Often","2013","inadequately","East Germany","11","","","","2"
"Often","2013","general elemantary","West Germany","159","0.0806157564617269","0.0693340812149602","0.0918974317084937","2"
"Often","2013","inadequately","West Germany","38","0.115543718549518","0.078032830591893","0.153054606507142","2"
"Often","2013","general elemantary","East Germany","24","","","","2"
"Often","2013","middle vocational","West Germany","441","0.0484219406936598","0.044072835860469","0.0527710455268505","2"
"Often","2013","middle vocational","East Germany","224","0.0764562279193544","0.0670242113577974","0.0858882444809113","2"
"Often","2013","vocational + Abi","West Germany","93","0.0559444728379026","0.04430282243334","0.0675861232424651","2"
"Often","2013","vocational + Abi","East Germany","9","","","","2"
"Often","2013","higher vocational","West Germany","49","0.0423524210878757","0.0311656334506467","0.0535392087251047","2"
"Often","2013","higher vocational","East Germany","27","","","","2"
"Often","2013","higher education","West Germany","147","0.0397655484043808","0.0339719351311318","0.0455591616776298","2"
"Often","2013","higher education","East Germany","56","0.04686258172478","0.0360031409907724","0.0577220224587877","2"
"Rarely ","2013","in school","East Germany","28","","","","4"
"Rarely ","2013","middle vocational","West Germany","4079","0.432420620606653","0.422383178049995","0.442458063163311","4"
"Rarely ","2013","in school","West Germany","198","0.494750434222755","0.445129852200761","0.54437101624475","4"
"Rarely ","2013","general elemantary","West Germany","824","0.361486265969065","0.341577418404119","0.381395113534011","4"
"Rarely ","2013","general elemantary","East Germany","115","0.354700229045772","0.3037718642793","0.405628593812244","4"
"Rarely ","2013","inadequately","West Germany","80","0.259149726819439","0.207735111623728","0.31056434201515","4"
"Rarely ","2013","inadequately","East Germany","18","","","","4"
"Rarely ","2013","middle vocational","East Germany","1292","0.406704552507327","0.389268651137274","0.424140453877379","4"
"Rarely ","2013","vocational + Abi","West Germany","679","0.455284852259173","0.430057973631824","0.480511730886522","4"
"Rarely ","2013","vocational + Abi","East Germany","133","0.461770897544993","0.402741319707662","0.520800475382324","4"
"Rarely ","2013","higher vocational","West Germany","594","0.456496173827067","0.428827822023782","0.484164525630352","4"
"Rarely ","2013","higher vocational","East Germany","197","0.47900635967298","0.431898533011496","0.526114186334464","4"
"Rarely ","2013","higher education","West Germany","2129","0.506091151498138","0.491267842970122","0.520914460026153","4"
"Rarely ","2013","higher education","East Germany","739","0.495162395174479","0.469472267024608","0.520852523324349","4"
"Sometimes","2013","vocational + Abi","East Germany","55","0.238037263142731","0.187610377122183","0.288464149163278","3"
"Sometimes","2013","in school","West Germany","64","0.146458992636635","0.111368779638022","0.181549205635249","3"
"Sometimes","2013","in school","East Germany","12","","","","3"
"Sometimes","2013","inadequately","West Germany","88","0.340647924648341","0.285037328362716","0.396258520933965","3"
"Sometimes","2013","inadequately","East Germany","8","","","","3"
"Sometimes","2013","general elemantary","West Germany","490","0.219980705513842","0.202815062873708","0.237146348153977","3"
"Sometimes","2013","general elemantary","East Germany","98","0.314363766531979","0.264942785291594","0.363784747772363","3"
"Sometimes","2013","middle vocational","West Germany","1870","0.203471645863158","0.19531504633938","0.211628245386935","3"
"Sometimes","2013","middle vocational","East Germany","675","0.235138118236284","0.220085140933069","0.250191095539499","3"
"Sometimes","2013","vocational + Abi","West Germany","311","0.230777254294591","0.209434043646606","0.252120464942576","3"
"Sometimes","2013","higher vocational","West Germany","235","0.207896013976862","0.185354784723033","0.230437243230691","3"
"Sometimes","2013","higher vocational","East Germany","98","0.223480440183345","0.184197663642892","0.262763216723797","3"
"Sometimes","2013","higher education","West Germany","709","0.161845074247383","0.150925159031035","0.172764989463731","3"
"Sometimes","2013","higher education","East Germany","291","0.22340203801615","0.201999844678254","0.244804231354046","3"
"Very often","2013","in school","West Germany","1","","","","1"
