"plj0588","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Full Time","West Germany","41","0.00579913189073235","0.00407156275172331","0.00752670102974139"
"Very often","2013","Full Time","East Germany","8","","",""
"Very often","2013","Part Time","West Germany","49","0.00888542860100754","0.00645858383888472","0.0113122733631304"
"Very often","2013","Part Time","East Germany","14","","",""
"Very often","2013","Not Working","West Germany","117","0.0152385023121432","0.0122851389169967","0.0181918657072896"
"Very often","2013","Not Working","East Germany","38","0.0185912694785584","0.0128882620759297","0.0242942768811872"
"Often","2013","Full Time","West Germany","284","0.0425697668702048","0.0379765063357151","0.0471630274046944"
"Often","2013","Full Time","East Germany","104","0.0518903982171298","0.0426324111808576","0.0611483852534021"
"Often","2013","Part Time","West Germany","304","0.0561408394558832","0.0501878663008563","0.0620938126109101"
"Often","2013","Part Time","East Germany","83","0.0628663107519243","0.0499758244985701","0.0757567970052784"
"Often","2013","Not Working","West Germany","377","0.0585174260862711","0.0528585658769689","0.0641762862955733"
"Often","2013","Not Working","East Germany","172","0.085686375203811","0.0738688119609379","0.0975039384466841"
"Sometimes","2013","Full Time","West Germany","1333","0.183784237258088","0.174972257433511","0.192596217082666"
"Sometimes","2013","Full Time","East Germany","422","0.207134727634844","0.190219807523472","0.224049647746216"
"Sometimes","2013","Part Time","West Germany","1177","0.211809497537385","0.201243045426165","0.222375949648606"
"Sometimes","2013","Part Time","East Germany","301","0.223443028344306","0.201320762695808","0.245565293992803"
"Sometimes","2013","Not Working","West Germany","1339","0.212708441546939","0.20284245826209","0.222574424831788"
"Sometimes","2013","Not Working","East Germany","528","0.268109826917724","0.249407149729028","0.28681250410642"
"Rarely ","2013","Full Time","West Germany","3569","0.495061440209044","0.483686065950442","0.506436814467647"
"Rarely ","2013","Full Time","East Germany","1082","0.484841595369697","0.463981603985577","0.505701586753817"
"Rarely ","2013","Part Time","West Germany","2590","0.444653581093892","0.431802674693252","0.457504487494532"
"Rarely ","2013","Part Time","East Germany","626","0.470410098927249","0.44390266405657","0.496917533797928"
"Rarely ","2013","Not Working","West Germany","2591","0.378313241988079","0.366621161534713","0.390005322441445"
"Rarely ","2013","Not Working","East Germany","839","0.365876627656271","0.34554001261491","0.386213242697632"
"Never","2013","Full Time","West Germany","2194","0.272785423771931","0.262651940779201","0.282918906764661"
"Never","2013","Full Time","East Germany","589","0.255140936132623","0.236945145967273","0.273336726297973"
"Never","2013","Part Time","West Germany","1624","0.278510653311832","0.266918162967889","0.290103143655775"
