"plj0588","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Female","3962","0.284416748519259","0.276933641757191","0.291899855281327","5"
"Never","2013","Male","3546","0.294610578272259","0.28629108725759","0.302930069286929","5"
"Often","2013","Female","830","0.0609252123794643","0.0569576579771334","0.0648927667817953","2"
"Often","2013","Male","494","0.0484144765101389","0.0444973314842741","0.0523316215360037","2"
"Rarely ","2013","Male","5340","0.456035140943769","0.446945584422287","0.465124697465252","4"
"Rarely ","2013","Female","5957","0.420954135047276","0.412764809298939","0.429143460795612","4"
"Sometimes","2013","Female","3030","0.221295303617156","0.214409624662627","0.228180982571686","3"
"Sometimes","2013","Male","2070","0.193429883742322","0.186221449077802","0.200638318406843","3"
"Very often","2013","Male","84","0.00750992053151008","0.0059343462779294","0.00908549478509077","1"
"Very often","2013","Female","183","0.0124086004368448","0.0105723820834622","0.0142448187902274","1"
"Never","2014","Female","","","","","5"
"Never","2014","Male","","","","","5"
"Often","2014","Female","","","","","2"
"Often","2014","Male","","","","","2"
"Rarely ","2014","Male","","","","","4"
"Rarely ","2014","Female","","","","","4"
"Sometimes","2014","Female","","","","","3"
"Sometimes","2014","Male","","","","","3"
"Very often","2014","Male","","","","","1"
"Very often","2014","Female","","","","","1"
"Never","2015","Female","","","","","5"
"Never","2015","Male","","","","","5"
"Often","2015","Male","","","","","2"
"Often","2015","Female","","","","","2"
"Rarely ","2015","Male","","","","","4"
"Rarely ","2015","Female","","","","","4"
"Sometimes","2015","Female","","","","","3"
"Sometimes","2015","Male","","","","","3"
"Very often","2015","Male","","","","","1"
"Very often","2015","Female","","","","","1"
"Never","2016","Male","862","0.26094976552049","0.24416295327595","0.277736577765029","5"
"Never","2016","Female","498","0.280091035165426","0.258012282335253","0.302169787995599","5"
"Often","2016","Male","353","0.185801379810427","0.17093372578375","0.200669033837104","2"
"Often","2016","Female","213","0.134027831863187","0.117277029844854","0.150778633881521","2"
"Rarely ","2016","Male","517","0.177592447783472","0.162983848061953","0.192201047504992","4"
"Rarely ","2016","Female","335","0.196381393000078","0.176848736957266","0.215914049042889","4"
"Sometimes","2016","Male","681","0.275599783626206","0.258520033223231","0.292679534029181","3"
"Sometimes","2016","Female","435","0.31323860081953","0.290433777153289","0.336043424485771","3"
"Very often","2016","Male","216","0.100056623259405","0.0885860978433135","0.111527148675497","1"
"Very often","2016","Female","108","0.0762611391517789","0.0632110825980065","0.0893111957055513","1"
"Never","2017","Male","4454","0.302189151499329","0.294556854330716","0.309821448667941","5"
"Never","2017","Female","4585","0.30096439176295","0.293750500855289","0.308178282670611","5"
"Often","2017","Male","768","0.0463935631091538","0.0428976516104466","0.0498894746078609","2"
"Often","2017","Female","1033","0.0606450416806178","0.0568912092790623","0.0643988740821732","2"
"Rarely ","2017","Male","5732","0.44848430594707","0.440218227143889","0.45675038475025","4"
"Rarely ","2017","Female","6253","0.411156889475679","0.403418226234145","0.418895552717213","4"
"Sometimes","2017","Female","3366","0.213340693556406","0.206897627900451","0.219783759212361","3"
"Sometimes","2017","Male","2698","0.191943463978353","0.18539778780267","0.198489140154035","3"
"Very often","2017","Female","293","0.0138929835243471","0.0120521176455203","0.0157338494031739","1"
"Very often","2017","Male","254","0.0109895154660954","0.00925676230995229","0.0127222686222386","1"
"Never","2018","Male","76","0.408485421043114","0.339492935315938","0.47747790677029","5"
"Never","2018","Female","84","0.360247195372075","0.297518936172772","0.422975454571378","5"
"Often","2018","Male","15","","","","2"
"Often","2018","Female","27","","","","2"
"Rarely ","2018","Female","37","0.12862913768026","0.0848841772717957","0.172374098088724","4"
"Rarely ","2018","Male","31","0.129485101629348","0.0823625509216038","0.176607652337093","4"
"Sometimes","2018","Female","61","0.294703544635375","0.235132479922403","0.354274609348347","3"
"Sometimes","2018","Male","54","0.325296302743409","0.259541588621551","0.391051016865268","3"
"Very often","2018","Female","16","","","","1"
"Very often","2018","Male","19","","","","1"
"Never","2019","Male","60","0.422633253682381","0.338681458632748","0.506585048732015","5"
"Never","2019","Female","67","0.532162611843212","0.450094666311708","0.614230557374715","5"
"Often","2019","Male","13","","","","2"
"Often","2019","Female","9","","","","2"
"Rarely ","2019","Female","34","0.173976706521643","0.111625391328899","0.236328021714387","4"
"Rarely ","2019","Male","28","","","","4"
"Sometimes","2019","Female","27","","","","3"
"Sometimes","2019","Male","29","","","","3"
"Very often","2019","Female","5","","","","1"
"Very often","2019","Male","3","","","","1"
