"year","hgtyp1hh","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1989","(Married) couple without C.","West Germany","39.76","40","1193","24","38","45","50","70","39.19","40.33","1","80","40","40"
"1989","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"1989","1-pers.-HH","West Germany","41.56","40","510","35","39","45","51","70","40.71","42.41","1","80","40","40"
"1989","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"1989","Couple + C. GT 16 ","West Germany","39.66","40","1267","23","38","45","50","70","39.08","40.24","1","80","40","40"
"1989","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"1989","Couple + C. LE 16","West Germany","38.97","40","1396","20","37","45","50","72","38.28","39.66","1","80","40","40"
"1989","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"1989","Couple + C. LE and GT 16","West Germany","39.87","40","586","24","38","45","50","70","39.05","40.69","4","78","40","40"
"1989","Single parent","East Germany","","","","","","","","","","","","","",""
"1989","Single parent","West Germany","38.67","40","263","20","37","42","50","70","37.28","40.06","6","80","39","40"
"1990","(Married) couple without C.","East Germany","45.22","48","589","30","40","51","55","70","44.38","46.06","4","80","47","50"
"1990","(Married) couple without C.","West Germany","39.16","40","1202","24","37.5","43.5","50","70","38.57","39.75","0.5","80","40","40"
"1990","1-pers.-HH","East Germany","45.67","48","125","32","42","51","55","65","43.91","47.43","10","70","45","50"
"1990","1-pers.-HH","West Germany","40.97","40","476","35","38.5","45","50","70","40.1","41.84","5","80","40","40"
"1990","Couple + C. GT 16 ","East Germany","46.37","50","619","34","42","51","55","65","45.63","47.11","10","80","48","50"
"1990","Couple + C. GT 16 ","West Germany","38.52","40","1226","20","37.5","43","50","70","37.92","39.12","2","80","39","40"
"1990","Couple + C. LE 16","East Germany","45.43","45","1248","35","40","51","54","72","44.9","45.96","6","80","45","46"
"1990","Couple + C. LE 16","West Germany","38","40","1387","19.5","36.5","45","50","70","37.32","38.68","0.2","80","39","40"
"1990","Couple + C. LE and GT 16","East Germany","45.82","48","259","35","40","51","52","70","44.8","46.84","2","70","46","50"
"1990","Couple + C. LE and GT 16","West Germany","38.87","39","543","22","37.5","43","50","80","37.94","39.8","1.5","80","38.5","40"
"1990","Single parent","East Germany","46.28","50","145","40","41","51","51","72","45.02","47.54","12","72","45","50"
"1990","Single parent","West Germany","38.47","39","262","24","37.5","42","50","70","37.16","39.78","5","80","38.5","40"
"1991","(Married) couple without C.","East Germany","40.02","40","383","25","40","43.8","50","66","39","41.04","8","80","40","40"
"1991","(Married) couple without C.","West Germany","39.54","40","1218","22.5","37.5","44","50","70","38.95","40.13","2","80","39.5","40"
"1991","1-pers.-HH","East Germany","42.24","40","74","35","40","45","50","72","40.4","44.08","20","72","40","42"
"1991","1-pers.-HH","West Germany","41.57","40","508","34","38.5","45","52","72","40.7","42.44","4","80","40","40"
"1991","Couple + C. GT 16 ","East Germany","40.87","40","528","30","40","45","50","70","40.03","41.71","1","80","40","40"
"1991","Couple + C. GT 16 ","West Germany","38.42","40","1199","20","37.5","43","50","70","37.78","39.06","2","80","39","40"
"1991","Couple + C. LE 16","East Germany","42.1","40","1040","30","40","45","55","75","41.43","42.77","1","80","40","40"
"1991","Couple + C. LE 16","West Germany","37.43","40","1430","18.5","30","45","50","70","36.75","38.11","0.4","80","39","40"
"1991","Couple + C. LE and GT 16","East Germany","41.68","40","229","32","40","45","50","68","40.54","42.82","8","70","40","40"
"1991","Couple + C. LE and GT 16","West Germany","37.91","39","570","20","37.5","42","50","70","36.98","38.84","0.5","80","38.5","39"
"1991","Single parent","East Germany","40.09","40","108","30","40","42","48","70","38.19","41.99","4","75","40","40"
"1991","Single parent","West Germany","38.14","39","279","22","37.5","41","50","70","36.8","39.48","0.2","80","38.5","40"
"1992","(Married) couple without C.","East Germany","43.06","40","341","37.5","40","46","55","75","42.05","44.07","3","76","40","41"
"1992","(Married) couple without C.","West Germany","39.38","40","1214","25","37.5","44","50","70","38.82","39.94","3","80","39","40"
"1992","1-pers.-HH","East Germany","44.89","42","81","36","40","47","60","80","42.51","47.27","10","80","40","43"
"1992","1-pers.-HH","West Germany","40.75","40","486","33.5","38.5","45","50","70","39.99","41.51","4","75","40","40"
"1992","Couple + C. GT 16 ","East Germany","42.14","40","486","35","40","45","50","70","41.39","42.89","2","75","40","40"
"1992","Couple + C. GT 16 ","West Germany","38.46","39.5","1161","20","37.5","43","50","72","37.81","39.11","0.8","80","38.5","39.5"
"1992","Couple + C. LE 16","East Germany","43.83","42","935","35","40","49.5","56","70","43.22","44.44","7.5","80","40.4000015258789","42"
"1992","Couple + C. LE 16","West Germany","37.74","40","1378","19.3","30","45","50","74","37.05","38.43","0.6","80","39","40"
"1992","Couple + C. LE and GT 16","East Germany","42.24","40","216","37.5","40","45","50","70","41.22","43.26","3","80","40","42"
"1992","Couple + C. LE and GT 16","West Germany","37.83","39","529","21","37.5","42.5","50","70","36.88","38.78","1","75","38.5","39.5"
"1992","Single parent","East Germany","42.49","40","107","40","40","45","50","70","41","43.98","16","70","40","42"
"1992","Single parent","West Germany","37.49","38.5","259","21","35","42","50","70","36.13","38.85","3","70","38","39"
