"year","age_gr","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","16-34 y.","Female","36.51","40","1148","20","35","40","45","60","35.84","37.18","1","80","40","40"
"1984","16-34 y.","Male","42.55","40","1550","40","40","45","55","75","42.06","43.04","1","80","40","40"
"1984","35-65 y.","Female","31.97","34","1264","13","20","40","48","74","31.22","32.72","2","80","36","40"
"1984","35-65 y.","Male","44.35","40","2550","40","40","48","60","75","43.97","44.73","2","80","40","40"
"1984","66 and older","Female","","","","","","","","","","","","","",""
"1984","66 and older","Male","","","","","","","","","","","","","",""
"1985","16-34 y.","Female","36.68","40","1075","18","38","42","46","60","35.95","37.41","1","74","40","40"
"1985","16-34 y.","Male","42.31","40","1420","38","40","45","52","70","41.75","42.87","1","80","40","40"
"1985","35-65 y.","Female","31.39","35","1185","13","20","40","45","60","30.64","32.14","1","80","35","40"
"1985","35-65 y.","Male","44.15","42","2286","40","40","50","60","72","43.7","44.6","2","80","40","41"
"1985","66 and older","Female","","","","","","","","","","","","","",""
"1985","66 and older","Male","","","","","","","","","","","","","",""
"1986","16-34 y.","Female","36.9","40","1077","20","38","41","47","60","36.21","37.59","1","80","40","40"
"1986","16-34 y.","Male","42.82","40","1441","38","40","45","55","70","42.31","43.33","1","80","40","40"
"1986","35-65 y.","Female","32.61","38","1135","13","20","40","45","70","31.83","33.39","1","80","38","39"
"1986","35-65 y.","Male","44.27","42","2140","39","40","50","60","72","43.83","44.71","1","80","40","40"
"1986","66 and older","Female","","","","","","","","","","","","","",""
"1986","66 and older","Male","","","","","","","","","","","","","",""
"1987","16-34 y.","Female","36.34","40","1081","20","37","41","45","60","35.69","36.99","1","72","40","40"
"1987","16-34 y.","Male","42.13","40","1472","38","40","45","52","70","41.64","42.62","2","80","40","40"
"1987","35-65 y.","Female","31.82","36","1188","13","20","40","45","63","31.08","32.56","1","80","36","38"
"1987","35-65 y.","Male","44.1","41","2135","39","40","48","60","75","43.7","44.5","1","80","40","40"
"1987","66 and older","Female","","","","","","","","","","","","","",""
"1987","66 and older","Male","","","","","","","","","","","","","",""
"1988","16-34 y.","Female","35.83","40","1032","15","35","42","45","60","35.11","36.55","1","72","40","40"
"1988","16-34 y.","Male","41.99","40","1400","38","40","45","50","75","41.46","42.52","1","80","40","40"
"1988","35-65 y.","Female","31.3","35","1148","12","20","40","45","70","30.51","32.09","2","80","35","38"
"1988","35-65 y.","Male","43.52","41","2003","38","40","48","56","70","43.08","43.96","1","80","40","40"
"1988","66 and older","Female","","","","","","","","","","","","","",""
"1988","66 and older","Male","","","","","","","","","","","","","",""
