"year","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1984","Westdeutschland, alte Bundeslaender","39.9","40","6556","20","40","45","53","75","39.61","40.19","1","80","40","40"
"1985","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1985","Westdeutschland, alte Bundeslaender","39.6","40","6004","20","40","45","50","70","39.28","39.92","1","80","40","40"
"1986","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1986","Westdeutschland, alte Bundeslaender","40.04","40","5817","20","39","45","52","70","39.73","40.35","1","80","40","40"
"1987","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1987","Westdeutschland, alte Bundeslaender","39.49","40","5907","20","39","45","50","70","39.2","39.78","1","80","40","40"
"1988","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1988","Westdeutschland, alte Bundeslaender","39","40","5612","20","38","45","50","70","38.68","39.32","1","80","40","40"
"1989","Ostdeutschland, neue Bundeslaender","","","","","","","","","","","","","",""
"1989","Westdeutschland, alte Bundeslaender","39.83","40","5520","22","38","45","50","70","39.54","40.12","1","80","40","40"
"1990","Ostdeutschland, neue Bundeslaender","45.68","48","3185","34","40","51","54","70","45.35","46.01","2","80","47","48"
"1990","Westdeutschland, alte Bundeslaender","38.98","40","5421","20","37.5","44","50","70","38.68","39.28","0.2","80","40","40"
"1991","Ostdeutschland, neue Bundeslaender","41.16","40","2492","30","40","45","50","72","40.75","41.57","1","80","40","40"
"1991","Westdeutschland, alte Bundeslaender","38.92","40","5546","20","37.5","45","50","70","38.62","39.22","0.2","80","39.5","40"
"1992","Ostdeutschland, neue Bundeslaender","43.21","40","2302","36","40","45.8","55","72","42.84","43.58","2","80","40","40.7999992370605"
"1992","Westdeutschland, alte Bundeslaender","38.76","40","5347","20","37.5","44.5","50","70","38.46","39.06","0.6","80","39","40"
"1993","Ostdeutschland, neue Bundeslaender","43.48","41.84","2148","35","40","48","56","75","43.06","43.9","1","80","41","42"
"1993","Westdeutschland, alte Bundeslaender","38.4","40","5258","20","37.5","43","50","70","38.09","38.71","0.1","80","39","39.5"
"1994","Ostdeutschland, neue Bundeslaender","43.38","42","2059","36","40","48","55","70","42.97","43.79","1.5","80","41","42"
"1994","Westdeutschland, alte Bundeslaender","38.32","40","5033","20","37","43","50","70","38","38.64","0.5","80","39","40"
"1995","Ostdeutschland, neue Bundeslaender","43.01","42","2120","32","40","48","55","72","42.56","43.46","0.4","80","41","42"
"1995","Westdeutschland, alte Bundeslaender","38.09","40","5387","20","36.5","44","50","70","37.77","38.41","1","80","39.5","40"
"1996","Ostdeutschland, neue Bundeslaender","43.08","42","2034","34","40","48","55","75","42.64","43.52","0.5","80","41","42"
"1996","Westdeutschland, alte Bundeslaender","38.15","40","5197","20","36","44","50","70","37.83","38.47","0.5","80","39.5","40"
"1997","Ostdeutschland, neue Bundeslaender","43.1","42","1983","32","40","48","55","72","42.65","43.55","1","80","42","42"
"1997","Westdeutschland, alte Bundeslaender","38.73","40","5136","20","36","45","50","70","38.4","39.06","1","80","40","40"
"1998","Ostdeutschland, neue Bundeslaender","42.71","42","2083","30","40","48","55","72","42.25","43.17","2","80","41.5","42"
"1998","Westdeutschland, alte Bundeslaender","38.59","40","5672","20","35","45","50","70","38.27","38.91","2","80","40","40"
"1999","Ostdeutschland, neue Bundeslaender","41.94","41","2128","30","40","46","55","70","41.47","42.41","2","80","40","42"
"1999","Westdeutschland, alte Bundeslaender","37.99","40","5725","18","35","45","50","70","37.66","38.32","0.5","80","40","40"
