"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","16-34 y.","39.96","40","2698","25","40","43","50","39.55","40.37","40","40"
"1984","35-65 y.","40.12","40","3814","20","40","45","55","39.73","40.51","40","40"
"1984","66 and older","26.76","20","44","8","15","40","43","21.13","32.39","18","40"
"1985","16-34 y.","39.79","40","2495","22","40","45","50","39.33","40.25","40","40"
"1985","35-65 y.","39.64","40","3471","20","39","45","55","39.21","40.07","40","40"
"1985","66 and older","28.64","21.99","38","8","10","40","60","21.92","35.36","20","40"
"1986","16-34 y.","40.18","40","2518","25","40","44","50","39.75","40.61","40","40"
"1986","35-65 y.","40.16","40","3275","20","39","45","55","39.73","40.59","40","40"
"1986","66 and older","","","","","","","","","","",""
"1987","16-34 y.","39.58","40","2553","25","39","43","50","39.17","39.99","40","40"
"1987","35-65 y.","39.63","40","3323","20","38","45","52","39.22","40.04","40","40"
"1987","66 and older","24.38","15","31","5","10","45","60","16.76","32","10","45"
"1988","16-34 y.","39.25","40","2432","22","38","43","50","38.8","39.7","40","40"
"1988","35-65 y.","39.02","40","3151","20","38","45","51","38.58","39.46","40","40"
"1988","66 and older","","","","","","","","","","",""
"1989","16-34 y.","39.75","40","2450","27","38","44","50","39.35","40.15","40","40"
"1989","35-65 y.","39.97","40","3046","20","38","45","53","39.55","40.39","40","40"
"1989","66 and older","","","","","","","","","","",""
"1990","16-34 y.","40.51","40","3680","27","38.5","45","51","40.17","40.85","40","40"
"1990","35-65 y.","40.68","40","4891","24","37.5","48","52","40.36","41","40","40"
"1990","66 and older","31.8","27.67","35","10","20","45","50","26.47","37.13","20","40"
"1991","16-34 y.","39.7","40","3426","27","38","43.7000007629395","50","39.35","40.05","40","40"
"1991","35-65 y.","39.27","40","4585","20","37.5","45","52","38.93","39.61","40","40"
"1991","66 and older","","","","","","","","","","",""
"1992","16-34 y.","39.66","40","3233","28","38","44","50","39.33","39.99","40","40"
"1992","35-65 y.","39.68","40","4398","21","37.5","45","52","39.34","40.02","40","40"
"1992","66 and older","","","","","","","","","","",""
"1993","16-34 y.","39.66","40","3161","26","38","43","50","39.31","40.01","40","40"
"1993","35-65 y.","39.27","40","4227","20","37.5","45","50","38.91","39.63","40","40"
"1993","66 and older","","","","","","","","","","",""
"1994","16-34 y.","39.46","40","3017","25","38","44","50","39.09","39.83","40","40"
"1994","35-65 y.","39.23","40","4056","20","37","45","52","38.86","39.6","40","40"
"1994","66 and older","","","","","","","","","","",""
"1995","16-34 y.","39.49","40","3155","25","38","44","50","39.11","39.87","40","40"
"1995","35-65 y.","38.93","40","4326","20","36","45","52","38.56","39.3","40","40"
"1995","66 and older","","","","","","","","","","",""
"1996","16-34 y.","39.42","40","2981","25","38","44","50","39.05","39.79","40","40"
"1996","35-65 y.","38.97","40","4224","20","36","45","50","38.6","39.34","40","40"
"1996","66 and older","","","","","","","","","","",""
"1997","16-34 y.","39.56","40","2921","22","38","45","50","39.16","39.96","40","40"
"1997","35-65 y.","39.63","40","4170","20","36","45","55","39.25","40.01","40","40"
"1997","66 and older","","","","","","","","","","",""
"1998","16-34 y.","39.64","40","3030","25","38","45","50","39.25","40.03","40","40"
"1998","35-65 y.","39.38","40","4690","20","35","45","55","39.02","39.74","40","40"
"1998","66 and older","18.72","12","35","5","10","19.5","40","11.7","25.74","10","19.5"
"1999","16-34 y.","38.79","40","3027","20","37.5","45","50","38.37","39.21","40","40"
"1999","35-65 y.","38.87","40","4786","20","35","45","55","38.5","39.24","40","40"
"1999","66 and older","20.36","15","40","8","10","30","40","14.7","26.02","12.5","30"
"2000","16-34 y.","38.93","40","4561","20","37.5","45","50","38.58","39.28","40","40"
"2000","35-65 y.","38.9","40","8667","20","35","45","54","38.62","39.18","40","40"
"2000","66 and older","26.5","20","77","5","10","40","60","22.04","30.96","15","36"
"2001","16-34 y.","38.54","40","4041","19","37.5","45","50","38.16","38.92","40","40"
"2001","35-65 y.","38.94","40","8158","20","35","45","55","38.65","39.23","40","40"
"2001","66 and older","21.54","12.03","81","4","8","36","50","17.53","25.55","12","24"
"2002","16-34 y.","38.8","40","3838","20","37.5","45","50","38.41","39.19","40","40"
"2002","35-65 y.","38.18","40","9035","19.2999992370605","34","45","52","37.9","38.46","40","40"
"2002","66 and older","21.43","15","107","6","10","30","50","17.86","25","15","25"
"2003","16-34 y.","37.91","40","3592","18","36","44","50","37.49","38.33","40","40"
"2003","35-65 y.","38.1","40","8650","19","33","45","50.5","37.82","38.38","40","40"
"2003","66 and older","24.42","15","120","7","10","40","55","21.06","27.78","15","30"
"2004","16-34 y.","38","40","3355","18.5","37.5","44","50","37.58","38.42","40","40"
"2004","35-65 y.","38.04","40","8370","18.5","33","45","50","37.75","38.33","40","40"
"2004","66 and older","20.02","12","130","5","8.5","30","45","16.96","23.08","12","20"
"2005","16-34 y.","38.27","40","3097","19.5","37","45","50","37.82","38.72","40","40"
"2005","35-65 y.","38.28","40","7979","20","32.5","45","52","37.98","38.58","40","40"
"2005","66 and older","21.61","20","129","4","9","30","50","18.47","24.75","12","20"
"2006","16-34 y.","38.67","40","3089","20","37.5","45","50","38.22","39.12","40","40"
"2006","35-65 y.","38.47","40","8584","19","32","45","53","38.18","38.76","40","40"
"2006","66 and older","24.79","20","167","5","10","40","60","21.78","27.8","12","20"
"2007","16-34 y.","38.44","40","2955","16","37","45","50","37.97","38.91","40","40"
"2007","35-65 y.","38.62","40","8180","19.5","32.5","45","55","38.33","38.91","40","40"
"2007","66 and older","22.1","15","155","6","10","34","50","19.23","24.97","12","20"
"2008","16-34 y.","38.01","40","2782","16","37","45","50","37.54","38.48","40","40"
"2008","35-65 y.","38.39","40","7761","19.2999992370605","32","45","50","38.09","38.69","40","40"
"2008","66 and older","23.58","16","167","6","10","35","50","20.83","26.33","14","20"
"2009","16-34 y.","37.95","40","2556","15","35","45","50","37.44","38.46","40","40"
"2009","35-65 y.","38.39","40","7269","18","33","45","53","38.08","38.7","40","40"
"2009","66 and older","21.75","15","194","5","8","30","50","19.13","24.37","14","20"
"2010","16-34 y.","37.16","40","3679","15","35","44","50","36.71","37.61","40","40"
"2010","35-65 y.","37.82","40","9748","18","30","45","50","37.54","38.1","40","40"
"2010","66 and older","23.77","18","194","4","8","38","55","21.1","26.44","15","20"
"2011","16-34 y.","38.25","40","4125","17","36.5","45","50","37.84","38.66","40","40"
"2011","35-65 y.","38.63","40","12301","19","32","45","52.5","38.38","38.88","40","40"
"2011","66 and older","21.15","15","209","5","10","30","50","18.84","23.46","15","20"
"2012","16-34 y.","37.38","40","3923","14","36","45","50","36.96","37.8","40","40"
"2012","35-65 y.","38.21","40","12149","20","32","45","50","37.97","38.45","40","40"
"2012","66 and older","21.96","17.59","264","5","8","30","50","19.87","24.05","15","20"
"2013","16-34 y.","37.08","40","4921","12.6000003814697","35","45","50","36.7","37.46","40","40"
"2013","35-65 y.","38.03","40","13417","20","30","45","50","37.8","38.26","40","40"
"2013","66 and older","18.43","12","277","4","6","25","45","16.57","20.29","12","15"
"2014","16-34 y.","36.52","40","4161","13","35","43","50","36.11","36.93","40","40"
"2014","35-65 y.","37.56","40","11977","19","30","45","50","37.32","37.8","40","40"
"2014","66 and older","19.18","15","314","4","7","25","48","17.4","20.96","12","18"
"2015","16-34 y.","36.99","40","4199","15","35","43.5","48","36.59","37.39","40","40"
"2015","35-65 y.","37.54","40","11615","19","30","45","50","37.3","37.78","40","40"
"2015","66 and older","19.17","12","301","4","8","25","45","17.31","21.03","12","15"
"2016","16-34 y.","36.33","40","3630","13","35","43","48","35.9","36.76","40","40"
"2016","35-65 y.","37.48","40","10885","19.5","30","45","50","37.23","37.73","40","40"
"2016","66 and older","19.08","12","308","4","8","25","48","17.19","20.97","12","16"
"2017","16-34 y.","36.66","40","4348","15","35","43","50","36.27","37.05","40","40"
"2017","35-65 y.","37.28","40","12327","20","30","45","50","37.05","37.51","40","40"
"2017","66 and older","17.74","11","375","4","7","20","48","16.14","19.34","11","15"
"2018","16-34 y.","36.35","40","4505","15","35","43","48","35.98","36.72","40","40"
"2018","35-65 y.","37.38","40","11930","20","30","44","50","37.15","37.61","40","40"
"2018","66 and older","17.29","10","390","4","6","21","45","15.77","18.81","10","12"
"2019","16-34 y.","36.75","40","4228","16","35","43","48","36.36","37.14","40","40"
"2019","35-65 y.","37.45","40","12713","20","31","45","50","37.21","37.69","40","40"
"2019","66 and older","19.49","12","594","4","8","30","45","17.98","21","20","25"
