"year","age_gr","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1994","66 and older","Rural Area","","","","","","","","","","","","","",""
"1994","66 and older","Urban Area","","","","","","","","","","","","","",""
"1995","16-34 y.","Rural Area","39.36","40","1062","23","38","44.5","50","70","38.71","40.01","3.5","80","40","40"
"1995","16-34 y.","Urban Area","39.56","40","2093","25","38","44","50","65","39.1","40.02","0.4","80","40","40"
"1995","35-65 y.","Rural Area","40.35","40","1471","20","37.5","45","56","75","39.72","40.98","3","80","40","40"
"1995","35-65 y.","Urban Area","38.37","40","2855","20","35.5","45","50","70","37.91","38.83","1","80","40","40"
"1995","66 and older","Rural Area","","","","","","","","","","","","","",""
"1995","66 and older","Urban Area","","","","","","","","","","","","","",""
"1996","16-34 y.","Rural Area","39.51","40","978","24","37.5","45","50","70","38.86","40.16","2.5","80","40","40"
"1996","16-34 y.","Urban Area","39.38","40","2003","25","38","44","50","65","38.93","39.83","1","80","40","40"
"1996","35-65 y.","Rural Area","40.04","40","1445","23","37","45","50.5","72","39.43","40.65","4","80","40","40"
"1996","35-65 y.","Urban Area","38.54","40","2779","20","35","45","50","70","38.08","39","0.5","80","40","40"
"1996","66 and older","Rural Area","","","","","","","","","","","","","",""
"1996","66 and older","Urban Area","","","","","","","","","","","","","",""
"1997","16-34 y.","Rural Area","40.42","40","943","25.5","38.5","45","50","70","39.74","41.1","1","80","40","40"
"1997","16-34 y.","Urban Area","39.21","40","1978","21","37.5","44","50","70","38.72","39.7","1","80","40","40"
"1997","35-65 y.","Rural Area","40.36","40","1446","22","37","46","55","75","39.73","40.99","2.5","80","40","40"
"1997","35-65 y.","Urban Area","39.35","40","2724","20","35.5","45","54","72","38.88","39.82","1","80","40","40"
"1997","66 and older","Rural Area","","","","","","","","","","","","","",""
"1997","66 and older","Urban Area","","","","","","","","","","","","","",""
"1998","16-34 y.","Rural Area","40.33","40","989","25","38.5","45","50","70","39.64","41.02","4","80","40","40"
"1998","16-34 y.","Urban Area","39.37","40","2041","25","37.5","45","50","70","38.89","39.85","2","80","40","40"
"1998","35-65 y.","Rural Area","40.3","40","1631","21.5","37","45","55","70","39.7","40.9","3","80","40","40"
"1998","35-65 y.","Urban Area","39","40","3059","20","35","45","54","70","38.55","39.45","2","80","40","40"
"1998","66 and older","Rural Area","","","","","","","","","","","","","",""
"1998","66 and older","Urban Area","","","","","","","","","","","","","",""
"1999","16-34 y.","Rural Area","40.04","40","1023","23.5","38","45","51","75","39.32","40.76","2","80","40","40"
"1999","16-34 y.","Urban Area","38.24","40","2004","19.5","37.5","45","50","65","37.73","38.75","0.5","80","40","40"
"1999","35-65 y.","Rural Area","39.31","40","1662","20","35","45","53","70","38.69","39.93","2","80","40","40"
"1999","35-65 y.","Urban Area","38.69","40","3124","20","35","45","55","70","38.23","39.15","1","80","40","40"
"1999","66 and older","Rural Area","","","","","","","","","","","","","",""
"1999","66 and older","Urban Area","18.6","12.74","30","8","9","30","39","70","12.25","24.95","3.5","70","9","30"
"2000","16-34 y.","Rural Area","40.53","40","1563","25","38","45","52","72","39.95","41.11","2","80","40","40"
"2000","16-34 y.","Urban Area","38.21","40","2998","19","37","45","50","70","37.76","38.66","1","80","40","40"
"2000","35-65 y.","Rural Area","39.64","40","2946","20","35","45","55","72","39.16","40.12","2","80","40","40"
"2000","35-65 y.","Urban Area","38.58","40","5721","20","35","45","52.5","70","38.24","38.92","1","80","40","40"
"2000","66 and older","Rural Area","","","","","","","","","","","","","",""
"2000","66 and older","Urban Area","23.36","15.79","54","4","10","35","50","80","18.09","28.63","2","80","12","30"
"2001","16-34 y.","Rural Area","40.15","40","1366","25","38","45","50","70","39.53","40.77","1.5","80","40","40"
"2001","16-34 y.","Urban Area","37.81","40","2675","15","36","45","50","70","37.33","38.29","1","80","40","40"
"2001","35-65 y.","Rural Area","39.57","40","2722","20","36","45","55","70","39.08","40.06","2","80","40","40"
"2001","35-65 y.","Urban Area","38.67","40","5436","20","35","45","53","70","38.32","39.02","1","80","40","40"
"2001","66 and older","Rural Area","","","","","","","","","","","","","",""
"2001","66 and older","Urban Area","19.63","12","52","5","8","30","50","60","14.69","24.57","1","60","12","30"
"2002","16-34 y.","Rural Area","40.26","40","1286","28.7","38","45","50","70","39.63","40.89","1","80","40","40"
"2002","16-34 y.","Urban Area","38.11","40","2552","18","37","44","50","70","37.61","38.61","2","80","40","40"
"2002","35-65 y.","Rural Area","38.53","40","2861","19","33","45","55","70","38.03","39.03","1","80","40","40"
"2002","35-65 y.","Urban Area","38.03","40","6174","19.5","34","45","50","70","37.69","38.37","1","80","40","40"
"2002","66 and older","Rural Area","23.22","13.91","33","8","10","38","60","74","15.91","30.53","4","80","12","38"
"2002","66 and older","Urban Area","20.71","15","74","6","10","30","50","70","16.58","24.84","2","70","15","30"
"2003","16-34 y.","Rural Area","39.34","40","1208","25","38","45","50","70","38.67","40.01","1","75","40","40"
"2003","16-34 y.","Urban Area","37.24","40","2384","15","35","43","50","70","36.72","37.76","1","80","40","40"
"2003","35-65 y.","Rural Area","38.32","40","2771","18","33","45","54","70","37.82","38.82","2","80","40","40"
"2003","35-65 y.","Urban Area","38","40","5879","19","33","45","50","70","37.65","38.35","1","80","40","40"
"2003","66 and older","Rural Area","28.05","20","41","7","10","42","55","80","21.68","34.42","4","80","14","40"
"2003","66 and older","Urban Area","22.57","15","79","7","10","30","50","60","18.61","26.53","2","68","14","27"
"2004","16-34 y.","Rural Area","38.85","40","1126","20","37.5","45","50","66","38.14","39.56","1","80","40","40"
"2004","16-34 y.","Urban Area","37.6","40","2229","18","37","43.5","50","60","37.07","38.13","1","80","40","40"
"2004","35-65 y.","Rural Area","38.62","40","2665","18","35","45","55","72","38.1","39.14","1","80","40","40"
"2004","35-65 y.","Urban Area","37.8","40","5705","19","32.5","45","50","70","37.45","38.15","1.5","80","40","40"
"2004","66 and older","Rural Area","24.31","20","35","6","12","40","50","60","18.75","29.87","2.5","60","15","32"
"2004","66 and older","Urban Area","18.57","11.1","95","5","8","27","40","65","14.86","22.28","2","80","10","24"
"2005","16-34 y.","Rural Area","39.69","40","1028","20","38","45","50","70","38.95","40.43","1.5","80","40","40"
"2005","16-34 y.","Urban Area","37.61","40","2069","15","35","45","50","66","37.05","38.17","1","80","40","40"
"2005","35-65 y.","Rural Area","38.82","40","2545","20","33","45","51","75","38.3","39.34","1","80","40","40"
"2005","35-65 y.","Urban Area","38.06","40","5434","20","32","45","52","70","37.7","38.42","1","80","40","40"
"2005","66 and older","Rural Area","22.42","20.14","36","3","11","30","40","77","16.45","28.39","2","77","12","25"
"2005","66 and older","Urban Area","21.25","12.4","93","5","8","30","50","68","17.49","25.01","1","75","10","20"
"2006","16-34 y.","Rural Area","39.82","40","1048","25","38","45","50","70","39.09","40.55","1","80","40","40"
"2006","16-34 y.","Urban Area","38.11","40","2041","19.5","36","45","50","65","37.55","38.67","1","80","40","40"
"2006","35-65 y.","Rural Area","39.01","40","2785","19.2","34","45","55","70","38.51","39.51","1","80","40","40"
"2006","35-65 y.","Urban Area","38.25","40","5799","19","31.8","45","52","70","37.9","38.6","1","80","40","40"
"2006","66 and older","Rural Area","21.63","15","55","8","10","32","42","77","16.6","26.66","3.5","77","10","20"
"2006","66 and older","Urban Area","26.51","20","112","5","10","42","60","80","22.73","30.29","2","80","15","25"
