"year","regtyp","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","Female","33.4","40","454","14","20","40","46","70","32.16","34.64","2","80","40","40"
"1985","Rural Area","Male","44.3","42","743","40","40","50","60","75","43.47","45.13","2","80","41","42"
"1985","Urban Area","Female","33.87","40","1821","15","23","40","45","60","33.28","34.46","1","80","40","40"
"1985","Urban Area","Male","43.11","41","2986","39","40","48","55","72","42.72","43.5","1","80","40","40"
"1986","Rural Area","Female","34.55","40","451","12","25","41","47","70","33.29","35.81","2","80","40","40"
"1986","Rural Area","Male","45.2","42","712","39","40","50","60","75","44.41","45.99","2","80","40","42"
"1986","Urban Area","Female","34.59","40","1772","15","25","40","47","60","34.01","35.17","1","80","40","40"
"1986","Urban Area","Male","43.14","40","2882","38","40","46","55","70","42.77","43.51","1","80","40","40"
"1987","Rural Area","Female","32.32","38.17","471","12","22","40","45","60","31.13","33.51","1","80","38","40"
"1987","Rural Area","Male","44.12","41.7","718","39","40","50","60","75","43.34","44.9","2","80","40","42"
"1987","Urban Area","Female","34.28","40","1810","15","25","40","45","60","33.73","34.83","1","80","39","40"
"1987","Urban Area","Male","42.96","40","2908","38","40","45","55","72","42.62","43.3","1","80","40","40"
"1988","Rural Area","Female","32.12","38","437","10","20","40","46","70","30.81","33.43","2","77","38","40"
"1988","Rural Area","Male","43.56","42","658","38","40","50","60","80","42.65","44.47","1","80","40","42"
"1988","Urban Area","Female","33.57","40","1754","12","24","40","45","62","32.97","34.17","1","80","39","40"
"1988","Urban Area","Male","42.63","40","2763","38","40","45","55","70","42.26","43","1","80","40","40"
"1989","Rural Area","Female","33.83","38.79","411","15","24","40","45","70","32.59","35.07","1","80","38","40"
"1989","Rural Area","Male","44.85","41.59","646","38","40","50","60","75","44.14","45.56","1","78","40","42"
"1989","Urban Area","Female","34.33","39","1747","16","25","40","45","60","33.76","34.9","1","80","38","39"
"1989","Urban Area","Male","43.17","40","2716","38","40","46","55","70","42.84","43.5","1","80","40","40"
"1990","Rural Area","Female","37.15","40","1375","20","30","45","51","61","36.52","37.78","1.5","80","40","40"
"1990","Rural Area","Male","45.37","45","1712","38.5","40","50","58","75","44.93","45.81","2","80","45","46"
"1990","Urban Area","Female","35.14","39","2257","17","26.5","41","50","65","34.64","35.64","0.2","80","38.7999992370605","39"
"1990","Urban Area","Male","43.29","41","3197","37.5","39","48","52.5","72","42.98","43.6","2","80","40","41"
"1991","Rural Area","Female","34.59","38.5","1162","19.2","25.5","40","45","70","33.94","35.24","1","80","39","40"
"1991","Rural Area","Male","43.21","40","1547","37.5","39","47","59.5","75","42.7","43.72","1","80","40","41"
"1991","Urban Area","Female","34.17","38.5","2211","16","25","40","45","60","33.67","34.67","0.2","75","38.5","38.5"
"1991","Urban Area","Male","42.92","40","3061","37.5","38.5","46","55","72","42.59","43.25","2","80","40","40"
"1992","Rural Area","Female","35.18","39","1066","20","30","40","45","60","34.55","35.81","1","75","40","40"
"1992","Rural Area","Male","44.07","40.5","1438","37.5","40","50","60","75","43.57","44.57","3","80","40","42"
"1992","Urban Area","Female","34.14","38.5","2129","15","25","40","45","60","33.64","34.64","0.6","80","38.5","38.5"
"1992","Urban Area","Male","42.91","40","2939","37.5","38.5","46","53","70","42.59","43.23","2","80","40","40"
"1993","Rural Area","Female","34.98","39","1042","18","27","40","45","70","34.29","35.67","1","80","40","40"
"1993","Rural Area","Male","43.91","41.5","1377","37.5","40","48","60","75","43.37","44.45","2","80","41","42"
"1993","Urban Area","Female","33.65","38.5","2122","15","24","40","45","60","33.14","34.16","0.1","80","38","38.5"
