"year","e11103","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Full Time","Rural Area","45.21","42","892","40","40","50","60","75","44.62","45.8","4","80","40","42"
"1985","Full Time","Urban Area","44.23","41","3581","40","40","46","55","70","43.98","44.48","2","80","40","40"
"1985","Not Working","Rural Area","","","","","","","","","","","","","",""
"1985","Not Working","Urban Area","33.16","40","116","8","20","42","50","60","30.11","36.21","1","70","40","40"
"1985","Part Time","Rural Area","25.15","23","277","8","14","40","40","50","23.58","26.72","2","56","20","26"
"1985","Part Time","Urban Area","25.68","24","1110","8","15","40","42","60","24.87","26.49","1","80","23","25"
"1986","Full Time","Rural Area","45.75","42","867","40","40","50","60","75","45.15","46.35","2","80","40","42"
"1986","Full Time","Urban Area","44.03","40","3521","39","40","45","55","70","43.78","44.28","2","80","40","40"
"1986","Not Working","Rural Area","","","","","","","","","","","","","",""
"1986","Not Working","Urban Area","31.6","39","99","8","20","40","54","60","28.39","34.81","1","70","36","40"
"1986","Part Time","Rural Area","26.93","26","270","9","18","40","41","60","25.3","28.56","2","75","24","30"
"1986","Part Time","Urban Area","26.47","25","1034","8","17","40","41","58","25.65","27.29","1","70","25","28"
"1987","Full Time","Rural Area","44.61","40.79","867","39","40","48","60","75","44.04","45.18","4","80","40","40"
"1987","Full Time","Urban Area","43.73","40","3623","39","40","45","53","70","43.49","43.97","8","80","40","40"
"1987","Not Working","Rural Area","","","","","","","","","","","","","",""
"1987","Not Working","Urban Area","31.19","40","70","5","16","40","50","72","27.02","35.36","2","72","25","40"
"1987","Part Time","Rural Area","25.4","24","298","9","15","39","42","56","23.87","26.93","1","80","23","28"
"1987","Part Time","Urban Area","25.8","25","1025","8","16","39","40","50","25.04","26.56","1","60","25","30"
"1988","Full Time","Rural Area","45.02","42","796","38","40","50","60","77","44.4","45.64","6","80","40","42"
"1988","Full Time","Urban Area","43.7","40","3416","38","40","45","52","70","43.46","43.94","1","80","40","40"
"1988","Not Working","Rural Area","","","","","","","","","","","","","",""
"1988","Not Working","Urban Area","30.98","38","74","8","22","40","45","60","27.31","34.65","1","60","30","40"
"1988","Part Time","Rural Area","23.64","22","279","8","12","35","40","66","22.03","25.25","1","70","20","25"
"1988","Part Time","Urban Area","24.09","23","1027","8","14","35","40","50","23.3","24.88","1","60","24","25"
"1989","Full Time","Rural Area","44.73","41","792","38","40","48","60","75","44.13","45.33","6","78","40","41"
"1989","Full Time","Urban Area","43.63","40","3437","38","40","45","52","70","43.38","43.88","4","80","40","40"
"1989","Not Working","Rural Area","","","","","","","","","","","","","",""
"1989","Not Working","Urban Area","30.76","38","93","10","20","40","44","60","27.92","33.6","1","60","28","39"
"1989","Part Time","Rural Area","28.3","27","250","11","20","40","41","60","26.79","29.81","1","60","25","30"
"1989","Part Time","Urban Area","25.95","25","933","10","18","38","40","50","25.17","26.73","1","60","25","30"
"1990","Full Time","Rural Area","43.52","40","822","38","39","45","55","75","43","44.04","8","80","40","40"
"1990","Full Time","Urban Area","43.13","40","3310","37.5","39","45","50","70","42.88","43.38","3","80","40","40"
"1990","Not Working","Rural Area","","","","","","","","","","","","","",""
"1990","Not Working","Urban Area","27.05","25.35","75","8","12","39","40","68","23.77","30.33","0.2","68","20","38.5"
"1990","Part Time","Rural Area","24.92","24.9","256","8","17","35","40","60","23.43","26.41","2","60","22","27"
"1990","Part Time","Urban Area","25.95","25","944","9","17.5","37.5","40","57.5","25.16","26.74","0.5","80","25","28"
"1991","Full Time","Rural Area","44.12","40","816","38","38.5","46","56","80","43.56","44.68","25","80","40","40"
"1991","Full Time","Urban Area","43.31","40","3297","37.5","38.5","45","52","70","43.06","43.56","8","80","40","40"
"1991","Not Working","Rural Area","","","","","","","","","","","","","",""
"1991","Not Working","Urban Area","29.37","36.44","100","5","12","40","45","60","26.11","32.63","0.2","60","25","38"
"1991","Part Time","Rural Area","24.93","24.16","285","10","18","35","40","50","23.53","26.33","1","60","22","26"
"1991","Part Time","Urban Area","25.5","25","993","10","18","35","40","55","24.77","26.23","1.5","72","25","25"
"1992","Full Time","Rural Area","44.34","40","1915","38","40","47","58","75","43.98","44.7","5","80","40","40.5"
"1992","Full Time","Urban Area","43.35","40","3921","37.5","38.5","45","50","70","43.12","43.58","6","80","40","40"
"1992","Not Working","Rural Area","36.19","39.6","40","15","35","40","44","56","33.18","39.2","5","56","38.5","40"
"1992","Not Working","Urban Area","27.75","36","73","2","16","40","42","50","24.44","31.06","0.8","60","25","40"
"1992","Part Time","Rural Area","28.74","30","549","10.5","20","40","42","55","27.74","29.74","1","70","30","35"
"1992","Part Time","Urban Area","25.29","25","1074","10","16.5","35","40","50","24.58","26","0.6","60","25","28"
"1993","Full Time","Rural Area","44.52","41","1847","38","40","46","56","76","44.13","44.91","10","80","40","42"
"1993","Full Time","Urban Area","43.2","40","3811","37.5","38.5","45","52","70","42.96","43.44","9","80","40","40"
"1993","Not Working","Rural Area","34.61","40","60","15.6","25","40","45","70","31.14","38.08","1","70","39","40"
"1993","Not Working","Urban Area","28.32","35.17","104","6","16","40","42","60","25.54","31.1","0.1","60","35","38.5"
"1993","Part Time","Rural Area","27.28","27","512","10","19","38.5","40","60","26.22","28.34","2","68","30","32"
"1993","Part Time","Urban Area","25.85","25","1072","10","17","37","40","50","25.12","26.58","0.5","72","25","28.8999996185303"
"1994","Full Time","Rural Area","44.35","41","1782","38","40","47","56","72","43.98","44.72","10","80","40.2000007629395","42"
"1994","Full Time","Urban Area","43.19","40","3607","37.5","38.5","45","52","70","42.94","43.44","16","80","40","40"
"1994","Not Working","Rural Area","33.12","36.61","44","10","30","40","44","60","28.62","37.62","3","70","30","40"
"1994","Not Working","Urban Area","33.48","37.5","92","10","20","40","50","72","29.9","37.06","2","72","24","38"
"1994","Part Time","Rural Area","27.86","28.95","500","10","18.5","40","42","56","26.75","28.97","0.5","72","30","32.5"
"1994","Part Time","Urban Area","25.1","24","1067","10","16","35","40","50","24.39","25.81","0.8","70","25","28"
"1995","Full Time","Rural Area","44.34","40.8","1891","38","40","48","59","73","43.95","44.73","8","80","41","42"
"1995","Full Time","Urban Area","43.76","41","3561","37.5","38.7","46","55","70","43.51","44.01","5","80","40","40"
"1995","Not Working","Rural Area","36.8","40","64","18","32","42.5","45","80","33.56","40.04","3.5","80","38","40"
"1995","Not Working","Urban Area","29.05","37.5","104","7","10.5","40","45.5","65","26.07","32.03","0.4","65","35","39"
"1995","Part Time","Rural Area","26.94","27.5","586","10","18","38","40","55","25.92","27.96","3","80","30","32"
"1995","Part Time","Urban Area","25.79","25","1301","9","18","36","40","54","25.12","26.46","1","78","25","28"
"1996","Full Time","Rural Area","44.42","41","1811","38","40","48","55","75","44.04","44.8","20","80","41","42"
"1996","Full Time","Urban Area","43.72","41","3403","37.5","39","46","54","70","43.46","43.98","5","80","40","40.5"
"1996","Not Working","Rural Area","30.37","34.68","48","8","20","40","40","41","27.14","33.6","5","42","35","40"
"1996","Not Working","Urban Area","28.6","36","88","5.5","13","40","45","60","25.6","31.6","0.5","60","35","40"
"1996","Part Time","Rural Area","27.58","29.69","571","10","20","35","40","55","26.63","28.53","2.5","70","30","32"
"1996","Part Time","Urban Area","26.01","25","1310","10","17.5","35","40","55","25.38","26.64","0.5","70","26.5","30"
"1997","Full Time","Rural Area","45.06","42","1785","38","40","50","60","75","44.67","45.45","9","80","42","42"
