"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Female","33.93","40","2431","15","24","40","45","70","33.42","34.44","1","80","40","40"
"1984","Male","43.55","40","4125","40","40","47","58","75","43.24","43.86","1","80","40","40"
"1985","Female","33.77","40","2275","14","22","40","45","60","33.24","34.3","1","80","40","40"
"1985","Male","43.38","42","3729","39","40","48","58","72","43.03","43.73","1","80","40","40"
"1986","Female","34.58","40","2223","15","25","40","47","66","34.05","35.11","1","80","40","40"
"1986","Male","43.6","41","3594","38","40","48","58","72","43.26","43.94","1","80","40","40"
"1987","Female","33.83","40","2281","15","24","40","45","60","33.33","34.33","1","80","39","40"
"1987","Male","43.22","40","3626","38","40","46","55","75","42.91","43.53","1","80","40","40"
"1988","Female","33.26","39","2191","12","23","40","45","65","32.71","33.81","1","80","39","40"
"1988","Male","42.83","40","3421","38","40","46","55","72","42.49","43.17","1","80","40","40"
"1989","Female","34.23","39","2158","15","25","40","45","60","33.71","34.75","1","80","39","39"
"1989","Male","43.53","40","3362","38","40","47","55","70","43.23","43.83","1","80","40","40"
"1990","Female","35.83","39","3664","19","28","43","50","61","35.44","36.22","0.2","80","39","40"
"1990","Male","43.94","42","4942","37.5","39","50","55","72","43.68","44.2","2","80","42","43"
"1991","Female","34.33","38.5","3399","16","25","40","45","60.3","33.94","34.72","0.2","80","38.5","39"
"1991","Male","43.03","40","4639","37.5","38.5","46","55","74","42.75","43.31","1","80","40","40"
"1992","Female","34.5","38.5","3229","16","25.5","40","45","60","34.11","34.89","0.6","80","38.5","39.5"
"1992","Male","43.28","40","4420","37.5","38.5","47","55","74","43.01","43.55","2","80","40","40"
"1993","Female","34.03","38.5","3164","15","25","40","45","60","33.62","34.44","0.1","80","38.5","39"
"1993","Male","43.21","40","4242","37.5","38.5","46","55","72","42.93","43.49","2","80","40","40"
"1994","Female","33.94","38.5","3019","15","25","40","45","62","33.52","34.36","0.5","80","38.5","39"
"1994","Male","43.03","40","4073","37","38.5","46","55","70","42.74","43.32","0.9","80","40","40"
"1995","Female","33.47","38.5","3223","13.5","24","40","45","62","33.04","33.9","0.4","80","38.5","38.5"
