"year","hgtyp1hh","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(Married) couple without C.","Female","35.72","40","536","20","27","40","45","68","34.73","36.71","2","80","40","40"
"1984","(Married) couple without C.","Male","42.44","40","738","40","40","45","55","70","41.73","43.15","4","80","40","40"
"1984","1-pers.-HH","Female","37.55","40","236","18","38","43","50","60","36.03","39.07","1","72","40","40"
"1984","1-pers.-HH","Male","43.42","40","355","40","40","47","60","80","42.31","44.53","3","80","40","40"
"1984","Couple + C. GT 16 ","Female","34.11","40","419","18","25","40","44","65","33","35.22","3","80","40","40"
"1984","Couple + C. GT 16 ","Male","42.86","40","714","40","40","45","55","80","42.15","43.57","1","80","40","40"
"1984","Couple + C. LE 16","Female","27.94","25.74","578","10","20","40","42","70","26.82","29.06","1","80","29","35"
"1984","Couple + C. LE 16","Male","45.1","41","1330","40","40","50","60","75","44.55","45.65","2","80","40","40"
"1984","Couple + C. LE and GT 16","Female","32.72","40","332","10","20","40","45","72","31.28","34.16","2","80","40","40"
"1984","Couple + C. LE and GT 16","Male","43.34","40","637","40","40","45","55","80","42.64","44.04","2","80","40","40"
"1984","Single parent","Female","36.35","40","175","20","30","40","50","72","34.61","38.09","2","76","40","40"
"1984","Single parent","Male","41.58","40","120","37","40","45","50","77","39.28","43.88","1","77","40","40"
"1985","(Married) couple without C.","Female","36.16","40","501","20","30","41","45","60","35.23","37.09","2","70","40","40"
"1985","(Married) couple without C.","Male","43.84","42","666","40","40","48","56","72","43.09","44.59","3","80","40","42"
"1985","1-pers.-HH","Female","37.41","40","228","10","40","44","48","70","35.72","39.1","1","74","40","40"
"1985","1-pers.-HH","Male","41.46","40","312","28","40","45","50","70","40.2","42.72","3","72","40","41"
"1985","Couple + C. GT 16 ","Female","34.03","40","444","15","24","40","45","60","32.87","35.19","1","75","40","40"
"1985","Couple + C. GT 16 ","Male","42.51","40","706","38","40","45","55","72","41.64","43.38","2","80","40","40"
"1985","Couple + C. LE 16","Female","26.36","23.15","529","9","18","40","40","70","25.18","27.54","1","80","25","30"
"1985","Couple + C. LE 16","Male","44.37","42","1164","40","40","50","60","70","43.75","44.99","1","80","40","42"
"1985","Couple + C. LE and GT 16","Female","32.4","40","267","10","20","40","45","60","30.84","33.96","3","80","40","40"
"1985","Couple + C. LE and GT 16","Male","43.52","42","572","40","40","50","60","70","42.67","44.37","1","80","40","40"
"1985","Single parent","Female","36.71","40","180","20","30","41","45","70","34.98","38.44","1","80","40","40"
"1985","Single parent","Male","43.24","40","111","39","40","48","60","80","40.73","45.75","2","80","40","43"
"1986","(Married) couple without C.","Female","36.28","40","526","20","30","41","47","60","35.33","37.23","1","80","40","40"
"1986","(Married) couple without C.","Male","43.57","40","667","39","40","46","56","76","42.79","44.35","2","80","40","40"
"1986","1-pers.-HH","Female","39.25","40","213","25","38","45","50","60","37.81","40.69","1","75","40","40"
