"year","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","40.01","40","6409","20","40","45","53","75","39.72","40.3","1","80","40","40"
"1984","Not Employed","34.95","40","147","10","27","40","45","80","32.61","37.29","1","80","40","40"
"1985","Employed","39.73","40","5860","20","40","45","50","70","39.41","40.05","1","80","40","40"
"1985","Not Employed","33.38","40","144","9","18","43","50","70","30.58","36.18","1","75","40","40"
"1986","Employed","40.2","40","5692","21","39","45","52","70","39.89","40.51","1","80","40","40"
"1986","Not Employed","32.77","40","125","9","20","40","55","68","29.89","35.65","1","70","38","40"
"1987","Employed","39.61","40","5813","20","39","45","50","70","39.32","39.9","1","80","40","40"
"1987","Not Employed","31.39","40","94","5","15","40","50","72","27.79","34.99","1","72","35","40"
"1988","Employed","39.14","40","5518","20","38","45","50","70","38.82","39.46","1","80","40","40"
"1988","Not Employed","30.46","38","94","8","20","40","45","60","27.25","33.67","1","60","30","40"
"1989","Employed","39.97","40","5412","22","38","45","50","70","39.68","40.26","1","80","40","40"
"1989","Not Employed","32.36","38","108","10","20","40","45","80","29.58","35.14","1","80","30","40"
"1990","Employed","39.15","40","5332","21.5","37.5","45","50","70","38.85","39.45","0.5","80","40","40"
"1990","Not Employed","26.81","25","89","5","10","40","45","68","23.69","29.93","0.2","68","20","38.5"
"1991","Employed","39.04","40","5391","20","37.5","45","50","70","38.74","39.34","1","80","39.5","40"
"1991","Not Employed","30.72","37","125","8","12","40","50","75","27.74","33.7","0.2","75","32","38.5"
"1992","Employed","39.76","40","7533","24","38","45","50","70","39.52","40","0.6","80","40","40"
"1992","Not Employed","30.98","38","116","7","20","40","43","56","28.57","33.39","0.8","60","37.5","40"
"1993","Employed","39.55","40","7242","22.5","37.5","45","50","70","39.29","39.81","0.5","80","40","40"
"1993","Not Employed","30.35","37.42","164","6","20","40","43","60","28.18","32.52","0.1","70","37.5","40"
"1994","Employed","39.37","40","6956","21.5","37.5","45","50","70","39.11","39.63","0.5","80","40","40"
"1994","Not Employed","33.37","37.72","136","10","21","40","46","72","30.57","36.17","2","72","32","39"
"1995","Employed","39.19","40","7339","20","37.5","45","50","70","38.92","39.46","1","80","40","40"
"1995","Not Employed","31.92","38.5","168","8","20","40","45","80","29.7","34.14","0.4","80","37","40"
"1996","Employed","39.22","40","7095","21","37","45","50","70","38.95","39.49","0.5","80","40","40"
"1996","Not Employed","29.21","35","136","8","15","40","45","60","26.98","31.44","0.5","60","36","40"
"1997","Employed","39.69","40","7002","20.5","37.5","45","52","70","39.41","39.97","1","80","40","40"
"1997","Not Employed","28.85","35.26","117","7","10","40","50","60","26.01","31.69","1","70","35.2999992370605","40"
"1998","Employed","39.48","40","7636","20","37","45","50","70","39.21","39.75","2","80","40","40"
"1998","Not Employed","31.37","38","119","9","19","40","50","60","28.67","34.07","2","65","36","40"
"1999","Employed","38.85","40","7714","20","36","45","50.5","70","38.57","39.13","0.5","80","40","40"
"1999","Not Employed","29.3","36","139","7.5","14","40","44","72","26.61","31.99","1","75","26","38.5"
