"plh0213","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","West Germany","20","","",""
"1 Strongly disagree","2005","16-34 y.","East Germany","6","","",""
"1 Strongly disagree","2005","35-65 y.","West Germany","58","0.00730758968737249","0.00553611057467671","0.00907906880006827"
"1 Strongly disagree","2005","35-65 y.","East Germany","16","","",""
"1 Strongly disagree","2005","66 and older","West Germany","30","0.013314965085103","0.00907552183680586","0.0175544083334001"
"1 Strongly disagree","2005","66 and older","East Germany","11","","",""
"2 on scale 1-7 ","2005","16-34 y.","West Germany","70","0.0163379178338479","0.0123944876456258","0.0202813480220701"
"2 on scale 1-7 ","2005","16-34 y.","East Germany","26","","",""
"2 on scale 1-7 ","2005","35-65 y.","West Germany","170","0.0187500642341223","0.0159288711617773","0.0215712573064674"
"2 on scale 1-7 ","2005","35-65 y.","East Germany","43","0.0140083372241498","0.00959735368171966","0.0184193207665799"
"2 on scale 1-7 ","2005","66 and older","West Germany","95","0.0339279546691241","0.0272316818927739","0.0406242274454742"
"2 on scale 1-7 ","2005","66 and older","East Germany","24","","",""
"3 on scale 1-7 ","2005","16-34 y.","West Germany","209","0.0574584627033028","0.0502194375111231","0.0646974878954825"
"3 on scale 1-7 ","2005","16-34 y.","East Germany","84","0.0657467941355378","0.0525359875524024","0.0789576007186731"
"3 on scale 1-7 ","2005","35-65 y.","West Germany","470","0.0585825807218284","0.0536981160489915","0.0634670453946654"
"3 on scale 1-7 ","2005","35-65 y.","East Germany","141","0.0539900997657474","0.045507862278412","0.0624723372530829"
"3 on scale 1-7 ","2005","66 and older","West Germany","208","0.0703446132050391","0.0608860328585268","0.0798031935515514"
"3 on scale 1-7 ","2005","66 and older","East Germany","54","0.0506462947115899","0.0367971545293856","0.0644954348937942"
"4 on scale 1-7","2005","16-34 y.","West Germany","461","0.117917787408645","0.107885567794711","0.127950007022578"
"4 on scale 1-7","2005","16-34 y.","East Germany","186","0.141619470184753","0.123034530457678","0.160204409911828"
"4 on scale 1-7","2005","35-65 y.","West Germany","1173","0.13074014144014","0.123728480679929","0.137751802200351"
"4 on scale 1-7","2005","35-65 y.","East Germany","344","0.136188707450953","0.123315537295915","0.149061877605991"
