"pld0044","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2003","16-34 y.","West Germany","90","0.021065962693861","0.0168208754608465","0.0253110499268754"
"Very often","2003","16-34 y.","East Germany","4","","",""
"Very often","2003","35-65 y.","West Germany","25","","",""
"Very often","2003","35-65 y.","East Germany","4","","",""
"Very often","2003","66 and older","West Germany","3","","",""
"Very often","2003","66 and older","East Germany","1","","",""
"Often","2003","16-34 y.","West Germany","357","0.0784823378903012","0.0705325224438772","0.0864321533367253"
"Often","2003","16-34 y.","East Germany","78","0.0509181132462378","0.0396574091491443","0.0621788173433312"
"Often","2003","35-65 y.","West Germany","166","0.019242026319605","0.0165014256442184","0.0219826269949915"
"Often","2003","35-65 y.","East Germany","25","","",""
"Often","2003","66 and older","West Germany","13","","",""
"Often","2003","66 and older","East Germany","3","","",""
"Sometimes","2003","16-34 y.","West Germany","1131","0.25806635604154","0.245131324963667","0.271001387119414"
"Sometimes","2003","16-34 y.","East Germany","300","0.204988717496688","0.184309734418127","0.225667700575249"
"Sometimes","2003","35-65 y.","West Germany","1159","0.130144981814682","0.123432601044333","0.136857362585031"
"Sometimes","2003","35-65 y.","East Germany","223","0.0799141185457886","0.0701587859034144","0.0896694511881628"
"Sometimes","2003","66 and older","West Germany","128","0.0409170877492521","0.0334820024309511","0.0483521730675531"
"Sometimes","2003","66 and older","East Germany","40","0.0451166160530961","0.0316161551976468","0.0586170769085454"
"Rarely","2003","16-34 y.","West Germany","1578","0.363300751554176","0.34908337173205","0.377518131376301"
"Rarely","2003","16-34 y.","East Germany","592","0.391862946852735","0.366856880146428","0.416869013559041"
"Rarely","2003","35-65 y.","West Germany","3332","0.33526706388956","0.32584906838517","0.344685059393951"
"Rarely","2003","35-65 y.","East Germany","873","0.284107937986394","0.267883053997026","0.300332821975763"
"Rarely","2003","66 and older","West Germany","525","0.192670914664873","0.177868284077785","0.207473545251962"
"Rarely","2003","66 and older","East Germany","167","0.1769551942332","0.152132520238971","0.201777868227428"
"Never","2003","16-34 y.","West Germany","1240","0.279084591820122","0.265825025098736","0.292344158541508"
"Never","2003","16-34 y.","East Germany","490","0.350248163845962","0.325811650271206","0.374684677420719"
"Never","2003","35-65 y.","West Germany","4970","0.513053132986898","0.50308161230459","0.523024653669206"
"Never","2003","35-65 y.","East Germany","1843","0.624074657218865","0.606649158425188","0.641500156012543"
"Never","2003","66 and older","West Germany","2058","0.76007238120732","0.744044610534689","0.776100151879951"
"Never","2003","66 and older","East Germany","697","0.774632759950622","0.747455949225108","0.801809570676136"
"Very often","2004","16-34 y.","West Germany","","","",""
"Very often","2004","16-34 y.","East Germany","","","",""
"Very often","2004","35-65 y.","West Germany","","","",""
"Very often","2004","35-65 y.","East Germany","","","",""
"Very often","2004","66 and older","West Germany","","","",""
"Very often","2004","66 and older","East Germany","","","",""
"Often","2004","16-34 y.","West Germany","","","",""
"Often","2004","16-34 y.","East Germany","","","",""
"Often","2004","35-65 y.","West Germany","","","",""
"Often","2004","35-65 y.","East Germany","","","",""
"Often","2004","66 and older","West Germany","","","",""
"Often","2004","66 and older","East Germany","","","",""
"Sometimes","2004","16-34 y.","West Germany","","","",""
"Sometimes","2004","16-34 y.","East Germany","","","",""
"Sometimes","2004","35-65 y.","West Germany","","","",""
"Sometimes","2004","35-65 y.","East Germany","","","",""
"Sometimes","2004","66 and older","West Germany","","","",""
"Sometimes","2004","66 and older","East Germany","","","",""
"Rarely","2004","16-34 y.","West Germany","","","",""
"Rarely","2004","16-34 y.","East Germany","","","",""
"Rarely","2004","35-65 y.","West Germany","","","",""
"Rarely","2004","35-65 y.","East Germany","","","",""
"Rarely","2004","66 and older","West Germany","","","",""
"Rarely","2004","66 and older","East Germany","","","",""
"Never","2004","16-34 y.","West Germany","","","",""
"Never","2004","16-34 y.","East Germany","","","",""
"Never","2004","35-65 y.","West Germany","","","",""
"Never","2004","35-65 y.","East Germany","","","",""
"Never","2004","66 and older","West Germany","","","",""
"Never","2004","66 and older","East Germany","","","",""
"Very often","2005","16-34 y.","West Germany","","","",""
"Very often","2005","16-34 y.","East Germany","","","",""
"Very often","2005","35-65 y.","West Germany","","","",""
"Very often","2005","35-65 y.","East Germany","","","",""
"Very often","2005","66 and older","West Germany","","","",""
"Very often","2005","66 and older","East Germany","","","",""
"Often","2005","16-34 y.","West Germany","","","",""
"Often","2005","16-34 y.","East Germany","","","",""
"Often","2005","35-65 y.","West Germany","","","",""
"Often","2005","35-65 y.","East Germany","","","",""
"Often","2005","66 and older","West Germany","","","",""
"Often","2005","66 and older","East Germany","","","",""
"Sometimes","2005","16-34 y.","West Germany","","","",""
"Sometimes","2005","16-34 y.","East Germany","","","",""
"Sometimes","2005","35-65 y.","West Germany","","","",""
"Sometimes","2005","35-65 y.","East Germany","","","",""
"Sometimes","2005","66 and older","West Germany","","","",""
"Sometimes","2005","66 and older","East Germany","","","",""
"Rarely","2005","16-34 y.","West Germany","","","",""
"Rarely","2005","16-34 y.","East Germany","","","",""
"Rarely","2005","35-65 y.","West Germany","","","",""
"Rarely","2005","35-65 y.","East Germany","","","",""
"Rarely","2005","66 and older","West Germany","","","",""
"Rarely","2005","66 and older","East Germany","","","",""
"Never","2005","16-34 y.","West Germany","","","",""
"Never","2005","16-34 y.","East Germany","","","",""
"Never","2005","35-65 y.","West Germany","","","",""
"Never","2005","35-65 y.","East Germany","","","",""
"Never","2005","66 and older","West Germany","","","",""
"Never","2005","66 and older","East Germany","","","",""
"Very often","2006","16-34 y.","West Germany","","","",""
"Very often","2006","16-34 y.","East Germany","","","",""
"Very often","2006","35-65 y.","West Germany","","","",""
"Very often","2006","35-65 y.","East Germany","","","",""
"Very often","2006","66 and older","West Germany","","","",""
"Very often","2006","66 and older","East Germany","","","",""
"Often","2006","16-34 y.","West Germany","","","",""
"Often","2006","16-34 y.","East Germany","","","",""
"Often","2006","35-65 y.","West Germany","","","",""
"Often","2006","35-65 y.","East Germany","","","",""
"Often","2006","66 and older","West Germany","","","",""
"Often","2006","66 and older","East Germany","","","",""
"Sometimes","2006","16-34 y.","West Germany","","","",""
"Sometimes","2006","16-34 y.","East Germany","","","",""
"Sometimes","2006","35-65 y.","West Germany","","","",""
"Sometimes","2006","35-65 y.","East Germany","","","",""
"Sometimes","2006","66 and older","West Germany","","","",""
"Sometimes","2006","66 and older","East Germany","","","",""
"Rarely","2006","16-34 y.","West Germany","","","",""
"Rarely","2006","16-34 y.","East Germany","","","",""
"Rarely","2006","35-65 y.","West Germany","","","",""
"Rarely","2006","35-65 y.","East Germany","","","",""
"Rarely","2006","66 and older","West Germany","","","",""
"Rarely","2006","66 and older","East Germany","","","",""
"Never","2006","16-34 y.","West Germany","","","",""
"Never","2006","16-34 y.","East Germany","","","",""
"Never","2006","35-65 y.","West Germany","","","",""
"Never","2006","35-65 y.","East Germany","","","",""
"Never","2006","66 and older","West Germany","","","",""
"Never","2006","66 and older","East Germany","","","",""
"Very often","2007","16-34 y.","West Germany","","","",""
"Very often","2007","16-34 y.","East Germany","","","",""
"Very often","2007","35-65 y.","West Germany","","","",""
"Very often","2007","35-65 y.","East Germany","","","",""
"Very often","2007","66 and older","West Germany","","","",""
"Very often","2007","66 and older","East Germany","","","",""
"Often","2007","16-34 y.","West Germany","","","",""
"Often","2007","16-34 y.","East Germany","","","",""
"Often","2007","35-65 y.","West Germany","","","",""
"Often","2007","35-65 y.","East Germany","","","",""
"Often","2007","66 and older","West Germany","","","",""
"Often","2007","66 and older","East Germany","","","",""
"Sometimes","2007","16-34 y.","West Germany","","","",""
"Sometimes","2007","16-34 y.","East Germany","","","",""
"Sometimes","2007","35-65 y.","West Germany","","","",""
"Sometimes","2007","35-65 y.","East Germany","","","",""
"Sometimes","2007","66 and older","West Germany","","","",""
"Sometimes","2007","66 and older","East Germany","","","",""
"Rarely","2007","16-34 y.","West Germany","","","",""
"Rarely","2007","16-34 y.","East Germany","","","",""
"Rarely","2007","35-65 y.","West Germany","","","",""
"Rarely","2007","35-65 y.","East Germany","","","",""
"Rarely","2007","66 and older","West Germany","","","",""
"Rarely","2007","66 and older","East Germany","","","",""
"Never","2007","16-34 y.","West Germany","","","",""
"Never","2007","16-34 y.","East Germany","","","",""
"Never","2007","35-65 y.","West Germany","","","",""
"Never","2007","35-65 y.","East Germany","","","",""
"Never","2007","66 and older","West Germany","","","",""
"Never","2007","66 and older","East Germany","","","",""
"Very often","2008","16-34 y.","West Germany","49","0.0146333915765979","0.0104890585278888","0.0187777246253069"
"Very often","2008","16-34 y.","East Germany","11","","",""
"Very often","2008","35-65 y.","West Germany","25","","",""
"Very often","2008","35-65 y.","East Germany","3","","",""
"Very often","2008","66 and older","West Germany","4","","",""
"Very often","2008","66 and older","East Germany","3","","",""
"Often","2008","16-34 y.","West Germany","254","0.082950557004195","0.0734316022932402","0.0924695117151497"
"Often","2008","16-34 y.","East Germany","46","0.0423174062590099","0.0306467495843371","0.0539880629336828"
"Often","2008","35-65 y.","West Germany","117","0.0166056957423297","0.0138265649838251","0.0193848265008344"
"Often","2008","35-65 y.","East Germany","12","","",""
"Often","2008","66 and older","West Germany","14","","",""
"Often","2008","66 and older","East Germany","10","","",""
"Sometimes","2008","16-34 y.","West Germany","769","0.238063300235316","0.223364262571483","0.252762337899149"
"Sometimes","2008","16-34 y.","East Germany","219","0.1876621929458","0.16502713021474","0.21029725567686"
"Sometimes","2008","35-65 y.","West Germany","921","0.117799534255978","0.110788662443535","0.124810406068421"
"Sometimes","2008","35-65 y.","East Germany","178","0.0795835825181384","0.0689743978827533","0.0901927671535235"
"Sometimes","2008","66 and older","West Germany","161","0.0530260863061089","0.045241356085581","0.0608108165266367"
"Sometimes","2008","66 and older","East Germany","53","0.0429881956574917","0.0310987817898231","0.0548776095251602"
"Rarely","2008","16-34 y.","West Germany","1232","0.385816406459384","0.369015888047529","0.40261692487124"
"Rarely","2008","16-34 y.","East Germany","458","0.422831001874338","0.394191867665428","0.451470136083248"
"Rarely","2008","35-65 y.","West Germany","2737","0.328590550943109","0.31837556300348","0.338805538882739"
"Rarely","2008","35-65 y.","East Germany","759","0.315599451125417","0.297381422468507","0.333817479782328"
"Rarely","2008","66 and older","West Germany","641","0.198933636938767","0.185065499693166","0.212801774184367"
"Rarely","2008","66 and older","East Germany","236","0.216862453564918","0.192705709625838","0.241019197503997"
"Never","2008","16-34 y.","West Germany","921","0.278536344724507","0.263064881247888","0.294007808201126"
"Never","2008","16-34 y.","East Germany","409","0.337360477700669","0.309950369813707","0.364770585587631"
"Never","2008","35-65 y.","West Germany","4322","0.533728178525983","0.522879015138345","0.544577341913622"
"Never","2008","35-65 y.","East Germany","1548","0.594617345584733","0.575371834237332","0.613862856932135"
"Never","2008","66 and older","West Germany","2363","0.742635722544207","0.727448029093864","0.757823415994549"
"Never","2008","66 and older","East Germany","816","0.722675941151616","0.696434193099282","0.74891768920395"
"Very often","2009","16-34 y.","West Germany","","","",""
"Very often","2009","16-34 y.","East Germany","","","",""
"Very often","2009","35-65 y.","West Germany","","","",""
"Very often","2009","35-65 y.","East Germany","","","",""
"Very often","2009","66 and older","West Germany","","","",""
"Very often","2009","66 and older","East Germany","","","",""
"Often","2009","16-34 y.","West Germany","","","",""
"Often","2009","16-34 y.","East Germany","","","",""
"Often","2009","35-65 y.","West Germany","","","",""
"Often","2009","35-65 y.","East Germany","","","",""
"Often","2009","66 and older","West Germany","","","",""
"Often","2009","66 and older","East Germany","","","",""
"Sometimes","2009","16-34 y.","West Germany","","","",""
"Sometimes","2009","16-34 y.","East Germany","","","",""
"Sometimes","2009","35-65 y.","West Germany","","","",""
"Sometimes","2009","35-65 y.","East Germany","","","",""
"Sometimes","2009","66 and older","West Germany","","","",""
"Sometimes","2009","66 and older","East Germany","","","",""
"Rarely","2009","16-34 y.","West Germany","","","",""
"Rarely","2009","16-34 y.","East Germany","","","",""
"Rarely","2009","35-65 y.","West Germany","","","",""
"Rarely","2009","35-65 y.","East Germany","","","",""
"Rarely","2009","66 and older","West Germany","","","",""
"Rarely","2009","66 and older","East Germany","","","",""
"Never","2009","16-34 y.","West Germany","","","",""
"Never","2009","16-34 y.","East Germany","","","",""
"Never","2009","35-65 y.","West Germany","","","",""
"Never","2009","35-65 y.","East Germany","","","",""
"Never","2009","66 and older","West Germany","","","",""
"Never","2009","66 and older","East Germany","","","",""
"Very often","2010","16-34 y.","West Germany","","","",""
"Very often","2010","16-34 y.","East Germany","","","",""
"Very often","2010","35-65 y.","West Germany","","","",""
"Very often","2010","35-65 y.","East Germany","","","",""
"Very often","2010","66 and older","West Germany","","","",""
"Very often","2010","66 and older","East Germany","","","",""
"Often","2010","16-34 y.","West Germany","","","",""
"Often","2010","16-34 y.","East Germany","","","",""
"Often","2010","35-65 y.","West Germany","","","",""
"Often","2010","35-65 y.","East Germany","","","",""
"Often","2010","66 and older","West Germany","","","",""
"Often","2010","66 and older","East Germany","","","",""
"Sometimes","2010","16-34 y.","West Germany","","","",""
"Sometimes","2010","16-34 y.","East Germany","","","",""
"Sometimes","2010","35-65 y.","West Germany","","","",""
"Sometimes","2010","35-65 y.","East Germany","","","",""
"Sometimes","2010","66 and older","West Germany","","","",""
"Sometimes","2010","66 and older","East Germany","","","",""
"Rarely","2010","16-34 y.","West Germany","","","",""
"Rarely","2010","16-34 y.","East Germany","","","",""
"Rarely","2010","35-65 y.","West Germany","","","",""
"Rarely","2010","35-65 y.","East Germany","","","",""
"Rarely","2010","66 and older","West Germany","","","",""
"Rarely","2010","66 and older","East Germany","","","",""
"Never","2010","16-34 y.","West Germany","","","",""
"Never","2010","16-34 y.","East Germany","","","",""
"Never","2010","35-65 y.","West Germany","","","",""
"Never","2010","35-65 y.","East Germany","","","",""
"Never","2010","66 and older","West Germany","","","",""
"Never","2010","66 and older","East Germany","","","",""
"Very often","2011","16-34 y.","West Germany","","","",""
"Very often","2011","16-34 y.","East Germany","","","",""
"Very often","2011","35-65 y.","West Germany","","","",""
"Very often","2011","35-65 y.","East Germany","","","",""
"Very often","2011","66 and older","West Germany","","","",""
"Very often","2011","66 and older","East Germany","","","",""
"Often","2011","16-34 y.","West Germany","","","",""
"Often","2011","16-34 y.","East Germany","","","",""
"Often","2011","35-65 y.","West Germany","","","",""
"Often","2011","35-65 y.","East Germany","","","",""
"Often","2011","66 and older","West Germany","","","",""
"Often","2011","66 and older","East Germany","","","",""
"Sometimes","2011","16-34 y.","West Germany","","","",""
"Sometimes","2011","16-34 y.","East Germany","","","",""
"Sometimes","2011","35-65 y.","West Germany","","","",""
"Sometimes","2011","35-65 y.","East Germany","","","",""
"Sometimes","2011","66 and older","West Germany","","","",""
"Sometimes","2011","66 and older","East Germany","","","",""
"Rarely","2011","16-34 y.","West Germany","","","",""
"Rarely","2011","16-34 y.","East Germany","","","",""
"Rarely","2011","35-65 y.","West Germany","","","",""
"Rarely","2011","35-65 y.","East Germany","","","",""
"Rarely","2011","66 and older","West Germany","","","",""
"Rarely","2011","66 and older","East Germany","","","",""
"Never","2011","16-34 y.","West Germany","","","",""
"Never","2011","16-34 y.","East Germany","","","",""
"Never","2011","35-65 y.","West Germany","","","",""
"Never","2011","35-65 y.","East Germany","","","",""
"Never","2011","66 and older","West Germany","","","",""
"Never","2011","66 and older","East Germany","","","",""
"Very often","2012","16-34 y.","West Germany","","","",""
"Very often","2012","16-34 y.","East Germany","","","",""
"Very often","2012","35-65 y.","West Germany","","","",""
"Very often","2012","35-65 y.","East Germany","","","",""
"Very often","2012","66 and older","West Germany","","","",""
"Very often","2012","66 and older","East Germany","","","",""
"Often","2012","16-34 y.","West Germany","","","",""
"Often","2012","16-34 y.","East Germany","","","",""
"Often","2012","35-65 y.","West Germany","","","",""
"Often","2012","35-65 y.","East Germany","","","",""
"Often","2012","66 and older","West Germany","","","",""
"Often","2012","66 and older","East Germany","","","",""
"Sometimes","2012","16-34 y.","West Germany","","","",""
"Sometimes","2012","16-34 y.","East Germany","","","",""
"Sometimes","2012","35-65 y.","West Germany","","","",""
"Sometimes","2012","35-65 y.","East Germany","","","",""
"Sometimes","2012","66 and older","West Germany","","","",""
"Sometimes","2012","66 and older","East Germany","","","",""
"Rarely","2012","16-34 y.","West Germany","","","",""
"Rarely","2012","16-34 y.","East Germany","","","",""
"Rarely","2012","35-65 y.","West Germany","","","",""
"Rarely","2012","35-65 y.","East Germany","","","",""
"Rarely","2012","66 and older","West Germany","","","",""
"Rarely","2012","66 and older","East Germany","","","",""
"Never","2012","16-34 y.","West Germany","","","",""
"Never","2012","16-34 y.","East Germany","","","",""
"Never","2012","35-65 y.","West Germany","","","",""
"Never","2012","35-65 y.","East Germany","","","",""
"Never","2012","66 and older","West Germany","","","",""
"Never","2012","66 and older","East Germany","","","",""
"Very often","2013","16-34 y.","West Germany","39","0.00665910209112782","0.00426411474702773","0.00905408943522792"
"Very often","2013","16-34 y.","East Germany","7","","",""
"Very often","2013","35-65 y.","West Germany","35","0.00202695614089464","0.00120901874379922","0.00284489353799006"
"Very often","2013","35-65 y.","East Germany","9","","",""
"Very often","2013","66 and older","West Germany","7","","",""
"Very often","2013","66 and older","East Germany","1","","",""
"Often","2013","16-34 y.","West Germany","349","0.0784914878292314","0.070571816031332","0.0864111596271308"
"Often","2013","16-34 y.","East Germany","56","0.0409323487089627","0.0297360821022466","0.0521286153156787"
"Often","2013","35-65 y.","West Germany","249","0.020618757710906","0.0180344416742721","0.0232030737475398"
"Often","2013","35-65 y.","East Germany","35","0.00732420065964154","0.00440658010456368","0.0102418212147194"
"Often","2013","66 and older","West Germany","30","0.0107265293941721","0.00741758577066405","0.0140354730176801"
"Often","2013","66 and older","East Germany","6","","",""
"Sometimes","2013","16-34 y.","West Germany","1100","0.252720619536655","0.239923622593846","0.265517616479464"
"Sometimes","2013","16-34 y.","East Germany","222","0.206538557643059","0.183662627536997","0.229414487749121"
"Sometimes","2013","35-65 y.","West Germany","1376","0.118878333627465","0.11299250275581","0.124764164499119"
"Sometimes","2013","35-65 y.","East Germany","259","0.0720085773184262","0.0631633485007119","0.0808538061361405"
"Sometimes","2013","66 and older","West Germany","217","0.0588399657499783","0.0512808757359837","0.066399055763973"
"Sometimes","2013","66 and older","East Germany","48","0.0478453541538999","0.035984621057131","0.0597060872506687"
"Rarely","2013","16-34 y.","West Germany","1611","0.391752308944501","0.377377825572535","0.406126792316466"
"Rarely","2013","16-34 y.","East Germany","432","0.367072368379983","0.339834811366429","0.394309925393538"
"Rarely","2013","35-65 y.","West Germany","3923","0.347278820605484","0.338620344050252","0.355937297160716"
"Rarely","2013","35-65 y.","East Germany","956","0.305151095054664","0.289395034874233","0.320907155235095"
"Rarely","2013","66 and older","West Germany","759","0.201301571522263","0.188421550539078","0.214181592505448"
"Rarely","2013","66 and older","East Germany","256","0.20351614454125","0.181143062109151","0.22588922697335"
"Never","2013","16-34 y.","West Germany","1331","0.270376481598485","0.257297314260989","0.28345564893598"
"Never","2013","16-34 y.","East Germany","486","0.383399963542082","0.355924622998011","0.410875304086153"
"Never","2013","35-65 y.","West Germany","6032","0.511197131915251","0.50210638513157","0.520287878698932"
"Never","2013","35-65 y.","East Germany","2022","0.613490126006136","0.596828051926659","0.630152200085612"
"Never","2013","66 and older","West Germany","2710","0.727343795028821","0.713039082490792","0.74164850756685"
"Never","2013","66 and older","East Germany","933","0.745403093054197","0.721195029118189","0.769611156990204"
"Very often","2014","16-34 y.","West Germany","","","",""
"Very often","2014","16-34 y.","East Germany","","","",""
"Very often","2014","35-65 y.","West Germany","","","",""
"Very often","2014","35-65 y.","East Germany","","","",""
"Very often","2014","66 and older","West Germany","","","",""
"Very often","2014","66 and older","East Germany","","","",""
"Often","2014","16-34 y.","West Germany","","","",""
"Often","2014","16-34 y.","East Germany","","","",""
"Often","2014","35-65 y.","West Germany","","","",""
"Often","2014","35-65 y.","East Germany","","","",""
"Often","2014","66 and older","West Germany","","","",""
"Often","2014","66 and older","East Germany","","","",""
"Sometimes","2014","16-34 y.","West Germany","","","",""
"Sometimes","2014","16-34 y.","East Germany","","","",""
"Sometimes","2014","35-65 y.","West Germany","","","",""
"Sometimes","2014","35-65 y.","East Germany","","","",""
"Sometimes","2014","66 and older","West Germany","","","",""
"Sometimes","2014","66 and older","East Germany","","","",""
"Rarely","2014","16-34 y.","West Germany","","","",""
"Rarely","2014","16-34 y.","East Germany","","","",""
"Rarely","2014","35-65 y.","West Germany","","","",""
"Rarely","2014","35-65 y.","East Germany","","","",""
"Rarely","2014","66 and older","West Germany","","","",""
"Rarely","2014","66 and older","East Germany","","","",""
"Never","2014","16-34 y.","West Germany","","","",""
"Never","2014","16-34 y.","East Germany","","","",""
"Never","2014","35-65 y.","West Germany","","","",""
"Never","2014","35-65 y.","East Germany","","","",""
"Never","2014","66 and older","West Germany","","","",""
"Never","2014","66 and older","East Germany","","","",""
"Very often","2015","16-34 y.","West Germany","","","",""
"Very often","2015","16-34 y.","East Germany","","","",""
"Very often","2015","35-65 y.","West Germany","","","",""
"Very often","2015","35-65 y.","East Germany","","","",""
"Very often","2015","66 and older","West Germany","","","",""
"Very often","2015","66 and older","East Germany","","","",""
"Often","2015","16-34 y.","West Germany","","","",""
"Often","2015","16-34 y.","East Germany","","","",""
"Often","2015","35-65 y.","West Germany","","","",""
"Often","2015","35-65 y.","East Germany","","","",""
"Often","2015","66 and older","West Germany","","","",""
"Often","2015","66 and older","East Germany","","","",""
"Sometimes","2015","16-34 y.","West Germany","","","",""
"Sometimes","2015","16-34 y.","East Germany","","","",""
"Sometimes","2015","35-65 y.","West Germany","","","",""
"Sometimes","2015","35-65 y.","East Germany","","","",""
"Sometimes","2015","66 and older","West Germany","","","",""
"Sometimes","2015","66 and older","East Germany","","","",""
"Rarely","2015","16-34 y.","West Germany","","","",""
"Rarely","2015","16-34 y.","East Germany","","","",""
"Rarely","2015","35-65 y.","West Germany","","","",""
"Rarely","2015","35-65 y.","East Germany","","","",""
"Rarely","2015","66 and older","West Germany","","","",""
"Rarely","2015","66 and older","East Germany","","","",""
"Never","2015","16-34 y.","West Germany","","","",""
"Never","2015","16-34 y.","East Germany","","","",""
"Never","2015","35-65 y.","West Germany","","","",""
"Never","2015","35-65 y.","East Germany","","","",""
"Never","2015","66 and older","West Germany","","","",""
"Never","2015","66 and older","East Germany","","","",""
"Very often","2016","16-34 y.","West Germany","","","",""
"Very often","2016","16-34 y.","East Germany","","","",""
"Very often","2016","35-65 y.","West Germany","","","",""
"Very often","2016","35-65 y.","East Germany","","","",""
"Very often","2016","66 and older","West Germany","","","",""
"Very often","2016","66 and older","East Germany","","","",""
"Often","2016","16-34 y.","West Germany","","","",""
"Often","2016","16-34 y.","East Germany","","","",""
"Often","2016","35-65 y.","West Germany","","","",""
"Often","2016","35-65 y.","East Germany","","","",""
"Often","2016","66 and older","West Germany","","","",""
"Often","2016","66 and older","East Germany","","","",""
"Sometimes","2016","16-34 y.","West Germany","","","",""
"Sometimes","2016","16-34 y.","East Germany","","","",""
"Sometimes","2016","35-65 y.","West Germany","","","",""
"Sometimes","2016","35-65 y.","East Germany","","","",""
"Sometimes","2016","66 and older","West Germany","","","",""
"Sometimes","2016","66 and older","East Germany","","","",""
"Rarely","2016","16-34 y.","West Germany","","","",""
"Rarely","2016","16-34 y.","East Germany","","","",""
"Rarely","2016","35-65 y.","West Germany","","","",""
"Rarely","2016","35-65 y.","East Germany","","","",""
"Rarely","2016","66 and older","West Germany","","","",""
"Rarely","2016","66 and older","East Germany","","","",""
"Never","2016","16-34 y.","West Germany","","","",""
"Never","2016","16-34 y.","East Germany","","","",""
"Never","2016","35-65 y.","West Germany","","","",""
"Never","2016","35-65 y.","East Germany","","","",""
"Never","2016","66 and older","West Germany","","","",""
"Never","2016","66 and older","East Germany","","","",""
"Very often","2017","16-34 y.","West Germany","","","",""
"Very often","2017","16-34 y.","East Germany","","","",""
"Very often","2017","35-65 y.","West Germany","","","",""
"Very often","2017","35-65 y.","East Germany","","","",""
"Very often","2017","66 and older","West Germany","","","",""
"Very often","2017","66 and older","East Germany","","","",""
"Often","2017","16-34 y.","West Germany","","","",""
"Often","2017","16-34 y.","East Germany","","","",""
"Often","2017","35-65 y.","West Germany","","","",""
"Often","2017","35-65 y.","East Germany","","","",""
"Often","2017","66 and older","West Germany","","","",""
"Often","2017","66 and older","East Germany","","","",""
"Sometimes","2017","16-34 y.","West Germany","","","",""
"Sometimes","2017","16-34 y.","East Germany","","","",""
"Sometimes","2017","35-65 y.","West Germany","","","",""
"Sometimes","2017","35-65 y.","East Germany","","","",""
"Sometimes","2017","66 and older","West Germany","","","",""
"Sometimes","2017","66 and older","East Germany","","","",""
"Rarely","2017","16-34 y.","West Germany","","","",""
"Rarely","2017","16-34 y.","East Germany","","","",""
"Rarely","2017","35-65 y.","West Germany","","","",""
"Rarely","2017","35-65 y.","East Germany","","","",""
"Rarely","2017","66 and older","West Germany","","","",""
"Rarely","2017","66 and older","East Germany","","","",""
"Never","2017","16-34 y.","West Germany","","","",""
"Never","2017","16-34 y.","East Germany","","","",""
"Never","2017","35-65 y.","West Germany","","","",""
"Never","2017","35-65 y.","East Germany","","","",""
"Never","2017","66 and older","West Germany","","","",""
"Never","2017","66 and older","East Germany","","","",""
"Very often","2018","16-34 y.","West Germany","105","0.0164287572702701","0.0128843311214352","0.019973183419105"
"Very often","2018","16-34 y.","East Germany","9","","",""
"Very often","2018","35-65 y.","West Germany","71","0.00445591266076448","0.00323654290674269","0.00567528241478628"
"Very often","2018","35-65 y.","East Germany","14","","",""
"Very often","2018","66 and older","West Germany","12","","",""
"Very often","2018","66 and older","East Germany","5","","",""
"Often","2018","16-34 y.","West Germany","538","0.115461139341705","0.106550332241345","0.124371946442065"
"Often","2018","16-34 y.","East Germany","89","0.0776403760474542","0.061775672288863","0.0935050798060454"
"Often","2018","35-65 y.","West Germany","356","0.0335245977197","0.0302291530443156","0.0368200423950845"
"Often","2018","35-65 y.","East Germany","37","0.0106879502494024","0.00710270878201927","0.0142731917167856"
"Often","2018","66 and older","West Germany","49","0.0100118681696016","0.00683600218051545","0.0131877341586878"
"Often","2018","66 and older","East Germany","6","","",""
"Sometimes","2018","16-34 y.","West Germany","1580","0.317787946129994","0.304805125155918","0.330770767104071"
"Sometimes","2018","16-34 y.","East Germany","252","0.235084858217442","0.209945339004814","0.260224377430071"
"Sometimes","2018","35-65 y.","West Germany","1814","0.165837928725375","0.159028604921885","0.172647252528864"
"Sometimes","2018","35-65 y.","East Germany","361","0.118807287002684","0.10752592494","0.130088649065369"
"Sometimes","2018","66 and older","West Germany","295","0.0789871381466646","0.0703831332278436","0.0875911430654856"
"Sometimes","2018","66 and older","East Germany","62","0.0467560757277709","0.0350806071075623","0.0584315443479795"
"Rarely","2018","16-34 y.","West Germany","1605","0.320098585294426","0.307090735484583","0.333106435104269"
"Rarely","2018","16-34 y.","East Germany","387","0.355578339849991","0.327199755722701","0.38395692397728"
"Rarely","2018","35-65 y.","West Germany","4218","0.372520014988384","0.363668622892801","0.381371407083967"
"Rarely","2018","35-65 y.","East Germany","969","0.331866955313147","0.315449039248035","0.348284871378259"
