"pld0044","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Full Time","in school","","","",""
"Very often","2003","Full Time","inadequately","","","",""
"Very often","2003","Full Time","general elemantary","8","","",""
"Very often","2003","Full Time","middle vocational","20","","",""
"Very often","2003","Full Time","vocational + Abi","1","","",""
"Very often","2003","Full Time","higher vocational","3","","",""
"Very often","2003","Full Time","higher education","5","","",""
"Very often","2003","Part Time","in school","10","","",""
"Very often","2003","Part Time","inadequately","","","",""
"Very often","2003","Part Time","general elemantary","12","","",""
"Very often","2003","Part Time","middle vocational","17","","",""
"Very often","2003","Part Time","vocational + Abi","3","","",""
"Very often","2003","Part Time","higher vocational","1","","",""
"Very often","2003","Part Time","higher education","5","","",""
"Very often","2003","Not Working","in school","14","","",""
"Very often","2003","Not Working","inadequately","","","",""
"Very often","2003","Not Working","general elemantary","8","","",""
"Very often","2003","Not Working","middle vocational","13","","",""
"Very often","2003","Not Working","vocational + Abi","2","","",""
"Very often","2003","Not Working","higher vocational","","","",""
"Very often","2003","Not Working","higher education","2","","",""
"Often","2003","Full Time","in school","","","",""
"Often","2003","Full Time","inadequately","5","","",""
"Often","2003","Full Time","general elemantary","49","0.0739963367696602","0.0537793410173937","0.0942133325219266"
"Often","2003","Full Time","middle vocational","103","0.0313461107339242","0.0261030158142666","0.0365892056535818"
"Often","2003","Full Time","vocational + Abi","13","","",""
"Often","2003","Full Time","higher vocational","10","","",""
"Often","2003","Full Time","higher education","58","0.0326891178625762","0.0257158473778233","0.0396623883473291"
"Often","2003","Part Time","in school","27","","",""
"Often","2003","Part Time","inadequately","","","",""
"Often","2003","Part Time","general elemantary","46","0.0694559378911252","0.049264715796137","0.0896471599861135"
"Often","2003","Part Time","middle vocational","69","0.0214258821727993","0.0159549987484679","0.0268967655971308"
"Often","2003","Part Time","vocational + Abi","9","","",""
"Often","2003","Part Time","higher vocational","10","","",""
"Often","2003","Part Time","higher education","16","","",""
"Often","2003","Not Working","in school","87","0.145475465866985","0.114540120805095","0.176410810928875"
"Often","2003","Not Working","inadequately","2","","",""
"Often","2003","Not Working","general elemantary","35","0.0237380129666399","0.0159770386709149","0.031498987262365"
"Often","2003","Not Working","middle vocational","58","0.0118675661066127","0.00857645883636768","0.0151586733768577"
"Often","2003","Not Working","vocational + Abi","2","","",""
"Often","2003","Not Working","higher vocational","6","","",""
"Often","2003","Not Working","higher education","14","","",""
"Sometimes","2003","Full Time","in school","","","",""
"Sometimes","2003","Full Time","inadequately","9","","",""
"Sometimes","2003","Full Time","general elemantary","114","0.176934824437441","0.14746151318604","0.206408135688842"
"Sometimes","2003","Full Time","middle vocational","626","0.149615573573783","0.138882907307717","0.16034823983985"
"Sometimes","2003","Full Time","vocational + Abi","108","0.219159382336286","0.184460698505059","0.253858066167513"
"Sometimes","2003","Full Time","higher vocational","100","0.135590185873725","0.112129245716461","0.159051126030989"
"Sometimes","2003","Full Time","higher education","358","0.162002817622724","0.147553929205118","0.17645170604033"
"Sometimes","2003","Part Time","in school","40","0.322512749800382","0.237449278076963","0.407576221523801"
"Sometimes","2003","Part Time","inadequately","12","","",""
"Sometimes","2003","Part Time","general elemantary","110","0.146551033417083","0.11846291381332","0.174639153020846"
"Sometimes","2003","Part Time","middle vocational","397","0.157590524581521","0.143824202878178","0.171356846284863"
"Sometimes","2003","Part Time","vocational + Abi","59","0.209794090746131","0.165459536315466","0.254128645176797"
"Sometimes","2003","Part Time","higher vocational","50","0.168098104045679","0.130597878987009","0.20559832910435"
"Sometimes","2003","Part Time","higher education","126","0.153102620187174","0.129352027843904","0.176853212530445"
"Sometimes","2003","Not Working","in school","151","0.338308777617213","0.296795967021576","0.379821588212851"
"Sometimes","2003","Not Working","inadequately","21","","",""
"Sometimes","2003","Not Working","general elemantary","142","0.0895091866756424","0.0749551835598756","0.104063189791409"
"Sometimes","2003","Not Working","middle vocational","326","0.0774911873581128","0.0693654075369914","0.0856169671792343"
"Sometimes","2003","Not Working","vocational + Abi","36","0.119870693426331","0.0824226682882701","0.157318718564392"
"Sometimes","2003","Not Working","higher vocational","35","0.0839138747608758","0.0591104007657992","0.108717348755952"
"Sometimes","2003","Not Working","higher education","90","0.0954609030801505","0.0768532424238465","0.114068563736454"
"Rarely","2003","Full Time","in school","","","",""
"Rarely","2003","Full Time","inadequately","16","","",""
"Rarely","2003","Full Time","general elemantary","213","0.339355317430808","0.302786033322181","0.375924601539436"
"Rarely","2003","Full Time","middle vocational","1557","0.364238120418767","0.349758688766792","0.378717552070742"
"Rarely","2003","Full Time","vocational + Abi","232","0.422371721440874","0.380940912809217","0.463802530072531"
"Rarely","2003","Full Time","higher vocational","327","0.408194455087564","0.374512716206734","0.441876193968395"
"Rarely","2003","Full Time","higher education","992","0.3927473664531","0.373596288754958","0.411898444151242"
"Rarely","2003","Part Time","in school","30","0.305466807531624","0.221646816038564","0.389286799024684"
"Rarely","2003","Part Time","inadequately","9","","",""
"Rarely","2003","Part Time","general elemantary","177","0.278107469468228","0.242521234212998","0.313693704723457"
"Rarely","2003","Part Time","middle vocational","908","0.322324618970215","0.30466632122379","0.339982916716641"
"Rarely","2003","Part Time","vocational + Abi","132","0.390084727959943","0.336973075497594","0.443196380422293"
"Rarely","2003","Part Time","higher vocational","140","0.360102904411929","0.311965264806616","0.408240544017243"
"Rarely","2003","Part Time","higher education","342","0.427831606042072","0.395197922049318","0.460465290034827"
"Rarely","2003","Not Working","in school","149","0.281692057246369","0.24222448130085","0.321159633191887"
"Rarely","2003","Not Working","inadequately","27","","",""
"Rarely","2003","Not Working","general elemantary","289","0.180319329971536","0.160719407059906","0.199919252883165"
"Rarely","2003","Not Working","middle vocational","953","0.220593430878838","0.207991649256082","0.233195212501593"
"Rarely","2003","Not Working","vocational + Abi","82","0.263211082248518","0.212439254551643","0.313982909945392"
"Rarely","2003","Not Working","higher vocational","130","0.271496669470564","0.231711107550015","0.311282231391112"
"Rarely","2003","Not Working","higher education","287","0.319185555864099","0.28966657686661","0.348704534861588"
"Never","2003","Full Time","in school","1","","",""
"Never","2003","Full Time","inadequately","34","0.443615494814765","0.321899130649398","0.565331858980131"
"Never","2003","Full Time","general elemantary","260","0.394742347098631","0.356991025365613","0.432493668831648"
"Never","2003","Full Time","middle vocational","1937","0.448495426246939","0.433530825183229","0.463460027310648"
"Never","2003","Full Time","vocational + Abi","192","0.32652421648044","0.287190003973114","0.365858428987766"
"Never","2003","Full Time","higher vocational","378","0.437723672611237","0.403726221640525","0.471721123581948"
"Never","2003","Full Time","higher education","1085","0.411012666011584","0.39171821373351","0.430307118289658"
"Never","2003","Part Time","in school","9","","",""
"Never","2003","Part Time","inadequately","21","","",""
"Never","2003","Part Time","general elemantary","264","0.484266792269805","0.444575582392749","0.52395800214686"
"Never","2003","Part Time","middle vocational","1300","0.489566033200359","0.47067887297304","0.508453193427679"
"Never","2003","Part Time","vocational + Abi","121","0.352763857805045","0.300734435011655","0.404793280598436"
"Never","2003","Part Time","higher vocational","181","0.428745501537647","0.379117016936668","0.478373986138625"
"Never","2003","Part Time","higher education","394","0.393557459223556","0.361334409415382","0.42578050903173"
"Never","2003","Not Working","in school","98","0.213899930491502","0.177921512978827","0.249878348004177"
"Never","2003","Not Working","inadequately","105","0.746604000880316","0.678129752297031","0.815078249463601"
"Never","2003","Not Working","general elemantary","1004","0.702968782732684","0.679672858711258","0.72626470675411"
"Never","2003","Not Working","middle vocational","2809","0.68728369955357","0.673194156368677","0.701373242738463"
"Never","2003","Not Working","vocational + Abi","167","0.607009056219645","0.550698732227714","0.663319380211577"
"Never","2003","Not Working","higher vocational","309","0.635755688781876","0.59270610185343","0.678805275710321"
"Never","2003","Not Working","higher education","565","0.569918177443739","0.538567485207254","0.601268869680223"
"Very often","2004","Full Time","in school","","","",""
"Very often","2004","Full Time","inadequately","","","",""
"Very often","2004","Full Time","general elemantary","","","",""
"Very often","2004","Full Time","middle vocational","","","",""
"Very often","2004","Full Time","vocational + Abi","","","",""
"Very often","2004","Full Time","higher vocational","","","",""
"Very often","2004","Full Time","higher education","","","",""
"Very often","2004","Part Time","in school","","","",""
"Very often","2004","Part Time","inadequately","","","",""
"Very often","2004","Part Time","general elemantary","","","",""
"Very often","2004","Part Time","middle vocational","","","",""
"Very often","2004","Part Time","vocational + Abi","","","",""
"Very often","2004","Part Time","higher vocational","","","",""
"Very often","2004","Part Time","higher education","","","",""
"Very often","2004","Not Working","in school","","","",""
"Very often","2004","Not Working","inadequately","","","",""
"Very often","2004","Not Working","general elemantary","","","",""
"Very often","2004","Not Working","middle vocational","","","",""
"Very often","2004","Not Working","vocational + Abi","","","",""
"Very often","2004","Not Working","higher vocational","","","",""
"Very often","2004","Not Working","higher education","","","",""
"Often","2004","Full Time","in school","","","",""
"Often","2004","Full Time","inadequately","","","",""
"Often","2004","Full Time","general elemantary","","","",""
"Often","2004","Full Time","middle vocational","","","",""
"Often","2004","Full Time","vocational + Abi","","","",""
"Often","2004","Full Time","higher vocational","","","",""
"Often","2004","Full Time","higher education","","","",""
"Often","2004","Part Time","in school","","","",""
"Often","2004","Part Time","inadequately","","","",""
"Often","2004","Part Time","general elemantary","","","",""
"Often","2004","Part Time","middle vocational","","","",""
"Often","2004","Part Time","vocational + Abi","","","",""
"Often","2004","Part Time","higher vocational","","","",""
"Often","2004","Part Time","higher education","","","",""
"Often","2004","Not Working","in school","","","",""
"Often","2004","Not Working","inadequately","","","",""
"Often","2004","Not Working","general elemantary","","","",""
