"pld0044","year","education","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","23","","",""
"Very often","2003","secondary school degree","30","0.00629926028038403","0.00436469179696683","0.00823382876380122"
"Very often","2003","college entrance qualification","31","0.00582795850819541","0.00380150125915223","0.00785441575723858"
"Very often","2003","Other degree","15","","",""
"Very often","2003","no degree/no degree yet","24","","",""
"Often","2003","lower secondary degree","145","0.0179305960295941","0.0149997617442079","0.0208614303149803"
"Often","2003","secondary school degree","139","0.0241228357562409","0.0203711773988816","0.0278744941136001"
"Often","2003","college entrance qualification","179","0.0377659871222134","0.0326909500363321","0.0428410242080947"
"Often","2003","Other degree","35","0.0345848830439293","0.024377385885338","0.0447923802025205"
"Often","2003","no degree/no degree yet","119","0.0961558770694372","0.07678774340119","0.115524010737684"
"Sometimes","2003","lower secondary degree","737","0.0961412853482284","0.0896305799171962","0.102651990779261"
"Sometimes","2003","secondary school degree","783","0.125361123751534","0.117264436730895","0.133457810772173"
"Sometimes","2003","college entrance qualification","941","0.185774103936552","0.175419976860971","0.196128231012133"
"Sometimes","2003","Other degree","207","0.175022306944266","0.153795392507257","0.196249221381274"
"Sometimes","2003","no degree/no degree yet","236","0.262894617629314","0.233973922570936","0.291815312687692"
"Rarely","2003","lower secondary degree","2049","0.251852316345969","0.242265167891113","0.261439464800824"
"Rarely","2003","secondary school degree","2290","0.355203503141457","0.343501465794667","0.366905540488248"
"Rarely","2003","college entrance qualification","2105","0.387663908317955","0.374692979928817","0.400634836707094"
"Rarely","2003","Other degree","297","0.236247005086706","0.212518046219814","0.259975963953598"
"Rarely","2003","no degree/no degree yet","237","0.242232016599999","0.214084700782828","0.270379332417171"
"Never","2003","lower secondary degree","4921","0.630568698305331","0.619908731334262","0.6412286652764"
"Never","2003","secondary school degree","3183","0.489013277070384","0.476790309533134","0.501236244607634"
"Never","2003","college entrance qualification","2164","0.382968042115084","0.370026574079339","0.395909510150828"
"Never","2003","Other degree","677","0.541280547066547","0.51344473773148","0.569116356401613"
"Never","2003","no degree/no degree yet","274","0.380218840714662","0.348326302148624","0.4121113792807"
"Very often","2004","lower secondary degree","","","",""
"Very often","2004","secondary school degree","","","",""
"Very often","2004","college entrance qualification","","","",""
"Very often","2004","Other degree","","","",""
"Very often","2004","no degree/no degree yet","","","",""
"Often","2004","lower secondary degree","","","",""
"Often","2004","secondary school degree","","","",""
"Often","2004","college entrance qualification","","","",""
"Often","2004","Other degree","","","",""
"Often","2004","no degree/no degree yet","","","",""
"Sometimes","2004","lower secondary degree","","","",""
"Sometimes","2004","secondary school degree","","","",""
"Sometimes","2004","college entrance qualification","","","",""
"Sometimes","2004","Other degree","","","",""
"Sometimes","2004","no degree/no degree yet","","","",""
"Rarely","2004","lower secondary degree","","","",""
"Rarely","2004","secondary school degree","","","",""
"Rarely","2004","college entrance qualification","","","",""
"Rarely","2004","Other degree","","","",""
"Rarely","2004","no degree/no degree yet","","","",""
"Never","2004","lower secondary degree","","","",""
"Never","2004","secondary school degree","","","",""
"Never","2004","college entrance qualification","","","",""
"Never","2004","Other degree","","","",""
"Never","2004","no degree/no degree yet","","","",""
"Very often","2005","lower secondary degree","","","",""
"Very often","2005","secondary school degree","","","",""
"Very often","2005","college entrance qualification","","","",""
"Very often","2005","Other degree","","","",""
"Very often","2005","no degree/no degree yet","","","",""
"Often","2005","lower secondary degree","","","",""
"Often","2005","secondary school degree","","","",""
"Often","2005","college entrance qualification","","","",""
"Often","2005","Other degree","","","",""
"Often","2005","no degree/no degree yet","","","",""
"Sometimes","2005","lower secondary degree","","","",""
"Sometimes","2005","secondary school degree","","","",""
"Sometimes","2005","college entrance qualification","","","",""
"Sometimes","2005","Other degree","","","",""
"Sometimes","2005","no degree/no degree yet","","","",""
"Rarely","2005","lower secondary degree","","","",""
"Rarely","2005","secondary school degree","","","",""
"Rarely","2005","college entrance qualification","","","",""
"Rarely","2005","Other degree","","","",""
"Rarely","2005","no degree/no degree yet","","","",""
"Never","2005","lower secondary degree","","","",""
