"pld0044","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Male","5160","0.489210923002521","0.479712617142004","0.498709228863038","5"
"Never","2003","Female","6138","0.554612819814731","0.545519225989208","0.563706413640255","5"
"Often","2003","Male","349","0.0336984517687865","0.0302696799135266","0.0371272236240464","2"
"Often","2003","Female","293","0.0234628214002783","0.020693290261275","0.0262323525392815","2"
"Rarely","2003","Male","3502","0.322823425490424","0.3139393802613","0.331707470719548","4"
"Rarely","2003","Female","3565","0.292689663766596","0.284364736667179","0.301014590866012","4"
"Sometimes","2003","Male","1559","0.146587634424345","0.13986707522669","0.153308193622","3"
"Sometimes","2003","Female","1422","0.124993631724363","0.118942713352926","0.131044550095799","3"
"Very often","2003","Male","70","0.00767956531392372","0.00602085111000591","0.00933827951784154","1"
"Very often","2003","Female","57","0.00424106329403244","0.00305205132258428","0.00543007526548061","1"
"Never","2004","Male","","","","","5"
"Never","2004","Female","","","","","5"
"Often","2004","Male","","","","","2"
"Often","2004","Female","","","","","2"
"Rarely","2004","Male","","","","","4"
"Rarely","2004","Female","","","","","4"
"Sometimes","2004","Male","","","","","3"
"Sometimes","2004","Female","","","","","3"
"Very often","2004","Male","","","","","1"
"Very often","2004","Female","","","","","1"
"Never","2005","Male","","","","","5"
"Never","2005","Female","","","","","5"
"Often","2005","Male","","","","","2"
"Often","2005","Female","","","","","2"
"Rarely","2005","Male","","","","","4"
"Rarely","2005","Female","","","","","4"
"Sometimes","2005","Male","","","","","3"
"Sometimes","2005","Female","","","","","3"
"Very often","2005","Male","","","","","1"
"Very often","2005","Female","","","","","1"
"Never","2006","Male","","","","","5"
"Never","2006","Female","","","","","5"
"Often","2006","Male","","","","","2"
"Often","2006","Female","","","","","2"
"Rarely","2006","Male","","","","","4"
"Rarely","2006","Female","","","","","4"
"Sometimes","2006","Male","","","","","3"
"Sometimes","2006","Female","","","","","3"
"Very often","2006","Male","","","","","1"
"Very often","2006","Female","","","","","1"
"Never","2007","Male","","","","","5"
"Never","2007","Female","","","","","5"
"Often","2007","Female","","","","","2"
"Often","2007","Male","","","","","2"
"Rarely","2007","Female","","","","","4"
"Rarely","2007","Male","","","","","4"
"Sometimes","2007","Female","","","","","3"
"Sometimes","2007","Male","","","","","3"
"Very often","2007","Female","","","","","1"
"Very often","2007","Male","","","","","1"
"Never","2008","Male","4680","0.495006607432949","0.484787321044668","0.505225893821231","5"
"Never","2008","Female","5699","0.563206359914016","0.553531485231601","0.572881234596431","5"
"Often","2008","Female","198","0.0220846388712561","0.0192180249531502","0.0249512527893621","2"
"Often","2008","Male","255","0.0327624836416101","0.0291239432584928","0.0364010240247274","2"
"Rarely","2008","Female","3017","0.296398014773972","0.287490129944321","0.305305899603622","4"
"Rarely","2008","Male","3046","0.330208686971455","0.320596189763391","0.339821184179519","4"
"Sometimes","2008","Female","1137","0.11356051499849","0.107371640966982","0.119749389029998","3"
"Sometimes","2008","Male","1164","0.136405931600187","0.129390673117373","0.143421190083001","3"
"Very often","2008","Female","45","0.00475047144226625","0.00340922752261871","0.00609171536191378","1"
"Very often","2008","Male","50","0.00561629035379861","0.00408881574136852","0.0071437649662287","1"
"Never","2009","Female","","","","","5"
"Never","2009","Male","","","","","5"
"Often","2009","Female","","","","","2"
"Often","2009","Male","","","","","2"
"Rarely","2009","Female","","","","","4"
"Rarely","2009","Male","","","","","4"
"Sometimes","2009","Female","","","","","3"
"Sometimes","2009","Male","","","","","3"
"Very often","2009","Female","","","","","1"
"Very often","2009","Male","","","","","1"
"Never","2010","Female","","","","","5"
"Never","2010","Male","","","","","5"
"Often","2010","Female","","","","","2"
"Often","2010","Male","","","","","2"
"Rarely","2010","Female","","","","","4"
"Rarely","2010","Male","","","","","4"
"Sometimes","2010","Female","","","","","3"
"Sometimes","2010","Male","","","","","3"
"Very often","2010","Female","","","","","1"
"Very often","2010","Male","","","","","1"
"Never","2011","Female","","","","","5"
"Never","2011","Male","","","","","5"
"Often","2011","Female","","","","","2"
"Often","2011","Male","","","","","2"
"Rarely","2011","Female","","","","","4"
"Rarely","2011","Male","","","","","4"
"Sometimes","2011","Female","","","","","3"
"Sometimes","2011","Male","","","","","3"
"Very often","2011","Female","","","","","1"
"Very often","2011","Male","","","","","1"
"Never","2012","Female","","","","","5"
"Never","2012","Male","","","","","5"
"Often","2012","Female","","","","","2"
"Often","2012","Male","","","","","2"
"Rarely","2012","Female","","","","","4"
"Rarely","2012","Male","","","","","4"
"Sometimes","2012","Female","","","","","3"
"Sometimes","2012","Male","","","","","3"
"Very often","2012","Female","","","","","1"
"Very often","2012","Male","","","","","1"
"Never","2013","Female","7753","0.568700550457379","0.560489116622969","0.576911984291789","5"
"Never","2013","Male","5761","0.496894468895995","0.487764994335299","0.506023943456691","5"
"Often","2013","Female","325","0.0221731362072781","0.0197317737253012","0.024614498689255","2"
"Often","2013","Male","400","0.0318236280892674","0.028618567524989","0.0350286886535458","2"
"Rarely","2013","Female","4187","0.297842002874073","0.290259752578961","0.305424253169185","4"
"Rarely","2013","Male","3750","0.328702388947455","0.320125236352139","0.33727954154277","4"
"Sometimes","2013","Female","1660","0.109164505569532","0.103994069126642","0.114334942012423","3"
"Sometimes","2013","Male","1562","0.139326954860436","0.133003989114175","0.145649920606696","3"
"Very often","2013","Male","49","0.00325255920684708","0.00221290401756673","0.00429221439612743","1"
"Very often","2013","Female","49","0.00211980489173731","0.00135724340356872","0.0028823663799059","1"
"Never","2014","Female","","","","","5"
"Never","2014","Male","","","","","5"
"Often","2014","Female","","","","","2"
"Often","2014","Male","","","","","2"
"Rarely","2014","Female","","","","","4"
"Rarely","2014","Male","","","","","4"
"Sometimes","2014","Female","","","","","3"
"Sometimes","2014","Male","","","","","3"
"Very often","2014","Male","","","","","1"
"Very often","2014","Female","","","","","1"
"Never","2015","Male","","","","","5"
"Never","2015","Female","","","","","5"
"Often","2015","Male","","","","","2"
"Often","2015","Female","","","","","2"
"Rarely","2015","Male","","","","","4"
"Rarely","2015","Female","","","","","4"
"Sometimes","2015","Male","","","","","3"
"Sometimes","2015","Female","","","","","3"
"Very often","2015","Male","","","","","1"
"Very often","2015","Female","","","","","1"
"Never","2016","Male","","","","","5"
"Never","2016","Female","","","","","5"
"Often","2016","Male","","","","","2"
"Often","2016","Female","","","","","2"
"Rarely","2016","Male","","","","","4"
"Rarely","2016","Female","","","","","4"
