"pld0044","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","West Germany","8268","0.507147617956282","0.499582034061192","0.514713201851373","5"
"Never","2003","East Germany","3030","0.590970348462159","0.577783600545899","0.604157096378419","5"
"Often","2003","West Germany","536","0.0307501205912124","0.0281376096614034","0.0333626315210215","2"
"Often","2003","East Germany","106","0.0183835693672589","0.0147805774225103","0.0219865613120074","2"
"Rarely","2003","West Germany","5435","0.312192553114454","0.305180236236301","0.319204869992606","4"
"Rarely","2003","East Germany","1632","0.286177723151234","0.27405527254697","0.298300173755498","4"
"Sometimes","2003","West Germany","2418","0.143019104607312","0.137721257457566","0.148316951757058","3"
"Sometimes","2003","East Germany","563","0.102805373079521","0.0946596676411106","0.110951078517932","3"
"Very often","2003","West Germany","118","0.00689060373073933","0.00563877760938992","0.00814242985208874","1"
"Very often","2003","East Germany","9","","","","1"
"Never","2004","West Germany","","","","","5"
"Never","2004","East Germany","","","","","5"
"Often","2004","West Germany","","","","","2"
"Often","2004","East Germany","","","","","2"
"Rarely","2004","West Germany","","","","","4"
"Rarely","2004","East Germany","","","","","4"
"Sometimes","2004","West Germany","","","","","3"
"Sometimes","2004","East Germany","","","","","3"
"Very often","2004","West Germany","","","","","1"
"Very often","2004","East Germany","","","","","1"
"Never","2005","West Germany","","","","","5"
"Never","2005","East Germany","","","","","5"
"Often","2005","West Germany","","","","","2"
"Often","2005","East Germany","","","","","2"
"Rarely","2005","West Germany","","","","","4"
"Rarely","2005","East Germany","","","","","4"
"Sometimes","2005","West Germany","","","","","3"
"Sometimes","2005","East Germany","","","","","3"
"Very often","2005","West Germany","","","","","1"
"Very often","2005","East Germany","","","","","1"
"Never","2006","West Germany","","","","","5"
"Never","2006","East Germany","","","","","5"
"Often","2006","West Germany","","","","","2"
"Often","2006","East Germany","","","","","2"
"Rarely","2006","West Germany","","","","","4"
"Rarely","2006","East Germany","","","","","4"
"Sometimes","2006","West Germany","","","","","3"
"Sometimes","2006","East Germany","","","","","3"
"Very often","2006","West Germany","","","","","1"
"Very often","2006","East Germany","","","","","1"
"Never","2007","West Germany","","","","","5"
"Never","2007","East Germany","","","","","5"
"Often","2007","East Germany","","","","","2"
"Often","2007","West Germany","","","","","2"
"Rarely","2007","East Germany","","","","","4"
"Rarely","2007","West Germany","","","","","4"
"Sometimes","2007","East Germany","","","","","3"
"Sometimes","2007","West Germany","","","","","3"
"Very often","2007","East Germany","","","","","1"
"Very often","2007","West Germany","","","","","1"
"Never","2008","West Germany","7606","0.522578449838987","0.514456841513183","0.530700058164791","5"
"Never","2008","East Germany","2773","0.563095776993339","0.549006676828935","0.577184877157743","5"
"Often","2008","East Germany","68","0.0183560548138668","0.0145430647872413","0.0221690448404923","2"
"Often","2008","West Germany","385","0.0292941225183028","0.0265522367316322","0.0320360083049735","2"
"Rarely","2008","East Germany","1453","0.317274542719488","0.304054292892819","0.330494792546157","4"
"Rarely","2008","West Germany","4610","0.311823350071535","0.304291189551927","0.319355510591143","4"
"Sometimes","2008","East Germany","450","0.0971746657360996","0.0887611522216462","0.105588179250553","3"
"Sometimes","2008","West Germany","1851","0.130889928827047","0.125405823453223","0.136374034200871","3"
"Very often","2008","East Germany","17","","","","1"
"Very often","2008","West Germany","78","0.00541414874412801","0.00422098097369003","0.006607316514566","1"
"Never","2009","East Germany","","","","","5"
"Never","2009","West Germany","","","","","5"
"Often","2009","East Germany","","","","","2"
"Often","2009","West Germany","","","","","2"
"Rarely","2009","East Germany","","","","","4"
"Rarely","2009","West Germany","","","","","4"
"Sometimes","2009","East Germany","","","","","3"
"Sometimes","2009","West Germany","","","","","3"
"Very often","2009","East Germany","","","","","1"
"Very often","2009","West Germany","","","","","1"
"Never","2010","East Germany","","","","","5"
"Never","2010","West Germany","","","","","5"
"Often","2010","East Germany","","","","","2"
"Often","2010","West Germany","","","","","2"
"Rarely","2010","East Germany","","","","","4"
"Rarely","2010","West Germany","","","","","4"
"Sometimes","2010","East Germany","","","","","3"
"Sometimes","2010","West Germany","","","","","3"
"Very often","2010","East Germany","","","","","1"
"Very often","2010","West Germany","","","","","1"
"Never","2011","East Germany","","","","","5"
"Never","2011","West Germany","","","","","5"
"Often","2011","East Germany","","","","","2"
"Often","2011","West Germany","","","","","2"
"Rarely","2011","East Germany","","","","","4"
"Rarely","2011","West Germany","","","","","4"
"Sometimes","2011","East Germany","","","","","3"
"Sometimes","2011","West Germany","","","","","3"
"Very often","2011","East Germany","","","","","1"
"Very often","2011","West Germany","","","","","1"
"Never","2012","East Germany","","","","","5"
"Never","2012","West Germany","","","","","5"
"Often","2012","East Germany","","","","","2"
"Often","2012","West Germany","","","","","2"
"Rarely","2012","East Germany","","","","","4"
"Rarely","2012","West Germany","","","","","4"
"Sometimes","2012","East Germany","","","","","3"
"Sometimes","2012","West Germany","","","","","3"
"Very often","2012","East Germany","","","","","1"
"Very often","2012","West Germany","","","","","1"
"Never","2013","East Germany","3441","0.599375838943517","0.586685746924791","0.612065930962243","5"
"Never","2013","West Germany","10073","0.518511139794458","0.511545854777325","0.525476424811591","5"
"Often","2013","East Germany","97","0.0132413809787134","0.0102811970856285","0.0162015648717983","2"
"Often","2013","West Germany","628","0.0300601296213033","0.0276798139536805","0.0324404452889261","2"
"Rarely","2013","East Germany","1644","0.291945894907371","0.280171706110308","0.303720083704433","4"
"Rarely","2013","West Germany","6293","0.317682051453127","0.311191875635317","0.324172227270938","4"
"Sometimes","2013","East Germany","529","0.0938783140841548","0.0863252618278432","0.101431366340466","3"
"Sometimes","2013","West Germany","2693","0.130816769438879","0.12611616069461","0.135517378183148","3"
"Very often","2013","West Germany","81","0.00292990969223236","0.00217645579020345","0.00368336359426126","1"
"Very often","2013","East Germany","17","","","","1"
"Never","2014","East Germany","","","","","5"
"Never","2014","West Germany","","","","","5"
"Often","2014","East Germany","","","","","2"
"Often","2014","West Germany","","","","","2"
"Rarely","2014","East Germany","","","","","4"
"Rarely","2014","West Germany","","","","","4"
"Sometimes","2014","East Germany","","","","","3"
"Sometimes","2014","West Germany","","","","","3"
"Very often","2014","West Germany","","","","","1"
"Very often","2014","East Germany","","","","","1"
"Never","2015","West Germany","","","","","5"
"Never","2015","East Germany","","","","","5"
"Often","2015","West Germany","","","","","2"
"Often","2015","East Germany","","","","","2"
"Rarely","2015","West Germany","","","","","4"
"Rarely","2015","East Germany","","","","","4"
"Sometimes","2015","West Germany","","","","","3"
"Sometimes","2015","East Germany","","","","","3"
"Very often","2015","West Germany","","","","","1"
"Very often","2015","East Germany","","","","","1"
"Never","2016","West Germany","","","","","5"
"Never","2016","East Germany","","","","","5"
"Often","2016","West Germany","","","","","2"
"Often","2016","East Germany","","","","","2"
"Rarely","2016","West Germany","","","","","4"
"Rarely","2016","East Germany","","","","","4"
"Sometimes","2016","West Germany","","","","","3"
"Sometimes","2016","East Germany","","","","","3"
"Very often","2016","West Germany","","","","","1"
"Very often","2016","East Germany","","","","","1"
"Never","2017","West Germany","","","","","5"
"Never","2017","East Germany","","","","","5"
"Often","2017","West Germany","","","","","2"
"Often","2017","East Germany","","","","","2"
"Rarely","2017","West Germany","","","","","4"
"Rarely","2017","East Germany","","","","","4"
"Sometimes","2017","West Germany","","","","","3"
"Sometimes","2017","East Germany","","","","","3"
"Very often","2017","West Germany","","","","","1"
"Very often","2017","East Germany","","","","","1"
"Never","2018","West Germany","8586","0.439561743361335","0.432713272309894","0.446410214412775","5"
"Never","2018","East Germany","3060","0.541125502406429","0.527966963561887","0.554284041250971","5"
"Often","2018","West Germany","943","0.0468952636930463","0.0439781416499352","0.0498123857361575","2"
"Often","2018","East Germany","132","0.025048833433537","0.020922190532015","0.029175476335059","2"
"Rarely","2018","West Germany","6771","0.326791563182353","0.32031969017406","0.333263436190645","4"
"Rarely","2018","East Germany","1614","0.304296857112857","0.292146965018117","0.316446749207598","4"
"Sometimes","2018","West Germany","3689","0.179774972730568","0.174476497381755","0.185073448079381","3"
