"pld0044","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Full Time","(0) in school","","","",""
"Very often","2003","Full Time","(1a) inadequately completed","","","",""
"Very often","2003","Full Time","(1b) general elementary school","2","","",""
"Very often","2003","Full Time","(1c) basic vocational qualification","11","","",""
"Very often","2003","Full Time","(2b) intermediate general qualification","6","","",""
"Very often","2003","Full Time","(2a) intermediate vocational","7","","",""
"Very often","2003","Full Time","(2c_gen) general maturity certificate","1","","",""
"Very often","2003","Full Time","(2c_voc) vocational maturity certificate","4","","",""
"Very often","2003","Full Time","(3a) lower tertiary education","2","","",""
"Very often","2003","Full Time","(3b) higher tertiary education","3","","",""
"Very often","2003","Part Time","(0) in school","10","","",""
"Very often","2003","Part Time","(1a) inadequately completed","","","",""
"Very often","2003","Part Time","(1b) general elementary school","3","","",""
"Very often","2003","Part Time","(1c) basic vocational qualification","5","","",""
"Very often","2003","Part Time","(2b) intermediate general qualification","9","","",""
"Very often","2003","Part Time","(2a) intermediate vocational","2","","",""
"Very often","2003","Part Time","(2c_gen) general maturity certificate","11","","",""
"Very often","2003","Part Time","(2c_voc) vocational maturity certificate","3","","",""
"Very often","2003","Part Time","(3a) lower tertiary education","1","","",""
"Very often","2003","Part Time","(3b) higher tertiary education","4","","",""
"Very often","2003","Not Working","(0) in school","14","","",""
"Very often","2003","Not Working","(1a) inadequately completed","","","",""
"Very often","2003","Not Working","(1b) general elementary school","4","","",""
"Very often","2003","Not Working","(1c) basic vocational qualification","7","","",""
"Very often","2003","Not Working","(2b) intermediate general qualification","4","","",""
"Very often","2003","Not Working","(2a) intermediate vocational","1","","",""
"Very often","2003","Not Working","(2c_gen) general maturity certificate","5","","",""
"Very often","2003","Not Working","(2c_voc) vocational maturity certificate","2","","",""
"Very often","2003","Not Working","(3a) lower tertiary education","1","","",""
"Very often","2003","Not Working","(3b) higher tertiary education","1","","",""
"Often","2003","Full Time","(0) in school","","","",""
"Often","2003","Full Time","(1a) inadequately completed","3","","",""
"Often","2003","Full Time","(1b) general elementary school","33","0.0667413603255489","0.0432068723394604","0.0902758483116375"
"Often","2003","Full Time","(1c) basic vocational qualification","45","0.0290820775346278","0.0218848749822892","0.0362792800869663"
"Often","2003","Full Time","(2b) intermediate general qualification","18","","",""
"Often","2003","Full Time","(2a) intermediate vocational","45","0.0219772636930457","0.016295814778668","0.0276587126074234"
"Often","2003","Full Time","(2c_gen) general maturity certificate","18","","",""
"Often","2003","Full Time","(2c_voc) vocational maturity certificate","17","","",""
"Often","2003","Full Time","(3a) lower tertiary education","15","","",""
"Often","2003","Full Time","(3b) higher tertiary education","43","0.0430591713050633","0.0329340597001984","0.0531842829099281"
"Often","2003","Part Time","(0) in school","27","","",""
"Often","2003","Part Time","(1a) inadequately completed","","","",""
"Often","2003","Part Time","(1b) general elementary school","24","","",""
"Often","2003","Part Time","(1c) basic vocational qualification","10","","",""
"Often","2003","Part Time","(2b) intermediate general qualification","22","","",""
"Often","2003","Part Time","(2a) intermediate vocational","23","","",""
"Often","2003","Part Time","(2c_gen) general maturity certificate","45","0.120709830176838","0.0867720143568464","0.154647645996829"
"Often","2003","Part Time","(2c_voc) vocational maturity certificate","10","","",""
"Often","2003","Part Time","(3a) lower tertiary education","6","","",""
"Often","2003","Part Time","(3b) higher tertiary education","10","","",""
"Often","2003","Not Working","(0) in school","87","0.145475465866985","0.114540120805095","0.176410810928875"
"Often","2003","Not Working","(1a) inadequately completed","2","","",""
"Often","2003","Not Working","(1b) general elementary school","20","","",""
"Often","2003","Not Working","(1c) basic vocational qualification","27","","",""
"Often","2003","Not Working","(2b) intermediate general qualification","15","","",""
"Often","2003","Not Working","(2a) intermediate vocational","8","","",""
"Often","2003","Not Working","(2c_gen) general maturity certificate","28","","",""
"Often","2003","Not Working","(2c_voc) vocational maturity certificate","3","","",""
"Often","2003","Not Working","(3a) lower tertiary education","3","","",""
"Often","2003","Not Working","(3b) higher tertiary education","11","","",""
"Sometimes","2003","Full Time","(0) in school","","","",""
"Sometimes","2003","Full Time","(1a) inadequately completed","11","","",""
"Sometimes","2003","Full Time","(1b) general elementary school","67","0.157994607023159","0.123600440810798","0.19238877323552"
"Sometimes","2003","Full Time","(1c) basic vocational qualification","294","0.141037447146564","0.126129628979224","0.155945265313904"
"Sometimes","2003","Full Time","(2b) intermediate general qualification","48","0.217044515127489","0.163060270989846","0.271028759265132"
"Sometimes","2003","Full Time","(2a) intermediate vocational","345","0.139486276492624","0.126060405741755","0.152912147243494"
"Sometimes","2003","Full Time","(2c_gen) general maturity certificate","48","0.354909994183931","0.282982836022761","0.426837152345101"
"Sometimes","2003","Full Time","(2c_voc) vocational maturity certificate","142","0.200851807069754","0.172274181099263","0.229429433040244"
"Sometimes","2003","Full Time","(3a) lower tertiary education","132","0.160436352797678","0.137147284916657","0.183725420678698"
"Sometimes","2003","Full Time","(3b) higher tertiary education","226","0.163188164580316","0.144755730945006","0.181620598215627"
"Sometimes","2003","Part Time","(0) in school","40","0.322512749800382","0.237449278076963","0.407576221523801"
"Sometimes","2003","Part Time","(1a) inadequately completed","12","","",""
"Sometimes","2003","Part Time","(1b) general elementary school","58","0.125104480251875","0.0935767696733608","0.15663219083039"
"Sometimes","2003","Part Time","(1c) basic vocational qualification","158","0.157579190604639","0.136981912494251","0.178176468715027"
"Sometimes","2003","Part Time","(2b) intermediate general qualification","54","0.207087492880967","0.149918702152172","0.264256283609761"
"Sometimes","2003","Part Time","(2a) intermediate vocational","152","0.128313997073938","0.110801580618827","0.145826413529048"
"Sometimes","2003","Part Time","(2c_gen) general maturity certificate","118","0.283322754887781","0.236382116051303","0.330263393724259"
"Sometimes","2003","Part Time","(2c_voc) vocational maturity certificate","73","0.192611192598094","0.155075253553491","0.230147131642697"
"Sometimes","2003","Part Time","(3a) lower tertiary education","40","0.126222389543291","0.0893722235125161","0.163072555574066"
"Sometimes","2003","Part Time","(3b) higher tertiary education","86","0.167862831530965","0.137207588072685","0.198518074989246"
"Sometimes","2003","Not Working","(0) in school","151","0.338308777617213","0.296795967021576","0.379821588212851"
"Sometimes","2003","Not Working","(1a) inadequately completed","22","","",""
"Sometimes","2003","Not Working","(1b) general elementary school","96","0.0719964063605423","0.0578360773237775","0.086156735397307"
"Sometimes","2003","Not Working","(1c) basic vocational qualification","172","0.0580216052264289","0.0496475169664272","0.0663956934864306"
"Sometimes","2003","Not Working","(2b) intermediate general qualification","48","0.226916119626269","0.170800057490536","0.283032181762002"
"Sometimes","2003","Not Working","(2a) intermediate vocational","85","0.0777226236736537","0.0623879638061101","0.0930572835411973"
"Sometimes","2003","Not Working","(2c_gen) general maturity certificate","88","0.288803792795977","0.240841802910878","0.336765782681075"
"Sometimes","2003","Not Working","(2c_voc) vocational maturity certificate","49","0.132055385674759","0.098455341156608","0.165655430192911"
"Sometimes","2003","Not Working","(3a) lower tertiary education","34","0.068347333116403","0.0450585057040241","0.0916361605287818"
"Sometimes","2003","Not Working","(3b) higher tertiary education","56","0.12076338156114","0.0923995676294237","0.149127195492856"
"Rarely","2003","Full Time","(0) in school","","","",""
"Rarely","2003","Full Time","(1a) inadequately completed","18","","",""
"Rarely","2003","Full Time","(1b) general elementary school","132","0.326103395872717","0.28189746784846","0.370309323896974"
"Rarely","2003","Full Time","(1c) basic vocational qualification","728","0.353634671981472","0.333157206723385","0.374112137239559"
"Rarely","2003","Full Time","(2b) intermediate general qualification","83","0.359363540037601","0.2965292208188","0.422197859256403"
"Rarely","2003","Full Time","(2a) intermediate vocational","996","0.390853825000798","0.371944946777559","0.409762703224038"
"Rarely","2003","Full Time","(2c_gen) general maturity certificate","72","0.334118616511685","0.263214344213234","0.405022888810137"
"Rarely","2003","Full Time","(2c_voc) vocational maturity certificate","312","0.41131350822952","0.376213829869424","0.446413186589615"
"Rarely","2003","Full Time","(3a) lower tertiary education","358","0.370463992737464","0.339819164404086","0.401108821070842"
"Rarely","2003","Full Time","(3b) higher tertiary education","634","0.409609238367743","0.385080280844172","0.434138195891315"
"Rarely","2003","Part Time","(0) in school","30","0.305466807531624","0.221646816038564","0.389286799024684"
"Rarely","2003","Part Time","(1a) inadequately completed","9","","",""
"Rarely","2003","Part Time","(1b) general elementary school","125","0.273240611128331","0.230774170967824","0.315707051288838"
"Rarely","2003","Part Time","(1c) basic vocational qualification","352","0.279811648326987","0.254433975241143","0.305189321412831"
"Rarely","2003","Part Time","(2b) intermediate general qualification","55","0.289032819627367","0.225078807788956","0.352986831465777"
"Rarely","2003","Part Time","(2a) intermediate vocational","517","0.362750775528801","0.337574710250414","0.387926840807189"
"Rarely","2003","Part Time","(2c_gen) general maturity certificate","127","0.340416576456705","0.291055266544562","0.389777886368848"
"Rarely","2003","Part Time","(2c_voc) vocational maturity certificate","177","0.398792556641823","0.352185587781751","0.445399525501895"
"Rarely","2003","Part Time","(3a) lower tertiary education","115","0.398822639379999","0.344489849675909","0.453155429084089"
"Rarely","2003","Part Time","(3b) higher tertiary education","227","0.443760728246038","0.403010007575211","0.484511448916866"
"Rarely","2003","Not Working","(0) in school","149","0.281692057246369","0.24222448130085","0.321159633191887"
"Rarely","2003","Not Working","(1a) inadequately completed","30","0.125646006107751","0.0746062515841421","0.176685760631361"
"Rarely","2003","Not Working","(1b) general elementary school","226","0.163455910211695","0.143198317369209","0.183713503054181"
"Rarely","2003","Not Working","(1c) basic vocational qualification","591","0.19248323188824","0.178361290044533","0.206605173731947"
"Rarely","2003","Not Working","(2b) intermediate general qualification","64","0.294970890118969","0.233871861149718","0.35606991908822"
"Rarely","2003","Not Working","(2a) intermediate vocational","340","0.302166408244477","0.275865625714204","0.328467190774751"
"Rarely","2003","Not Working","(2c_gen) general maturity certificate","118","0.293033836153046","0.244865767796205","0.341201904509887"
"Rarely","2003","Not Working","(2c_voc) vocational maturity certificate","109","0.273052696452592","0.228835572877679","0.317269820027505"
"Rarely","2003","Not Working","(3a) lower tertiary education","128","0.312943289661076","0.270148693278995","0.355737886043157"
"Rarely","2003","Not Working","(3b) higher tertiary education","159","0.325010860554177","0.284240792094792","0.365780929013562"
"Never","2003","Full Time","(0) in school","1","","",""
"Never","2003","Full Time","(1a) inadequately completed","34","0.421714046841357","0.302574353360493","0.540853740322222"
"Never","2003","Full Time","(1b) general elementary school","198","0.436633976300272","0.389864736936816","0.483403215663729"
"Never","2003","Full Time","(1c) basic vocational qualification","1016","0.470738112129421","0.44935924226003","0.492116981998813"
"Never","2003","Full Time","(2b) intermediate general qualification","69","0.308841004052575","0.24833749794675","0.3693445101584"
"Never","2003","Full Time","(2a) intermediate vocational","1165","0.442244554386947","0.422998089243899","0.461491019529995"
"Never","2003","Full Time","(2c_gen) general maturity certificate","31","0.170889197384686","0.114306034213573","0.2274723605558"
"Never","2003","Full Time","(2c_voc) vocational maturity certificate","280","0.353732647676003","0.319627628650226","0.38783766670178"
"Never","2003","Full Time","(3a) lower tertiary education","447","0.448744564757948","0.41718362352048","0.480305505995416"
"Never","2003","Full Time","(3b) higher tertiary education","638","0.382460865378675","0.358219884603747","0.406701846153602"
"Never","2003","Part Time","(0) in school","9","","",""
"Never","2003","Part Time","(1a) inadequately completed","23","","",""
"Never","2003","Part Time","(1b) general elementary school","213","0.546433899962934","0.498991459818342","0.593876340107527"
"Never","2003","Part Time","(1c) basic vocational qualification","677","0.548715198083457","0.520583580454458","0.576846815712456"
"Never","2003","Part Time","(2b) intermediate general qualification","53","0.318393622379545","0.252670461950393","0.384116782808697"
"Never","2003","Part Time","(2a) intermediate vocational","707","0.487013298076774","0.46084035944296","0.513186236710588"
"Never","2003","Part Time","(2c_gen) general maturity certificate","53","0.211916573943781","0.169345459535192","0.254487688352371"
"Never","2003","Part Time","(2c_voc) vocational maturity certificate","161","0.37103800214762","0.325056139255273","0.417019865039966"
"Never","2003","Part Time","(3a) lower tertiary education","150","0.453429193977137","0.398189819905372","0.508668568048902"
"Never","2003","Part Time","(3b) higher tertiary education","244","0.360681273368232","0.321294487049673","0.400068059686792"
"Never","2003","Not Working","(0) in school","98","0.213899930491502","0.177921512978827","0.249878348004177"
"Never","2003","Not Working","(1a) inadequately completed","108","0.753759782036557","0.687418087875485","0.820101476197629"
"Never","2003","Not Working","(1b) general elementary school","934","0.743214087145858","0.719281719265471","0.767146455026244"
"Never","2003","Not Working","(1c) basic vocational qualification","2197","0.740182299728058","0.724474118327868","0.755890481128248"
"Never","2003","Not Working","(2b) intermediate general qualification","83","0.408061073951007","0.342213127035088","0.473909020866925"
"Never","2003","Not Working","(2a) intermediate vocational","737","0.61290066603196","0.585002484095473","0.640798847968446"
"Never","2003","Not Working","(2c_gen) general maturity certificate","104","0.309501555375263","0.260578474180616","0.35842463656991"
"Never","2003","Not Working","(2c_voc) vocational maturity certificate","227","0.586213984233272","0.537333918718621","0.635094049747922"
"Never","2003","Not Working","(3a) lower tertiary education","285","0.613073525624108","0.568123460597319","0.658023590650896"
"Never","2003","Not Working","(3b) higher tertiary education","280","0.529645455329558","0.486199494257284","0.573091416401832"
"Very often","2004","Full Time","(0) in school","","","",""
"Very often","2004","Full Time","(1a) inadequately completed","","","",""
"Very often","2004","Full Time","(1b) general elementary school","","","",""
"Very often","2004","Full Time","(1c) basic vocational qualification","","","",""
"Very often","2004","Full Time","(2b) intermediate general qualification","","","",""
"Very often","2004","Full Time","(2a) intermediate vocational","","","",""
"Very often","2004","Full Time","(2c_gen) general maturity certificate","","","",""
"Very often","2004","Full Time","(2c_voc) vocational maturity certificate","","","",""
"Very often","2004","Full Time","(3a) lower tertiary education","","","",""
"Very often","2004","Full Time","(3b) higher tertiary education","","","",""
"Very often","2004","Part Time","(0) in school","","","",""
"Very often","2004","Part Time","(1a) inadequately completed","","","",""
"Very often","2004","Part Time","(1b) general elementary school","","","",""
"Very often","2004","Part Time","(1c) basic vocational qualification","","","",""
"Very often","2004","Part Time","(2b) intermediate general qualification","","","",""
"Very often","2004","Part Time","(2a) intermediate vocational","","","",""
"Very often","2004","Part Time","(2c_gen) general maturity certificate","","","",""
"Very often","2004","Part Time","(2c_voc) vocational maturity certificate","","","",""
"Very often","2004","Part Time","(3a) lower tertiary education","","","",""
"Very often","2004","Part Time","(3b) higher tertiary education","","","",""
"Very often","2004","Not Working","(0) in school","","","",""
"Very often","2004","Not Working","(1a) inadequately completed","","","",""
"Very often","2004","Not Working","(1b) general elementary school","","","",""
"Very often","2004","Not Working","(1c) basic vocational qualification","","","",""
"Very often","2004","Not Working","(2b) intermediate general qualification","","","",""
"Very often","2004","Not Working","(2a) intermediate vocational","","","",""
"Very often","2004","Not Working","(2c_gen) general maturity certificate","","","",""
"Very often","2004","Not Working","(2c_voc) vocational maturity certificate","","","",""
"Very often","2004","Not Working","(3a) lower tertiary education","","","",""
"Very often","2004","Not Working","(3b) higher tertiary education","","","",""
"Often","2004","Full Time","(0) in school","","","",""
"Often","2004","Full Time","(1a) inadequately completed","","","",""
