"pld0044","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Very often","2003","16-34 y.","94","0.0174926055755263","0.0141360453136365","0.0208491658374161"
"Very often","2003","35-65 y.","29","","",""
"Very often","2003","66 and older","4","","",""
"Often","2003","16-34 y.","435","0.0733210869406017","0.0666472072938151","0.0799949665873884"
"Often","2003","35-65 y.","191","0.0176030297252343","0.0153087010560704","0.0198973583943983"
"Often","2003","66 and older","16","","",""
"Sometimes","2003","16-34 y.","1431","0.248127857285094","0.2370690308309","0.259186683739289"
"Sometimes","2003","35-65 y.","1382","0.120963521428139","0.115274349306846","0.126652693549431"
"Sometimes","2003","66 and older","168","0.0417601432999264","0.0352571397818428","0.0482631468180099"
"Rarely","2003","16-34 y.","2170","0.368648867073976","0.356296755188245","0.381000978959707"
"Rarely","2003","35-65 y.","4205","0.32591593079484","0.317738286048839","0.334093575540842"
"Rarely","2003","66 and older","692","0.18951598287631","0.176775349109558","0.202256616643063"
"Never","2003","16-34 y.","1730","0.292409583124801","0.280763334557521","0.304055831692082"
"Never","2003","35-65 y.","6813","0.533346228913456","0.524642198140396","0.542050259686516"
"Never","2003","66 and older","2755","0.762995378084904","0.749171329714687","0.77681942645512"
"Very often","2004","16-34 y.","","","",""
"Very often","2004","35-65 y.","","","",""
"Very often","2004","66 and older","","","",""
"Often","2004","16-34 y.","","","",""
"Often","2004","35-65 y.","","","",""
"Often","2004","66 and older","","","",""
"Sometimes","2004","16-34 y.","","","",""
"Sometimes","2004","35-65 y.","","","",""
"Sometimes","2004","66 and older","","","",""
"Rarely","2004","16-34 y.","","","",""
"Rarely","2004","35-65 y.","","","",""
"Rarely","2004","66 and older","","","",""
"Never","2004","16-34 y.","","","",""
"Never","2004","35-65 y.","","","",""
"Never","2004","66 and older","","","",""
"Very often","2005","16-34 y.","","","",""
"Very often","2005","35-65 y.","","","",""
"Very often","2005","66 and older","","","",""
"Often","2005","16-34 y.","","","",""
"Often","2005","35-65 y.","","","",""
"Often","2005","66 and older","","","",""
"Sometimes","2005","16-34 y.","","","",""
"Sometimes","2005","35-65 y.","","","",""
"Sometimes","2005","66 and older","","","",""
"Rarely","2005","16-34 y.","","","",""
"Rarely","2005","35-65 y.","","","",""
"Rarely","2005","66 and older","","","",""
"Never","2005","16-34 y.","","","",""
"Never","2005","35-65 y.","","","",""
"Never","2005","66 and older","","","",""
"Very often","2006","16-34 y.","","","",""
"Very often","2006","35-65 y.","","","",""
"Very often","2006","66 and older","","","",""
"Often","2006","16-34 y.","","","",""
"Often","2006","35-65 y.","","","",""
"Often","2006","66 and older","","","",""
"Sometimes","2006","16-34 y.","","","",""
"Sometimes","2006","35-65 y.","","","",""
"Sometimes","2006","66 and older","","","",""
"Rarely","2006","16-34 y.","","","",""
"Rarely","2006","35-65 y.","","","",""
"Rarely","2006","66 and older","","","",""
"Never","2006","16-34 y.","","","",""
"Never","2006","35-65 y.","","","",""
"Never","2006","66 and older","","","",""
"Very often","2007","16-34 y.","","","",""
"Very often","2007","35-65 y.","","","",""
"Very often","2007","66 and older","","","",""
"Often","2007","16-34 y.","","","",""
"Often","2007","35-65 y.","","","",""
"Often","2007","66 and older","","","",""
"Sometimes","2007","16-34 y.","","","",""
"Sometimes","2007","35-65 y.","","","",""
"Sometimes","2007","66 and older","","","",""
"Rarely","2007","16-34 y.","","","",""
"Rarely","2007","35-65 y.","","","",""
"Rarely","2007","66 and older","","","",""
"Never","2007","16-34 y.","","","",""
"Never","2007","35-65 y.","","","",""
"Never","2007","66 and older","","","",""
"Very often","2008","16-34 y.","60","0.0137027940126488","0.0102552069508222","0.0171503810744755"
"Very often","2008","35-65 y.","28","","",""
"Very often","2008","66 and older","7","","",""
"Often","2008","16-34 y.","300","0.0750801554211029","0.0672652917465552","0.0828950190956505"
"Often","2008","35-65 y.","129","0.0152852402622385","0.0129521244283941","0.0176183560960829"
"Often","2008","66 and older","24","","",""
"Sometimes","2008","16-34 y.","988","0.228300903095882","0.21585333281928","0.240748473372483"
"Sometimes","2008","35-65 y.","1099","0.111115894574691","0.105139275091817","0.117092514057565"
"Sometimes","2008","66 and older","214","0.0510439775574545","0.044466510715137","0.0576214443997719"
"Rarely","2008","16-34 y.","1690","0.392985915222765","0.37850171055333","0.407470119892199"
"Rarely","2008","35-65 y.","3496","0.326318519859317","0.317402046671932","0.335234993046702"
"Rarely","2008","66 and older","877","0.202473909046892","0.190464535503407","0.214483282590378"
"Never","2008","16-34 y.","1330","0.289930232247602","0.276474602168007","0.303385862327197"
"Never","2008","35-65 y.","5870","0.544377167615831","0.534906128439217","0.553848206792444"
"Never","2008","66 and older","3179","0.738694410698482","0.725564247445429","0.751824573951534"
"Very often","2009","16-34 y.","","","",""
"Very often","2009","35-65 y.","","","",""
"Very often","2009","66 and older","","","",""
"Often","2009","16-34 y.","","","",""
"Often","2009","35-65 y.","","","",""
"Often","2009","66 and older","","","",""
"Sometimes","2009","16-34 y.","","","",""
"Sometimes","2009","35-65 y.","","","",""
"Sometimes","2009","66 and older","","","",""
"Rarely","2009","16-34 y.","","","",""
"Rarely","2009","35-65 y.","","","",""
"Rarely","2009","66 and older","","","",""
"Never","2009","16-34 y.","","","",""
"Never","2009","35-65 y.","","","",""
"Never","2009","66 and older","","","",""
"Very often","2010","16-34 y.","","","",""
"Very often","2010","35-65 y.","","","",""
"Very often","2010","66 and older","","","",""
"Often","2010","16-34 y.","","","",""
"Often","2010","35-65 y.","","","",""
"Often","2010","66 and older","","","",""
"Sometimes","2010","16-34 y.","","","",""
"Sometimes","2010","35-65 y.","","","",""
"Sometimes","2010","66 and older","","","",""
"Rarely","2010","16-34 y.","","","",""
"Rarely","2010","35-65 y.","","","",""
"Rarely","2010","66 and older","","","",""
"Never","2010","16-34 y.","","","",""
"Never","2010","35-65 y.","","","",""
"Never","2010","66 and older","","","",""
"Very often","2011","16-34 y.","","","",""
"Very often","2011","35-65 y.","","","",""
"Very often","2011","66 and older","","","",""
"Often","2011","16-34 y.","","","",""
"Often","2011","35-65 y.","","","",""
"Often","2011","66 and older","","","",""
"Sometimes","2011","16-34 y.","","","",""
"Sometimes","2011","35-65 y.","","","",""
"Sometimes","2011","66 and older","","","",""
"Rarely","2011","16-34 y.","","","",""
"Rarely","2011","35-65 y.","","","",""
"Rarely","2011","66 and older","","","",""
"Never","2011","16-34 y.","","","",""
"Never","2011","35-65 y.","","","",""
"Never","2011","66 and older","","","",""
"Very often","2012","16-34 y.","","","",""
"Very often","2012","35-65 y.","","","",""
"Very often","2012","66 and older","","","",""
"Often","2012","16-34 y.","","","",""
"Often","2012","35-65 y.","","","",""
"Often","2012","66 and older","","","",""
"Sometimes","2012","16-34 y.","","","",""
"Sometimes","2012","35-65 y.","","","",""
"Sometimes","2012","66 and older","","","",""
"Rarely","2012","16-34 y.","","","",""
"Rarely","2012","35-65 y.","","","",""
"Rarely","2012","66 and older","","","",""
"Never","2012","16-34 y.","","","",""
"Never","2012","35-65 y.","","","",""
"Never","2012","66 and older","","","",""
"Very often","2013","16-34 y.","46","0.0057758323267564","0.00379691495081577","0.00775474970269703"
"Very often","2013","35-65 y.","44","0.00202677031413551","0.00130454123190155","0.00274899939636946"
"Very often","2013","66 and older","8","","",""
"Often","2013","16-34 y.","405","0.0712832308712074","0.0645640930876323","0.0780023686547825"
"Often","2013","35-65 y.","284","0.0180323498443291","0.0158954310841545","0.0201692686045038"
"Often","2013","66 and older","36","0.00929564328511884","0.00662686329808424","0.0119644232721534"
"Sometimes","2013","16-34 y.","1322","0.243857472596187","0.232643794579025","0.25507115061335"
"Sometimes","2013","35-65 y.","1635","0.10975999249321","0.104740164369882","0.114779820616538"
"Sometimes","2013","66 and older","265","0.0567899475844459","0.0503535782756193","0.0632263168932725"
"Rarely","2013","16-34 y.","2043","0.387015795875654","0.37429637896727","0.399735212784038"
"Rarely","2013","35-65 y.","4879","0.339083024360037","0.331480816557189","0.346685232162885"
"Rarely","2013","66 and older","1015","0.201714493332019","0.190554891869875","0.212874094794164"
"Never","2013","16-34 y.","1817","0.292067668330195","0.280193154686941","0.30394218197345"
"Never","2013","35-65 y.","8054","0.531097862988288","0.523084004999149","0.539111720977427"
"Never","2013","66 and older","3643","0.730711070778879","0.718374822415439","0.74304731914232"
"Very often","2014","16-34 y.","","","",""
"Very often","2014","35-65 y.","","","",""
"Very often","2014","66 and older","","","",""
"Often","2014","16-34 y.","","","",""
"Often","2014","35-65 y.","","","",""
"Often","2014","66 and older","","","",""
"Sometimes","2014","16-34 y.","","","",""
"Sometimes","2014","35-65 y.","","","",""
"Sometimes","2014","66 and older","","","",""
"Rarely","2014","16-34 y.","","","",""
"Rarely","2014","35-65 y.","","","",""
"Rarely","2014","66 and older","","","",""
"Never","2014","16-34 y.","","","",""
"Never","2014","35-65 y.","","","",""
"Never","2014","66 and older","","","",""
"Very often","2015","16-34 y.","","","",""
"Very often","2015","35-65 y.","","","",""
"Very often","2015","66 and older","","","",""
