"pld0044","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Rarely","2005","Lower Saxony","1-pers.-HH","","","",""
"Rarely","2005","Lower Saxony","(Married) couple without C. ","","","",""
"Rarely","2005","Lower Saxony","Single parent ","","","",""
"Rarely","2005","Lower Saxony","Couple + C. LE 16 ","","","",""
"Rarely","2005","Lower Saxony","Couple + C. GT 16 ","","","",""
"Rarely","2005","Lower Saxony","Couple + C. LE and GT 16","","","",""
"Rarely","2005","Bremen","1-pers.-HH","","","",""
"Rarely","2005","Bremen","(Married) couple without C. ","","","",""
"Rarely","2005","Bremen","Single parent ","","","",""
"Rarely","2005","Bremen","Couple + C. LE 16 ","","","",""
"Rarely","2005","Bremen","Couple + C. GT 16 ","","","",""
"Rarely","2005","Bremen","Couple + C. LE and GT 16","","","",""
"Rarely","2005","North Rhine-Westphalia","1-pers.-HH","","","",""
"Rarely","2005","North Rhine-Westphalia","(Married) couple without C. ","","","",""
"Rarely","2005","North Rhine-Westphalia","Single parent ","","","",""
"Rarely","2005","North Rhine-Westphalia","Couple + C. LE 16 ","","","",""
"Rarely","2005","North Rhine-Westphalia","Couple + C. GT 16 ","","","",""
"Rarely","2005","North Rhine-Westphalia","Couple + C. LE and GT 16","","","",""
"Rarely","2005","Hesse","1-pers.-HH","","","",""
"Rarely","2005","Hesse","(Married) couple without C. ","","","",""
"Rarely","2005","Hesse","Single parent ","","","",""
"Rarely","2005","Hesse","Couple + C. LE 16 ","","","",""
"Rarely","2005","Hesse","Couple + C. GT 16 ","","","",""
"Rarely","2005","Hesse","Couple + C. LE and GT 16","","","",""
"Rarely","2005","Rhineland-Palatinate,Saarland","1-pers.-HH","","","",""
"Rarely","2005","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","",""
"Rarely","2005","Rhineland-Palatinate,Saarland","Single parent ","","","",""
"Rarely","2005","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","",""
"Rarely","2005","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","",""
"Rarely","2005","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","",""
"Rarely","2005","Baden-Württemberg","1-pers.-HH","","","",""
"Rarely","2005","Baden-Württemberg","(Married) couple without C. ","","","",""
"Rarely","2005","Baden-Württemberg","Single parent ","","","",""
"Rarely","2005","Baden-Württemberg","Couple + C. LE 16 ","","","",""
"Rarely","2005","Baden-Württemberg","Couple + C. GT 16 ","","","",""
"Rarely","2005","Baden-Württemberg","Couple + C. LE and GT 16","","","",""
"Rarely","2005","Bavaria","1-pers.-HH","","","",""
"Rarely","2005","Bavaria","(Married) couple without C. ","","","",""
"Rarely","2005","Bavaria","Single parent ","","","",""
"Rarely","2005","Bavaria","Couple + C. LE 16 ","","","",""
"Rarely","2005","Bavaria","Couple + C. GT 16 ","","","",""
"Rarely","2005","Bavaria","Couple + C. LE and GT 16","","","",""
"Rarely","2005","Berlin","1-pers.-HH","","","",""
"Rarely","2005","Berlin","(Married) couple without C. ","","","",""
"Rarely","2005","Berlin","Single parent ","","","",""
"Rarely","2005","Berlin","Couple + C. LE 16 ","","","",""
"Rarely","2005","Berlin","Couple + C. GT 16 ","","","",""
"Rarely","2005","Berlin","Couple + C. LE and GT 16","","","",""
"Rarely","2005","Brandenburg","1-pers.-HH","","","",""
"Rarely","2005","Brandenburg","(Married) couple without C. ","","","",""
"Rarely","2005","Brandenburg","Single parent ","","","",""
"Rarely","2005","Brandenburg","Couple + C. LE 16 ","","","",""
"Rarely","2005","Brandenburg","Couple + C. GT 16 ","","","",""
"Rarely","2005","Brandenburg","Couple + C. LE and GT 16","","","",""
"Rarely","2005","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Rarely","2005","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Rarely","2005","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Rarely","2005","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Rarely","2005","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Rarely","2005","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Rarely","2005","Saxony","1-pers.-HH","","","",""
"Rarely","2005","Saxony","(Married) couple without C. ","","","",""
"Rarely","2005","Saxony","Single parent ","","","",""
"Rarely","2005","Saxony","Couple + C. LE 16 ","","","",""
"Rarely","2005","Saxony","Couple + C. GT 16 ","","","",""
"Rarely","2005","Saxony","Couple + C. LE and GT 16","","","",""
"Rarely","2005","Saxony-Anhalt","1-pers.-HH","","","",""
"Rarely","2005","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Rarely","2005","Saxony-Anhalt","Single parent ","","","",""
"Rarely","2005","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Rarely","2005","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Rarely","2005","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Rarely","2005","Thuringia","1-pers.-HH","","","",""
"Rarely","2005","Thuringia","(Married) couple without C. ","","","",""
"Rarely","2005","Thuringia","Single parent ","","","",""
"Rarely","2005","Thuringia","Couple + C. LE 16 ","","","",""
"Rarely","2005","Thuringia","Couple + C. GT 16 ","","","",""
"Rarely","2005","Thuringia","Couple + C. LE and GT 16","","","",""
"Never","2005","Schleswig-Holstein","1-pers.-HH","","","",""
"Never","2005","Schleswig-Holstein","(Married) couple without C. ","","","",""
"Never","2005","Schleswig-Holstein","Single parent ","","","",""
"Never","2005","Schleswig-Holstein","Couple + C. LE 16 ","","","",""
"Never","2005","Schleswig-Holstein","Couple + C. GT 16 ","","","",""
"Never","2005","Schleswig-Holstein","Couple + C. LE and GT 16","","","",""
"Never","2005","Hamburg","1-pers.-HH","","","",""
"Never","2005","Hamburg","(Married) couple without C. ","","","",""
"Never","2005","Hamburg","Single parent ","","","",""
"Never","2005","Hamburg","Couple + C. LE 16 ","","","",""
"Never","2005","Hamburg","Couple + C. GT 16 ","","","",""
"Never","2005","Hamburg","Couple + C. LE and GT 16","","","",""
"Never","2005","Lower Saxony","1-pers.-HH","","","",""
"Never","2005","Lower Saxony","(Married) couple without C. ","","","",""
"Never","2005","Lower Saxony","Single parent ","","","",""
"Never","2005","Lower Saxony","Couple + C. LE 16 ","","","",""
"Never","2005","Lower Saxony","Couple + C. GT 16 ","","","",""
"Never","2005","Lower Saxony","Couple + C. LE and GT 16","","","",""
"Never","2005","Bremen","1-pers.-HH","","","",""
"Never","2005","Bremen","(Married) couple without C. ","","","",""
"Never","2005","Bremen","Single parent ","","","",""
"Never","2005","Bremen","Couple + C. LE 16 ","","","",""
"Never","2005","Bremen","Couple + C. GT 16 ","","","",""
"Never","2005","Bremen","Couple + C. LE and GT 16","","","",""
"Never","2005","North Rhine-Westphalia","1-pers.-HH","","","",""
"Never","2005","North Rhine-Westphalia","(Married) couple without C. ","","","",""
"Never","2005","North Rhine-Westphalia","Single parent ","","","",""
"Never","2005","North Rhine-Westphalia","Couple + C. LE 16 ","","","",""
"Never","2005","North Rhine-Westphalia","Couple + C. GT 16 ","","","",""
"Never","2005","North Rhine-Westphalia","Couple + C. LE and GT 16","","","",""
"Never","2005","Hesse","1-pers.-HH","","","",""
"Never","2005","Hesse","(Married) couple without C. ","","","",""
"Never","2005","Hesse","Single parent ","","","",""
"Never","2005","Hesse","Couple + C. LE 16 ","","","",""
"Never","2005","Hesse","Couple + C. GT 16 ","","","",""
"Never","2005","Hesse","Couple + C. LE and GT 16","","","",""
"Never","2005","Rhineland-Palatinate,Saarland","1-pers.-HH","","","",""
"Never","2005","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","",""
"Never","2005","Rhineland-Palatinate,Saarland","Single parent ","","","",""
"Never","2005","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","",""
"Never","2005","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","",""
"Never","2005","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","",""
"Never","2005","Baden-Württemberg","1-pers.-HH","","","",""
"Never","2005","Baden-Württemberg","(Married) couple without C. ","","","",""
"Never","2005","Baden-Württemberg","Single parent ","","","",""
"Never","2005","Baden-Württemberg","Couple + C. LE 16 ","","","",""
"Never","2005","Baden-Württemberg","Couple + C. GT 16 ","","","",""
"Never","2005","Baden-Württemberg","Couple + C. LE and GT 16","","","",""
"Never","2005","Bavaria","1-pers.-HH","","","",""
"Never","2005","Bavaria","(Married) couple without C. ","","","",""
"Never","2005","Bavaria","Single parent ","","","",""
"Never","2005","Bavaria","Couple + C. LE 16 ","","","",""
"Never","2005","Bavaria","Couple + C. GT 16 ","","","",""
"Never","2005","Bavaria","Couple + C. LE and GT 16","","","",""
"Never","2005","Berlin","1-pers.-HH","","","",""
"Never","2005","Berlin","(Married) couple without C. ","","","",""
"Never","2005","Berlin","Single parent ","","","",""
"Never","2005","Berlin","Couple + C. LE 16 ","","","",""
"Never","2005","Berlin","Couple + C. GT 16 ","","","",""
"Never","2005","Berlin","Couple + C. LE and GT 16","","","",""
"Never","2005","Brandenburg","1-pers.-HH","","","",""
"Never","2005","Brandenburg","(Married) couple without C. ","","","",""
"Never","2005","Brandenburg","Single parent ","","","",""
"Never","2005","Brandenburg","Couple + C. LE 16 ","","","",""
"Never","2005","Brandenburg","Couple + C. GT 16 ","","","",""
"Never","2005","Brandenburg","Couple + C. LE and GT 16","","","",""
"Never","2005","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Never","2005","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Never","2005","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Never","2005","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Never","2005","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Never","2005","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Never","2005","Saxony","1-pers.-HH","","","",""
"Never","2005","Saxony","(Married) couple without C. ","","","",""
"Never","2005","Saxony","Single parent ","","","",""
"Never","2005","Saxony","Couple + C. LE 16 ","","","",""
"Never","2005","Saxony","Couple + C. GT 16 ","","","",""
"Never","2005","Saxony","Couple + C. LE and GT 16","","","",""
"Never","2005","Saxony-Anhalt","1-pers.-HH","","","",""
"Never","2005","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Never","2005","Saxony-Anhalt","Single parent ","","","",""
"Never","2005","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Never","2005","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Never","2005","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Never","2005","Thuringia","1-pers.-HH","","","",""
"Never","2005","Thuringia","(Married) couple without C. ","","","",""
"Never","2005","Thuringia","Single parent ","","","",""
"Never","2005","Thuringia","Couple + C. LE 16 ","","","",""
"Never","2005","Thuringia","Couple + C. GT 16 ","","","",""
"Never","2005","Thuringia","Couple + C. LE and GT 16","","","",""
"Very often","2006","Schleswig-Holstein","1-pers.-HH","","","",""
"Very often","2006","Schleswig-Holstein","(Married) couple without C. ","","","",""
"Very often","2006","Schleswig-Holstein","Single parent ","","","",""
"Very often","2006","Schleswig-Holstein","Couple + C. LE 16 ","","","",""
"Very often","2006","Schleswig-Holstein","Couple + C. GT 16 ","","","",""
"Very often","2006","Schleswig-Holstein","Couple + C. LE and GT 16","","","",""
"Very often","2006","Hamburg","1-pers.-HH","","","",""
"Very often","2006","Hamburg","(Married) couple without C. ","","","",""
"Very often","2006","Hamburg","Single parent ","","","",""
"Very often","2006","Hamburg","Couple + C. LE 16 ","","","",""
"Very often","2006","Hamburg","Couple + C. GT 16 ","","","",""
"Very often","2006","Hamburg","Couple + C. LE and GT 16","","","",""
"Very often","2006","Lower Saxony","1-pers.-HH","","","",""
"Very often","2006","Lower Saxony","(Married) couple without C. ","","","",""
"Very often","2006","Lower Saxony","Single parent ","","","",""
"Very often","2006","Lower Saxony","Couple + C. LE 16 ","","","",""
"Very often","2006","Lower Saxony","Couple + C. GT 16 ","","","",""
"Very often","2006","Lower Saxony","Couple + C. LE and GT 16","","","",""
"Very often","2006","Bremen","1-pers.-HH","","","",""
"Very often","2006","Bremen","(Married) couple without C. ","","","",""
"Very often","2006","Bremen","Single parent ","","","",""
"Very often","2006","Bremen","Couple + C. LE 16 ","","","",""
"Very often","2006","Bremen","Couple + C. GT 16 ","","","",""
"Very often","2006","Bremen","Couple + C. LE and GT 16","","","",""
"Very often","2006","North Rhine-Westphalia","1-pers.-HH","","","",""
"Very often","2006","North Rhine-Westphalia","(Married) couple without C. ","","","",""
"Very often","2006","North Rhine-Westphalia","Single parent ","","","",""
"Very often","2006","North Rhine-Westphalia","Couple + C. LE 16 ","","","",""
"Very often","2006","North Rhine-Westphalia","Couple + C. GT 16 ","","","",""
"Very often","2006","North Rhine-Westphalia","Couple + C. LE and GT 16","","","",""
"Very often","2006","Hesse","1-pers.-HH","","","",""
"Very often","2006","Hesse","(Married) couple without C. ","","","",""
"Very often","2006","Hesse","Single parent ","","","",""
"Very often","2006","Hesse","Couple + C. LE 16 ","","","",""
"Very often","2006","Hesse","Couple + C. GT 16 ","","","",""
"Very often","2006","Hesse","Couple + C. LE and GT 16","","","",""
"Very often","2006","Rhineland-Palatinate,Saarland","1-pers.-HH","","","",""
"Very often","2006","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","",""
"Very often","2006","Rhineland-Palatinate,Saarland","Single parent ","","","",""
"Very often","2006","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","",""
"Very often","2006","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","",""
"Very often","2006","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","",""
"Very often","2006","Baden-Württemberg","1-pers.-HH","","","",""
"Very often","2006","Baden-Württemberg","(Married) couple without C. ","","","",""
"Very often","2006","Baden-Württemberg","Single parent ","","","",""
"Very often","2006","Baden-Württemberg","Couple + C. LE 16 ","","","",""
"Very often","2006","Baden-Württemberg","Couple + C. GT 16 ","","","",""
"Very often","2006","Baden-Württemberg","Couple + C. LE and GT 16","","","",""
"Very often","2006","Bavaria","1-pers.-HH","","","",""
"Very often","2006","Bavaria","(Married) couple without C. ","","","",""
"Very often","2006","Bavaria","Single parent ","","","",""
"Very often","2006","Bavaria","Couple + C. LE 16 ","","","",""
"Very often","2006","Bavaria","Couple + C. GT 16 ","","","",""
"Very often","2006","Bavaria","Couple + C. LE and GT 16","","","",""
"Very often","2006","Berlin","1-pers.-HH","","","",""
"Very often","2006","Berlin","(Married) couple without C. ","","","",""
"Very often","2006","Berlin","Single parent ","","","",""
"Very often","2006","Berlin","Couple + C. LE 16 ","","","",""
"Very often","2006","Berlin","Couple + C. GT 16 ","","","",""
"Very often","2006","Berlin","Couple + C. LE and GT 16","","","",""
"Very often","2006","Brandenburg","1-pers.-HH","","","",""
"Very often","2006","Brandenburg","(Married) couple without C. ","","","",""
"Very often","2006","Brandenburg","Single parent ","","","",""
"Very often","2006","Brandenburg","Couple + C. LE 16 ","","","",""
"Very often","2006","Brandenburg","Couple + C. GT 16 ","","","",""
"Very often","2006","Brandenburg","Couple + C. LE and GT 16","","","",""
"Very often","2006","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Very often","2006","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Very often","2006","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Very often","2006","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Very often","2006","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Very often","2006","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Very often","2006","Saxony","1-pers.-HH","","","",""
"Very often","2006","Saxony","(Married) couple without C. ","","","",""
"Very often","2006","Saxony","Single parent ","","","",""
"Very often","2006","Saxony","Couple + C. LE 16 ","","","",""
"Very often","2006","Saxony","Couple + C. GT 16 ","","","",""
"Very often","2006","Saxony","Couple + C. LE and GT 16","","","",""
"Very often","2006","Saxony-Anhalt","1-pers.-HH","","","",""
"Very often","2006","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Very often","2006","Saxony-Anhalt","Single parent ","","","",""
"Very often","2006","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Very often","2006","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Very often","2006","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Very often","2006","Thuringia","1-pers.-HH","","","",""
"Very often","2006","Thuringia","(Married) couple without C. ","","","",""
"Very often","2006","Thuringia","Single parent ","","","",""
"Very often","2006","Thuringia","Couple + C. LE 16 ","","","",""
"Very often","2006","Thuringia","Couple + C. GT 16 ","","","",""
"Very often","2006","Thuringia","Couple + C. LE and GT 16","","","",""
"Often","2006","Schleswig-Holstein","1-pers.-HH","","","",""
"Often","2006","Schleswig-Holstein","(Married) couple without C. ","","","",""
"Often","2006","Schleswig-Holstein","Single parent ","","","",""
"Often","2006","Schleswig-Holstein","Couple + C. LE 16 ","","","",""
"Often","2006","Schleswig-Holstein","Couple + C. GT 16 ","","","",""
"Often","2006","Schleswig-Holstein","Couple + C. LE and GT 16","","","",""
"Often","2006","Hamburg","1-pers.-HH","","","",""
"Often","2006","Hamburg","(Married) couple without C. ","","","",""
"Often","2006","Hamburg","Single parent ","","","",""
"Often","2006","Hamburg","Couple + C. LE 16 ","","","",""
"Often","2006","Hamburg","Couple + C. GT 16 ","","","",""
"Often","2006","Hamburg","Couple + C. LE and GT 16","","","",""
"Often","2006","Lower Saxony","1-pers.-HH","","","",""
"Often","2006","Lower Saxony","(Married) couple without C. ","","","",""
"Often","2006","Lower Saxony","Single parent ","","","",""
"Often","2006","Lower Saxony","Couple + C. LE 16 ","","","",""
"Often","2006","Lower Saxony","Couple + C. GT 16 ","","","",""
"Often","2006","Lower Saxony","Couple + C. LE and GT 16","","","",""
"Often","2006","Bremen","1-pers.-HH","","","",""
"Often","2006","Bremen","(Married) couple without C. ","","","",""
"Often","2006","Bremen","Single parent ","","","",""
"Often","2006","Bremen","Couple + C. LE 16 ","","","",""
"Often","2006","Bremen","Couple + C. GT 16 ","","","",""
"Often","2006","Bremen","Couple + C. LE and GT 16","","","",""
"Often","2006","North Rhine-Westphalia","1-pers.-HH","","","",""
"Often","2006","North Rhine-Westphalia","(Married) couple without C. ","","","",""
"Often","2006","North Rhine-Westphalia","Single parent ","","","",""
"Often","2006","North Rhine-Westphalia","Couple + C. LE 16 ","","","",""
"Often","2006","North Rhine-Westphalia","Couple + C. GT 16 ","","","",""
"Often","2006","North Rhine-Westphalia","Couple + C. LE and GT 16","","","",""
"Often","2006","Hesse","1-pers.-HH","","","",""
"Often","2006","Hesse","(Married) couple without C. ","","","",""
"Often","2006","Hesse","Single parent ","","","",""
"Often","2006","Hesse","Couple + C. LE 16 ","","","",""
"Often","2006","Hesse","Couple + C. GT 16 ","","","",""
"Often","2006","Hesse","Couple + C. LE and GT 16","","","",""
"Often","2006","Rhineland-Palatinate,Saarland","1-pers.-HH","","","",""
"Often","2006","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","",""
"Often","2006","Rhineland-Palatinate,Saarland","Single parent ","","","",""
"Often","2006","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","",""
"Often","2006","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","",""
"Often","2006","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","",""
"Often","2006","Baden-Württemberg","1-pers.-HH","","","",""
"Often","2006","Baden-Württemberg","(Married) couple without C. ","","","",""
"Often","2006","Baden-Württemberg","Single parent ","","","",""
"Often","2006","Baden-Württemberg","Couple + C. LE 16 ","","","",""
"Often","2006","Baden-Württemberg","Couple + C. GT 16 ","","","",""
"Often","2006","Baden-Württemberg","Couple + C. LE and GT 16","","","",""
"Often","2006","Bavaria","1-pers.-HH","","","",""
"Often","2006","Bavaria","(Married) couple without C. ","","","",""
"Often","2006","Bavaria","Single parent ","","","",""
"Often","2006","Bavaria","Couple + C. LE 16 ","","","",""
"Often","2006","Bavaria","Couple + C. GT 16 ","","","",""
"Often","2006","Bavaria","Couple + C. LE and GT 16","","","",""
"Often","2006","Berlin","1-pers.-HH","","","",""
"Often","2006","Berlin","(Married) couple without C. ","","","",""
"Often","2006","Berlin","Single parent ","","","",""
"Often","2006","Berlin","Couple + C. LE 16 ","","","",""
"Often","2006","Berlin","Couple + C. GT 16 ","","","",""
"Often","2006","Berlin","Couple + C. LE and GT 16","","","",""
"Often","2006","Brandenburg","1-pers.-HH","","","",""
"Often","2006","Brandenburg","(Married) couple without C. ","","","",""
"Often","2006","Brandenburg","Single parent ","","","",""
"Often","2006","Brandenburg","Couple + C. LE 16 ","","","",""
"Often","2006","Brandenburg","Couple + C. GT 16 ","","","",""
"Often","2006","Brandenburg","Couple + C. LE and GT 16","","","",""
"Often","2006","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Often","2006","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Often","2006","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Often","2006","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Often","2006","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Often","2006","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Often","2006","Saxony","1-pers.-HH","","","",""
"Often","2006","Saxony","(Married) couple without C. ","","","",""
"Often","2006","Saxony","Single parent ","","","",""
"Often","2006","Saxony","Couple + C. LE 16 ","","","",""
"Often","2006","Saxony","Couple + C. GT 16 ","","","",""
"Often","2006","Saxony","Couple + C. LE and GT 16","","","",""
"Often","2006","Saxony-Anhalt","1-pers.-HH","","","",""
"Often","2006","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Often","2006","Saxony-Anhalt","Single parent ","","","",""
"Often","2006","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Often","2006","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Often","2006","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Often","2006","Thuringia","1-pers.-HH","","","",""
"Often","2006","Thuringia","(Married) couple without C. ","","","",""
"Often","2006","Thuringia","Single parent ","","","",""
"Often","2006","Thuringia","Couple + C. LE 16 ","","","",""
"Often","2006","Thuringia","Couple + C. GT 16 ","","","",""
"Often","2006","Thuringia","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","Schleswig-Holstein","1-pers.-HH","","","",""
"Sometimes","2006","Schleswig-Holstein","(Married) couple without C. ","","","",""
"Sometimes","2006","Schleswig-Holstein","Single parent ","","","",""
"Sometimes","2006","Schleswig-Holstein","Couple + C. LE 16 ","","","",""
"Sometimes","2006","Schleswig-Holstein","Couple + C. GT 16 ","","","",""
"Sometimes","2006","Schleswig-Holstein","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","Hamburg","1-pers.-HH","","","",""
"Sometimes","2006","Hamburg","(Married) couple without C. ","","","",""
"Sometimes","2006","Hamburg","Single parent ","","","",""
"Sometimes","2006","Hamburg","Couple + C. LE 16 ","","","",""
"Sometimes","2006","Hamburg","Couple + C. GT 16 ","","","",""
"Sometimes","2006","Hamburg","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","Lower Saxony","1-pers.-HH","","","",""
"Sometimes","2006","Lower Saxony","(Married) couple without C. ","","","",""
"Sometimes","2006","Lower Saxony","Single parent ","","","",""
"Sometimes","2006","Lower Saxony","Couple + C. LE 16 ","","","",""
"Sometimes","2006","Lower Saxony","Couple + C. GT 16 ","","","",""
"Sometimes","2006","Lower Saxony","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","Bremen","1-pers.-HH","","","",""
"Sometimes","2006","Bremen","(Married) couple without C. ","","","",""
"Sometimes","2006","Bremen","Single parent ","","","",""
"Sometimes","2006","Bremen","Couple + C. LE 16 ","","","",""
"Sometimes","2006","Bremen","Couple + C. GT 16 ","","","",""
"Sometimes","2006","Bremen","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","North Rhine-Westphalia","1-pers.-HH","","","",""
"Sometimes","2006","North Rhine-Westphalia","(Married) couple without C. ","","","",""
"Sometimes","2006","North Rhine-Westphalia","Single parent ","","","",""
"Sometimes","2006","North Rhine-Westphalia","Couple + C. LE 16 ","","","",""
"Sometimes","2006","North Rhine-Westphalia","Couple + C. GT 16 ","","","",""
"Sometimes","2006","North Rhine-Westphalia","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","Hesse","1-pers.-HH","","","",""
"Sometimes","2006","Hesse","(Married) couple without C. ","","","",""
"Sometimes","2006","Hesse","Single parent ","","","",""
"Sometimes","2006","Hesse","Couple + C. LE 16 ","","","",""
"Sometimes","2006","Hesse","Couple + C. GT 16 ","","","",""
"Sometimes","2006","Hesse","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","Rhineland-Palatinate,Saarland","1-pers.-HH","","","",""
"Sometimes","2006","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","",""
"Sometimes","2006","Rhineland-Palatinate,Saarland","Single parent ","","","",""
"Sometimes","2006","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","",""
"Sometimes","2006","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","",""
"Sometimes","2006","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","Baden-Württemberg","1-pers.-HH","","","",""
"Sometimes","2006","Baden-Württemberg","(Married) couple without C. ","","","",""
"Sometimes","2006","Baden-Württemberg","Single parent ","","","",""
"Sometimes","2006","Baden-Württemberg","Couple + C. LE 16 ","","","",""
"Sometimes","2006","Baden-Württemberg","Couple + C. GT 16 ","","","",""
"Sometimes","2006","Baden-Württemberg","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","Bavaria","1-pers.-HH","","","",""
"Sometimes","2006","Bavaria","(Married) couple without C. ","","","",""
"Sometimes","2006","Bavaria","Single parent ","","","",""
"Sometimes","2006","Bavaria","Couple + C. LE 16 ","","","",""
"Sometimes","2006","Bavaria","Couple + C. GT 16 ","","","",""
"Sometimes","2006","Bavaria","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","Berlin","1-pers.-HH","","","",""
"Sometimes","2006","Berlin","(Married) couple without C. ","","","",""
"Sometimes","2006","Berlin","Single parent ","","","",""
"Sometimes","2006","Berlin","Couple + C. LE 16 ","","","",""
"Sometimes","2006","Berlin","Couple + C. GT 16 ","","","",""
"Sometimes","2006","Berlin","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","Brandenburg","1-pers.-HH","","","",""
"Sometimes","2006","Brandenburg","(Married) couple without C. ","","","",""
"Sometimes","2006","Brandenburg","Single parent ","","","",""
"Sometimes","2006","Brandenburg","Couple + C. LE 16 ","","","",""
"Sometimes","2006","Brandenburg","Couple + C. GT 16 ","","","",""
"Sometimes","2006","Brandenburg","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Sometimes","2006","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Sometimes","2006","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Sometimes","2006","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Sometimes","2006","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Sometimes","2006","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Sometimes","2006","Saxony","1-pers.-HH","","","",""
"Sometimes","2006","Saxony","(Married) couple without C. ","","","",""
"Sometimes","2006","Saxony","Single parent ","","","",""
"Sometimes","2006","Saxony","Couple + C. LE 16 ","","","",""
"Sometimes","2006","Saxony","Couple + C. GT 16 ","","","",""
