"pld0044","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","16-34 y.","1-pers.-HH","154","0.222086394880595","0.19070698273139","0.2534658070298","5"
"Never","2003","16-34 y.","(Married) couple without C. ","288","0.265075355787038","0.238041736422331","0.292108975151745","5"
"Never","2003","16-34 y.","Couple + C. LE 16 ","624","0.414716399139952","0.388713322242006","0.440719476037897","5"
"Never","2003","16-34 y.","Couple + C. LE and GT 16","151","0.260126096834047","0.227128370175113","0.29312382349298","5"
"Never","2003","16-34 y.","Single parent ","140","0.28988750317563","0.248825513043606","0.330949493307653","5"
"Never","2003","16-34 y.","Couple + C. GT 16 ","328","0.247789982466732","0.225697502849204","0.269882462084261","5"
"Never","2003","35-65 y.","1-pers.-HH","594","0.460900156545362","0.433144566228853","0.48865574686187","5"
"Never","2003","35-65 y.","(Married) couple without C. ","2401","0.595662895980285","0.580525993738952","0.610799798221618","5"
"Never","2003","35-65 y.","Single parent ","297","0.498521601452321","0.457618122198649","0.539425080705994","5"
"Never","2003","35-65 y.","Couple + C. LE 16 ","1420","0.478033946475987","0.460096387660337","0.495971505291636","5"
"Never","2003","35-65 y.","Couple + C. GT 16 ","1324","0.598082681039365","0.578045660349386","0.618119701729343","5"
"Never","2003","35-65 y.","Couple + C. LE and GT 16","592","0.514896638115111","0.486048976992918","0.543744299237304","5"
"Never","2003","66 and older","1-pers.-HH","807","0.757147456809693","0.731321187653196","0.78297372596619","5"
"Never","2003","66 and older","(Married) couple without C. ","1677","0.771604766361391","0.754042854314906","0.789166678407875","5"
"Never","2003","66 and older","Couple + C. GT 16 ","114","0.68503304695939","0.616408417390819","0.753657676527962","5"
"Never","2003","66 and older","Couple + C. LE and GT 16","2","","","","5"
"Never","2003","66 and older","Single parent ","58","0.767329238295122","0.670401419399305","0.864257057190939","5"
"Never","2003","66 and older","Couple + C. LE 16 ","1","","","","5"
"Often","2003","16-34 y.","Couple + C. GT 16 ","154","0.0967210318436754","0.081595716296195","0.111846347391156","2"
"Often","2003","16-34 y.","1-pers.-HH","49","0.0763850886365334","0.0563326173052219","0.0964375599678448","2"
"Often","2003","16-34 y.","(Married) couple without C. ","35","0.03827943393136","0.026527608871287","0.0500312589914329","2"
"Often","2003","16-34 y.","Single parent ","43","0.0947847794671686","0.0682749523512103","0.121294606583127","2"
"Often","2003","16-34 y.","Couple + C. LE 16 ","40","0.0427503867924145","0.0320734030379866","0.0534273705468425","2"
"Often","2003","16-34 y.","Couple + C. LE and GT 16","99","0.122070005658806","0.0974466277969349","0.146693383520678","2"
"Often","2003","35-65 y.","1-pers.-HH","32","0.0312976998614937","0.0216023426642553","0.0409930570587321","2"
"Often","2003","35-65 y.","(Married) couple without C. ","50","0.0139766638492723","0.0103558158774005","0.0175975118211441","2"
"Often","2003","35-65 y.","Couple + C. GT 16 ","27","","","","2"
"Often","2003","35-65 y.","Couple + C. LE and GT 16","19","","","","2"
"Often","2003","66 and older","1-pers.-HH","7","","","","2"
"Often","2003","35-65 y.","Single parent ","5","","","","2"
"Often","2003","35-65 y.","Couple + C. LE 16 ","53","0.0167257272042023","0.0121205888541335","0.021330865554271","2"
"Often","2003","66 and older","(Married) couple without C. ","6","","","","2"
"Often","2003","66 and older","Single parent ","","","","","2"
"Often","2003","66 and older","Couple + C. LE 16 ","","","","","2"
"Often","2003","66 and older","Couple + C. GT 16 ","2","","","","2"
"Often","2003","66 and older","Couple + C. LE and GT 16","","","","","2"
"Rarely","2003","16-34 y.","Single parent ","159","0.334068414968737","0.29138155741309","0.376755272524384","4"
"Rarely","2003","16-34 y.","(Married) couple without C. ","461","0.43704529689428","0.406664576753745","0.467426017034815","4"
"Rarely","2003","16-34 y.","1-pers.-HH","277","0.408549204613104","0.371438462639567","0.445659946586641","4"
"Rarely","2003","16-34 y.","Couple + C. LE 16 ","474","0.355986865490335","0.330715406969178","0.381258324011491","4"
"Rarely","2003","16-34 y.","Couple + C. GT 16 ","516","0.333952564850908","0.309818637232648","0.358086492469168","4"
"Rarely","2003","16-34 y.","Couple + C. LE and GT 16","220","0.318751442699253","0.283701115120647","0.35380177027786","4"
"Rarely","2003","35-65 y.","1-pers.-HH","402","0.337909345165415","0.311572044103312","0.364246646227519","4"
"Rarely","2003","35-65 y.","(Married) couple without C. ","1210","0.296990023811858","0.282896596876593","0.311083450747122","4"
"Rarely","2003","35-65 y.","Single parent ","188","0.310382743276985","0.272534564300218","0.348230922253751","4"
"Rarely","2003","35-65 y.","Couple + C. LE 16 ","1155","0.382613034253374","0.365159979625385","0.400066088881364","4"
"Rarely","2003","35-65 y.","Couple + C. GT 16 ","738","0.285630187719127","0.267169504387325","0.304090871050929","4"
"Rarely","2003","35-65 y.","Couple + C. LE and GT 16","416","0.352135881813089","0.324566276963743","0.379705486662436","4"
"Rarely","2003","66 and older","1-pers.-HH","185","0.181314868935759","0.158110205561899","0.20451953230962","4"
"Rarely","2003","66 and older","(Married) couple without C. ","418","0.18875782897472","0.172387455978819","0.205128201970621","4"
"Rarely","2003","66 and older","Single parent ","14","","","","4"
"Rarely","2003","66 and older","Couple + C. LE 16 ","2","","","","4"
"Rarely","2003","66 and older","Couple + C. GT 16 ","51","0.274498458252202","0.208568791324426","0.340428125179979","4"
"Rarely","2003","66 and older","Couple + C. LE and GT 16","","","","","4"
"Sometimes","2003","35-65 y.","(Married) couple without C. ","368","0.0920850542895113","0.0831667540172273","0.101003354561795","3"
"Sometimes","2003","16-34 y.","1-pers.-HH","182","0.268787692098536","0.235318550156868","0.302256834040205","3"
"Sometimes","2003","16-34 y.","(Married) couple without C. ","231","0.246245579851046","0.21985813914353","0.272633020558562","3"
"Sometimes","2003","16-34 y.","Single parent ","120","0.265209595440524","0.225257641497211","0.305161549383836","3"
"Sometimes","2003","16-34 y.","Couple + C. LE 16 ","230","0.178965879071984","0.158734211522451","0.199197546621516","3"
"Sometimes","2003","16-34 y.","Couple + C. GT 16 ","437","0.297006043318182","0.273623514783867","0.320388571852497","3"
"Sometimes","2003","16-34 y.","Couple + C. LE and GT 16","186","0.27069605067593","0.237275896706333","0.304116204645527","3"
"Sometimes","2003","35-65 y.","1-pers.-HH","207","0.166825650671019","0.146066394076025","0.187584907266012","3"
"Sometimes","2003","35-65 y.","Single parent ","82","0.183440701981051","0.151779028861453","0.215102375100648","3"
"Sometimes","2003","35-65 y.","Couple + C. LE 16 ","345","0.119617759176032","0.107964529469218","0.131270988882847","3"
"Sometimes","2003","35-65 y.","Couple + C. GT 16 ","205","0.0953173961123701","0.0833163700867254","0.107318422138015","3"
"Sometimes","2003","35-65 y.","Couple + C. LE and GT 16","125","0.117779854041723","0.0991736650183052","0.136386043065141","3"
"Sometimes","2003","66 and older","(Married) couple without C. ","92","0.0370147697176502","0.0291165689736987","0.0449129704616018","3"
"Sometimes","2003","66 and older","Single parent ","1","","","","3"
"Sometimes","2003","66 and older","Couple + C. LE 16 ","1","","","","3"
"Sometimes","2003","66 and older","1-pers.-HH","58","0.0509471560743234","0.0377035796656032","0.0641907324830437","3"
"Sometimes","2003","66 and older","Couple + C. GT 16 ","9","","","","3"
"Sometimes","2003","66 and older","Couple + C. LE and GT 16","","","","","3"
"Very often","2003","16-34 y.","1-pers.-HH","12","","","","1"
"Very often","2003","16-34 y.","(Married) couple without C. ","9","","","","1"
"Very often","2003","16-34 y.","Single parent ","7","","","","1"
"Very often","2003","16-34 y.","Couple + C. LE 16 ","11","","","","1"
"Very often","2003","16-34 y.","Couple + C. GT 16 ","32","0.0245303775205025","0.0166146283370561","0.0324461267039489","1"
"Very often","2003","16-34 y.","Couple + C. LE and GT 16","23","","","","1"
"Very often","2003","35-65 y.","1-pers.-HH","4","","","","1"
"Very often","2003","35-65 y.","(Married) couple without C. ","9","","","","1"
"Very often","2003","35-65 y.","Single parent ","2","","","","1"
"Very often","2003","35-65 y.","Couple + C. LE 16 ","6","","","","1"
"Very often","2003","35-65 y.","Couple + C. GT 16 ","6","","","","1"
"Very often","2003","35-65 y.","Couple + C. LE and GT 16","1","","","","1"
"Very often","2003","66 and older","1-pers.-HH","2","","","","1"
"Very often","2003","66 and older","(Married) couple without C. ","2","","","","1"
"Very often","2003","66 and older","Single parent ","","","","","1"
"Very often","2003","66 and older","Couple + C. LE 16 ","","","","","1"
"Very often","2003","66 and older","Couple + C. GT 16 ","","","","","1"
"Very often","2003","66 and older","Couple + C. LE and GT 16","","","","","1"
"Never","2004","16-34 y.","Couple + C. LE and GT 16","","","","","5"
"Never","2004","16-34 y.","1-pers.-HH","","","","","5"
"Never","2004","16-34 y.","(Married) couple without C. ","","","","","5"
"Never","2004","16-34 y.","Single parent ","","","","","5"
"Never","2004","16-34 y.","Couple + C. LE 16 ","","","","","5"
"Never","2004","16-34 y.","Couple + C. GT 16 ","","","","","5"
"Never","2004","35-65 y.","1-pers.-HH","","","","","5"
"Never","2004","35-65 y.","(Married) couple without C. ","","","","","5"
"Never","2004","35-65 y.","Single parent ","","","","","5"
"Never","2004","35-65 y.","Couple + C. LE 16 ","","","","","5"
"Never","2004","35-65 y.","Couple + C. LE and GT 16","","","","","5"
"Never","2004","66 and older","1-pers.-HH","","","","","5"
"Never","2004","66 and older","(Married) couple without C. ","","","","","5"
"Never","2004","35-65 y.","Couple + C. GT 16 ","","","","","5"
"Never","2004","66 and older","Single parent ","","","","","5"
"Never","2004","66 and older","Couple + C. LE 16 ","","","","","5"
"Never","2004","66 and older","Couple + C. GT 16 ","","","","","5"
"Never","2004","66 and older","Couple + C. LE and GT 16","","","","","5"
"Often","2004","16-34 y.","Couple + C. GT 16 ","","","","","2"
"Often","2004","16-34 y.","1-pers.-HH","","","","","2"
"Often","2004","16-34 y.","(Married) couple without C. ","","","","","2"
"Often","2004","16-34 y.","Single parent ","","","","","2"
"Often","2004","16-34 y.","Couple + C. LE 16 ","","","","","2"
"Often","2004","16-34 y.","Couple + C. LE and GT 16","","","","","2"
"Often","2004","35-65 y.","1-pers.-HH","","","","","2"
"Often","2004","35-65 y.","Couple + C. GT 16 ","","","","","2"
"Often","2004","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"Often","2004","35-65 y.","(Married) couple without C. ","","","","","2"
"Often","2004","35-65 y.","Single parent ","","","","","2"
"Often","2004","35-65 y.","Couple + C. LE 16 ","","","","","2"
"Often","2004","66 and older","1-pers.-HH","","","","","2"
"Often","2004","66 and older","(Married) couple without C. ","","","","","2"
"Often","2004","66 and older","Single parent ","","","","","2"
"Often","2004","66 and older","Couple + C. LE 16 ","","","","","2"
"Often","2004","66 and older","Couple + C. GT 16 ","","","","","2"
"Often","2004","66 and older","Couple + C. LE and GT 16","","","","","2"
"Rarely","2004","16-34 y.","Single parent ","","","","","4"
"Rarely","2004","16-34 y.","1-pers.-HH","","","","","4"
"Rarely","2004","16-34 y.","(Married) couple without C. ","","","","","4"
"Rarely","2004","16-34 y.","Couple + C. LE 16 ","","","","","4"
"Rarely","2004","16-34 y.","Couple + C. GT 16 ","","","","","4"
"Rarely","2004","16-34 y.","Couple + C. LE and GT 16","","","","","4"
"Rarely","2004","35-65 y.","1-pers.-HH","","","","","4"
"Rarely","2004","35-65 y.","(Married) couple without C. ","","","","","4"
"Rarely","2004","35-65 y.","Single parent ","","","","","4"
"Rarely","2004","35-65 y.","Couple + C. LE 16 ","","","","","4"
"Rarely","2004","35-65 y.","Couple + C. GT 16 ","","","","","4"
"Rarely","2004","35-65 y.","Couple + C. LE and GT 16","","","","","4"
"Rarely","2004","66 and older","1-pers.-HH","","","","","4"
"Rarely","2004","66 and older","(Married) couple without C. ","","","","","4"
"Rarely","2004","66 and older","Single parent ","","","","","4"
"Rarely","2004","66 and older","Couple + C. LE 16 ","","","","","4"
"Rarely","2004","66 and older","Couple + C. GT 16 ","","","","","4"
"Rarely","2004","66 and older","Couple + C. LE and GT 16","","","","","4"
"Sometimes","2004","16-34 y.","Couple + C. LE 16 ","","","","","3"
"Sometimes","2004","35-65 y.","1-pers.-HH","","","","","3"
"Sometimes","2004","35-65 y.","(Married) couple without C. ","","","","","3"
"Sometimes","2004","16-34 y.","(Married) couple without C. ","","","","","3"
"Sometimes","2004","16-34 y.","Single parent ","","","","","3"
"Sometimes","2004","16-34 y.","1-pers.-HH","","","","","3"
"Sometimes","2004","16-34 y.","Couple + C. LE and GT 16","","","","","3"
"Sometimes","2004","35-65 y.","Couple + C. GT 16 ","","","","","3"
"Sometimes","2004","16-34 y.","Couple + C. GT 16 ","","","","","3"
"Sometimes","2004","35-65 y.","Single parent ","","","","","3"
"Sometimes","2004","35-65 y.","Couple + C. LE 16 ","","","","","3"
"Sometimes","2004","35-65 y.","Couple + C. LE and GT 16","","","","","3"
"Sometimes","2004","66 and older","(Married) couple without C. ","","","","","3"
"Sometimes","2004","66 and older","Single parent ","","","","","3"
