"pld0044","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","(0) in school","24","","",""
"Very often","2003","(1a) inadequately completed","","","",""
"Very often","2003","(1b) general elementary school","9","","",""
"Very often","2003","(1c) basic vocational qualification","23","","",""
"Very often","2003","(2b) intermediate general qualification","19","","",""
"Very often","2003","(2a) intermediate vocational","10","","",""
"Very often","2003","(2c_gen) general maturity certificate","17","","",""
"Very often","2003","(2c_voc) vocational maturity certificate","9","","",""
"Very often","2003","(3a) lower tertiary education","4","","",""
"Very often","2003","(3b) higher tertiary education","8","","",""
"Often","2003","(0) in school","114","0.151047038626875","0.122768585040891","0.179325492212859"
"Often","2003","(1a) inadequately completed","5","","",""
"Often","2003","(1b) general elementary school","77","0.0336490467046277","0.0260000764239251","0.0412980169853303"
"Often","2003","(1c) basic vocational qualification","82","0.0144025774913935","0.0114582056334993","0.0173469493492876"
"Often","2003","(2b) intermediate general qualification","55","0.0892771929776207","0.0670288955820873","0.111525490373154"
"Often","2003","(2a) intermediate vocational","76","0.016862726582348","0.0133393392510419","0.0203861139136541"
"Often","2003","(2c_gen) general maturity certificate","91","0.113324682630828","0.0922246509414997","0.134424714320157"
"Often","2003","(2c_voc) vocational maturity certificate","30","0.0220336121180509","0.0147701875037841","0.0292970367323177"
"Often","2003","(3a) lower tertiary education","24","","",""
"Often","2003","(3b) higher tertiary education","64","0.0326025316098459","0.0258048646548383","0.0394001985648535"
"Sometimes","2003","(0) in school","191","0.335037065020955","0.297763332710408","0.372310797331502"
"Sometimes","2003","(1a) inadequately completed","45","0.160195835291576","0.116606699200834","0.203784971382319"
"Sometimes","2003","(1b) general elementary school","221","0.0978305236766866","0.0852287868650507","0.110432260488323"
"Sometimes","2003","(1c) basic vocational qualification","624","0.103130862476826","0.0956149514035553","0.110646773550096"
"Sometimes","2003","(2b) intermediate general qualification","150","0.217561753082449","0.185369622410773","0.249753883754124"
"Sometimes","2003","(2a) intermediate vocational","582","0.120532688994514","0.111623222845957","0.12944215514307"
"Sometimes","2003","(2c_gen) general maturity certificate","254","0.299896259632534","0.269395878534382","0.330396640730686"
"Sometimes","2003","(2c_voc) vocational maturity certificate","264","0.1786860662889","0.159730508932358","0.197641623645443"
"Sometimes","2003","(3a) lower tertiary education","206","0.12649619050182","0.110773239229984","0.142219141773655"
"Sometimes","2003","(3b) higher tertiary education","368","0.153718811811125","0.139913297186896","0.167524326435354"
"Rarely","2003","(0) in school","179","0.284826708181615","0.249185391966494","0.320468024396735"
