"pld0044","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Urban Area","West Germany","101","0.00727753579132811","0.00581558345440141","0.0087394881282548"
"Very often","2003","Urban Area","East Germany","8","","",""
"Very often","2003","Rural Area","West Germany","17","","",""
"Very often","2003","Rural Area","East Germany","1","","",""
"Often","2003","Urban Area","West Germany","447","0.0337485845759721","0.0306425951909557","0.0368545739609885"
"Often","2003","Urban Area","East Germany","50","0.0248089308282195","0.0176688416102825","0.0319490200461565"
"Often","2003","Rural Area","West Germany","89","0.0206406385393335","0.0161141534949582","0.0251671235837088"
"Often","2003","Rural Area","East Germany","56","0.015126283392866","0.0110924468404967","0.0191601199452353"
"Sometimes","2003","Urban Area","West Germany","1892","0.147117645083689","0.141025025515025","0.153210264652354"
"Sometimes","2003","Urban Area","East Germany","219","0.106865621411844","0.0926837949185622","0.121047447905125"
"Sometimes","2003","Rural Area","West Germany","526","0.129200655696324","0.118521918674216","0.139879392718432"
"Sometimes","2003","Rural Area","East Germany","344","0.100747062426373","0.0907994458948423","0.110694678957903"
"Rarely","2003","Urban Area","West Germany","4197","0.313176670210453","0.305199583101676","0.321153757319231"
"Rarely","2003","Urban Area","East Germany","588","0.308202013702593","0.287005612097771","0.329398415307416"
"Rarely","2003","Rural Area","West Germany","1238","0.308874549573467","0.294165046830811","0.323584052316124"
"Rarely","2003","Rural Area","East Germany","1044","0.275012683932075","0.26025550057627","0.28976986728788"
"Never","2003","Urban Area","West Germany","6348","0.498679564338557","0.490079620721345","0.507279507955769"
"Never","2003","Urban Area","East Germany","958","0.555898462110883","0.533090124567373","0.578706799654392"
"Never","2003","Rural Area","West Germany","1920","0.535698114643207","0.519820371625677","0.551575857660737"
"Never","2003","Rural Area","East Germany","2072","0.608749762772406","0.592620719157749","0.624878806387063"
"Very often","2004","Urban Area","West Germany","","","",""
"Very often","2004","Urban Area","East Germany","","","",""
"Very often","2004","Rural Area","West Germany","","","",""
"Very often","2004","Rural Area","East Germany","","","",""
"Often","2004","Urban Area","West Germany","","","",""
"Often","2004","Urban Area","East Germany","","","",""
"Often","2004","Rural Area","West Germany","","","",""
"Often","2004","Rural Area","East Germany","","","",""
"Sometimes","2004","Urban Area","West Germany","","","",""
"Sometimes","2004","Urban Area","East Germany","","","",""
"Sometimes","2004","Rural Area","West Germany","","","",""
"Sometimes","2004","Rural Area","East Germany","","","",""
"Rarely","2004","Urban Area","West Germany","","","",""
"Rarely","2004","Urban Area","East Germany","","","",""
"Rarely","2004","Rural Area","West Germany","","","",""
"Rarely","2004","Rural Area","East Germany","","","",""
"Never","2004","Urban Area","West Germany","","","",""
"Never","2004","Urban Area","East Germany","","","",""
"Never","2004","Rural Area","West Germany","","","",""
"Never","2004","Rural Area","East Germany","","","",""
"Very often","2005","Urban Area","West Germany","","","",""
"Very often","2005","Urban Area","East Germany","","","",""
"Very often","2005","Rural Area","West Germany","","","",""
"Very often","2005","Rural Area","East Germany","","","",""
"Often","2005","Urban Area","West Germany","","","",""
"Often","2005","Urban Area","East Germany","","","",""
"Often","2005","Rural Area","West Germany","","","",""
"Often","2005","Rural Area","East Germany","","","",""
"Sometimes","2005","Urban Area","West Germany","","","",""
"Sometimes","2005","Urban Area","East Germany","","","",""
"Sometimes","2005","Rural Area","West Germany","","","",""
"Sometimes","2005","Rural Area","East Germany","","","",""
"Rarely","2005","Urban Area","West Germany","","","",""
"Rarely","2005","Urban Area","East Germany","","","",""
"Rarely","2005","Rural Area","West Germany","","","",""
"Rarely","2005","Rural Area","East Germany","","","",""
"Never","2005","Urban Area","West Germany","","","",""
"Never","2005","Urban Area","East Germany","","","",""
"Never","2005","Rural Area","West Germany","","","",""
"Never","2005","Rural Area","East Germany","","","",""
"Very often","2006","Urban Area","West Germany","","","",""
"Very often","2006","Urban Area","East Germany","","","",""
"Very often","2006","Rural Area","West Germany","","","",""
"Very often","2006","Rural Area","East Germany","","","",""
"Often","2006","Urban Area","West Germany","","","",""
"Often","2006","Urban Area","East Germany","","","",""
"Often","2006","Rural Area","West Germany","","","",""
"Often","2006","Rural Area","East Germany","","","",""
"Sometimes","2006","Urban Area","West Germany","","","",""
"Sometimes","2006","Urban Area","East Germany","","","",""
"Sometimes","2006","Rural Area","West Germany","","","",""
"Sometimes","2006","Rural Area","East Germany","","","",""
"Rarely","2006","Urban Area","West Germany","","","",""
"Rarely","2006","Urban Area","East Germany","","","",""
"Rarely","2006","Rural Area","West Germany","","","",""
"Rarely","2006","Rural Area","East Germany","","","",""
"Never","2006","Urban Area","West Germany","","","",""
"Never","2006","Urban Area","East Germany","","","",""
"Never","2006","Rural Area","West Germany","","","",""
"Never","2006","Rural Area","East Germany","","","",""
"Very often","2007","Urban Area","West Germany","","","",""
"Very often","2007","Urban Area","East Germany","","","",""
"Very often","2007","Rural Area","West Germany","","","",""
"Very often","2007","Rural Area","East Germany","","","",""
"Often","2007","Urban Area","West Germany","","","",""
"Often","2007","Urban Area","East Germany","","","",""
"Often","2007","Rural Area","West Germany","","","",""
"Often","2007","Rural Area","East Germany","","","",""
"Sometimes","2007","Urban Area","West Germany","","","",""
"Sometimes","2007","Urban Area","East Germany","","","",""
"Sometimes","2007","Rural Area","West Germany","","","",""
"Sometimes","2007","Rural Area","East Germany","","","",""
"Rarely","2007","Urban Area","West Germany","","","",""
"Rarely","2007","Urban Area","East Germany","","","",""
"Rarely","2007","Rural Area","West Germany","","","",""
"Rarely","2007","Rural Area","East Germany","","","",""
"Never","2007","Urban Area","West Germany","","","",""
"Never","2007","Urban Area","East Germany","","","",""
"Never","2007","Rural Area","West Germany","","","",""
"Never","2007","Rural Area","East Germany","","","",""
"Very often","2008","Urban Area","West Germany","62","0.00540474244269792","0.0040403042920555","0.00676918059334034"
"Very often","2008","Urban Area","East Germany","8","","",""
"Very often","2008","Rural Area","West Germany","16","","",""
"Very often","2008","Rural Area","East Germany","9","","",""
"Often","2008","Urban Area","West Germany","319","0.0321927770764078","0.0289079174814829","0.0354776366713327"
"Often","2008","Urban Area","East Germany","24","","",""
"Often","2008","Rural Area","West Germany","66","0.0202315210889579","0.0155253126909261","0.0249377294869896"
"Often","2008","Rural Area","East Germany","44","0.0169670305577051","0.0124134207464463","0.0215206403689639"
"Sometimes","2008","Urban Area","West Germany","1483","0.134266963503197","0.127922137167674","0.14061178983872"
"Sometimes","2008","Urban Area","East Germany","170","0.11535655231982","0.100039854916509","0.13067324972313"
"Sometimes","2008","Rural Area","West Germany","368","0.1203316788978","0.10945629443164","0.131207063363959"
"Sometimes","2008","Rural Area","East Germany","280","0.0870548472324136","0.0771148177226086","0.0969948767422186"
"Rarely","2008","Urban Area","West Germany","3549","0.316304635047739","0.307650428495758","0.324958841599719"
"Rarely","2008","Urban Area","East Germany","577","0.338735828075494","0.316043558736899","0.36142809741409"
"Rarely","2008","Rural Area","West Germany","1061","0.297812677596925","0.282526699335587","0.313098655858262"
"Rarely","2008","Rural Area","East Germany","876","0.305329450461952","0.289091072601417","0.321567828322487"
"Never","2008","Urban Area","West Germany","5679","0.511830881929959","0.502528555943457","0.521133207916461"
"Never","2008","Urban Area","East Germany","892","0.51941142037942","0.49545608053576","0.543366760223079"
"Never","2008","Rural Area","West Germany","1927","0.556180565007212","0.539572990197495","0.57278813981693"
"Never","2008","Rural Area","East Germany","1881","0.587409962341904","0.570051994722404","0.604767929961404"
"Very often","2009","Urban Area","West Germany","","","",""
"Very often","2009","Urban Area","East Germany","","","",""
"Very often","2009","Rural Area","West Germany","","","",""
"Very often","2009","Rural Area","East Germany","","","",""
"Often","2009","Urban Area","West Germany","","","",""
"Often","2009","Urban Area","East Germany","","","",""
"Often","2009","Rural Area","West Germany","","","",""
"Often","2009","Rural Area","East Germany","","","",""
"Sometimes","2009","Urban Area","West Germany","","","",""
"Sometimes","2009","Urban Area","East Germany","","","",""
"Sometimes","2009","Rural Area","West Germany","","","",""
"Sometimes","2009","Rural Area","East Germany","","","",""
"Rarely","2009","Urban Area","West Germany","","","",""
"Rarely","2009","Urban Area","East Germany","","","",""
"Rarely","2009","Rural Area","West Germany","","","",""
"Rarely","2009","Rural Area","East Germany","","","",""
"Never","2009","Urban Area","West Germany","","","",""
"Never","2009","Urban Area","East Germany","","","",""
"Never","2009","Rural Area","West Germany","","","",""
"Never","2009","Rural Area","East Germany","","","",""
"Very often","2010","Urban Area","West Germany","","","",""
"Very often","2010","Urban Area","East Germany","","","",""
"Very often","2010","Rural Area","West Germany","","","",""
"Very often","2010","Rural Area","East Germany","","","",""
"Often","2010","Urban Area","West Germany","","","",""
"Often","2010","Urban Area","East Germany","","","",""
"Often","2010","Rural Area","West Germany","","","",""
"Often","2010","Rural Area","East Germany","","","",""
"Sometimes","2010","Urban Area","West Germany","","","",""
"Sometimes","2010","Urban Area","East Germany","","","",""
"Sometimes","2010","Rural Area","West Germany","","","",""
"Sometimes","2010","Rural Area","East Germany","","","",""
"Rarely","2010","Urban Area","West Germany","","","",""
"Rarely","2010","Urban Area","East Germany","","","",""
"Rarely","2010","Rural Area","West Germany","","","",""
"Rarely","2010","Rural Area","East Germany","","","",""
"Never","2010","Urban Area","West Germany","","","",""
"Never","2010","Urban Area","East Germany","","","",""
"Never","2010","Rural Area","West Germany","","","",""
"Never","2010","Rural Area","East Germany","","","",""
"Very often","2011","Urban Area","West Germany","","","",""
"Very often","2011","Urban Area","East Germany","","","",""
"Very often","2011","Rural Area","West Germany","","","",""
"Very often","2011","Rural Area","East Germany","","","",""
"Often","2011","Urban Area","West Germany","","","",""
"Often","2011","Urban Area","East Germany","","","",""
"Often","2011","Rural Area","West Germany","","","",""
"Often","2011","Rural Area","East Germany","","","",""
"Sometimes","2011","Urban Area","West Germany","","","",""
"Sometimes","2011","Urban Area","East Germany","","","",""
"Sometimes","2011","Rural Area","West Germany","","","",""
"Sometimes","2011","Rural Area","East Germany","","","",""
"Rarely","2011","Urban Area","West Germany","","","",""
"Rarely","2011","Urban Area","East Germany","","","",""
"Rarely","2011","Rural Area","West Germany","","","",""
"Rarely","2011","Rural Area","East Germany","","","",""
"Never","2011","Urban Area","West Germany","","","",""
"Never","2011","Urban Area","East Germany","","","",""
"Never","2011","Rural Area","West Germany","","","",""
"Never","2011","Rural Area","East Germany","","","",""
"Very often","2012","Urban Area","West Germany","","","",""
"Very often","2012","Urban Area","East Germany","","","",""
"Very often","2012","Rural Area","West Germany","","","",""
"Very often","2012","Rural Area","East Germany","","","",""
"Often","2012","Urban Area","West Germany","","","",""
"Often","2012","Urban Area","East Germany","","","",""
"Often","2012","Rural Area","West Germany","","","",""
"Often","2012","Rural Area","East Germany","","","",""
"Sometimes","2012","Urban Area","West Germany","","","",""
"Sometimes","2012","Urban Area","East Germany","","","",""
"Sometimes","2012","Rural Area","West Germany","","","",""
"Sometimes","2012","Rural Area","East Germany","","","",""
"Rarely","2012","Urban Area","West Germany","","","",""
"Rarely","2012","Urban Area","East Germany","","","",""
"Rarely","2012","Rural Area","West Germany","","","",""
"Rarely","2012","Rural Area","East Germany","","","",""
"Never","2012","Urban Area","West Germany","","","",""
"Never","2012","Urban Area","East Germany","","","",""
"Never","2012","Rural Area","West Germany","","","",""
"Never","2012","Rural Area","East Germany","","","",""
"Very often","2013","Urban Area","West Germany","64","0.00325525585578944","0.00232174566519096","0.00418876604638792"
"Very often","2013","Urban Area","East Germany","11","","",""
"Very often","2013","Rural Area","West Germany","17","","",""
"Very often","2013","Rural Area","East Germany","6","","",""
"Often","2013","Urban Area","West Germany","484","0.0319026279829811","0.029022529939804","0.0347827260261583"
"Often","2013","Urban Area","East Germany","44","0.0196268933874563","0.0136294845641092","0.0256243022108033"
"Often","2013","Rural Area","West Germany","144","0.0247434751577025","0.0206249399045711","0.0288620104108339"
"Often","2013","Rural Area","East Germany","53","0.00971649118756741","0.00654420667598841","0.0128887756991464"
"Sometimes","2013","Urban Area","West Germany","2009","0.133390105635641","0.127818143563658","0.138962067707624"
"Sometimes","2013","Urban Area","East Germany","238","0.115279711979295","0.101472003396641","0.129087420561948"
"Sometimes","2013","Rural Area","West Germany","684","0.123391232645239","0.114671602498823","0.132110862791654"
"Sometimes","2013","Rural Area","East Germany","291","0.0820644510567264","0.0731883700771287","0.0909405320363242"
"Rarely","2013","Urban Area","West Germany","4595","0.323643702128205","0.315976165292812","0.331311238963598"
"Rarely","2013","Urban Area","East Germany","641","0.320056769626341","0.299887414451968","0.340226124800715"
"Rarely","2013","Rural Area","West Germany","1698","0.30047930254907","0.288324145523594","0.312634459574545"
"Rarely","2013","Rural Area","East Germany","1003","0.276428309320752","0.261964933568876","0.290891685072628"
"Never","2013","Urban Area","West Germany","7151","0.507808308397383","0.499615146021637","0.516001470773128"
"Never","2013","Urban Area","East Germany","1121","0.541218994954354","0.519674743596117","0.562763246312592"
"Never","2013","Rural Area","West Germany","2922","0.54939488846092","0.536203413056107","0.562586363865732"
"Never","2013","Rural Area","East Germany","2320","0.63147920865618","0.615878362563746","0.647080054748615"
"Very often","2014","Urban Area","West Germany","","","",""
"Very often","2014","Urban Area","East Germany","","","",""
"Very often","2014","Rural Area","West Germany","","","",""
"Very often","2014","Rural Area","East Germany","","","",""
"Often","2014","Urban Area","West Germany","","","",""
"Often","2014","Urban Area","East Germany","","","",""
"Often","2014","Rural Area","West Germany","","","",""
