"pld0044","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2003","(0) in school","West Germany","24","","",""
"Very often","2003","(0) in school","East Germany","","","",""
"Very often","2003","(1a) inadequately completed","West Germany","","","",""
"Very often","2003","(1a) inadequately completed","East Germany","","","",""
"Very often","2003","(1b) general elementary school","West Germany","9","","",""
"Very often","2003","(1b) general elementary school","East Germany","","","",""
"Very often","2003","(1c) basic vocational qualification","West Germany","21","","",""
"Very often","2003","(1c) basic vocational qualification","East Germany","2","","",""
"Very often","2003","(2b) intermediate general qualification","West Germany","17","","",""
"Very often","2003","(2b) intermediate general qualification","East Germany","2","","",""
"Very often","2003","(2a) intermediate vocational","West Germany","9","","",""
"Very often","2003","(2a) intermediate vocational","East Germany","1","","",""
"Very often","2003","(2c_gen) general maturity certificate","West Germany","16","","",""
"Very often","2003","(2c_gen) general maturity certificate","East Germany","1","","",""
"Very often","2003","(2c_voc) vocational maturity certificate","West Germany","8","","",""
"Very often","2003","(2c_voc) vocational maturity certificate","East Germany","1","","",""
"Very often","2003","(3a) lower tertiary education","West Germany","4","","",""
"Very often","2003","(3a) lower tertiary education","East Germany","","","",""
"Very often","2003","(3b) higher tertiary education","West Germany","6","","",""
"Very often","2003","(3b) higher tertiary education","East Germany","2","","",""
"Often","2003","(0) in school","West Germany","87","0.149106863389404","0.116342141034339","0.18187158574447"
"Often","2003","(0) in school","East Germany","27","","",""
"Often","2003","(1a) inadequately completed","West Germany","5","","",""
"Often","2003","(1a) inadequately completed","East Germany","","","",""
"Often","2003","(1b) general elementary school","West Germany","75","0.0370184454099972","0.0284860344320978","0.0455508563878965"
"Often","2003","(1b) general elementary school","East Germany","2","","",""
"Often","2003","(1c) basic vocational qualification","West Germany","73","0.0153910726284667","0.0120128617381597","0.0187692835187737"
"Often","2003","(1c) basic vocational qualification","East Germany","9","","",""
"Often","2003","(2b) intermediate general qualification","West Germany","42","0.0941792666685721","0.0675459112952153","0.120812622041929"
"Often","2003","(2b) intermediate general qualification","East Germany","13","","",""
"Often","2003","(2a) intermediate vocational","West Germany","57","0.0188077921244153","0.0141750326009524","0.0234405516478782"
"Often","2003","(2a) intermediate vocational","East Germany","19","","",""
"Often","2003","(2c_gen) general maturity certificate","West Germany","71","0.118764303777077","0.0945377405704756","0.142990866983679"
"Often","2003","(2c_gen) general maturity certificate","East Germany","20","","",""
"Often","2003","(2c_voc) vocational maturity certificate","West Germany","29","","",""
"Often","2003","(2c_voc) vocational maturity certificate","East Germany","1","","",""
"Often","2003","(3a) lower tertiary education","West Germany","18","","",""
"Often","2003","(3a) lower tertiary education","East Germany","6","","",""
"Often","2003","(3b) higher tertiary education","West Germany","57","0.0360285651415605","0.0279076361099942","0.0441494941731268"
"Often","2003","(3b) higher tertiary education","East Germany","7","","",""
"Sometimes","2003","(0) in school","West Germany","143","0.334285991515891","0.290892649310236","0.377679333721545"
"Sometimes","2003","(0) in school","East Germany","48","0.337817091200776","0.264985403063586","0.410648779337965"
"Sometimes","2003","(1a) inadequately completed","West Germany","43","0.166262057895999","0.120110172713004","0.212413943078994"
"Sometimes","2003","(1a) inadequately completed","East Germany","2","","",""
"Sometimes","2003","(1b) general elementary school","West Germany","206","0.10093564921398","0.087322099789554","0.114549198638406"
"Sometimes","2003","(1b) general elementary school","East Germany","15","","",""
"Sometimes","2003","(1c) basic vocational qualification","West Germany","545","0.109788847677575","0.101209662182762","0.118368033172387"
"Sometimes","2003","(1c) basic vocational qualification","East Germany","79","0.0646077086025823","0.0506344973085311","0.0785809198966336"
"Sometimes","2003","(2b) intermediate general qualification","West Germany","116","0.226971178524363","0.188775845342387","0.265166511706339"
"Sometimes","2003","(2b) intermediate general qualification","East Germany","34","0.181244004388093","0.123165715879455","0.239322292896732"
"Sometimes","2003","(2a) intermediate vocational","West Germany","403","0.127890869722032","0.116501518359401","0.139280221084662"
"Sometimes","2003","(2a) intermediate vocational","East Germany","179","0.103183832922502","0.0892350485776749","0.117132617267329"
"Sometimes","2003","(2c_gen) general maturity certificate","West Germany","209","0.307005425083216","0.272463960531181","0.341546889635252"
"Sometimes","2003","(2c_gen) general maturity certificate","East Germany","45","0.261244146254311","0.197419833287395","0.325068459221226"
"Sometimes","2003","(2c_voc) vocational maturity certificate","West Germany","234","0.182730059376331","0.162326250689376","0.203133868063286"
"Sometimes","2003","(2c_voc) vocational maturity certificate","East Germany","30","0.134526461940815","0.0861357329702569","0.182917190911373"
"Sometimes","2003","(3a) lower tertiary education","West Germany","154","0.153052924355684","0.131075959646413","0.175029889064956"
"Sometimes","2003","(3a) lower tertiary education","East Germany","52","0.0719831239688653","0.0526421065795647","0.091324141358166"
"Sometimes","2003","(3b) higher tertiary education","West Germany","307","0.163550866876252","0.147433416470924","0.17966831728158"
"Sometimes","2003","(3b) higher tertiary education","East Germany","61","0.111526745961964","0.0863182825130299","0.136735209410898"
"Rarely","2003","(0) in school","West Germany","125","0.275093172043176","0.234015940563944","0.316170403522407"
"Rarely","2003","(0) in school","East Germany","54","0.320854453941034","0.2489714780279","0.392737429854169"
"Rarely","2003","(1a) inadequately completed","West Germany","55","0.189823156924128","0.141211256964345","0.238435056883911"
"Rarely","2003","(1a) inadequately completed","East Germany","2","","",""
"Rarely","2003","(1b) general elementary school","West Germany","430","0.21820937863982","0.199544050571163","0.236874706708476"
"Rarely","2003","(1b) general elementary school","East Germany","53","0.174473383553214","0.127800851295801","0.221145915810627"
"Rarely","2003","(1c) basic vocational qualification","West Germany","1458","0.279607995948274","0.267291712804391","0.291924279092158"
