"pld0044","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","16-34 y.","Not Employed","495","0.303234507470701","0.281028739201054","0.325440275740349","5"
"Never","2003","16-34 y.","Employed","1235","0.288462896216833","0.274784203892914","0.302141588540751","5"
"Never","2003","35-65 y.","Not Employed","1973","0.638027653561493","0.620955700236471","0.655099606886514","5"
"Never","2003","35-65 y.","Employed","4840","0.496301015199232","0.486286864056705","0.50631516634176","5"
"Never","2003","66 and older","Not Employed","2624","0.770275215094276","0.756191477409994","0.784358952778558","5"
"Never","2003","66 and older","Employed","131","0.63517809663494","0.569758986439551","0.700597206830328","5"
"Often","2003","35-65 y.","Not Employed","40","0.0151247167080679","0.0107890088593656","0.0194604245567701","2"
"Often","2003","16-34 y.","Not Employed","156","0.0819179213674751","0.0686695225761993","0.0951663201587509","2"
"Often","2003","16-34 y.","Employed","279","0.0701867450460677","0.062473693336148","0.0778997967559873","2"
"Often","2003","66 and older","Not Employed","14","","","","2"
"Often","2003","35-65 y.","Employed","151","0.0184800681843531","0.0157825935555825","0.0211775428131238","2"
"Often","2003","66 and older","Employed","2","","","","2"
"Rarely","2003","35-65 y.","Not Employed","766","0.251911446234309","0.236489960286097","0.267332932182521","4"
"Rarely","2003","16-34 y.","Not Employed","546","0.313515337980495","0.291103473331092","0.335927202629898","4"
"Rarely","2003","16-34 y.","Employed","1624","0.388750141735149","0.374032253817431","0.403468029652868","4"
"Rarely","2003","66 and older","Not Employed","638","0.186656300647807","0.173611140372404","0.199701460923211","4"
"Rarely","2003","35-65 y.","Employed","3439","0.352105027433269","0.342538717651274","0.361671337215264","4"
"Rarely","2003","66 and older","Employed","54","0.239725459790072","0.181707997680626","0.297742921899518","4"
"Sometimes","2003","16-34 y.","Not Employed","419","0.285696934149938","0.263873292458426","0.307520575841451","3"
"Sometimes","2003","16-34 y.","Employed","1012","0.234430451273835","0.221639578992109","0.247221323555562","3"
"Sometimes","2003","35-65 y.","Not Employed","258","0.0929685676148714","0.0826527179236108","0.103284417306132","3"
"Sometimes","2003","66 and older","Not Employed","148","0.038791400944074","0.0323264148559014","0.0452563870322466","3"
"Sometimes","2003","35-65 y.","Employed","1124","0.130870523080239","0.124115619081306","0.137625427079171","3"
"Sometimes","2003","66 and older","Employed","20","","","","3"
"Very often","2003","16-34 y.","Not Employed","30","0.0156352990313902","0.00964202290523923","0.0216285751575412","1"
"Very often","2003","16-34 y.","Employed","64","0.0181697657281146","0.0141370863904728","0.0222024450657564","1"
"Very often","2003","35-65 y.","Not Employed","7","","","","1"
"Very often","2003","35-65 y.","Employed","22","","","","1"
"Very often","2003","66 and older","Not Employed","3","","","","1"
"Very often","2003","66 and older","Employed","1","","","","1"
"Never","2004","16-34 y.","Not Employed","","","","","5"
"Never","2004","16-34 y.","Employed","","","","","5"
"Never","2004","35-65 y.","Not Employed","","","","","5"
"Never","2004","35-65 y.","Employed","","","","","5"
"Never","2004","66 and older","Not Employed","","","","","5"
"Never","2004","66 and older","Employed","","","","","5"
"Often","2004","16-34 y.","Employed","","","","","2"
"Often","2004","16-34 y.","Not Employed","","","","","2"
"Often","2004","35-65 y.","Not Employed","","","","","2"
