"pld0044","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Not Employed","Rural Area","1811","0.68992628718778","0.672620559784005","0.707232014591555","5"
"Never","2003","Employed","Urban Area","4025","0.416413879192724","0.406466876987223","0.426360881398225","5"
"Never","2003","Employed","Rural Area","2181","0.477406840751379","0.4629141496489","0.491899531853858","5"
"Never","2003","Not Employed","Urban Area","3281","0.630921772474402","0.61801889297973","0.643824651969075","5"
"Often","2003","Not Employed","Rural Area","52","0.0114390163726575","0.0074602163549727","0.0154178163903424","2"
"Often","2003","Employed","Urban Area","339","0.038940247131081","0.0350367695840627","0.0428437246780993","2"
"Often","2003","Not Employed","Urban Area","158","0.0242067490577582","0.0200972696388558","0.0283162284766606","2"
"Often","2003","Employed","Rural Area","93","0.0233290784985919","0.0189493642350259","0.0277087927621579","2"
"Rarely","2003","Not Employed","Rural Area","621","0.205856967714119","0.190728735295527","0.220985200132711","4"
"Rarely","2003","Not Employed","Urban Area","1329","0.24038678100724","0.22896085996428","0.251812702050199","4"
"Rarely","2003","Employed","Urban Area","3456","0.362560092189821","0.352859756518899","0.372260427860743","4"
"Rarely","2003","Employed","Rural Area","1661","0.358008295444783","0.344098071888433","0.371918519001134","4"
"Sometimes","2003","Not Employed","Rural Area","254","0.0905264117546153","0.079790504863415","0.101262318645816","3"
"Sometimes","2003","Employed","Rural Area","616","0.136896639320631","0.126923069006156","0.146870209635105","3"
"Sometimes","2003","Employed","Urban Area","1540","0.173099294848982","0.165465306913622","0.180733282784342","3"
"Sometimes","2003","Not Employed","Urban Area","571","0.100372735058429","0.0923378650586137","0.108407605058243","3"
"Very often","2003","Not Employed","Urban Area","34","0.00411196240217131","0.00240088562872187","0.00582303917562075","1"
"Very often","2003","Not Employed","Rural Area","6","","","","1"
"Very often","2003","Employed","Urban Area","75","0.00898648663739156","0.00708228956347363","0.0108906837113095","1"
"Very often","2003","Employed","Rural Area","12","","","","1"
"Never","2004","Employed","Urban Area","","","","","5"
"Never","2004","Employed","Rural Area","","","","","5"
"Never","2004","Not Employed","Urban Area","","","","","5"
"Never","2004","Not Employed","Rural Area","","","","","5"
"Often","2004","Employed","Urban Area","","","","","2"
"Often","2004","Not Employed","Urban Area","","","","","2"
"Often","2004","Not Employed","Rural Area","","","","","2"
"Often","2004","Employed","Rural Area","","","","","2"
"Rarely","2004","Not Employed","Urban Area","","","","","4"
"Rarely","2004","Not Employed","Rural Area","","","","","4"
"Rarely","2004","Employed","Urban Area","","","","","4"
"Rarely","2004","Employed","Rural Area","","","","","4"
"Sometimes","2004","Not Employed","Urban Area","","","","","3"
"Sometimes","2004","Employed","Urban Area","","","","","3"
"Sometimes","2004","Employed","Rural Area","","","","","3"
"Sometimes","2004","Not Employed","Rural Area","","","","","3"
"Very often","2004","Not Employed","Urban Area","","","","","1"
"Very often","2004","Not Employed","Rural Area","","","","","1"
"Very often","2004","Employed","Urban Area","","","","","1"
"Very often","2004","Employed","Rural Area","","","","","1"
"Never","2005","Not Employed","Urban Area","","","","","5"
"Never","2005","Not Employed","Rural Area","","","","","5"
"Never","2005","Employed","Urban Area","","","","","5"
"Never","2005","Employed","Rural Area","","","","","5"
"Often","2005","Not Employed","Urban Area","","","","","2"
"Often","2005","Not Employed","Rural Area","","","","","2"
"Often","2005","Employed","Rural Area","","","","","2"
"Often","2005","Employed","Urban Area","","","","","2"
"Rarely","2005","Not Employed","Urban Area","","","","","4"
"Rarely","2005","Employed","Rural Area","","","","","4"
"Rarely","2005","Not Employed","Rural Area","","","","","4"
"Rarely","2005","Employed","Urban Area","","","","","4"
"Sometimes","2005","Employed","Rural Area","","","","","3"
"Sometimes","2005","Not Employed","Urban Area","","","","","3"
"Sometimes","2005","Not Employed","Rural Area","","","","","3"
"Sometimes","2005","Employed","Urban Area","","","","","3"
"Very often","2005","Employed","Rural Area","","","","","1"
"Very often","2005","Not Employed","Urban Area","","","","","1"
"Very often","2005","Not Employed","Rural Area","","","","","1"
"Very often","2005","Employed","Urban Area","","","","","1"
"Never","2006","Not Employed","Urban Area","","","","","5"
"Never","2006","Not Employed","Rural Area","","","","","5"
"Never","2006","Employed","Urban Area","","","","","5"
"Never","2006","Employed","Rural Area","","","","","5"
"Often","2006","Not Employed","Urban Area","","","","","2"
"Often","2006","Not Employed","Rural Area","","","","","2"
"Often","2006","Employed","Rural Area","","","","","2"
"Often","2006","Employed","Urban Area","","","","","2"
"Rarely","2006","Employed","Rural Area","","","","","4"
"Rarely","2006","Not Employed","Urban Area","","","","","4"
"Rarely","2006","Not Employed","Rural Area","","","","","4"
"Rarely","2006","Employed","Urban Area","","","","","4"
"Sometimes","2006","Employed","Rural Area","","","","","3"
"Sometimes","2006","Not Employed","Urban Area","","","","","3"
"Sometimes","2006","Not Employed","Rural Area","","","","","3"
"Sometimes","2006","Employed","Urban Area","","","","","3"
"Very often","2006","Employed","Rural Area","","","","","1"
"Very often","2006","Not Employed","Urban Area","","","","","1"
"Very often","2006","Not Employed","Rural Area","","","","","1"
"Very often","2006","Employed","Urban Area","","","","","1"
"Never","2007","Employed","Rural Area","","","","","5"
"Never","2007","Not Employed","Urban Area","","","","","5"
"Never","2007","Not Employed","Rural Area","","","","","5"
"Never","2007","Employed","Urban Area","","","","","5"
"Often","2007","Employed","Rural Area","","","","","2"
"Often","2007","Not Employed","Urban Area","","","","","2"
"Often","2007","Employed","Urban Area","","","","","2"
"Often","2007","Not Employed","Rural Area","","","","","2"
"Rarely","2007","Employed","Rural Area","","","","","4"
"Rarely","2007","Employed","Urban Area","","","","","4"
"Rarely","2007","Not Employed","Urban Area","","","","","4"
"Rarely","2007","Not Employed","Rural Area","","","","","4"
"Sometimes","2007","Employed","Rural Area","","","","","3"
"Sometimes","2007","Employed","Urban Area","","","","","3"
"Sometimes","2007","Not Employed","Urban Area","","","","","3"
"Sometimes","2007","Not Employed","Rural Area","","","","","3"
"Very often","2007","Employed","Rural Area","","","","","1"
"Very often","2007","Employed","Urban Area","","","","","1"
"Very often","2007","Not Employed","Urban Area","","","","","1"
"Very often","2007","Not Employed","Rural Area","","","","","1"
"Never","2008","Employed","Rural Area","2051","0.494270586038438","0.478724169542049","0.509817002534828","5"
"Never","2008","Not Employed","Urban Area","3066","0.640498148442827","0.627007293848592","0.653989003037063","5"
"Never","2008","Not Employed","Rural Area","1757","0.681334465024808","0.663266869254307","0.699402060795309","5"
"Never","2008","Employed","Urban Area","3505","0.429927950313247","0.419013174638718","0.440842725987775","5"
"Often","2008","Employed","Rural Area","62","0.0187426341388582","0.014525711951663","0.0229595563260533","2"
"Often","2008","Not Employed","Urban Area","117","0.0252015639749031","0.0207949894953909","0.0296081384544152","2"
"Often","2008","Employed","Urban Area","226","0.0349057782811059","0.0308592216691172","0.0389523348930946","2"
"Often","2008","Not Employed","Rural Area","48","0.0194136270552878","0.0140636871121549","0.0247635669984208","2"
"Rarely","2008","Employed","Rural Area","1377","0.350134550294812","0.335301925311237","0.364967175278386","4"
