"pld0044","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","West Germany","21","","",""
"Very often","2003","lower secondary degree","East Germany","2","","",""
"Very often","2003","secondary school degree","West Germany","26","","",""
"Very often","2003","secondary school degree","East Germany","4","","",""
"Very often","2003","college entrance qualification","West Germany","28","","",""
"Very often","2003","college entrance qualification","East Germany","3","","",""
"Very often","2003","Other degree","West Germany","15","","",""
"Very often","2003","Other degree","East Germany","","","",""
"Very often","2003","no degree/no degree yet","West Germany","24","","",""
"Very often","2003","no degree/no degree yet","East Germany","","","",""
"Often","2003","lower secondary degree","West Germany","133","0.0198186581251442","0.0163862462155659","0.0232510700347225"
"Often","2003","lower secondary degree","East Germany","12","","",""
"Often","2003","secondary school degree","West Germany","104","0.0278856264391158","0.0228048623636918","0.0329663905145398"
"Often","2003","secondary school degree","East Germany","35","0.0157084444510381","0.0107243441580307","0.0206925447440455"
"Often","2003","college entrance qualification","West Germany","150","0.0397972692224364","0.0339558147947349","0.0456387236501378"
"Often","2003","college entrance qualification","East Germany","29","","",""
"Often","2003","Other degree","West Germany","34","0.0350164195271975","0.0245503227519398","0.0454825163024553"
"Often","2003","Other degree","East Germany","1","","",""
"Often","2003","no degree/no degree yet","West Germany","92","0.0898717985300903","0.0687753795124123","0.110968217547768"
"Often","2003","no degree/no degree yet","East Germany","27","","",""
"Sometimes","2003","lower secondary degree","West Germany","638","0.101629324131771","0.0941880661065689","0.109070582156972"
"Sometimes","2003","lower secondary degree","East Germany","99","0.0654601614538362","0.053111092444581","0.0778092304630914"
"Sometimes","2003","secondary school degree","West Germany","545","0.134800788007465","0.124262151698013","0.145339424316917"
"Sometimes","2003","secondary school degree","East Germany","238","0.104252049255141","0.0920032500620893","0.116500848448193"
"Sometimes","2003","college entrance qualification","West Germany","786","0.19515912956302","0.183316113038521","0.20700214608752"
"Sometimes","2003","college entrance qualification","East Germany","155","0.134932762436161","0.114905996257494","0.154959528614829"
"Sometimes","2003","Other degree","West Germany","204","0.178725195044286","0.156911659816015","0.200538730272556"
"Sometimes","2003","Other degree","East Germany","3","","",""
"Sometimes","2003","no degree/no degree yet","West Germany","186","0.257665782748866","0.225405077673839","0.289926487823894"
"Sometimes","2003","no degree/no degree yet","East Germany","50","0.292441312773658","0.226714923348628","0.358167702198688"
"Rarely","2003","lower secondary degree","West Germany","1757","0.26707735275662","0.256181614452381","0.277973091060859"
