"pld0044","year","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2003","no migration background","84","0.00461719514999381","0.00364616445783094","0.00558822584215668"
"Very often","2003","direct migration background","30","0.0109167474456315","0.00692796241606117","0.0149055324752018"
"Very often","2003","indirect migration background","13","","",""
"Often","2003","no migration background","471","0.0236567824178902","0.0214799355997955","0.025833629235985"
"Often","2003","direct migration background","100","0.0423853889884997","0.0346518007706079","0.0501189772063916"
"Often","2003","indirect migration background","71","0.100105617249479","0.0790961493138765","0.121115085185081"
"Sometimes","2003","no migration background","2317","0.121982254537625","0.11729467392395","0.126669835151301"
"Sometimes","2003","direct migration background","468","0.197427512439469","0.182147505687857","0.212707519191081"
"Sometimes","2003","indirect migration background","196","0.244071090209913","0.214004186439694","0.274137993980131"
"Rarely","2003","no migration background","6086","0.31220104389238","0.305563663525159","0.318838424259601"
"Rarely","2003","direct migration background","710","0.268353002299043","0.251343891817538","0.285362112780549"
"Rarely","2003","indirect migration background","271","0.336746155987592","0.303664954765957","0.369827357209226"
"Never","2003","no migration background","9766","0.53754272400211","0.530401197091316","0.544684250912904"
"Never","2003","direct migration background","1299","0.480917348827356","0.461738123803419","0.500096573851293"
"Never","2003","indirect migration background","233","0.298890553868875","0.266847118994219","0.330933988743531"
"Very often","2004","no migration background","","","",""
"Very often","2004","direct migration background","","","",""
"Very often","2004","indirect migration background","","","",""
"Often","2004","no migration background","","","",""
"Often","2004","direct migration background","","","",""
"Often","2004","indirect migration background","","","",""
"Sometimes","2004","no migration background","","","",""
"Sometimes","2004","direct migration background","","","",""
"Sometimes","2004","indirect migration background","","","",""
"Rarely","2004","no migration background","","","",""
"Rarely","2004","direct migration background","","","",""
"Rarely","2004","indirect migration background","","","",""
"Never","2004","no migration background","","","",""
"Never","2004","direct migration background","","","",""
"Never","2004","indirect migration background","","","",""
"Very often","2005","no migration background","","","",""
"Very often","2005","direct migration background","","","",""
"Very often","2005","indirect migration background","","","",""
"Often","2005","no migration background","","","",""
"Often","2005","direct migration background","","","",""
"Often","2005","indirect migration background","","","",""
"Sometimes","2005","no migration background","","","",""
"Sometimes","2005","direct migration background","","","",""
"Sometimes","2005","indirect migration background","","","",""
"Rarely","2005","no migration background","","","",""
"Rarely","2005","direct migration background","","","",""
"Rarely","2005","indirect migration background","","","",""
"Never","2005","no migration background","","","",""
"Never","2005","direct migration background","","","",""
"Never","2005","indirect migration background","","","",""
"Very often","2006","no migration background","","","",""
"Very often","2006","direct migration background","","","",""
"Very often","2006","indirect migration background","","","",""
"Often","2006","no migration background","","","",""
"Often","2006","direct migration background","","","",""
