"pld0044","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Part Time","indirect migration background","59","0.274433612856058","0.216127503732384","0.332739721979733","5"
"Never","2003","Full Time","no migration background","3429","0.437085978547513","0.425969208506347","0.448202748588679","5"
"Never","2003","Full Time","direct migration background","387","0.376730936074266","0.345453146149347","0.408008725999186","5"
"Never","2003","Part Time","no migration background","1962","0.464154962001543","0.449164929702946","0.47914499430014","5"
"Never","2003","Part Time","direct migration background","279","0.433315886498255","0.394894725272741","0.471737047723768","5"
"Never","2003","Full Time","indirect migration background","90","0.294058086703526","0.243502187252534","0.344613986154517","5"
"Never","2003","Not Working","no migration background","4375","0.667593785657396","0.656416939020749","0.678770632294042","5"
"Never","2003","Not Working","direct migration background","633","0.593239903056736","0.563470741878504","0.623009064234969","5"
"Never","2003","Not Working","indirect migration background","84","0.325533954266684","0.267098314015837","0.383969594517531","5"
"Often","2003","Full Time","direct migration background","49","0.0621097016447551","0.0465307448186582","0.077688658470852","2"
"Often","2003","Full Time","no migration background","174","0.0291560096199017","0.0253853883144567","0.0329266309253466","2"
"Often","2003","Part Time","no migration background","143","0.0282421394959963","0.0232627133984475","0.0332215655935452","2"
"Often","2003","Part Time","direct migration background","22","","","","2"
"Often","2003","Full Time","indirect migration background","23","","","","2"
"Often","2003","Part Time","indirect migration background","21","","","","2"
"Often","2003","Not Working","direct migration background","29","","","","2"
"Often","2003","Not Working","indirect migration background","27","","","","2"
"Often","2003","Not Working","no migration background","154","0.0162454069851961","0.0132459870997995","0.0192448268705927","2"
"Rarely","2003","Full Time","no migration background","2950","0.381504417063172","0.370617817772589","0.392391016353755","4"
"Rarely","2003","Full Time","direct migration background","292","0.332448443430105","0.302040490181363","0.362856396678848","4"
"Rarely","2003","Full Time","indirect migration background","116","0.378142642708249","0.324334994576511","0.431950290839986","4"
"Rarely","2003","Part Time","no migration background","1494","0.347240228995357","0.332930112450469","0.361550345540244","4"
"Rarely","2003","Part Time","direct migration background","192","0.280225227495791","0.245403558124627","0.315046896866955","4"
"Rarely","2003","Part Time","indirect migration background","73","0.314329703080006","0.25366903189605","0.374990374263963","4"
"Rarely","2003","Not Working","no migration background","1642","0.230498717768809","0.220506370640446","0.240491064897173","4"
"Rarely","2003","Not Working","direct migration background","226","0.20938502881691","0.184728179633343","0.234041878000478","4"
"Rarely","2003","Not Working","indirect migration background","82","0.30617051880046","0.248691721259453","0.363649316341467","4"
"Sometimes","2003","Full Time","direct migration background","183","0.217768694156396","0.191127851937844","0.244409536374949","3"
"Sometimes","2003","Part Time","indirect migration background","67","0.27408980002402","0.215806421536239","0.3323731785118","3"
"Sometimes","2003","Not Working","no migration background","628","0.0829716656651043","0.0764270392087012","0.0895162921215073","3"
"Sometimes","2003","Full Time","no migration background","1071","0.147734224282403","0.139781750721563","0.155686697843244","3"
"Sometimes","2003","Full Time","indirect migration background","80","0.236419662797168","0.189274193950544","0.283565131643792","3"
"Sometimes","2003","Part Time","no migration background","618","0.1518242189421","0.141038106966722","0.162610330917479","3"
