"pld0044","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2003","1-pers.-HH","Urban Area","16","","",""
"Very often","2003","1-pers.-HH","Rural Area","2","","",""
"Very often","2003","(Married) couple without C. ","Urban Area","18","","",""
"Very often","2003","(Married) couple without C. ","Rural Area","2","","",""
"Very often","2003","Single parent ","Urban Area","9","","",""
"Very often","2003","Single parent ","Rural Area","","","",""
"Very often","2003","Couple + C. LE 16 ","Urban Area","17","","",""
"Very often","2003","Couple + C. LE 16 ","Rural Area","","","",""
"Very often","2003","Couple + C. GT 16 ","Urban Area","30","0.00984985930585381","0.00595366099557377","0.0137460576161338"
"Very often","2003","Couple + C. GT 16 ","Rural Area","8","","",""
"Very often","2003","Couple + C. LE and GT 16","Urban Area","18","","",""
"Very often","2003","Couple + C. LE and GT 16","Rural Area","6","","",""
"Often","2003","1-pers.-HH","Urban Area","70","0.0352925492079535","0.027445431526924","0.0431396668889831"
"Often","2003","1-pers.-HH","Rural Area","18","","",""
"Often","2003","(Married) couple without C. ","Urban Area","78","0.0167525925406444","0.0131564830936167","0.0203487019876722"
"Often","2003","(Married) couple without C. ","Rural Area","13","","",""
"Often","2003","Single parent ","Urban Area","36","0.0485025381720618","0.0329612822842854","0.0640437940598382"
"Often","2003","Single parent ","Rural Area","12","","",""
"Often","2003","Couple + C. LE 16 ","Urban Area","81","0.0315663768965223","0.0253004231752408","0.0378323306178038"
"Often","2003","Couple + C. LE 16 ","Rural Area","12","","",""
"Often","2003","Couple + C. GT 16 ","Urban Area","129","0.0491723719011146","0.0406416263486862","0.0577031174535429"
"Often","2003","Couple + C. GT 16 ","Rural Area","54","0.0406570145597592","0.0305782621717699","0.0507357669477485"
"Often","2003","Couple + C. LE and GT 16","Urban Area","91","0.0650714190238726","0.0510868690447481","0.0790559690029972"
"Often","2003","Couple + C. LE and GT 16","Rural Area","27","","",""
"Sometimes","2003","1-pers.-HH","Urban Area","339","0.150257790203886","0.135061662679223","0.16545391772855"
"Sometimes","2003","1-pers.-HH","Rural Area","108","0.121483266670962","0.0994953838076279","0.143471149534297"
"Sometimes","2003","(Married) couple without C. ","Urban Area","494","0.0992546555208955","0.0908767214306189","0.107632589611172"
"Sometimes","2003","(Married) couple without C. ","Rural Area","197","0.0752540825674061","0.0646199860184593","0.0858881791163529"
"Sometimes","2003","Single parent ","Urban Area","137","0.208762406896949","0.179360217870965","0.238164595922933"
"Sometimes","2003","Single parent ","Rural Area","66","0.205678253509194","0.165145246500079","0.246211260518309"
"Sometimes","2003","Couple + C. LE 16 ","Urban Area","434","0.150389727179541","0.137579440534254","0.163200013824828"
"Sometimes","2003","Couple + C. LE 16 ","Rural Area","142","0.114559117179864","0.0977004212368684","0.131417813122859"
"Sometimes","2003","Couple + C. GT 16 ","Urban Area","429","0.181408814369582","0.16620550133102","0.196612127408144"
"Sometimes","2003","Couple + C. GT 16 ","Rural Area","222","0.139305987264983","0.121634977655885","0.156976996874081"
"Sometimes","2003","Couple + C. LE and GT 16","Urban Area","205","0.169027009397352","0.147778148858865","0.190275869935839"
"Sometimes","2003","Couple + C. LE and GT 16","Rural Area","106","0.189368617219826","0.158990323811673","0.21974691062798"
"Rarely","2003","1-pers.-HH","Urban Area","653","0.308733352815365","0.289086842930557","0.328379862700172"
"Rarely","2003","1-pers.-HH","Rural Area","211","0.244823224776685","0.215883074327617","0.273763375225753"
"Rarely","2003","(Married) couple without C. ","Urban Area","1462","0.28352070719793","0.270892122058889","0.296149292336971"
"Rarely","2003","(Married) couple without C. ","Rural Area","627","0.260411534048486","0.242720650338804","0.278102417758168"
"Rarely","2003","Single parent ","Urban Area","223","0.308431787813542","0.275020198227041","0.341843377400043"
"Rarely","2003","Single parent ","Rural Area","138","0.33198660864299","0.284761901123893","0.379211316162087"
"Rarely","2003","Couple + C. LE 16 ","Urban Area","1109","0.370034497126004","0.352731578098575","0.387337416153432"
"Rarely","2003","Couple + C. LE 16 ","Rural Area","522","0.382770034244097","0.357041098028546","0.408498970459649"
"Rarely","2003","Couple + C. GT 16 ","Urban Area","825","0.307677180578108","0.289468541812332","0.325885819343885"
"Rarely","2003","Couple + C. GT 16 ","Rural Area","480","0.294154514036447","0.270900675084124","0.317408352988769"
"Rarely","2003","Couple + C. LE and GT 16","Urban Area","400","0.333926644821332","0.307187303447196","0.360665986195468"
"Rarely","2003","Couple + C. LE and GT 16","Rural Area","236","0.348726226250053","0.311775603525256","0.385676848974851"
"Never","2003","1-pers.-HH","Urban Area","1046","0.49736924665755","0.476105742928184","0.518632750386915"
"Never","2003","1-pers.-HH","Rural Area","509","0.609626647745441","0.576792766871637","0.642460528619244"
"Never","2003","(Married) couple without C. ","Urban Area","2841","0.596837022823021","0.583092531146712","0.610581514499331"
"Never","2003","(Married) couple without C. ","Rural Area","1525","0.66010326992623","0.641008967792203","0.679197572060258"
"Never","2003","Single parent ","Urban Area","329","0.423391257364546","0.387646560731931","0.459135953997161"
"Never","2003","Single parent ","Rural Area","166","0.429523175209435","0.37988352490229","0.479162825516579"
"Never","2003","Couple + C. LE 16 ","Urban Area","1350","0.441505378060271","0.423709583589914","0.459301172530629"
"Never","2003","Couple + C. LE 16 ","Rural Area","695","0.491427027077451","0.464964243750448","0.517889810404453"
"Never","2003","Couple + C. GT 16 ","Urban Area","1055","0.451891773845341","0.43225700055179","0.471526547138893"
"Never","2003","Couple + C. GT 16 ","Rural Area","711","0.513780666795629","0.488273802500398","0.539287531090861"
"Never","2003","Couple + C. LE and GT 16","Urban Area","481","0.418117276328512","0.390151239436647","0.446083313220376"
"Never","2003","Couple + C. LE and GT 16","Rural Area","264","0.419089169867729","0.38083263616223","0.457345703573228"
"Very often","2004","1-pers.-HH","Urban Area","","","",""
"Very often","2004","1-pers.-HH","Rural Area","","","",""
"Very often","2004","(Married) couple without C. ","Urban Area","","","",""
"Very often","2004","(Married) couple without C. ","Rural Area","","","",""
"Very often","2004","Single parent ","Urban Area","","","",""
"Very often","2004","Single parent ","Rural Area","","","",""
"Very often","2004","Couple + C. LE 16 ","Urban Area","","","",""
"Very often","2004","Couple + C. LE 16 ","Rural Area","","","",""
"Very often","2004","Couple + C. GT 16 ","Urban Area","","","",""
"Very often","2004","Couple + C. GT 16 ","Rural Area","","","",""
"Very often","2004","Couple + C. LE and GT 16","Urban Area","","","",""
"Very often","2004","Couple + C. LE and GT 16","Rural Area","","","",""
"Often","2004","1-pers.-HH","Urban Area","","","",""
"Often","2004","1-pers.-HH","Rural Area","","","",""
"Often","2004","(Married) couple without C. ","Urban Area","","","",""
"Often","2004","(Married) couple without C. ","Rural Area","","","",""
"Often","2004","Single parent ","Urban Area","","","",""
"Often","2004","Single parent ","Rural Area","","","",""
"Often","2004","Couple + C. LE 16 ","Urban Area","","","",""
"Often","2004","Couple + C. LE 16 ","Rural Area","","","",""
"Often","2004","Couple + C. GT 16 ","Urban Area","","","",""
"Often","2004","Couple + C. GT 16 ","Rural Area","","","",""
"Often","2004","Couple + C. LE and GT 16","Urban Area","","","",""
"Often","2004","Couple + C. LE and GT 16","Rural Area","","","",""
"Sometimes","2004","1-pers.-HH","Urban Area","","","",""
"Sometimes","2004","1-pers.-HH","Rural Area","","","",""
"Sometimes","2004","(Married) couple without C. ","Urban Area","","","",""
"Sometimes","2004","(Married) couple without C. ","Rural Area","","","",""
"Sometimes","2004","Single parent ","Urban Area","","","",""
"Sometimes","2004","Single parent ","Rural Area","","","",""
"Sometimes","2004","Couple + C. LE 16 ","Urban Area","","","",""
"Sometimes","2004","Couple + C. LE 16 ","Rural Area","","","",""
"Sometimes","2004","Couple + C. GT 16 ","Urban Area","","","",""
"Sometimes","2004","Couple + C. GT 16 ","Rural Area","","","",""
"Sometimes","2004","Couple + C. LE and GT 16","Urban Area","","","",""
"Sometimes","2004","Couple + C. LE and GT 16","Rural Area","","","",""
"Rarely","2004","1-pers.-HH","Urban Area","","","",""
"Rarely","2004","1-pers.-HH","Rural Area","","","",""
"Rarely","2004","(Married) couple without C. ","Urban Area","","","",""
"Rarely","2004","(Married) couple without C. ","Rural Area","","","",""
"Rarely","2004","Single parent ","Urban Area","","","",""
"Rarely","2004","Single parent ","Rural Area","","","",""
"Rarely","2004","Couple + C. LE 16 ","Urban Area","","","",""
"Rarely","2004","Couple + C. LE 16 ","Rural Area","","","",""
"Rarely","2004","Couple + C. GT 16 ","Urban Area","","","",""
"Rarely","2004","Couple + C. GT 16 ","Rural Area","","","",""
