"pld0044","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2003","in school","West Germany","24","","",""
"Very often","2003","in school","East Germany","","","",""
"Very often","2003","inadequately","West Germany","","","",""
"Very often","2003","inadequately","East Germany","","","",""
"Very often","2003","general elemantary","West Germany","26","","",""
"Very often","2003","general elemantary","East Germany","2","","",""
"Very often","2003","middle vocational","West Germany","46","0.00661241907099822","0.00486733974056626","0.00835749840143018"
"Very often","2003","middle vocational","East Germany","4","","",""
"Very often","2003","vocational + Abi","West Germany","6","","",""
"Very often","2003","vocational + Abi","East Germany","","","",""
"Very often","2003","higher vocational","West Germany","3","","",""
"Very often","2003","higher vocational","East Germany","1","","",""
"Very often","2003","higher education","West Germany","10","","",""
"Very often","2003","higher education","East Germany","2","","",""
"Often","2003","in school","West Germany","87","0.149106863389404","0.116342141034339","0.18187158574447"
"Often","2003","in school","East Germany","27","","",""
"Often","2003","inadequately","West Germany","7","","",""
"Often","2003","inadequately","East Germany","","","",""
"Often","2003","general elemantary","West Germany","115","0.0465526147661134","0.0379668164919497","0.0551384130402771"
"Often","2003","general elemantary","East Germany","15","","",""
"Often","2003","middle vocational","West Germany","186","0.0228359955868674","0.0196196009296638","0.026052390244071"
"Often","2003","middle vocational","East Germany","44","0.0146975584535987","0.0102457726293021","0.0191493442778952"
"Often","2003","vocational + Abi","West Germany","23","","",""
"Often","2003","vocational + Abi","East Germany","1","","",""
"Often","2003","higher vocational","West Germany","22","","",""
"Often","2003","higher vocational","East Germany","4","","",""
"Often","2003","higher education","West Germany","75","0.028246429771969","0.0223705428636871","0.0341223166802508"
"Often","2003","higher education","East Germany","13","","",""
"Sometimes","2003","in school","West Germany","143","0.334285991515891","0.290892649310236","0.377679333721545"
"Sometimes","2003","in school","East Germany","48","0.337817091200776","0.264985403063586","0.410648779337965"
"Sometimes","2003","inadequately","West Germany","41","0.160180351464364","0.114347363149171","0.206013339779557"
"Sometimes","2003","inadequately","East Germany","1","","",""
"Sometimes","2003","general elemantary","West Germany","317","0.121865059122615","0.108533513433415","0.135196604811816"
"Sometimes","2003","general elemantary","East Germany","49","0.106511759371855","0.0769382305050788","0.136085288238631"
"Sometimes","2003","middle vocational","West Germany","1073","0.128233850448433","0.12103477096174","0.135432929935126"
"Sometimes","2003","middle vocational","East Germany","276","0.0980729930929636","0.0870705965050027","0.109075389680924"
"Sometimes","2003","vocational + Abi","West Germany","178","0.190486079823508","0.166340089641136","0.21463207000588"
"Sometimes","2003","vocational + Abi","East Germany","25","","",""
"Sometimes","2003","higher vocational","West Germany","151","0.139868111791379","0.120460696910515","0.159275526672242"
"Sometimes","2003","higher vocational","East Germany","34","0.0682084389685057","0.0449929715797159","0.0914239063572955"
"Sometimes","2003","higher education","West Germany","461","0.159514139698918","0.146528050745044","0.172500228652792"
"Sometimes","2003","higher education","East Germany","113","0.0891305410942656","0.0735516023744365","0.104709479814095"
