"pld0044","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Schleswig-Holstein","lower secondary degree","1","","",""
"Very often","2003","Schleswig-Holstein","secondary school degree","1","","",""
"Very often","2003","Schleswig-Holstein","college entrance qualification","","","",""
"Very often","2003","Schleswig-Holstein","Other degree","","","",""
"Very often","2003","Schleswig-Holstein","no degree/no degree yet","","","",""
"Very often","2003","Hamburg","lower secondary degree","","","",""
"Very often","2003","Hamburg","secondary school degree","","","",""
"Very often","2003","Hamburg","college entrance qualification","2","","",""
"Very often","2003","Hamburg","Other degree","","","",""
"Very often","2003","Hamburg","no degree/no degree yet","1","","",""
"Very often","2003","Lower Saxony","lower secondary degree","3","","",""
"Very often","2003","Lower Saxony","secondary school degree","6","","",""
"Very often","2003","Lower Saxony","college entrance qualification","2","","",""
"Very often","2003","Lower Saxony","Other degree","1","","",""
"Very often","2003","Lower Saxony","no degree/no degree yet","2","","",""
"Very often","2003","Bremen","lower secondary degree","","","",""
"Very often","2003","Bremen","secondary school degree","","","",""
"Very often","2003","Bremen","college entrance qualification","","","",""
"Very often","2003","Bremen","Other degree","","","",""
"Very often","2003","Bremen","no degree/no degree yet","","","",""
"Very often","2003","North Rhine-Westphalia","lower secondary degree","5","","",""
"Very often","2003","North Rhine-Westphalia","secondary school degree","4","","",""
"Very often","2003","North Rhine-Westphalia","college entrance qualification","15","","",""
"Very often","2003","North Rhine-Westphalia","Other degree","5","","",""
"Very often","2003","North Rhine-Westphalia","no degree/no degree yet","5","","",""
"Very often","2003","Hesse","lower secondary degree","4","","",""
"Very often","2003","Hesse","secondary school degree","4","","",""
"Very often","2003","Hesse","college entrance qualification","","","",""
"Very often","2003","Hesse","Other degree","4","","",""
"Very often","2003","Hesse","no degree/no degree yet","3","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","secondary school degree","1","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","college entrance qualification","2","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","Other degree","2","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","no degree/no degree yet","3","","",""
"Very often","2003","Baden-Württemberg","lower secondary degree","1","","",""
"Very often","2003","Baden-Württemberg","secondary school degree","4","","",""
"Very often","2003","Baden-Württemberg","college entrance qualification","1","","",""
"Very often","2003","Baden-Württemberg","Other degree","2","","",""
"Very often","2003","Baden-Württemberg","no degree/no degree yet","3","","",""
"Very often","2003","Bavaria","lower secondary degree","7","","",""
"Very often","2003","Bavaria","secondary school degree","5","","",""
"Very often","2003","Bavaria","college entrance qualification","4","","",""
"Very often","2003","Bavaria","Other degree","1","","",""
"Very often","2003","Bavaria","no degree/no degree yet","5","","",""
"Very often","2003","Berlin","lower secondary degree","","","",""
"Very often","2003","Berlin","secondary school degree","2","","",""
"Very often","2003","Berlin","college entrance qualification","3","","",""
"Very often","2003","Berlin","Other degree","","","",""
"Very often","2003","Berlin","no degree/no degree yet","2","","",""
"Very often","2003","Brandenburg","lower secondary degree","","","",""
"Very often","2003","Brandenburg","secondary school degree","2","","",""
"Very often","2003","Brandenburg","college entrance qualification","","","",""
"Very often","2003","Brandenburg","Other degree","","","",""
"Very often","2003","Brandenburg","no degree/no degree yet","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","Other degree","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Very often","2003","Saxony","lower secondary degree","1","","",""
"Very often","2003","Saxony","secondary school degree","","","",""
"Very often","2003","Saxony","college entrance qualification","","","",""
"Very often","2003","Saxony","Other degree","","","",""
"Very often","2003","Saxony","no degree/no degree yet","","","",""
"Very often","2003","Saxony-Anhalt","lower secondary degree","1","","",""
"Very often","2003","Saxony-Anhalt","secondary school degree","","","",""
"Very often","2003","Saxony-Anhalt","college entrance qualification","1","","",""
"Very often","2003","Saxony-Anhalt","Other degree","","","",""
"Very often","2003","Saxony-Anhalt","no degree/no degree yet","","","",""
"Very often","2003","Thuringia","lower secondary degree","","","",""
"Very often","2003","Thuringia","secondary school degree","1","","",""
"Very often","2003","Thuringia","college entrance qualification","1","","",""
"Very often","2003","Thuringia","Other degree","","","",""
"Very often","2003","Thuringia","no degree/no degree yet","","","",""
"Often","2003","Schleswig-Holstein","lower secondary degree","5","","",""
"Often","2003","Schleswig-Holstein","secondary school degree","1","","",""
"Often","2003","Schleswig-Holstein","college entrance qualification","6","","",""
"Often","2003","Schleswig-Holstein","Other degree","","","",""
"Often","2003","Schleswig-Holstein","no degree/no degree yet","2","","",""
"Often","2003","Hamburg","lower secondary degree","2","","",""
"Often","2003","Hamburg","secondary school degree","2","","",""
"Often","2003","Hamburg","college entrance qualification","4","","",""
"Often","2003","Hamburg","Other degree","","","",""
"Often","2003","Hamburg","no degree/no degree yet","1","","",""
"Often","2003","Lower Saxony","lower secondary degree","21","","",""
"Often","2003","Lower Saxony","secondary school degree","9","","",""
"Often","2003","Lower Saxony","college entrance qualification","18","","",""
"Often","2003","Lower Saxony","Other degree","7","","",""
"Often","2003","Lower Saxony","no degree/no degree yet","15","","",""
"Often","2003","Bremen","lower secondary degree","1","","",""
"Often","2003","Bremen","secondary school degree","1","","",""
"Often","2003","Bremen","college entrance qualification","1","","",""
"Often","2003","Bremen","Other degree","","","",""
"Often","2003","Bremen","no degree/no degree yet","1","","",""
"Often","2003","North Rhine-Westphalia","lower secondary degree","29","","",""
"Often","2003","North Rhine-Westphalia","secondary school degree","41","0.0436257448108866","0.0309019733640178","0.0563495162577554"
"Often","2003","North Rhine-Westphalia","college entrance qualification","54","0.0504788587723671","0.0386097699325168","0.0623479476122174"
"Often","2003","North Rhine-Westphalia","Other degree","8","","",""
"Often","2003","North Rhine-Westphalia","no degree/no degree yet","34","0.102063055113423","0.0636023878282093","0.140523722398637"
"Often","2003","Hesse","lower secondary degree","15","","",""
"Often","2003","Hesse","secondary school degree","13","","",""
"Often","2003","Hesse","college entrance qualification","12","","",""
"Often","2003","Hesse","Other degree","5","","",""
"Often","2003","Hesse","no degree/no degree yet","5","","",""
"Often","2003","Rhineland-Palatinate,Saarland","lower secondary degree","7","","",""
"Often","2003","Rhineland-Palatinate,Saarland","secondary school degree","5","","",""
"Often","2003","Rhineland-Palatinate,Saarland","college entrance qualification","7","","",""
"Often","2003","Rhineland-Palatinate,Saarland","Other degree","5","","",""
"Often","2003","Rhineland-Palatinate,Saarland","no degree/no degree yet","3","","",""
"Often","2003","Baden-Württemberg","lower secondary degree","19","","",""
"Often","2003","Baden-Württemberg","secondary school degree","11","","",""
"Often","2003","Baden-Württemberg","college entrance qualification","19","","",""
"Often","2003","Baden-Württemberg","Other degree","3","","",""
"Often","2003","Baden-Württemberg","no degree/no degree yet","14","","",""
"Often","2003","Bavaria","lower secondary degree","31","0.0167479957130789","0.00984098436262525","0.0236550070635325"
"Often","2003","Bavaria","secondary school degree","20","","",""
"Often","2003","Bavaria","college entrance qualification","24","","",""
"Often","2003","Bavaria","Other degree","4","","",""
"Often","2003","Bavaria","no degree/no degree yet","15","","",""
"Often","2003","Berlin","lower secondary degree","4","","",""
"Often","2003","Berlin","secondary school degree","6","","",""
"Often","2003","Berlin","college entrance qualification","13","","",""
"Often","2003","Berlin","Other degree","3","","",""
"Often","2003","Berlin","no degree/no degree yet","7","","",""
"Often","2003","Brandenburg","lower secondary degree","4","","",""
"Often","2003","Brandenburg","secondary school degree","6","","",""
"Often","2003","Brandenburg","college entrance qualification","3","","",""
"Often","2003","Brandenburg","Other degree","","","",""
"Often","2003","Brandenburg","no degree/no degree yet","2","","",""
"Often","2003","Mecklenburg-Western Pomerania","lower secondary degree","3","","",""
"Often","2003","Mecklenburg-Western Pomerania","secondary school degree","4","","",""
"Often","2003","Mecklenburg-Western Pomerania","college entrance qualification","5","","",""
"Often","2003","Mecklenburg-Western Pomerania","Other degree","","","",""
"Often","2003","Mecklenburg-Western Pomerania","no degree/no degree yet","2","","",""
"Often","2003","Saxony","lower secondary degree","1","","",""
"Often","2003","Saxony","secondary school degree","12","","",""
"Often","2003","Saxony","college entrance qualification","7","","",""
"Often","2003","Saxony","Other degree","","","",""
"Often","2003","Saxony","no degree/no degree yet","8","","",""
"Often","2003","Saxony-Anhalt","lower secondary degree","2","","",""
"Often","2003","Saxony-Anhalt","secondary school degree","4","","",""
"Often","2003","Saxony-Anhalt","college entrance qualification","4","","",""
"Often","2003","Saxony-Anhalt","Other degree","","","",""
"Often","2003","Saxony-Anhalt","no degree/no degree yet","7","","",""
"Often","2003","Thuringia","lower secondary degree","1","","",""
"Often","2003","Thuringia","secondary school degree","4","","",""
"Often","2003","Thuringia","college entrance qualification","2","","",""
"Often","2003","Thuringia","Other degree","","","",""
"Often","2003","Thuringia","no degree/no degree yet","3","","",""
"Sometimes","2003","Schleswig-Holstein","lower secondary degree","38","0.131816094603911","0.0918334211896008","0.17179876801822"
"Sometimes","2003","Schleswig-Holstein","secondary school degree","17","","",""
"Sometimes","2003","Schleswig-Holstein","college entrance qualification","32","0.209079231619959","0.147218367183938","0.270940096055981"
"Sometimes","2003","Schleswig-Holstein","Other degree","4","","",""
"Sometimes","2003","Schleswig-Holstein","no degree/no degree yet","7","","",""
"Sometimes","2003","Hamburg","lower secondary degree","8","","",""
"Sometimes","2003","Hamburg","secondary school degree","10","","",""
"Sometimes","2003","Hamburg","college entrance qualification","15","","",""
"Sometimes","2003","Hamburg","Other degree","2","","",""
"Sometimes","2003","Hamburg","no degree/no degree yet","6","","",""
"Sometimes","2003","Lower Saxony","lower secondary degree","54","0.0908548180597578","0.0698619176700644","0.111847718449451"
