"pld0044","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Full Time","Male","2614","0.423331354834985","0.410771762328982","0.435890947340987","5"
"Never","2003","Full Time","Female","1292","0.429760042476739","0.411856541777724","0.447663543175753","5"
"Never","2003","Part Time","Male","612","0.403404462903615","0.378878757537217","0.427930168270013","5"
"Never","2003","Part Time","Female","1688","0.476593099901295","0.460230178704876","0.492956021097715","5"
"Never","2003","Not Working","Male","1934","0.6352240189378","0.618435259708742","0.652012778166857","5"
"Never","2003","Not Working","Female","3158","0.65823153378481","0.645030547688753","0.671432519880868","5"
"Often","2003","Part Time","Male","94","0.054269238446514","0.0429433630694297","0.0655951138235984","2"
"Often","2003","Full Time","Male","163","0.0343647815559199","0.0297342003605447","0.0389953627512951","2"
"Often","2003","Full Time","Female","83","0.0357838060411599","0.0290660134058036","0.0425015986765163","2"
"Often","2003","Not Working","Male","92","0.0231610872044059","0.0179150305688384","0.0284071438399733","2"
"Often","2003","Part Time","Female","92","0.0222593973920952","0.0174261862441531","0.0270926085400374","2"
"Often","2003","Not Working","Female","118","0.0183691829304427","0.0146317789097875","0.022106586951098","2"
"Rarely","2003","Part Time","Male","492","0.326811672161242","0.303362461650001","0.350260882672483","4"
"Rarely","2003","Full Time","Male","2254","0.375692903745675","0.363382060732839","0.38800374675851","4"
"Rarely","2003","Full Time","Female","1104","0.375555148950121","0.358041363605284","0.393068934294958","4"
"Rarely","2003","Not Working","Male","756","0.235477729526469","0.220679423013886","0.250276036039051","4"
"Rarely","2003","Part Time","Female","1267","0.341026708341092","0.325495854062934","0.356557562619249","4"
"Rarely","2003","Not Working","Female","1194","0.22590322311663","0.214264378234142","0.237542067999119","4"
"Sometimes","2003","Full Time","Male","892","0.161366130573826","0.152014990701947","0.170717270445706","3"
"Sometimes","2003","Full Time","Female","442","0.153327145706318","0.14029657427841","0.166357717134226","3"
"Sometimes","2003","Part Time","Male","314","0.195440081329815","0.175615812826763","0.215264349832868","3"
"Sometimes","2003","Not Working","Male","353","0.100219557900737","0.089746185548313","0.110692930253162","3"
"Sometimes","2003","Part Time","Female","508","0.153137774770294","0.1413396009963","0.164935948544287","3"
"Sometimes","2003","Not Working","Female","472","0.0954615994274216","0.087283000814138","0.103640198040705","3"
"Very often","2003","Full Time","Male","22","","","","1"
"Very often","2003","Full Time","Female","16","","","","1"
"Very often","2003","Part Time","Male","25","","","","1"
"Very often","2003","Part Time","Female","24","","","","1"
"Very often","2003","Not Working","Male","23","","","","1"
"Very often","2003","Not Working","Female","17","","","","1"
"Never","2004","Full Time","Male","","","","","5"
"Never","2004","Full Time","Female","","","","","5"
"Never","2004","Part Time","Male","","","","","5"
"Never","2004","Part Time","Female","","","","","5"
"Never","2004","Not Working","Male","","","","","5"
"Never","2004","Not Working","Female","","","","","5"
"Often","2004","Full Time","Female","","","","","2"
"Often","2004","Full Time","Male","","","","","2"
"Often","2004","Part Time","Male","","","","","2"
"Often","2004","Part Time","Female","","","","","2"
"Often","2004","Not Working","Male","","","","","2"
"Often","2004","Not Working","Female","","","","","2"
"Rarely","2004","Full Time","Male","","","","","4"
"Rarely","2004","Part Time","Male","","","","","4"
"Rarely","2004","Full Time","Female","","","","","4"
"Rarely","2004","Not Working","Male","","","","","4"
"Rarely","2004","Part Time","Female","","","","","4"
"Rarely","2004","Not Working","Female","","","","","4"
"Sometimes","2004","Full Time","Female","","","","","3"
"Sometimes","2004","Not Working","Male","","","","","3"
"Sometimes","2004","Full Time","Male","","","","","3"
"Sometimes","2004","Part Time","Male","","","","","3"
"Sometimes","2004","Part Time","Female","","","","","3"
"Sometimes","2004","Not Working","Female","","","","","3"
"Very often","2004","Part Time","Male","","","","","1"
"Very often","2004","Full Time","Male","","","","","1"
"Very often","2004","Full Time","Female","","","","","1"
"Very often","2004","Part Time","Female","","","","","1"
"Very often","2004","Not Working","Male","","","","","1"
"Very often","2004","Not Working","Female","","","","","1"
"Never","2005","Part Time","Male","","","","","5"
"Never","2005","Full Time","Male","","","","","5"
"Never","2005","Full Time","Female","","","","","5"
"Never","2005","Part Time","Female","","","","","5"
"Never","2005","Not Working","Male","","","","","5"
"Never","2005","Not Working","Female","","","","","5"
"Often","2005","Full Time","Male","","","","","2"
"Often","2005","Full Time","Female","","","","","2"
"Often","2005","Part Time","Male","","","","","2"
"Often","2005","Not Working","Male","","","","","2"
"Often","2005","Part Time","Female","","","","","2"
"Often","2005","Not Working","Female","","","","","2"
"Rarely","2005","Full Time","Female","","","","","4"
"Rarely","2005","Full Time","Male","","","","","4"
"Rarely","2005","Part Time","Male","","","","","4"
"Rarely","2005","Part Time","Female","","","","","4"
"Rarely","2005","Not Working","Male","","","","","4"
"Rarely","2005","Not Working","Female","","","","","4"
"Sometimes","2005","Full Time","Male","","","","","3"
"Sometimes","2005","Part Time","Male","","","","","3"
"Sometimes","2005","Part Time","Female","","","","","3"
"Sometimes","2005","Not Working","Female","","","","","3"
"Sometimes","2005","Full Time","Female","","","","","3"
"Sometimes","2005","Not Working","Male","","","","","3"
"Very often","2005","Full Time","Male","","","","","1"
"Very often","2005","Full Time","Female","","","","","1"
"Very often","2005","Part Time","Male","","","","","1"
"Very often","2005","Part Time","Female","","","","","1"
"Very often","2005","Not Working","Male","","","","","1"
"Very often","2005","Not Working","Female","","","","","1"
"Never","2006","Full Time","Female","","","","","5"
"Never","2006","Full Time","Male","","","","","5"
"Never","2006","Part Time","Female","","","","","5"
"Never","2006","Part Time","Male","","","","","5"
"Never","2006","Not Working","Male","","","","","5"
"Never","2006","Not Working","Female","","","","","5"
"Often","2006","Full Time","Male","","","","","2"
"Often","2006","Part Time","Male","","","","","2"
"Often","2006","Full Time","Female","","","","","2"
"Often","2006","Not Working","Male","","","","","2"
"Often","2006","Part Time","Female","","","","","2"
"Often","2006","Not Working","Female","","","","","2"
"Rarely","2006","Full Time","Male","","","","","4"
"Rarely","2006","Part Time","Male","","","","","4"
"Rarely","2006","Full Time","Female","","","","","4"
"Rarely","2006","Not Working","Male","","","","","4"
"Rarely","2006","Part Time","Female","","","","","4"
"Rarely","2006","Not Working","Female","","","","","4"
"Sometimes","2006","Part Time","Male","","","","","3"
"Sometimes","2006","Full Time","Male","","","","","3"
"Sometimes","2006","Full Time","Female","","","","","3"
"Sometimes","2006","Part Time","Female","","","","","3"
"Sometimes","2006","Not Working","Male","","","","","3"
"Sometimes","2006","Not Working","Female","","","","","3"
"Very often","2006","Full Time","Male","","","","","1"
"Very often","2006","Full Time","Female","","","","","1"
"Very often","2006","Part Time","Male","","","","","1"
"Very often","2006","Part Time","Female","","","","","1"
"Very often","2006","Not Working","Male","","","","","1"
"Very often","2006","Not Working","Female","","","","","1"
"Never","2007","Full Time","Male","","","","","5"
"Never","2007","Part Time","Male","","","","","5"
"Never","2007","Full Time","Female","","","","","5"
"Never","2007","Part Time","Female","","","","","5"
