"pld0044","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","1-pers.-HH","1555","0.527119880379558","0.509170315938897","0.545069444820219","5"
"Never","2003","(Married) couple without C. ","4366","0.6167932870411","0.605607774145178","0.627978799937022","5"
"Never","2003","Single parent ","495","0.425247949967162","0.396242649243849","0.454253250690476","5"
"Never","2003","Couple + C. LE 16 ","2045","0.456611088425759","0.441829065440444","0.471393111411073","5"
"Never","2003","Couple + C. GT 16 ","1766","0.474639626996073","0.459053243584175","0.490226010407971","5"
"Never","2003","Couple + C. LE and GT 16","745","0.41844596798376","0.395869128011584","0.441022807955936","5"
"Often","2003","Single parent ","48","0.0437515652691138","0.0317510979130493","0.0557520326251784","2"
"Often","2003","1-pers.-HH","88","0.0309413540632444","0.024715938077191","0.0371667700492977","2"
"Often","2003","(Married) couple without C. ","91","0.0126480052358835","0.0100769195423427","0.0152190909294242","2"
"Often","2003","Couple + C. GT 16 ","183","0.0460424710563419","0.0395009531530455","0.0525839889596382","2"
"Often","2003","Couple + C. LE 16 ","93","0.0254170080000316","0.020746362699711","0.0300876533003522","2"
"Often","2003","Couple + C. LE and GT 16","118","0.0552693158380733","0.0448114159461236","0.0657272157300231","2"
"Rarely","2003","Single parent ","361","0.315563987346585","0.288297691821412","0.342830282871758","4"
"Rarely","2003","1-pers.-HH","864","0.291795789750666","0.275452388200519","0.308139191300812","4"
"Rarely","2003","(Married) couple without C. ","2089","0.276231310618435","0.265943904683817","0.286518716553053","4"
"Rarely","2003","Couple + C. GT 16 ","1305","0.302706795456773","0.288366651729782","0.317046939183764","4"
"Rarely","2003","Couple + C. LE 16 ","1631","0.373888122533863","0.359529854174659","0.388246390893067","4"
"Rarely","2003","Couple + C. LE and GT 16","636","0.338931821541307","0.317268366393734","0.36059527668888","4"
"Sometimes","2003","1-pers.-HH","447","0.142631920534205","0.130059592365648","0.155204248702763","3"
"Sometimes","2003","(Married) couple without C. ","691","0.0916840819974848","0.0850445883073703","0.0983235756875992","3"
"Sometimes","2003","Single parent ","203","0.207828551466197","0.184023003001516","0.231634099930877","3"
"Sometimes","2003","Couple + C. GT 16 ","651","0.165933518520044","0.154321650315743","0.177545386724346","3"
"Sometimes","2003","Couple + C. LE 16 ","576","0.139547801331146","0.1292645574961","0.149831045166192","3"
"Sometimes","2003","Couple + C. LE and GT 16","311","0.175906483821022","0.158481290790624","0.19333167685142","3"
"Very often","2003","1-pers.-HH","18","","","","1"
"Very often","2003","(Married) couple without C. ","20","","","","1"
"Very often","2003","Single parent ","9","","","","1"
