"pld0044","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Schleswig-Holstein","(0) in school","","","",""
"Very often","2003","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Very often","2003","Schleswig-Holstein","(1b) general elementary school","","","",""
"Very often","2003","Schleswig-Holstein","(1c) basic vocational qualification","1","","",""
"Very often","2003","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"Very often","2003","Schleswig-Holstein","(2a) intermediate vocational","1","","",""
"Very often","2003","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"Very often","2003","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Very often","2003","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Very often","2003","Hamburg","(0) in school","1","","",""
"Very often","2003","Hamburg","(1a) inadequately completed","","","",""
"Very often","2003","Hamburg","(1b) general elementary school","","","",""
"Very often","2003","Hamburg","(1c) basic vocational qualification","","","",""
"Very often","2003","Hamburg","(2b) intermediate general qualification","","","",""
"Very often","2003","Hamburg","(2a) intermediate vocational","","","",""
"Very often","2003","Hamburg","(2c_gen) general maturity certificate","1","","",""
"Very often","2003","Hamburg","(2c_voc) vocational maturity certificate","1","","",""
"Very often","2003","Hamburg","(3a) lower tertiary education","","","",""
"Very often","2003","Hamburg","(3b) higher tertiary education","","","",""
"Very often","2003","Lower Saxony","(0) in school","2","","",""
"Very often","2003","Lower Saxony","(1a) inadequately completed","","","",""
"Very often","2003","Lower Saxony","(1b) general elementary school","","","",""
"Very often","2003","Lower Saxony","(1c) basic vocational qualification","3","","",""
"Very often","2003","Lower Saxony","(2b) intermediate general qualification","4","","",""
"Very often","2003","Lower Saxony","(2a) intermediate vocational","2","","",""
"Very often","2003","Lower Saxony","(2c_gen) general maturity certificate","1","","",""
"Very often","2003","Lower Saxony","(2c_voc) vocational maturity certificate","1","","",""
"Very often","2003","Lower Saxony","(3a) lower tertiary education","","","",""
"Very often","2003","Lower Saxony","(3b) higher tertiary education","1","","",""
"Very often","2003","Bremen","(0) in school","","","",""
"Very often","2003","Bremen","(1a) inadequately completed","","","",""
"Very often","2003","Bremen","(1b) general elementary school","","","",""
"Very often","2003","Bremen","(1c) basic vocational qualification","","","",""
"Very often","2003","Bremen","(2b) intermediate general qualification","","","",""
"Very often","2003","Bremen","(2a) intermediate vocational","","","",""
"Very often","2003","Bremen","(2c_gen) general maturity certificate","","","",""
"Very often","2003","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","Bremen","(3a) lower tertiary education","","","",""
"Very often","2003","Bremen","(3b) higher tertiary education","","","",""
"Very often","2003","North Rhine-Westphalia","(0) in school","5","","",""
"Very often","2003","North Rhine-Westphalia","(1a) inadequately completed","","","",""
"Very often","2003","North Rhine-Westphalia","(1b) general elementary school","3","","",""
"Very often","2003","North Rhine-Westphalia","(1c) basic vocational qualification","5","","",""
"Very often","2003","North Rhine-Westphalia","(2b) intermediate general qualification","4","","",""
"Very often","2003","North Rhine-Westphalia","(2a) intermediate vocational","","","",""
"Very often","2003","North Rhine-Westphalia","(2c_gen) general maturity certificate","6","","",""
"Very often","2003","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","5","","",""
"Very often","2003","North Rhine-Westphalia","(3a) lower tertiary education","2","","",""
"Very often","2003","North Rhine-Westphalia","(3b) higher tertiary education","4","","",""
"Very often","2003","Hesse","(0) in school","3","","",""
"Very often","2003","Hesse","(1a) inadequately completed","","","",""
"Very often","2003","Hesse","(1b) general elementary school","3","","",""
"Very often","2003","Hesse","(1c) basic vocational qualification","4","","",""
"Very often","2003","Hesse","(2b) intermediate general qualification","3","","",""
"Very often","2003","Hesse","(2a) intermediate vocational","1","","",""
"Very often","2003","Hesse","(2c_gen) general maturity certificate","","","",""
"Very often","2003","Hesse","(2c_voc) vocational maturity certificate","1","","",""
"Very often","2003","Hesse","(3a) lower tertiary education","","","",""
"Very often","2003","Hesse","(3b) higher tertiary education","","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(0) in school","3","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(1a) inadequately completed","","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(1b) general elementary school","","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","1","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","1","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","2","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","1","","",""
"Very often","2003","Baden-Württemberg","(0) in school","3","","",""
"Very often","2003","Baden-Württemberg","(1a) inadequately completed","","","",""
"Very often","2003","Baden-Württemberg","(1b) general elementary school","2","","",""
"Very often","2003","Baden-Württemberg","(1c) basic vocational qualification","","","",""
"Very often","2003","Baden-Württemberg","(2b) intermediate general qualification","2","","",""
"Very often","2003","Baden-Württemberg","(2a) intermediate vocational","2","","",""
"Very often","2003","Baden-Württemberg","(2c_gen) general maturity certificate","1","","",""
"Very often","2003","Baden-Württemberg","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","Baden-Württemberg","(3a) lower tertiary education","1","","",""
"Very often","2003","Baden-Württemberg","(3b) higher tertiary education","","","",""
"Very often","2003","Bavaria","(0) in school","5","","",""
"Very often","2003","Bavaria","(1a) inadequately completed","","","",""
"Very often","2003","Bavaria","(1b) general elementary school","1","","",""
"Very often","2003","Bavaria","(1c) basic vocational qualification","7","","",""
"Very often","2003","Bavaria","(2b) intermediate general qualification","3","","",""
"Very often","2003","Bavaria","(2a) intermediate vocational","2","","",""
"Very often","2003","Bavaria","(2c_gen) general maturity certificate","4","","",""
"Very often","2003","Bavaria","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","Bavaria","(3a) lower tertiary education","","","",""
"Very often","2003","Bavaria","(3b) higher tertiary education","","","",""
"Very often","2003","Berlin","(0) in school","2","","",""
"Very often","2003","Berlin","(1a) inadequately completed","","","",""
"Very often","2003","Berlin","(1b) general elementary school","","","",""
"Very often","2003","Berlin","(1c) basic vocational qualification","","","",""
"Very often","2003","Berlin","(2b) intermediate general qualification","","","",""
"Very often","2003","Berlin","(2a) intermediate vocational","2","","",""
"Very often","2003","Berlin","(2c_gen) general maturity certificate","1","","",""
"Very often","2003","Berlin","(2c_voc) vocational maturity certificate","1","","",""
"Very often","2003","Berlin","(3a) lower tertiary education","1","","",""
