"pld0044","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2003","(0) in school","in school","24","","",""
"Very often","2003","(0) in school","inadequately","","","",""
"Very often","2003","(0) in school","general elemantary","","","",""
"Very often","2003","(0) in school","middle vocational","","","",""
"Very often","2003","(0) in school","vocational + Abi","","","",""
"Very often","2003","(0) in school","higher vocational","","","",""
"Very often","2003","(0) in school","higher education","","","",""
"Very often","2003","(1a) inadequately completed","in school","","","",""
"Very often","2003","(1a) inadequately completed","inadequately","","","",""
"Very often","2003","(1a) inadequately completed","general elemantary","","","",""
"Very often","2003","(1a) inadequately completed","middle vocational","","","",""
"Very often","2003","(1a) inadequately completed","vocational + Abi","","","",""
"Very often","2003","(1a) inadequately completed","higher vocational","","","",""
"Very often","2003","(1a) inadequately completed","higher education","","","",""
"Very often","2003","(1b) general elementary school","in school","","","",""
"Very often","2003","(1b) general elementary school","inadequately","","","",""
"Very often","2003","(1b) general elementary school","general elemantary","9","","",""
"Very often","2003","(1b) general elementary school","middle vocational","","","",""
"Very often","2003","(1b) general elementary school","vocational + Abi","","","",""
"Very often","2003","(1b) general elementary school","higher vocational","","","",""
"Very often","2003","(1b) general elementary school","higher education","","","",""
"Very often","2003","(1c) basic vocational qualification","in school","","","",""
"Very often","2003","(1c) basic vocational qualification","inadequately","","","",""
"Very often","2003","(1c) basic vocational qualification","general elemantary","","","",""
"Very often","2003","(1c) basic vocational qualification","middle vocational","23","","",""
"Very often","2003","(1c) basic vocational qualification","vocational + Abi","","","",""
"Very often","2003","(1c) basic vocational qualification","higher vocational","","","",""
"Very often","2003","(1c) basic vocational qualification","higher education","","","",""
"Very often","2003","(2b) intermediate general qualification","in school","","","",""
"Very often","2003","(2b) intermediate general qualification","inadequately","","","",""
"Very often","2003","(2b) intermediate general qualification","general elemantary","19","","",""
"Very often","2003","(2b) intermediate general qualification","middle vocational","","","",""
"Very often","2003","(2b) intermediate general qualification","vocational + Abi","","","",""
"Very often","2003","(2b) intermediate general qualification","higher vocational","","","",""
"Very often","2003","(2b) intermediate general qualification","higher education","","","",""
"Very often","2003","(2a) intermediate vocational","in school","","","",""
"Very often","2003","(2a) intermediate vocational","inadequately","","","",""
"Very often","2003","(2a) intermediate vocational","general elemantary","","","",""
