"year","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1984","Westdeutschland, alte Bundeslaender","6.81","7","12210","3","5","9","10","6.76","6.86","8","8"
"1985","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1985","Westdeutschland, alte Bundeslaender","6.77","7","11032","3","5","9","10","6.72","6.82","7","8"
"1986","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1986","Westdeutschland, alte Bundeslaender","6.72","7","10616","3","5","9","10","6.67","6.77","7","7"
"1987","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1987","Westdeutschland, alte Bundeslaender","6.65","7","10495","3","5","8","10","6.6","6.7","7","7"
"1988","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1988","Westdeutschland, alte Bundeslaender","6.55","7","10001","3","5","8","10","6.5","6.6","7","7"
"1989","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1989","Westdeutschland, alte Bundeslaender","6.53","7","9682","3","5","8","10","6.48","6.58","7","7"
"1990","Ostdeutschland, neue Bundeslaender","6.62","7","4435","3","5","9","10","6.54","6.7","7","7"
"1990","Westdeutschland, alte Bundeslaender","6.55","7","9502","3","5","8","9","6.5","6.6","7","7"
"1991","Ostdeutschland, neue Bundeslaender","6.53","7","4155","3","5","8","10","6.46","6.6","7","7"
"1991","Westdeutschland, alte Bundeslaender","6.55","7","9487","3","5","8","9","6.5","6.6","7","7"
"1992","Ostdeutschland, neue Bundeslaender","6.51","7","3971","3","5","8","9","6.44","6.58","7","7"
"1992","Westdeutschland, alte Bundeslaender","6.65","7","9372","3","5","8","9","6.6","6.7","7","8"
"1993","Ostdeutschland, neue Bundeslaender","6.42","7","3830","3","5","8","9","6.35","6.49","7","7"
"1993","Westdeutschland, alte Bundeslaender","6.51","7","9315","3","5","8","9","6.46","6.56","7","7"
"1994","Ostdeutschland, neue Bundeslaender","6.24","6","3777","3","5","8","9","6.17","6.31","7","7"
"1994","Westdeutschland, alte Bundeslaender","6.43","7","9133","3","5","8","9","6.38","6.48","7","7"
"1995","Ostdeutschland, neue Bundeslaender","6.29","7","3687","3","5","8","9","6.22","6.36","7","7"
"1995","Westdeutschland, alte Bundeslaender","6.48","7","9628","3","5","8","9","6.43","6.53","7","7"
"1996","Ostdeutschland, neue Bundeslaender","6.29","7","3692","3","5","8","9","6.22","6.36","7","7"
"1996","Westdeutschland, alte Bundeslaender","6.46","7","9419","3","5","8","9","6.41","6.51","7","7"
"1997","Ostdeutschland, neue Bundeslaender","6.19","6","3642","3","5","8","9","6.12","6.26","7","7"
"1997","Westdeutschland, alte Bundeslaender","6.48","7","9240","3","5","8","9","6.43","6.53","7","7"
"1998","Ostdeutschland, neue Bundeslaender","6.26","7","3874","3","5","8","9","6.19","6.33","7","7"
"1998","Westdeutschland, alte Bundeslaender","6.59","7","10400","3","5","8","9","6.55","6.63","7","7"
"1999","Ostdeutschland, neue Bundeslaender","6.21","7","3798","3","5","8","9","6.14","6.28","7","7"
"1999","Westdeutschland, alte Bundeslaender","6.55","7","9930","3","5","8","9","6.51","6.59","7","7"
"2000","Ostdeutschland, neue Bundeslaender","6.36","7","5865","3","5","8","9","6.3","6.42","7","7"
"2000","Westdeutschland, alte Bundeslaender","6.76","7","18359","3","5","8","10","6.73","6.79","7","7"
"2001","Ostdeutschland, neue Bundeslaender","6.35","7","5448","3","5","8","9","6.29","6.41","7","7"
"2001","Westdeutschland, alte Bundeslaender","6.76","7","16535","3","5","8","10","6.73","6.79","7","7"
"2002","Ostdeutschland, neue Bundeslaender","6.29","7","5442","3","5","8","9","6.23","6.35","7","7"
"2002","Westdeutschland, alte Bundeslaender","6.65","7","17661","3","5","8","9","6.62","6.68","7","7"
"2003","Ostdeutschland, neue Bundeslaender","6.26","7","5363","3","5","8","9","6.2","6.32","7","7"
"2003","Westdeutschland, alte Bundeslaender","6.65","7","16894","3","5","8","9","6.62","6.68","7","7"
"2004","Ostdeutschland, neue Bundeslaender","6.07","6","5233","3","5","8","9","6.01","6.13","7","7"
"2004","Westdeutschland, alte Bundeslaender","6.52","7","16421","3","5","8","9","6.49","6.55","7","7"
"2005","Ostdeutschland, neue Bundeslaender","6.22","7","5048","3","5","8","9","6.16","6.28","7","7"
"2005","Westdeutschland, alte Bundeslaender","6.55","7","15700","3","5","8","9","6.51","6.59","7","7"
"2006","Ostdeutschland, neue Bundeslaender","6.19","7","5289","3","5","8","9","6.13","6.25","7","7"
"2006","Westdeutschland, alte Bundeslaender","6.57","7","16738","3","5","8","9","6.54","6.6","7","7"
"2007","Ostdeutschland, neue Bundeslaender","6.23","7","5026","3","5","8","9","6.17","6.29","7","7"
"2007","Westdeutschland, alte Bundeslaender","6.53","7","15554","3","5","8","9","6.5","6.56","7","7"
"2008","Ostdeutschland, neue Bundeslaender","6.27","7","4787","3","5","8","9","6.21","6.33","7","7"
"2008","Westdeutschland, alte Bundeslaender","6.5","7","14616","3","5","8","9","6.46","6.54","7","7"
"2009","Ostdeutschland, neue Bundeslaender","6.17","7","4551","3","5","8","9","6.11","6.23","7","7"
"2009","Westdeutschland, alte Bundeslaender","6.46","7","13544","3","5","8","9","6.42","6.5","7","7"
"2010","Ostdeutschland, neue Bundeslaender","6.18","7","5484","3","5","8","9","6.12","6.24","7","7"
"2010","Westdeutschland, alte Bundeslaender","6.55","7","18546","3","5","8","9","6.52","6.58","7","7"
"2011","Ostdeutschland, neue Bundeslaender","6.22","7","5812","3","5","8","9","6.16","6.28","7","7"
"2011","Westdeutschland, alte Bundeslaender","6.56","7","20074","3","5","8","9","6.53","6.59","7","7"
"2012","Ostdeutschland, neue Bundeslaender","6.25","7","5975","3","5","8","9","6.19","6.31","7","7"
"2012","Westdeutschland, alte Bundeslaender","6.66","7","20537","3","5","8","9","6.63","6.69","7","7"
"2013","Ostdeutschland, neue Bundeslaender","6.27","7","6130","3","5","8","9","6.21","6.33","7","7"
"2013","Westdeutschland, alte Bundeslaender","6.67","7","24592","3","5","8","9","6.64","6.7","7","7"
"2014","Ostdeutschland, neue Bundeslaender","6.32","7","5612","3","5","8","9","6.26","6.38","7","7"
"2014","Westdeutschland, alte Bundeslaender","6.65","7","21576","3","5","8","9","6.62","6.68","7","7"
"2015","Ostdeutschland, neue Bundeslaender","6.26","7","5278","3","5","8","9","6.2","6.32","7","7"
"2015","Westdeutschland, alte Bundeslaender","6.66","7","19852","3","5","8","9","6.63","6.69","7","7"
"2016","Ostdeutschland, neue Bundeslaender","6.33","7","5839","3","5","8","9","6.27","6.39","7","7"
"2016","Westdeutschland, alte Bundeslaender","6.67","7","22872","3","5","8","9","6.64","6.7","7","7"
"2017","Ostdeutschland, neue Bundeslaender","6.31","7","6365","3","5","8","9","6.25","6.37","7","7"
"2017","Westdeutschland, alte Bundeslaender","6.63","7","25754","3","5","8","9","6.6","6.66","7","7"
"2018","Ostdeutschland, neue Bundeslaender","6.31","7","6118","3","5","8","9","6.25","6.37","7","7"
"2018","Westdeutschland, alte Bundeslaender","6.59","7","23895","3","5","8","9","6.56","6.62","7","7"
"2019","Ostdeutschland, neue Bundeslaender","6.4","7","6078","3","5","8","9","6.34","6.46","7","7"
"2019","Westdeutschland, alte Bundeslaender","6.7","7","23553","3","5","8","9","6.67","6.73","7","7"
