"year","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","general elemantary","6.35","7","3462","2","5","9","10","6.26","6.44","7","7"
"1984","higher education","7.44","8","792","4","6","9","10","7.28","7.6","8","8"
"1984","higher vocational","6.8","7","658","3","5","9","10","6.6","7","7","8"
"1984","in school","8.49","9","187","5","8","10","10","8.2","8.78","9","9"
"1984","inadequately","6.45","7","1019","2","5","9","10","6.27","6.63","7","7"
"1984","middle vocational","6.92","8","5715","3","5","9","10","6.85","6.99","8","8"
"1984","vocational + Abi","7.34","8","312","4","6","9","10","7.07","7.61","8","8"
"1985","general elemantary","6.47","7","3064","3","5","8","10","6.38","6.56","7","7"
"1985","higher education","7.37","8","757","5","6","9","10","7.23","7.51","8","8"
"1985","higher vocational","6.68","7","618","3","5","8","10","6.49","6.87","7","8"
"1985","in school","8.14","8","186","5","7","10","10","7.88","8.4","8","9"
"1985","inadequately","6.39","7","842","2","5","9","10","6.21","6.57","7","7"
"1985","middle vocational","6.81","7","5176","3","5","9","10","6.74","6.88","7","8"
"1985","vocational + Abi","6.81","7","275","3","5","9","10","6.52","7.1","7","8"
"1986","general elemantary","6.45","7","2913","3","5","8","10","6.36","6.54","7","7"
"1986","higher education","7.21","8","750","4","6","9","10","7.06","7.36","8","8"
"1986","higher vocational","6.71","7","582","3","5","8","10","6.52","6.9","7","8"
"1986","in school","8.2","8.1","188","6","7","10","10","7.95","8.45","8","9"
"1986","inadequately","6.15","7","787","2","4","8","10","5.96","6.34","6","7"
"1986","middle vocational","6.75","7","5004","3","5","9","10","6.68","6.82","7","7"
"1986","vocational + Abi","6.95","7.9","278","4","5","9","10","6.68","7.22","7","8"
"1987","general elemantary","6.37","7","2850","3","5","8","10","6.28","6.46","7","7"
"1987","higher education","7.16","8","743","4","6","9","10","7.01","7.31","8","8"
"1987","higher vocational","6.73","7","569","4","5","8","10","6.55","6.91","7","7"
"1987","in school","7.74","8","190","5","7","9","10","7.46","8.02","8","9"
"1987","inadequately","6.16","7","759","2","4","8","10","5.97","6.35","6","7"
"1987","middle vocational","6.68","7","4983","3","5","8","10","6.62","6.74","7","7"
"1987","vocational + Abi","6.9","8","277","3","5","8","9","6.62","7.18","7","8"
"1988","general elemantary","6.26","7","2736","3","5","8","10","6.17","6.35","7","7"
"1988","higher education","7.06","8","701","4","6","9","9","6.9","7.22","8","8"
"1988","higher vocational","6.65","7","541","4","5","8","9","6.47","6.83","7","7"
"1988","in school","8.11","8","162","5","7","10","10","7.83","8.39","8","9"
"1988","inadequately","6.04","6","697","2","4","8","10","5.85","6.23","6","7"
"1988","middle vocational","6.56","7","4747","3","5","8","10","6.49","6.63","7","7"
"1988","vocational + Abi","6.86","8","271","3","5","8","9","6.6","7.12","7","8"
"1989","general elemantary","6.22","6","2582","3","5","8","10","6.12","6.32","7","7"
"1989","higher education","6.97","8","699","4","5","9","10","6.81","7.13","7","8"
"1989","higher vocational","6.5","7","516","3","5","8","9","6.31","6.69","7","8"
"1989","in school","8.09","9","175","5","7","10","10","7.77","8.41","8","9"
"1989","inadequately","5.99","7","654","2","4","8","10","5.78","6.2","6","7"
"1989","middle vocational","6.54","7","4626","3","5","8","10","6.47","6.61","7","7"
"1989","vocational + Abi","7","7","288","5","6","8","9","6.76","7.24","7","8"
"1990","general elemantary","6.1","6","2997","2","5","8","9","6.01","6.19","7","7"
"1990","higher education","6.94","8","1696","4","5","9","10","6.83","7.05","7","8"
"1990","higher vocational","6.55","7","773","4","5","8","9","6.39","6.71","7","7"
"1990","in school","7.72","8","194","5","7","9","10","7.43","8.01","8","9"
"1990","inadequately","6.39","7","647","3","5","8","10","6.19","6.59","6","7"
"1990","middle vocational","6.63","7","7092","3","5","8","10","6.57","6.69","7","7"
"1990","vocational + Abi","6.94","8","374","4","6","8","9","6.71","7.17","7","8"
"1991","general elemantary","6.14","6","2883","3","5","8","9","6.05","6.23","7","7"
"1991","higher education","6.91","8","1683","4","5","9","9","6.81","7.01","7","8"
"1991","higher vocational","6.54","7","756","3","5","8","9","6.38","6.7","7","7"
"1991","in school","8.13","9","162","6","7","9","10","7.84","8.42","9","9"
"1991","inadequately","6.57","7","663","3","5","8","10","6.38","6.76","7","7"
