"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","6.81","7","12210","3","5","9","10","6.76","6.86","8","8"
"1985","6.77","7","11032","3","5","9","10","6.72","6.82","7","8"
"1986","6.72","7","10616","3","5","9","10","6.67","6.77","7","7"
"1987","6.65","7","10495","3","5","8","10","6.6","6.7","7","7"
"1988","6.55","7","10001","3","5","8","10","6.5","6.6","7","7"
"1989","6.53","7","9682","3","5","8","10","6.48","6.58","7","7"
"1990","6.57","7","13937","3","5","8","10","6.53","6.61","7","7"
"1991","6.54","7","13642","3","5","8","9","6.5","6.58","7","7"
"1992","6.62","7","13343","3","5","8","9","6.58","6.66","7","7"
"1993","6.49","7","13145","3","5","8","9","6.45","6.53","7","7"
"1994","6.39","7","12910","3","5","8","9","6.35","6.43","7","7"
"1995","6.44","7","13315","3","5","8","9","6.4","6.48","7","7"
"1996","6.43","7","13111","3","5","8","9","6.39","6.47","7","7"
"1997","6.42","7","12882","3","5","8","9","6.38","6.46","7","7"
"1998","6.53","7","14274","3","5","8","9","6.49","6.57","7","7"
"1999","6.48","7","13728","3","5","8","9","6.44","6.52","7","7"
"2000","6.68","7","24224","3","5","8","10","6.65","6.71","7","7"
"2001","6.69","7","21983","3","5","8","9","6.66","6.72","7","7"
"2002","6.59","7","23103","3","5","8","9","6.56","6.62","7","7"
"2003","6.58","7","22257","3","5","8","9","6.55","6.61","7","7"
"2004","6.44","7","21654","3","5","8","9","6.41","6.47","7","7"
"2005","6.49","7","20748","3","5","8","9","6.46","6.52","7","7"
"2006","6.5","7","22027","3","5","8","9","6.47","6.53","7","7"
"2007","6.47","7","20580","3","5","8","9","6.44","6.5","7","7"
"2008","6.46","7","19403","3","5","8","9","6.43","6.49","7","7"
"2009","6.41","7","18095","3","5","8","9","6.38","6.44","7","7"
"2010","6.49","7","24030","3","5","8","9","6.46","6.52","7","7"
"2011","6.5","7","25886","3","5","8","9","6.47","6.53","7","7"
"2012","6.58","7","26512","3","5","8","9","6.55","6.61","7","7"
"2013","6.6","7","30722","3","5","8","9","6.57","6.63","7","7"
"2014","6.59","7","27188","3","5","8","9","6.56","6.62","7","7"
"2015","6.59","7","25130","3","5","8","9","6.56","6.62","7","7"
"2016","6.61","7","28711","3","5","8","9","6.58","6.64","7","7"
"2017","6.58","7","32119","3","5","8","9","6.55","6.61","7","7"
"2018","6.55","7","30013","3","5","8","9","6.52","6.58","7","7"
"2019","6.65","7","29710","3","5","8","9","6.62","6.68","7","7"
