"plh0183","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","1-pers.-HH","no migration background","6","","","","0"
"0 Completely dissatisfied","1990","1-pers.-HH","direct migration background","","","","","0"
"0 Completely dissatisfied","1990","1-pers.-HH","indirect migration background","","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","no migration background","15","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","direct migration background","","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","indirect migration background","","","","","0"
"0 Completely dissatisfied","1990","Single parent ","no migration background","1","","","","0"
"0 Completely dissatisfied","1990","Single parent ","direct migration background","","","","","0"
"0 Completely dissatisfied","1990","Single parent ","indirect migration background","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","no migration background","6","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","direct migration background","1","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","indirect migration background","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","no migration background","3","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","direct migration background","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","indirect migration background","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE and GT 16","no migration background","1","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE and GT 16","direct migration background","","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE and GT 16","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1990","(Married) couple without C. ","direct migration background","","","","","1"
"1 on Scale 1 to 10","1990","1-pers.-HH","no migration background","2","","","","1"
"1 on Scale 1 to 10","1990","1-pers.-HH","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1990","(Married) couple without C. ","no migration background","3","","","","1"
"1 on Scale 1 to 10","1990","1-pers.-HH","direct migration background","","","","","1"
"1 on Scale 1 to 10","1990","(Married) couple without C. ","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1990","Single parent ","no migration background","2","","","","1"
"1 on Scale 1 to 10","1990","Single parent ","direct migration background","","","","","1"
"1 on Scale 1 to 10","1990","Single parent ","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE 16 ","no migration background","3","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE 16 ","direct migration background","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE 16 ","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. GT 16 ","no migration background","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. GT 16 ","direct migration background","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. GT 16 ","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE and GT 16","no migration background","1","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE and GT 16","direct migration background","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"10 Completely satisfied","1990","1-pers.-HH","direct migration background","2","","","","10"
