"plh0183","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1991","Not Employed","17","","","","0"
"0 Completely dissatisfied","1991","Employed","15","","","","0"
"1 on Scale 1 to 10","1991","Employed","14","","","","1"
"1 on Scale 1 to 10","1991","Not Employed","21","","","","1"
"10 Completely satisfied","1991","Employed","515","0.076123244733129","0.0694523568644794","0.0827941326017786","10"
"10 Completely satisfied","1991","Not Employed","276","0.0807528777687679","0.0712262292109388","0.090279526326597","10"
"2 on Scale 1 to 10","1991","Not Employed","50","0.0170698549537896","0.0125406576165687","0.0215990522910106","2"
"2 on Scale 1 to 10","1991","Employed","31","0.00676292020918487","0.00470128620609425","0.00882455421227549","2"
"3 on Scale 1 to 10","1991","Employed","101","0.0164707227993746","0.0132691163230765","0.0196723292756727","3"
"3 on Scale 1 to 10","1991","Not Employed","93","0.0356339961325759","0.0291521575590441","0.0421158347061076","3"
"4 on Scale 1 to 10","1991","Not Employed","119","0.043024566723253","0.0359295463325383","0.0501195871139677","4"
"4 on Scale 1 to 10","1991","Employed","167","0.0292918235770922","0.025050166803692","0.0335334803504924","4"
"5 on Scale 1 to 10","1991","Not Employed","387","0.140252783720697","0.128110898174238","0.152394669267156","5"
"5 on Scale 1 to 10","1991","Employed","566","0.0980199899024465","0.0905404693883507","0.105499510416542","5"
"6 on Scale 1 to 10","1991","Not Employed","341","0.114574334119873","0.103437423736451","0.125711244503295","6"
"6 on Scale 1 to 10","1991","Employed","541","0.0902455446428358","0.0830379068252342","0.0974531824604374","6"
"7 on Scale 1 to 10","1991","Employed","1075","0.177081928594607","0.167479448932812","0.186684408256401","7"
"7 on Scale 1 to 10","1991","Not Employed","560","0.174518814139893","0.161247323136334","0.187790305143452","7"
"8 on Scale 1 to 10","1991","Employed","1960","0.32649602057411","0.314700231345762","0.338291809802459","8"
"8 on Scale 1 to 10","1991","Not Employed","850","0.268393975320814","0.25289974459745","0.283888206044178","8"
"9 on Scale 1 to 10","1991","Employed","1086","0.174609018263834","0.165059506466662","0.184158530061007","9"
"9 on Scale 1 to 10","1991","Not Employed","428","0.107369446982944","0.0965446132926845","0.118194280673204","9"
"0 Completely dissatisfied","1992","Not Employed","35","0.0106731747501656","0.00754416204252412","0.0138021874578071","0"
"0 Completely dissatisfied","1992","Employed","37","0.00428802209267547","0.00293602851056389","0.00564001567478706","0"
