"plh0183","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","16-34 y.","no migration background","6","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","direct migration background","1","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","indirect migration background","","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","no migration background","16","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","direct migration background","","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","indirect migration background","","","","","0"
"0 Completely dissatisfied","1990","66 and older","no migration background","10","","","","0"
"0 Completely dissatisfied","1990","66 and older","direct migration background","","","","","0"
"0 Completely dissatisfied","1990","66 and older","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1990","66 and older","direct migration background","","","","","1"
"1 on Scale 1 to 10","1990","66 and older","no migration background","3","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","direct migration background","","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","no migration background","4","","","","1"
"1 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","no migration background","4","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","direct migration background","","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","1"
"10 Completely satisfied","1990","16-34 y.","indirect migration background","1","","","","10"
"10 Completely satisfied","1990","35-65 y.","indirect migration background","","","","","10"
"10 Completely satisfied","1990","16-34 y.","no migration background","208","0.127798006580941","0.111790251042876","0.143805762119005","10"
"10 Completely satisfied","1990","16-34 y.","direct migration background","1","","","","10"
"10 Completely satisfied","1990","35-65 y.","direct migration background","22","","","","10"
"10 Completely satisfied","1990","66 and older","indirect migration background","","","","","10"
"10 Completely satisfied","1990","66 and older","no migration background","70","0.18781339047084","0.149634240636299","0.22599254030538","10"
"10 Completely satisfied","1990","35-65 y.","no migration background","324","0.149806416238091","0.134859549844151","0.164753282632031","10"
"10 Completely satisfied","1990","66 and older","direct migration background","6","","","","10"
"2 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1990","16-34 y.","direct migration background","","","","","2"
"2 on Scale 1 to 10","1990","16-34 y.","no migration background","14","","","","2"
"2 on Scale 1 to 10","1990","66 and older","no migration background","5","","","","2"
"2 on Scale 1 to 10","1990","66 and older","direct migration background","","","","","2"
"2 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1990","35-65 y.","no migration background","34","0.0169679438549823","0.0115588504255774","0.0223770372843873","2"
"2 on Scale 1 to 10","1990","35-65 y.","direct migration background","","","","","2"
"2 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","2"
"3 on Scale 1 to 10","1990","16-34 y.","no migration background","35","0.0250971366991169","0.0175972858405822","0.0325969875576516","3"
"3 on Scale 1 to 10","1990","16-34 y.","direct migration background","","","","","3"
"3 on Scale 1 to 10","1990","35-65 y.","direct migration background","3","","","","3"
"3 on Scale 1 to 10","1990","35-65 y.","no migration background","57","0.0259472139278824","0.019288924855741","0.0326055030000237","3"
"3 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1990","66 and older","no migration background","19","","","","3"
"3 on Scale 1 to 10","1990","66 and older","direct migration background","","","","","3"
"3 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","3"
"4 on Scale 1 to 10","1990","66 and older","direct migration background","1","","","","4"
"4 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1990","16-34 y.","no migration background","34","0.0206905390072022","0.0138654904826646","0.0275155875317398","4"
"4 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1990","16-34 y.","direct migration background","","","","","4"
"4 on Scale 1 to 10","1990","35-65 y.","direct migration background","","","","","4"
"4 on Scale 1 to 10","1990","66 and older","no migration background","10","","","","4"
"4 on Scale 1 to 10","1990","35-65 y.","no migration background","50","0.0245006520209232","0.0180258223770397","0.0309754816648066","4"
"5 on Scale 1 to 10","1990","66 and older","no migration background","69","0.172207367530602","0.135299265985914","0.20911546907529","5"
"5 on Scale 1 to 10","1990","16-34 y.","indirect migration background","1","","","","5"
"5 on Scale 1 to 10","1990","16-34 y.","no migration background","169","0.0991975288645225","0.0848649256739376","0.113530132055107","5"
"5 on Scale 1 to 10","1990","16-34 y.","direct migration background","3","","","","5"
"5 on Scale 1 to 10","1990","66 and older","direct migration background","4","","","","5"
"5 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","5"
"5 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","5"
"5 on Scale 1 to 10","1990","35-65 y.","no migration background","252","0.118520656474132","0.104983447675656","0.132057865272608","5"
"5 on Scale 1 to 10","1990","35-65 y.","direct migration background","16","","","","5"
"6 on Scale 1 to 10","1990","66 and older","no migration background","26","","","","6"
"6 on Scale 1 to 10","1990","16-34 y.","direct migration background","1","","","","6"
"6 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","6"
"6 on Scale 1 to 10","1990","16-34 y.","no migration background","96","0.0606196864576979","0.049178068661573","0.0720613042538229","6"
"6 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","6"
"6 on Scale 1 to 10","1990","35-65 y.","no migration background","177","0.0823991025012212","0.070882770166797","0.0939154348356455","6"
"6 on Scale 1 to 10","1990","35-65 y.","direct migration background","6","","","","6"
"6 on Scale 1 to 10","1990","66 and older","direct migration background","","","","","6"
"6 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","6"
"7 on Scale 1 to 10","1990","16-34 y.","no migration background","257","0.147632744518037","0.130624300239784","0.164641188796289","7"
"7 on Scale 1 to 10","1990","16-34 y.","direct migration background","3","","","","7"
"7 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","7"
"7 on Scale 1 to 10","1990","35-65 y.","no migration background","266","0.123969161632928","0.110167144473105","0.137771178792751","7"
"7 on Scale 1 to 10","1990","35-65 y.","direct migration background","19","","","","7"
"7 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","7"
"7 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","7"
"7 on Scale 1 to 10","1990","66 and older","no migration background","54","0.134309994026236","0.10097729881059","0.167642689241882","7"
"7 on Scale 1 to 10","1990","66 and older","direct migration background","5","","","","7"
"8 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","8"
"8 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","8"
"8 on Scale 1 to 10","1990","16-34 y.","no migration background","508","0.302216664515352","0.280198588497411","0.324234740533293","8"
"8 on Scale 1 to 10","1990","16-34 y.","direct migration background","3","","","","8"
"8 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","8"
"8 on Scale 1 to 10","1990","66 and older","no migration background","92","0.206874823244359","0.167278054005492","0.246471592483227","8"
"8 on Scale 1 to 10","1990","66 and older","direct migration background","6","","","","8"
"8 on Scale 1 to 10","1990","35-65 y.","no migration background","621","0.275026464580127","0.2563250545064","0.293727874653854","8"
"8 on Scale 1 to 10","1990","35-65 y.","direct migration background","19","","","","8"
"9 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","9"
"9 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","9"
"9 on Scale 1 to 10","1990","66 and older","no migration background","44","0.115115548795373","0.083916213561193","0.146314884029553","9"
"9 on Scale 1 to 10","1990","16-34 y.","no migration background","340","0.20191476658848","0.182667522924503","0.221162010252456","9"
"9 on Scale 1 to 10","1990","16-34 y.","direct migration background","4","","","","9"
"9 on Scale 1 to 10","1990","35-65 y.","no migration background","389","0.171130613562144","0.155356936791641","0.186904290332647","9"
"9 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","9"
"9 on Scale 1 to 10","1990","66 and older","direct migration background","1","","","","9"
"9 on Scale 1 to 10","1990","35-65 y.","direct migration background","18","","","","9"
"0 Completely dissatisfied","1991","16-34 y.","no migration background","9","","","","0"
"0 Completely dissatisfied","1991","16-34 y.","direct migration background","4","","","","0"
"0 Completely dissatisfied","1991","16-34 y.","indirect migration background","","","","","0"
"0 Completely dissatisfied","1991","35-65 y.","no migration background","19","","","","0"
"0 Completely dissatisfied","1991","35-65 y.","direct migration background","6","","","","0"
"0 Completely dissatisfied","1991","35-65 y.","indirect migration background","","","","","0"
"0 Completely dissatisfied","1991","66 and older","no migration background","17","","","","0"
"0 Completely dissatisfied","1991","66 and older","direct migration background","1","","","","0"
"0 Completely dissatisfied","1991","66 and older","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1991","16-34 y.","no migration background","9","","","","1"
"1 on Scale 1 to 10","1991","16-34 y.","direct migration background","1","","","","1"
"1 on Scale 1 to 10","1991","16-34 y.","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1991","66 and older","no migration background","15","","","","1"
"1 on Scale 1 to 10","1991","66 and older","direct migration background","","","","","1"
"1 on Scale 1 to 10","1991","66 and older","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1991","35-65 y.","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1991","35-65 y.","no migration background","21","","","","1"
"1 on Scale 1 to 10","1991","35-65 y.","direct migration background","8","","","","1"
"10 Completely satisfied","1991","16-34 y.","indirect migration background","54","0.203341704380423","0.158681565925456","0.248001842835391","10"
"10 Completely satisfied","1991","16-34 y.","direct migration background","106","0.114692353784479","0.0936150442500597","0.135769663318898","10"
"10 Completely satisfied","1991","35-65 y.","indirect migration background","1","","","","10"
"10 Completely satisfied","1991","16-34 y.","no migration background","310","0.0789361566787681","0.07045406072263","0.0874182526349063","10"
"10 Completely satisfied","1991","35-65 y.","no migration background","365","0.0680911312442867","0.0612836380459033","0.0748986244426701","10"
"10 Completely satisfied","1991","35-65 y.","direct migration background","127","0.0766464720822122","0.0636071818989046","0.0896857622655197","10"
"10 Completely satisfied","1991","66 and older","no migration background","132","0.0920219347898561","0.0761244071343954","0.107919462445317","10"
"10 Completely satisfied","1991","66 and older","direct migration background","22","","","","10"
"10 Completely satisfied","1991","66 and older","indirect migration background","","","","","10"
"2 on Scale 1 to 10","1991","16-34 y.","no migration background","30","0.00817656242330306","0.00534371693654674","0.0110094079100594","2"
"2 on Scale 1 to 10","1991","16-34 y.","direct migration background","3","","","","2"
"2 on Scale 1 to 10","1991","16-34 y.","indirect migration background","2","","","","2"
"2 on Scale 1 to 10","1991","66 and older","no migration background","31","0.0215628696004592","0.0135743561375692","0.0295513830633492","2"
"2 on Scale 1 to 10","1991","66 and older","direct migration background","5","","","","2"
"2 on Scale 1 to 10","1991","66 and older","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1991","35-65 y.","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1991","35-65 y.","no migration background","56","0.010570270333568","0.00780657131711068","0.0133339693500252","2"
"2 on Scale 1 to 10","1991","35-65 y.","direct migration background","14","","","","2"
"3 on Scale 1 to 10","1991","16-34 y.","no migration background","41","0.00983458430557413","0.00673036635500071","0.0129388022561475","3"
"3 on Scale 1 to 10","1991","16-34 y.","direct migration background","12","","","","3"
"3 on Scale 1 to 10","1991","35-65 y.","direct migration background","54","0.0351581585691126","0.0261307108107665","0.0441856063274588","3"
"3 on Scale 1 to 10","1991","16-34 y.","indirect migration background","2","","","","3"
"3 on Scale 1 to 10","1991","35-65 y.","no migration background","118","0.0236995322865049","0.0195888221375247","0.0278102424354851","3"
"3 on Scale 1 to 10","1991","35-65 y.","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1991","66 and older","direct migration background","5","","","","3"
"3 on Scale 1 to 10","1991","66 and older","indirect migration background","1","","","","3"
"3 on Scale 1 to 10","1991","66 and older","no migration background","55","0.0483869396516618","0.0365853501339526","0.0601885291693711","3"
"4 on Scale 1 to 10","1991","16-34 y.","no migration background","64","0.0171557430399454","0.0130709745810914","0.0212405114987994","4"
"4 on Scale 1 to 10","1991","16-34 y.","direct migration background","22","","","","4"
"4 on Scale 1 to 10","1991","16-34 y.","indirect migration background","4","","","","4"
"4 on Scale 1 to 10","1991","35-65 y.","direct migration background","66","0.0447305789248121","0.0345987218073948","0.0548624360422293","4"
"4 on Scale 1 to 10","1991","35-65 y.","indirect migration background","1","","","","4"
"4 on Scale 1 to 10","1991","66 and older","direct migration background","3","","","","4"
"4 on Scale 1 to 10","1991","66 and older","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1991","35-65 y.","no migration background","193","0.0376370954938872","0.0324939038574355","0.0427802871303388","4"
"4 on Scale 1 to 10","1991","66 and older","no migration background","61","0.0540676597349419","0.0416298172253982","0.0665055022444856","4"
"5 on Scale 1 to 10","1991","16-34 y.","no migration background","256","0.0626603234948694","0.0550366350091486","0.0702840119805902","5"
"5 on Scale 1 to 10","1991","16-34 y.","direct migration background","68","0.0667083531449971","0.0502039572707114","0.0832127490192827","5"
"5 on Scale 1 to 10","1991","16-34 y.","indirect migration background","9","","","","5"
"5 on Scale 1 to 10","1991","35-65 y.","indirect migration background","4","","","","5"
