"plh0183","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1991","16-34 y.","Not Employed","1","","","","0"
"0 Completely dissatisfied","1991","16-34 y.","Employed","6","","","","0"
"0 Completely dissatisfied","1991","35-65 y.","Not Employed","4","","","","0"
"0 Completely dissatisfied","1991","35-65 y.","Employed","9","","","","0"
"0 Completely dissatisfied","1991","66 and older","Not Employed","12","","","","0"
"0 Completely dissatisfied","1991","66 and older","Employed","","","","","0"
"1 on Scale 1 to 10","1991","16-34 y.","Not Employed","2","","","","1"
"1 on Scale 1 to 10","1991","35-65 y.","Not Employed","8","","","","1"
"1 on Scale 1 to 10","1991","35-65 y.","Employed","10","","","","1"
"1 on Scale 1 to 10","1991","16-34 y.","Employed","4","","","","1"
"1 on Scale 1 to 10","1991","66 and older","Not Employed","11","","","","1"
"1 on Scale 1 to 10","1991","66 and older","Employed","","","","","1"
"10 Completely satisfied","1991","16-34 y.","Not Employed","87","0.0744500518533028","0.0570965915695279","0.0918035121370778","10"
"10 Completely satisfied","1991","16-34 y.","Employed","276","0.0911969480647324","0.0802832068299124","0.102110689299552","10"
"10 Completely satisfied","1991","35-65 y.","Employed","234","0.0648922521818208","0.0565630059001041","0.0732214984635376","10"
"10 Completely satisfied","1991","35-65 y.","Not Employed","92","0.0700354477968157","0.0561731651034013","0.0838977304902302","10"
"10 Completely satisfied","1991","66 and older","Not Employed","97","0.0924161599995994","0.0741055111548679","0.110726808844331","10"
"10 Completely satisfied","1991","66 and older","Employed","5","","","","10"
"2 on Scale 1 to 10","1991","16-34 y.","Not Employed","6","","","","2"
"2 on Scale 1 to 10","1991","16-34 y.","Employed","13","","","","2"
"2 on Scale 1 to 10","1991","35-65 y.","Not Employed","20","","","","2"
"2 on Scale 1 to 10","1991","35-65 y.","Employed","17","","","","2"
"2 on Scale 1 to 10","1991","66 and older","Not Employed","24","","","","2"
"2 on Scale 1 to 10","1991","66 and older","Employed","1","","","","2"
"3 on Scale 1 to 10","1991","16-34 y.","Not Employed","7","","","","3"
"3 on Scale 1 to 10","1991","16-34 y.","Employed","28","","","","3"
"3 on Scale 1 to 10","1991","35-65 y.","Not Employed","40","0.0305643942955905","0.0212144294279989","0.039914359163182","3"
"3 on Scale 1 to 10","1991","35-65 y.","Employed","72","0.020975823290669","0.016130367131343","0.0258212794499949","3"
"3 on Scale 1 to 10","1991","66 and older","Not Employed","46","0.0514126773251314","0.0374502744364891","0.0653750802137736","3"
"3 on Scale 1 to 10","1991","66 and older","Employed","1","","","","3"
"4 on Scale 1 to 10","1991","16-34 y.","Not Employed","10","","","","4"
"4 on Scale 1 to 10","1991","16-34 y.","Employed","51","0.0196016376951303","0.0143463550454679","0.0248569203447927","4"
"4 on Scale 1 to 10","1991","35-65 y.","Not Employed","60","0.0442640508367704","0.033091891065276","0.0554362106082647","4"
"4 on Scale 1 to 10","1991","35-65 y.","Employed","115","0.0361336780014604","0.0298234806734398","0.042443875329481","4"
"4 on Scale 1 to 10","1991","66 and older","Not Employed","49","0.0562663720733729","0.0416971766311011","0.0708355675156446","4"
"4 on Scale 1 to 10","1991","66 and older","Employed","1","","","","4"
"5 on Scale 1 to 10","1991","16-34 y.","Not Employed","50","0.0614095336683207","0.0455383388546229","0.0772807284820184","5"
"5 on Scale 1 to 10","1991","16-34 y.","Employed","172","0.0600928993478323","0.0510833585539549","0.0691024401417098","5"
"5 on Scale 1 to 10","1991","35-65 y.","Not Employed","179","0.142505593800128","0.123517813292127","0.161493374308129","5"
"5 on Scale 1 to 10","1991","35-65 y.","Employed","391","0.12531007087838","0.114115730623629","0.136504411133131","5"
"5 on Scale 1 to 10","1991","66 and older","Not Employed","158","0.17178673390751","0.147938715410323","0.195634752404697","5"
"5 on Scale 1 to 10","1991","66 and older","Employed","3","","","","5"
"6 on Scale 1 to 10","1991","66 and older","Employed","4","","","","6"
"6 on Scale 1 to 10","1991","66 and older","Not Employed","138","0.143974404113478","0.121778521599077","0.166170286627878","6"
"6 on Scale 1 to 10","1991","16-34 y.","Not Employed","65","0.0721505075852719","0.0550459393425011","0.0892550758280428","6"
"6 on Scale 1 to 10","1991","16-34 y.","Employed","188","0.0695478653284911","0.0599043021025798","0.0791914285544024","6"
"6 on Scale 1 to 10","1991","35-65 y.","Not Employed","138","0.100967499304452","0.0846023076784644","0.117332690930439","6"
"6 on Scale 1 to 10","1991","35-65 y.","Employed","349","0.104878505869795","0.0945184358410728","0.115238575898518","6"
"7 on Scale 1 to 10","1991","35-65 y.","Not Employed","260","0.20571926825477","0.183762566742498","0.227675969767043","7"
"7 on Scale 1 to 10","1991","16-34 y.","Not Employed","150","0.16440230606564","0.139900041640563","0.188904570490716","7"
"7 on Scale 1 to 10","1991","16-34 y.","Employed","421","0.164934818006817","0.15086576154578","0.179003874467854","7"
"7 on Scale 1 to 10","1991","35-65 y.","Employed","644","0.184398404617828","0.171285585656345","0.197511223579311","7"
"7 on Scale 1 to 10","1991","66 and older","Not Employed","150","0.152632035892944","0.129894402171522","0.175369669614365","7"
"7 on Scale 1 to 10","1991","66 and older","Employed","10","","","","7"
"8 on Scale 1 to 10","1991","16-34 y.","Employed","907","0.349261048189462","0.331188179637374","0.367333916741551","8"
"8 on Scale 1 to 10","1991","16-34 y.","Not Employed","277","0.36460774944984","0.332788673895872","0.396426825003809","8"
"8 on Scale 1 to 10","1991","35-65 y.","Not Employed","359","0.273369639284953","0.249160769817387","0.29757850875252","8"
"8 on Scale 1 to 10","1991","35-65 y.","Employed","1043","0.310889631184495","0.295239212389309","0.326540049979681","8"
"8 on Scale 1 to 10","1991","66 and older","Employed","10","","","","8"
"8 on Scale 1 to 10","1991","66 and older","Not Employed","214","0.223431867038382","0.197095932322044","0.24976780175472","8"
"9 on Scale 1 to 10","1991","16-34 y.","Not Employed","224","0.236084960590884","0.208010569566003","0.264159351615766","9"
"9 on Scale 1 to 10","1991","16-34 y.","Employed","607","0.225572696284866","0.209728062524467","0.241417330045266","9"
"9 on Scale 1 to 10","1991","66 and older","Not Employed","62","0.056393598373819","0.0418089239081976","0.0709782728394404","9"
"9 on Scale 1 to 10","1991","35-65 y.","Not Employed","142","0.10308980965152","0.0865730462780518","0.119606573024988","9"
"9 on Scale 1 to 10","1991","35-65 y.","Employed","476","0.139825483121729","0.128099077765723","0.151551888477736","9"
"9 on Scale 1 to 10","1991","66 and older","Employed","3","","","","9"
"0 Completely dissatisfied","1992","35-65 y.","Not Employed","14","","","","0"
"0 Completely dissatisfied","1992","35-65 y.","Employed","25","","","","0"
"0 Completely dissatisfied","1992","16-34 y.","Not Employed","4","","","","0"
"0 Completely dissatisfied","1992","16-34 y.","Employed","12","","","","0"
"0 Completely dissatisfied","1992","66 and older","Not Employed","17","","","","0"
"0 Completely dissatisfied","1992","66 and older","Employed","","","","","0"
"1 on Scale 1 to 10","1992","16-34 y.","Not Employed","1","","","","1"
"1 on Scale 1 to 10","1992","35-65 y.","Employed","26","","","","1"
"1 on Scale 1 to 10","1992","35-65 y.","Not Employed","17","","","","1"
"1 on Scale 1 to 10","1992","16-34 y.","Employed","13","","","","1"
"1 on Scale 1 to 10","1992","66 and older","Not Employed","22","","","","1"
"1 on Scale 1 to 10","1992","66 and older","Employed","","","","","1"
"10 Completely satisfied","1992","16-34 y.","Not Employed","128","0.113204649345822","0.0947391683749489","0.131670130316696","10"
"10 Completely satisfied","1992","16-34 y.","Employed","301","0.0747471318877441","0.0663845394615088","0.0831097243139793","10"
"10 Completely satisfied","1992","35-65 y.","Not Employed","97","0.0627714515746988","0.0510716527364674","0.0744712504129303","10"
"10 Completely satisfied","1992","35-65 y.","Employed","278","0.0559171299162395","0.0496352985019935","0.0621989613304856","10"
"10 Completely satisfied","1992","66 and older","Not Employed","103","0.0684038069184713","0.0549924408406308","0.0818151729963118","10"
"10 Completely satisfied","1992","66 and older","Employed","1","","","","10"
"2 on Scale 1 to 10","1992","16-34 y.","Not Employed","8","","","","2"
"2 on Scale 1 to 10","1992","16-34 y.","Employed","26","","","","2"
"2 on Scale 1 to 10","1992","35-65 y.","Not Employed","27","","","","2"
"2 on Scale 1 to 10","1992","35-65 y.","Employed","66","0.0161155636829168","0.0126728288167794","0.0195582985490541","2"
"2 on Scale 1 to 10","1992","66 and older","Not Employed","38","0.0317868916665902","0.0224666207070639","0.0411071626261165","2"
"2 on Scale 1 to 10","1992","66 and older","Employed","1","","","","2"
"3 on Scale 1 to 10","1992","35-65 y.","Not Employed","78","0.0489963647994873","0.0385840432192383","0.0594086863797364","3"
"3 on Scale 1 to 10","1992","16-34 y.","Not Employed","8","","","","3"
"3 on Scale 1 to 10","1992","16-34 y.","Employed","49","0.0137123269529449","0.0100142935744089","0.0174103603314808","3"
"3 on Scale 1 to 10","1992","35-65 y.","Employed","168","0.0331783248817573","0.0282815605956937","0.038075089167821","3"
"3 on Scale 1 to 10","1992","66 and older","Not Employed","69","0.0528522620445928","0.0409656064002951","0.0647389176888905","3"
"3 on Scale 1 to 10","1992","66 and older","Employed","","","","","3"
"4 on Scale 1 to 10","1992","16-34 y.","Not Employed","21","","","","4"
"4 on Scale 1 to 10","1992","16-34 y.","Employed","105","0.0303376262705642","0.0248836340439566","0.0357916184971719","4"
"4 on Scale 1 to 10","1992","35-65 y.","Not Employed","91","0.0624578309387581","0.050785343677864","0.0741303181996521","4"
"4 on Scale 1 to 10","1992","35-65 y.","Employed","224","0.0438522326199883","0.0382537911206358","0.0494506741193409","4"
"4 on Scale 1 to 10","1992","66 and older","Not Employed","91","0.0735775530998321","0.0597069216169157","0.0874481845827485","4"
"4 on Scale 1 to 10","1992","66 and older","Employed","","","","","4"
"5 on Scale 1 to 10","1992","16-34 y.","Not Employed","87","0.0780413609135721","0.0624086273976833","0.0936740944294608","5"
"5 on Scale 1 to 10","1992","16-34 y.","Employed","275","0.0625790130654188","0.0548771616635078","0.0702808644673299","5"
"5 on Scale 1 to 10","1992","35-65 y.","Not Employed","238","0.151234800338193","0.133952792197056","0.168516808479331","5"
"5 on Scale 1 to 10","1992","35-65 y.","Employed","614","0.122705468359579","0.113735034424789","0.131675902294368","5"
"5 on Scale 1 to 10","1992","66 and older","Not Employed","225","0.179877118481891","0.159471655461552","0.20028258150223","5"
"5 on Scale 1 to 10","1992","66 and older","Employed","4","","","","5"
"6 on Scale 1 to 10","1992","16-34 y.","Employed","318","0.0838668963915885","0.0750525925293975","0.0926812002537794","6"
"6 on Scale 1 to 10","1992","66 and older","Not Employed","191","0.145251254852119","0.12653158388781","0.163970925816428","6"
"6 on Scale 1 to 10","1992","66 and older","Employed","4","","","","6"
"6 on Scale 1 to 10","1992","35-65 y.","Not Employed","219","0.125523421175229","0.109542160727871","0.141504681622587","6"
"6 on Scale 1 to 10","1992","35-65 y.","Employed","627","0.116970928705448","0.108184037442301","0.125757819968595","6"
"6 on Scale 1 to 10","1992","16-34 y.","Not Employed","79","0.0601618810797433","0.0463037705841273","0.0740199915753593","6"
"7 on Scale 1 to 10","1992","35-65 y.","Not Employed","298","0.170888114554874","0.152731408867803","0.189044820241945","7"
"7 on Scale 1 to 10","1992","16-34 y.","Not Employed","191","0.167233483717278","0.145484446602611","0.188982520831946","7"
"7 on Scale 1 to 10","1992","16-34 y.","Employed","664","0.176134895166152","0.164021546970079","0.188248243362225","7"
"7 on Scale 1 to 10","1992","35-65 y.","Employed","1006","0.187671800974088","0.176996649213469","0.198346952734707","7"
"7 on Scale 1 to 10","1992","66 and older","Not Employed","223","0.148119613126585","0.129247756751906","0.166991469501264","7"
"7 on Scale 1 to 10","1992","66 and older","Employed","7","","","","7"
"8 on Scale 1 to 10","1992","66 and older","Not Employed","267","0.197446801242884","0.17629823185033","0.218595370635437","8"
"8 on Scale 1 to 10","1992","16-34 y.","Employed","1222","0.325010856081732","0.310116875885729","0.339904836277735","8"
"8 on Scale 1 to 10","1992","16-34 y.","Not Employed","379","0.327330566761724","0.299983489572417","0.354677643951031","8"
"8 on Scale 1 to 10","1992","35-65 y.","Not Employed","399","0.241330212339494","0.220690349984845","0.261970074694144","8"
"8 on Scale 1 to 10","1992","35-65 y.","Employed","1444","0.279648568570626","0.267377361229216","0.291919775912035","8"
"8 on Scale 1 to 10","1992","66 and older","Employed","15","","","","8"
"9 on Scale 1 to 10","1992","16-34 y.","Not Employed","225","0.213047065895789","0.189183851300501","0.236910280491078","9"
"9 on Scale 1 to 10","1992","16-34 y.","Employed","814","0.217734387247883","0.204610754280178","0.230858020215588","9"
"9 on Scale 1 to 10","1992","35-65 y.","Not Employed","173","0.0920692445643214","0.0781229700933812","0.106015519035262","9"
"9 on Scale 1 to 10","1992","35-65 y.","Employed","661","0.134133923619017","0.124816336569023","0.143451510669012","9"
"9 on Scale 1 to 10","1992","66 and older","Not Employed","115","0.0696884545269686","0.0561610757602405","0.0832158332936967","9"
"9 on Scale 1 to 10","1992","66 and older","Employed","3","","","","9"
"0 Completely dissatisfied","1993","16-34 y.","Not Employed","5","","","","0"
"0 Completely dissatisfied","1993","16-34 y.","Employed","12","","","","0"
"0 Completely dissatisfied","1993","35-65 y.","Not Employed","26","","","","0"
"0 Completely dissatisfied","1993","35-65 y.","Employed","33","0.0110404883030095","0.00811326981235529","0.0139677067936637","0"
"0 Completely dissatisfied","1993","66 and older","Not Employed","17","","","","0"
"0 Completely dissatisfied","1993","66 and older","Employed","","","","","0"
"1 on Scale 1 to 10","1993","16-34 y.","Not Employed","7","","","","1"
"1 on Scale 1 to 10","1993","35-65 y.","Not Employed","19","","","","1"
"1 on Scale 1 to 10","1993","35-65 y.","Employed","36","0.00947989237207625","0.00676529706234338","0.0121944876818091","1"
"1 on Scale 1 to 10","1993","16-34 y.","Employed","8","","","","1"
"1 on Scale 1 to 10","1993","66 and older","Not Employed","29","","","","1"
