"plh0183","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","in school","West Germany","","","","","0"
"0 Completely dissatisfied","1990","in school","East Germany","1","","","","0"
"0 Completely dissatisfied","1990","inadequately","West Germany","","","","","0"
"0 Completely dissatisfied","1990","inadequately","East Germany","","","","","0"
"0 Completely dissatisfied","1990","general elemantary","West Germany","","","","","0"
"0 Completely dissatisfied","1990","general elemantary","East Germany","6","","","","0"
"0 Completely dissatisfied","1990","middle vocational","West Germany","","","","","0"
"0 Completely dissatisfied","1990","middle vocational","East Germany","15","","","","0"
"0 Completely dissatisfied","1990","vocational + Abi","West Germany","","","","","0"
"0 Completely dissatisfied","1990","vocational + Abi","East Germany","","","","","0"
"0 Completely dissatisfied","1990","higher vocational","West Germany","","","","","0"
"0 Completely dissatisfied","1990","higher vocational","East Germany","4","","","","0"
"0 Completely dissatisfied","1990","higher education","West Germany","","","","","0"
"0 Completely dissatisfied","1990","higher education","East Germany","7","","","","0"
"1 on Scale 1 to 10","1990","higher vocational","East Germany","1","","","","1"
"1 on Scale 1 to 10","1990","general elemantary","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","inadequately","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","middle vocational","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","in school","East Germany","","","","","1"
"1 on Scale 1 to 10","1990","inadequately","East Germany","","","","","1"
"1 on Scale 1 to 10","1990","higher education","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","higher vocational","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","in school","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","general elemantary","East Germany","3","","","","1"
"1 on Scale 1 to 10","1990","higher education","East Germany","3","","","","1"
"1 on Scale 1 to 10","1990","middle vocational","East Germany","4","","","","1"
"1 on Scale 1 to 10","1990","vocational + Abi","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","vocational + Abi","East Germany","","","","","1"
"10 Completely satisfied","1990","general elemantary","East Germany","82","0.160960334869455","0.129003267772967","0.192917401965944","10"
"10 Completely satisfied","1990","in school","East Germany","7","","","","10"
"10 Completely satisfied","1990","middle vocational","West Germany","","","","","10"
"10 Completely satisfied","1990","in school","West Germany","","","","","10"
"10 Completely satisfied","1990","inadequately","West Germany","","","","","10"
"10 Completely satisfied","1990","general elemantary","West Germany","","","","","10"
"10 Completely satisfied","1990","vocational + Abi","West Germany","","","","","10"
"10 Completely satisfied","1990","vocational + Abi","East Germany","4","","","","10"
"10 Completely satisfied","1990","higher education","East Germany","93","0.0955689004009992","0.0772736527236363","0.113864148078362","10"
"10 Completely satisfied","1990","middle vocational","East Germany","398","0.164429451870597","0.149960301349711","0.178898602391484","10"
"10 Completely satisfied","1990","higher education","West Germany","","","","","10"
"10 Completely satisfied","1990","inadequately","East Germany","6","","","","10"
"10 Completely satisfied","1990","higher vocational","West Germany","","","","","10"
"10 Completely satisfied","1990","higher vocational","East Germany","41","0.176958269355961","0.130300079240444","0.223616459471478","10"
"2 on Scale 1 to 10","1990","general elemantary","East Germany","9","","","","2"
"2 on Scale 1 to 10","1990","in school","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","in school","East Germany","","","","","2"
"2 on Scale 1 to 10","1990","general elemantary","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","higher education","East Germany","16","","","","2"
"2 on Scale 1 to 10","1990","inadequately","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","inadequately","East Germany","","","","","2"
"2 on Scale 1 to 10","1990","middle vocational","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","middle vocational","East Germany","26","","","","2"
"2 on Scale 1 to 10","1990","vocational + Abi","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","higher vocational","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","higher vocational","East Germany","1","","","","2"
"2 on Scale 1 to 10","1990","higher education","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","vocational + Abi","East Germany","1","","","","2"
"3 on Scale 1 to 10","1990","in school","East Germany","","","","","3"
"3 on Scale 1 to 10","1990","vocational + Abi","East Germany","","","","","3"
"3 on Scale 1 to 10","1990","inadequately","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","inadequately","East Germany","","","","","3"
"3 on Scale 1 to 10","1990","middle vocational","East Germany","65","0.0273182839139607","0.0209551106119034","0.033681457216018","3"
"3 on Scale 1 to 10","1990","vocational + Abi","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","higher vocational","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","in school","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","general elemantary","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","middle vocational","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","general elemantary","East Germany","15","","","","3"
"3 on Scale 1 to 10","1990","higher vocational","East Germany","6","","","","3"
"3 on Scale 1 to 10","1990","higher education","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","higher education","East Germany","28","","","","3"
"4 on Scale 1 to 10","1990","general elemantary","West Germany","","","","","4"
"4 on Scale 1 to 10","1990","general elemantary","East Germany","13","","","","4"
"4 on Scale 1 to 10","1990","higher vocational","East Germany","3","","","","4"
"4 on Scale 1 to 10","1990","in school","East Germany","","","","","4"
"4 on Scale 1 to 10","1990","inadequately","West Germany","","","","","4"
"4 on Scale 1 to 10","1990","inadequately","East Germany","","","","","4"
"4 on Scale 1 to 10","1990","higher vocational","West Germany","","","","","4"
"4 on Scale 1 to 10","1990","higher education","West Germany","","","","","4"
"4 on Scale 1 to 10","1990","middle vocational","West Germany","","","","","4"
"4 on Scale 1 to 10","1990","in school","West Germany","","","","","4"
"4 on Scale 1 to 10","1990","middle vocational","East Germany","50","0.0208913728183481","0.0153084632079655","0.0264742824287307","4"
"4 on Scale 1 to 10","1990","vocational + Abi","West Germany","","","","","4"
"4 on Scale 1 to 10","1990","vocational + Abi","East Germany","","","","","4"
"4 on Scale 1 to 10","1990","higher education","East Germany","29","","","","4"
"5 on Scale 1 to 10","1990","general elemantary","East Germany","60","0.121160368297443","0.0927843572863043","0.149536379308582","5"
"5 on Scale 1 to 10","1990","middle vocational","West Germany","","","","","5"
"5 on Scale 1 to 10","1990","middle vocational","East Germany","304","0.125025791108973","0.112114814339933","0.137936767878013","5"
"5 on Scale 1 to 10","1990","in school","East Germany","2","","","","5"
"5 on Scale 1 to 10","1990","inadequately","West Germany","","","","","5"
"5 on Scale 1 to 10","1990","inadequately","East Germany","2","","","","5"
"5 on Scale 1 to 10","1990","general elemantary","West Germany","","","","","5"
"5 on Scale 1 to 10","1990","vocational + Abi","West Germany","","","","","5"
"5 on Scale 1 to 10","1990","vocational + Abi","East Germany","5","","","","5"
"5 on Scale 1 to 10","1990","higher vocational","East Germany","28","","","","5"
"5 on Scale 1 to 10","1990","higher education","West Germany","","","","","5"
"5 on Scale 1 to 10","1990","higher education","East Germany","111","0.11727081695891","0.0972491159060181","0.137292518011802","5"
"5 on Scale 1 to 10","1990","in school","West Germany","","","","","5"
"5 on Scale 1 to 10","1990","higher vocational","West Germany","","","","","5"
"6 on Scale 1 to 10","1990","higher vocational","West Germany","","","","","6"
"6 on Scale 1 to 10","1990","in school","West Germany","","","","","6"
"6 on Scale 1 to 10","1990","inadequately","West Germany","","","","","6"
"6 on Scale 1 to 10","1990","middle vocational","East Germany","171","0.0714198382662934","0.0613671827616631","0.0814724937709237","6"
"6 on Scale 1 to 10","1990","vocational + Abi","West Germany","","","","","6"
"6 on Scale 1 to 10","1990","vocational + Abi","East Germany","4","","","","6"
"6 on Scale 1 to 10","1990","higher vocational","East Germany","15","","","","6"
"6 on Scale 1 to 10","1990","higher education","West Germany","","","","","6"
"6 on Scale 1 to 10","1990","higher education","East Germany","77","0.076298353551231","0.0597781384785054","0.0928185686239566","6"
"6 on Scale 1 to 10","1990","in school","East Germany","2","","","","6"
"6 on Scale 1 to 10","1990","middle vocational","West Germany","","","","","6"
"6 on Scale 1 to 10","1990","inadequately","East Germany","","","","","6"
"6 on Scale 1 to 10","1990","general elemantary","West Germany","","","","","6"
"6 on Scale 1 to 10","1990","general elemantary","East Germany","35","0.0667402403109558","0.0450376591973256","0.088442821424586","6"
"7 on Scale 1 to 10","1990","higher vocational","West Germany","","","","","7"
"7 on Scale 1 to 10","1990","inadequately","West Germany","","","","","7"
"7 on Scale 1 to 10","1990","in school","East Germany","3","","","","7"
"7 on Scale 1 to 10","1990","in school","West Germany","","","","","7"
"7 on Scale 1 to 10","1990","inadequately","East Germany","1","","","","7"
"7 on Scale 1 to 10","1990","general elemantary","West Germany","","","","","7"
"7 on Scale 1 to 10","1990","middle vocational","West Germany","","","","","7"
"7 on Scale 1 to 10","1990","vocational + Abi","West Germany","","","","","7"
"7 on Scale 1 to 10","1990","middle vocational","East Germany","328","0.129474980862113","0.116369733441671","0.142580228282555","7"
"7 on Scale 1 to 10","1990","vocational + Abi","East Germany","15","","","","7"
"7 on Scale 1 to 10","1990","higher education","East Germany","144","0.147283037505987","0.125229865125347","0.169336209886627","7"
"7 on Scale 1 to 10","1990","general elemantary","East Germany","85","0.162653542051427","0.13056126067981","0.194745823423044","7"
"7 on Scale 1 to 10","1990","higher vocational","East Germany","27","","","","7"
"7 on Scale 1 to 10","1990","higher education","West Germany","","","","","7"
"8 on Scale 1 to 10","1990","general elemantary","West Germany","","","","","8"
"8 on Scale 1 to 10","1990","in school","East Germany","11","","","","8"
"8 on Scale 1 to 10","1990","middle vocational","East Germany","692","0.262732089808274","0.245551783837745","0.279912395778803","8"
"8 on Scale 1 to 10","1990","higher education","East Germany","303","0.294852198049225","0.266477286394511","0.323227109703939","8"
"8 on Scale 1 to 10","1990","inadequately","West Germany","","","","","8"
"8 on Scale 1 to 10","1990","inadequately","East Germany","2","","","","8"
"8 on Scale 1 to 10","1990","middle vocational","West Germany","","","","","8"
"8 on Scale 1 to 10","1990","higher vocational","East Germany","87","0.327570590453934","0.270191014959789","0.384950165948078","8"
"8 on Scale 1 to 10","1990","higher education","West Germany","","","","","8"
"8 on Scale 1 to 10","1990","in school","West Germany","","","","","8"
"8 on Scale 1 to 10","1990","general elemantary","East Germany","123","0.240446560138502","0.203284080306619","0.277609039970385","8"
"8 on Scale 1 to 10","1990","vocational + Abi","West Germany","","","","","8"
"8 on Scale 1 to 10","1990","vocational + Abi","East Germany","30","0.36872147918035","0.262333080907681","0.475109877453019","8"
"8 on Scale 1 to 10","1990","higher vocational","West Germany","","","","","8"
"9 on Scale 1 to 10","1990","general elemantary","East Germany","77","0.138343413018343","0.108319825562574","0.168367000474111","9"
"9 on Scale 1 to 10","1990","general elemantary","West Germany","","","","","9"
"9 on Scale 1 to 10","1990","middle vocational","East Germany","468","0.17966862875841","0.164682396642821","0.194654860873999","9"
"9 on Scale 1 to 10","1990","vocational + Abi","West Germany","","","","","9"
"9 on Scale 1 to 10","1990","higher education","West Germany","","","","","9"
"9 on Scale 1 to 10","1990","in school","West Germany","","","","","9"
"9 on Scale 1 to 10","1990","in school","East Germany","6","","","","9"
"9 on Scale 1 to 10","1990","inadequately","East Germany","","","","","9"
"9 on Scale 1 to 10","1990","middle vocational","West Germany","","","","","9"
"9 on Scale 1 to 10","1990","higher vocational","East Germany","44","0.145194639056574","0.102123095222154","0.188266182890994","9"
"9 on Scale 1 to 10","1990","inadequately","West Germany","","","","","9"
"9 on Scale 1 to 10","1990","vocational + Abi","East Germany","20","","","","9"
"9 on Scale 1 to 10","1990","higher vocational","West Germany","","","","","9"
"9 on Scale 1 to 10","1990","higher education","East Germany","181","0.177322230223937","0.15355444422982","0.201090016218054","9"
"0 Completely dissatisfied","1991","vocational + Abi","West Germany","1","","","","0"
"0 Completely dissatisfied","1991","in school","West Germany","","","","","0"
"0 Completely dissatisfied","1991","in school","East Germany","","","","","0"
"0 Completely dissatisfied","1991","inadequately","West Germany","1","","","","0"
"0 Completely dissatisfied","1991","inadequately","East Germany","","","","","0"
"0 Completely dissatisfied","1991","general elemantary","West Germany","13","","","","0"
"0 Completely dissatisfied","1991","general elemantary","East Germany","4","","","","0"
"0 Completely dissatisfied","1991","middle vocational","West Germany","14","","","","0"
"0 Completely dissatisfied","1991","middle vocational","East Germany","15","","","","0"
"0 Completely dissatisfied","1991","vocational + Abi","East Germany","1","","","","0"
"0 Completely dissatisfied","1991","higher vocational","West Germany","2","","","","0"
"0 Completely dissatisfied","1991","higher vocational","East Germany","1","","","","0"
"0 Completely dissatisfied","1991","higher education","West Germany","1","","","","0"
"0 Completely dissatisfied","1991","higher education","East Germany","3","","","","0"
"1 on Scale 1 to 10","1991","higher education","West Germany","1","","","","1"
"1 on Scale 1 to 10","1991","in school","West Germany","","","","","1"
"1 on Scale 1 to 10","1991","in school","East Germany","","","","","1"
"1 on Scale 1 to 10","1991","inadequately","West Germany","5","","","","1"
"1 on Scale 1 to 10","1991","inadequately","East Germany","","","","","1"
"1 on Scale 1 to 10","1991","general elemantary","West Germany","12","","","","1"
"1 on Scale 1 to 10","1991","general elemantary","East Germany","3","","","","1"
"1 on Scale 1 to 10","1991","middle vocational","West Germany","15","","","","1"
"1 on Scale 1 to 10","1991","middle vocational","East Germany","10","","","","1"
"1 on Scale 1 to 10","1991","vocational + Abi","West Germany","","","","","1"
"1 on Scale 1 to 10","1991","vocational + Abi","East Germany","","","","","1"
"1 on Scale 1 to 10","1991","higher vocational","West Germany","2","","","","1"
"1 on Scale 1 to 10","1991","higher vocational","East Germany","1","","","","1"
"1 on Scale 1 to 10","1991","higher education","East Germany","5","","","","1"
"10 Completely satisfied","1991","vocational + Abi","West Germany","24","","","","10"
"10 Completely satisfied","1991","general elemantary","West Germany","219","0.0866022601542943","0.0752454850013529","0.0979590353072358","10"
