"plh0183","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","West Germany","Male","","","","","0"
"0 Completely dissatisfied","1990","West Germany","Female","","","","","0"
"0 Completely dissatisfied","1990","East Germany","Male","14","","","","0"
"0 Completely dissatisfied","1990","East Germany","Female","19","","","","0"
"1 on Scale 1 to 10","1990","West Germany","Male","","","","","1"
"1 on Scale 1 to 10","1990","West Germany","Female","","","","","1"
"1 on Scale 1 to 10","1990","East Germany","Male","4","","","","1"
"1 on Scale 1 to 10","1990","East Germany","Female","7","","","","1"
"10 Completely satisfied","1990","East Germany","Male","293","0.147603350338458","0.132399973884176","0.162806726792739","10"
"10 Completely satisfied","1990","West Germany","Female","","","","","10"
"10 Completely satisfied","1990","West Germany","Male","","","","","10"
"10 Completely satisfied","1990","East Germany","Female","339","0.152438383070234","0.137799375995803","0.167077390144666","10"
"2 on Scale 1 to 10","1990","East Germany","Female","29","","","","2"
"2 on Scale 1 to 10","1990","West Germany","Female","","","","","2"
"2 on Scale 1 to 10","1990","East Germany","Male","24","","","","2"
"2 on Scale 1 to 10","1990","West Germany","Male","","","","","2"
"3 on Scale 1 to 10","1990","West Germany","Male","","","","","3"
"3 on Scale 1 to 10","1990","West Germany","Female","","","","","3"
"3 on Scale 1 to 10","1990","East Germany","Male","51","0.0268934105719127","0.0199595640835632","0.0338272570602623","3"
"3 on Scale 1 to 10","1990","East Germany","Female","63","0.0288743608446779","0.022054543965862","0.0356941777234937","3"
"4 on Scale 1 to 10","1990","West Germany","Male","","","","","4"
"4 on Scale 1 to 10","1990","West Germany","Female","","","","","4"
"4 on Scale 1 to 10","1990","East Germany","Male","41","0.0205679993782067","0.0144844891216438","0.0266515096347696","4"
"4 on Scale 1 to 10","1990","East Germany","Female","54","0.0251714333894812","0.018791782542817","0.0315510842361455","4"
"5 on Scale 1 to 10","1990","East Germany","Female","271","0.12127546229116","0.107980360711864","0.134570563870457","5"
"5 on Scale 1 to 10","1990","West Germany","Male","","","","","5"
"5 on Scale 1 to 10","1990","West Germany","Female","","","","","5"
"5 on Scale 1 to 10","1990","East Germany","Male","243","0.120788362034925","0.106820487200637","0.134756236869213","5"
"6 on Scale 1 to 10","1990","East Germany","Male","147","0.0746114657826261","0.0633489369004074","0.0858739946648447","6"
"6 on Scale 1 to 10","1990","East Germany","Female","159","0.0676915701499881","0.0574603857300191","0.077922754569957","6"
"6 on Scale 1 to 10","1990","West Germany","Female","","","","","6"
"6 on Scale 1 to 10","1990","West Germany","Male","","","","","6"
"7 on Scale 1 to 10","1990","East Germany","Male","274","0.125151765060946","0.11096916278572","0.139334367336172","7"
"7 on Scale 1 to 10","1990","West Germany","Female","","","","","7"
"7 on Scale 1 to 10","1990","West Germany","Male","","","","","7"
"7 on Scale 1 to 10","1990","East Germany","Female","330","0.145099377126956","0.130755405935645","0.159443348318268","7"
"8 on Scale 1 to 10","1990","East Germany","Female","643","0.264056775045485","0.246103254347354","0.282010295743616","8"
"8 on Scale 1 to 10","1990","West Germany","Female","","","","","8"
"8 on Scale 1 to 10","1990","East Germany","Male","606","0.281441667343274","0.262166582999613","0.300716751686936","8"
"8 on Scale 1 to 10","1990","West Germany","Male","","","","","8"
"9 on Scale 1 to 10","1990","East Germany","Male","394","0.179603621906784","0.163150796579079","0.196056447234489","9"
"9 on Scale 1 to 10","1990","East Germany","Female","402","0.166500537396426","0.151328661018918","0.181672413773933","9"
"9 on Scale 1 to 10","1990","West Germany","Female","","","","","9"
"9 on Scale 1 to 10","1990","West Germany","Male","","","","","9"
"0 Completely dissatisfied","1991","West Germany","Male","12","","","","0"
"0 Completely dissatisfied","1991","West Germany","Female","20","","","","0"
"0 Completely dissatisfied","1991","East Germany","Male","10","","","","0"
"0 Completely dissatisfied","1991","East Germany","Female","14","","","","0"
"1 on Scale 1 to 10","1991","West Germany","Male","13","","","","1"
"1 on Scale 1 to 10","1991","West Germany","Female","22","","","","1"
"1 on Scale 1 to 10","1991","East Germany","Male","10","","","","1"
"1 on Scale 1 to 10","1991","East Germany","Female","9","","","","1"
"10 Completely satisfied","1991","West Germany","Male","410","0.0783010981462926","0.0705208434657399","0.0860813528268452","10"
"10 Completely satisfied","1991","West Germany","Female","388","0.0782084289843459","0.0705085073587115","0.0859083506099803","10"
"10 Completely satisfied","1991","East Germany","Male","146","0.0805520332089252","0.0684915280820231","0.0926125383358274","10"
"10 Completely satisfied","1991","East Germany","Female","173","0.088966224020903","0.0769041768450401","0.101028271196766","10"
"2 on Scale 1 to 10","1991","East Germany","Male","22","","","","2"
"2 on Scale 1 to 10","1991","East Germany","Female","38","0.0190470437589196","0.0132557034669827","0.0248383840508565","2"
"2 on Scale 1 to 10","1991","West Germany","Male","41","0.0100314912175996","0.007145408391337","0.0129175740438622","2"
"2 on Scale 1 to 10","1991","West Germany","Female","40","0.0113928301374745","0.00834934737445757","0.0144363129004915","2"
"3 on Scale 1 to 10","1991","West Germany","Male","94","0.0217878854624705","0.0175598422992301","0.0260159286257109","3"
"3 on Scale 1 to 10","1991","West Germany","Female","100","0.0257574002677163","0.02121455726016","0.0303002432752726","3"
"3 on Scale 1 to 10","1991","East Germany","Male","37","0.0246800103403675","0.0178044215137908","0.0315555991669442","3"
"3 on Scale 1 to 10","1991","East Germany","Female","57","0.0289794918591659","0.0218722550100783","0.0360867287082535","3"
"4 on Scale 1 to 10","1991","West Germany","Male","139","0.0338464119337925","0.0286092650387399","0.0390835588288451","4"
"4 on Scale 1 to 10","1991","East Germany","Female","50","0.0222783912661733","0.0160253582079687","0.028531424324378","4"
"4 on Scale 1 to 10","1991","West Germany","Female","147","0.0351592014524861","0.0298772976360441","0.0404411052689281","4"
"4 on Scale 1 to 10","1991","East Germany","Male","78","0.0425378592718016","0.0335942609440182","0.051481457599585","4"
"5 on Scale 1 to 10","1991","East Germany","Male","171","0.085230072265247","0.0728559035331995","0.0976042409972946","5"
"5 on Scale 1 to 10","1991","East Germany","Female","231","0.124424179537653","0.110439887751645","0.138408471323661","5"
"5 on Scale 1 to 10","1991","West Germany","Male","452","0.108946555909911","0.0999230775447178","0.117970034275105","5"
"5 on Scale 1 to 10","1991","West Germany","Female","503","0.119058883601928","0.109771411963725","0.128346355240132","5"
"6 on Scale 1 to 10","1991","East Germany","Female","189","0.0827995040847221","0.0711236888827907","0.0944753192866535","6"
"6 on Scale 1 to 10","1991","East Germany","Male","165","0.078528365246016","0.0666072213653544","0.0904495091266776","6"
"6 on Scale 1 to 10","1991","West Germany","Male","436","0.0991021592066199","0.0904486017125974","0.107755716700642","6"
"6 on Scale 1 to 10","1991","West Germany","Female","447","0.100097081110756","0.0914900832641853","0.108704078957327","6"
"7 on Scale 1 to 10","1991","East Germany","Female","380","0.173978917720139","0.157917455418619","0.19004038002166","7"
"7 on Scale 1 to 10","1991","West Germany","Male","815","0.17449811603503","0.163506292244164","0.185489939825896","7"
"7 on Scale 1 to 10","1991","East Germany","Male","355","0.186871960394145","0.169597073788803","0.204146846999487","7"
"7 on Scale 1 to 10","1991","West Germany","Female","824","0.176938041311086","0.165994193883561","0.18788188873861","7"
"8 on Scale 1 to 10","1991","East Germany","Male","602","0.298144469333907","0.277872268138859","0.318416670528955","8"
"8 on Scale 1 to 10","1991","East Germany","Female","641","0.280853599764036","0.261812595199724","0.299894604328348","8"
"8 on Scale 1 to 10","1991","West Germany","Female","1436","0.300667380975518","0.287517306651879","0.313817455299157","8"
"8 on Scale 1 to 10","1991","West Germany","Male","1383","0.307103928631385","0.293744370698629","0.32046348656414","8"
"9 on Scale 1 to 10","1991","East Germany","Female","358","0.159679354658238","0.144159483715166","0.175199225601309","9"
"9 on Scale 1 to 10","1991","East Germany","Male","360","0.180599352851808","0.163551491212482","0.197647214491135","9"
"9 on Scale 1 to 10","1991","West Germany","Female","744","0.13867099873952","0.128759929406544","0.148582068072496","9"
"9 on Scale 1 to 10","1991","West Germany","Male","785","0.160515358298379","0.149884213683619","0.171146502913139","9"
"0 Completely dissatisfied","1992","West Germany","Male","20","","","","0"
"0 Completely dissatisfied","1992","West Germany","Female","30","0.00711676177029041","0.00470559939723335","0.00952792414334748","0"
"0 Completely dissatisfied","1992","East Germany","Male","7","","","","0"
"0 Completely dissatisfied","1992","East Germany","Female","15","","","","0"
"1 on Scale 1 to 10","1992","East Germany","Male","8","","","","1"
"1 on Scale 1 to 10","1992","East Germany","Female","12","","","","1"
"1 on Scale 1 to 10","1992","West Germany","Male","32","0.00887144871947623","0.00613326262831274","0.0116096348106397","1"
"1 on Scale 1 to 10","1992","West Germany","Female","27","","","","1"
"10 Completely satisfied","1992","West Germany","Female","388","0.0752858657970874","0.0677175956342653","0.0828541359599096","10"
"10 Completely satisfied","1992","East Germany","Male","78","0.0447049065563354","0.0353359805366574","0.0540738325760134","10"
"10 Completely satisfied","1992","East Germany","Female","101","0.051038855410467","0.041565079269339","0.060512631551595","10"
"10 Completely satisfied","1992","West Germany","Male","341","0.0694465493525332","0.0620232548415947","0.0768698438634717","10"
"2 on Scale 1 to 10","1992","West Germany","Male","53","0.0135742526493393","0.0101952319108795","0.0169532733877991","2"
"2 on Scale 1 to 10","1992","East Germany","Male","22","","","","2"
"2 on Scale 1 to 10","1992","East Germany","Female","29","","","","2"
"2 on Scale 1 to 10","1992","West Germany","Female","62","0.0213439326843081","0.0171983228891852","0.0254895424794309","2"
"3 on Scale 1 to 10","1992","West Germany","Female","124","0.0328777101326689","0.0277629222035781","0.0379924980617597","3"
"3 on Scale 1 to 10","1992","East Germany","Male","68","0.0375534346012956","0.028934440460135","0.0461724287424563","3"
"3 on Scale 1 to 10","1992","East Germany","Female","58","0.0284677960861528","0.0213087696914817","0.0356268224808239","3"
"3 on Scale 1 to 10","1992","West Germany","Male","122","0.0307650406089632","0.0257225630410866","0.0358075181768399","3"
"4 on Scale 1 to 10","1992","East Germany","Male","66","0.0375382302540512","0.0289209130200641","0.0461555474880384","4"
"4 on Scale 1 to 10","1992","East Germany","Female","71","0.0355322840526706","0.0275632836262116","0.0435012844791295","4"
"4 on Scale 1 to 10","1992","West Germany","Female","214","0.0527458697290652","0.0463343108220064","0.0591574286361241","4"
"4 on Scale 1 to 10","1992","West Germany","Male","181","0.0440289446405489","0.0380380428155042","0.0500198464655936","4"
"5 on Scale 1 to 10","1992","East Germany","Male","229","0.120542659918646","0.105781475214027","0.135303844623265","5"
"5 on Scale 1 to 10","1992","East Germany","Female","259","0.138931871068818","0.124042781597197","0.153820960540439","5"
"5 on Scale 1 to 10","1992","West Germany","Male","439","0.108281244433413","0.0992074013805825","0.117355087486244","5"
"5 on Scale 1 to 10","1992","West Germany","Female","516","0.121560810725751","0.112187590969936","0.130934030481566","5"
"6 on Scale 1 to 10","1992","East Germany","Male","217","0.118425258219456","0.103776689937146","0.133073826501765","6"
"6 on Scale 1 to 10","1992","East Germany","Female","262","0.126516576644922","0.112206251886636","0.140826901403208","6"
"6 on Scale 1 to 10","1992","West Germany","Male","474","0.108546659824995","0.0994630549725281","0.117630264677462","6"
"6 on Scale 1 to 10","1992","West Germany","Female","485","0.10687496038116","0.0980129904908597","0.115736930271461","6"
"7 on Scale 1 to 10","1992","West Germany","Female","790","0.165627564612532","0.154964490293299","0.176290638931765","7"
"7 on Scale 1 to 10","1992","East Germany","Male","384","0.202105455884304","0.183899847067404","0.220311064701205","7"
"7 on Scale 1 to 10","1992","East Germany","Female","414","0.193136259962231","0.176142853394925","0.210129666529538","7"
"7 on Scale 1 to 10","1992","West Germany","Male","801","0.172231558673407","0.161205723604045","0.183257393742769","7"
"8 on Scale 1 to 10","1992","East Germany","Male","500","0.25777494395701","0.237944538386118","0.277605349527902","8"
"8 on Scale 1 to 10","1992","East Germany","Female","563","0.250827730991198","0.232167068354076","0.26948839362832","8"
"8 on Scale 1 to 10","1992","West Germany","Female","1326","0.274595716204596","0.261793855690542","0.28739757671865","8"
"8 on Scale 1 to 10","1992","West Germany","Male","1337","0.28812433890847","0.274899428492349","0.301349249324591","8"
"9 on Scale 1 to 10","1992","East Germany","Male","290","0.154354409808064","0.137975041246469","0.170733778369659","9"
"9 on Scale 1 to 10","1992","East Germany","Female","289","0.140611862120238","0.125647641680978","0.155576082559497","9"
"9 on Scale 1 to 10","1992","West Germany","Female","707","0.134420646833195","0.124636508399966","0.144204785266425","9"
"9 on Scale 1 to 10","1992","West Germany","Male","705","0.151064733098978","0.140607434116059","0.161522032081897","9"
"0 Completely dissatisfied","1993","West Germany","Female","32","0.00871463077081916","0.00604577208027781","0.0113834894613605","0"
"0 Completely dissatisfied","1993","East Germany","Male","11","","","","0"
"0 Completely dissatisfied","1993","East Germany","Female","16","","","","0"
"0 Completely dissatisfied","1993","West Germany","Male","34","0.00998041910765772","0.00707614157101783","0.0128846966442976","0"
"1 on Scale 1 to 10","1993","West Germany","Female","34","0.0114203412718463","0.00836930681869579","0.0144713757249969","1"
"1 on Scale 1 to 10","1993","East Germany","Female","14","","","","1"
"1 on Scale 1 to 10","1993","West Germany","Male","35","0.00985405571246185","0.00696803829850279","0.0127400731264209","1"
"1 on Scale 1 to 10","1993","East Germany","Male","16","","","","1"
"10 Completely satisfied","1993","West Germany","Male","308","0.0616121464504765","0.0545868251312663","0.0686374677696866","10"
"10 Completely satisfied","1993","West Germany","Female","361","0.0698058569248793","0.0624888331271781","0.0771228807225805","10"
"10 Completely satisfied","1993","East Germany","Male","73","0.0420009928943885","0.0327548375441662","0.0512471482446108","10"
"10 Completely satisfied","1993","East Germany","Female","78","0.0443015922384625","0.0352792260853146","0.0533239583916105","10"
"2 on Scale 1 to 10","1993","West Germany","Female","70","0.0184813726666027","0.0146139813208402","0.0223487640123652","2"
"2 on Scale 1 to 10","1993","West Germany","Male","70","0.0190143522076611","0.0150239752131463","0.0230047292021759","2"
"2 on Scale 1 to 10","1993","East Germany","Male","37","0.0258126801484017","0.0185031970847642","0.0331221632120393","2"
"2 on Scale 1 to 10","1993","East Germany","Female","39","0.0201305882512636","0.0139722621495153","0.0262889143530118","2"
"3 on Scale 1 to 10","1993","West Germany","Female","147","0.0361162687591442","0.030758727812442","0.0414738097058464","3"
"3 on Scale 1 to 10","1993","East Germany","Male","66","0.0390301761738093","0.0301032075388102","0.0479571448088084","3"
"3 on Scale 1 to 10","1993","East Germany","Female","79","0.0405180417868046","0.031872484765963","0.0491635988076462","3"
"3 on Scale 1 to 10","1993","West Germany","Male","132","0.0301426178512389","0.0251470339678036","0.0351382017346741","3"
"4 on Scale 1 to 10","1993","East Germany","Female","119","0.0610719083114882","0.0505719575908635","0.0715718590321129","4"
"4 on Scale 1 to 10","1993","East Germany","Male","92","0.0522584271913211","0.0420002071386566","0.0625166472439856","4"
"4 on Scale 1 to 10","1993","West Germany","Female","196","0.0485987170833474","0.042424299406622","0.0547731347600728","4"
"4 on Scale 1 to 10","1993","West Germany","Male","182","0.0420669388555882","0.0362017787696071","0.0479320989415693","4"
"5 on Scale 1 to 10","1993","East Germany","Male","240","0.132608332891299","0.116975347990898","0.1482413177917","5"
"5 on Scale 1 to 10","1993","East Germany","Female","294","0.150666178609735","0.134980711913764","0.166351645305707","5"
"5 on Scale 1 to 10","1993","West Germany","Male","557","0.123359635653861","0.113751500468052","0.13296777083967","5"
"5 on Scale 1 to 10","1993","West Germany","Female","626","0.143550817409894","0.133482535428222","0.153619099391566","5"
"6 on Scale 1 to 10","1993","East Germany","Male","237","0.139988162517702","0.123994543408974","0.155981781626431","6"
"6 on Scale 1 to 10","1993","East Germany","Female","234","0.125510614800789","0.110983885334467","0.14003734426711","6"
"6 on Scale 1 to 10","1993","West Germany","Female","531","0.117774843993349","0.108518963828176","0.127030724158522","6"
"6 on Scale 1 to 10","1993","West Germany","Male","494","0.118246037161749","0.108811755420446","0.127680318903052","6"
"7 on Scale 1 to 10","1993","West Germany","Female","802","0.170475041367709","0.159676953259547","0.181273129475872","7"
"7 on Scale 1 to 10","1993","East Germany","Male","349","0.181643996271931","0.163872232229834","0.199415760314028","7"
"7 on Scale 1 to 10","1993","East Germany","Female","356","0.164560884582861","0.148302737122607","0.180819032043115","7"
"7 on Scale 1 to 10","1993","West Germany","Male","828","0.183873678605359","0.172555401856426","0.195191955354291","7"
"8 on Scale 1 to 10","1993","East Germany","Male","454","0.23962466237424","0.219949032418129","0.259300292330351","8"
"8 on Scale 1 to 10","1993","East Germany","Female","507","0.243684817930619","0.224860641069698","0.262508994791539","8"
"8 on Scale 1 to 10","1993","West Germany","Male","1199","0.262932024202116","0.250069762321444","0.275794286082788","8"
"8 on Scale 1 to 10","1993","West Germany","Female","1214","0.254037984005539","0.241538001027893","0.266537966983184","8"
"9 on Scale 1 to 10","1993","East Germany","Male","233","0.128888691305344","0.113443506438415","0.144333876172273","9"
