"plh0183","year","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","no migration background","32","0.0108180488427589","0.00771275297476859","0.0139233447107493","0"
"0 Completely dissatisfied","1990","direct migration background","1","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1990","no migration background","11","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","","","","","1"
"10 Completely satisfied","1990","indirect migration background","1","","","","10"
"10 Completely satisfied","1990","no migration background","602","0.147660784208191","0.137011283536024","0.158310284880357","10"
"10 Completely satisfied","1990","direct migration background","29","","","","10"
"2 on Scale 1 to 10","1990","direct migration background","","","","","2"
"2 on Scale 1 to 10","1990","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1990","no migration background","53","0.0132271951198128","0.00979767866684707","0.0166567115727785","2"
"3 on Scale 1 to 10","1990","direct migration background","3","","","","3"
"3 on Scale 1 to 10","1990","no migration background","111","0.0282473143359412","0.023273874359559","0.0332207543123235","3"
"3 on Scale 1 to 10","1990","indirect migration background","","","","","3"
"4 on Scale 1 to 10","1990","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1990","no migration background","94","0.0232862791307124","0.0187591371138775","0.0278134211475474","4"
"4 on Scale 1 to 10","1990","direct migration background","1","","","","4"
"5 on Scale 1 to 10","1990","indirect migration background","1","","","","5"
"5 on Scale 1 to 10","1990","direct migration background","23","","","","5"
"5 on Scale 1 to 10","1990","no migration background","490","0.119718146228043","0.109973158622716","0.12946313383337","5"
"6 on Scale 1 to 10","1990","no migration background","299","0.0717815674154112","0.0640329898009598","0.0795301450298625","6"
"6 on Scale 1 to 10","1990","direct migration background","7","","","","6"
"6 on Scale 1 to 10","1990","indirect migration background","","","","","6"
"7 on Scale 1 to 10","1990","direct migration background","27","","","","7"
"7 on Scale 1 to 10","1990","no migration background","577","0.134042210702679","0.123814944101362","0.144269477303997","7"
"7 on Scale 1 to 10","1990","indirect migration background","","","","","7"
"8 on Scale 1 to 10","1990","direct migration background","28","","","","8"
"8 on Scale 1 to 10","1990","indirect migration background","","","","","8"
"8 on Scale 1 to 10","1990","no migration background","1221","0.274462628341651","0.261067035849528","0.287858220833775","8"
"9 on Scale 1 to 10","1990","indirect migration background","","","","","9"
"9 on Scale 1 to 10","1990","direct migration background","23","","","","9"
