"plh0183","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","1-pers.-HH","6","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","15","","","","0"
"0 Completely dissatisfied","1990","Single parent ","1","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","7","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","3","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE and GT 16","1","","","","0"
"1 on Scale 1 to 10","1990","1-pers.-HH","2","","","","1"
"1 on Scale 1 to 10","1990","Single parent ","2","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE 16 ","3","","","","1"
"1 on Scale 1 to 10","1990","(Married) couple without C. ","3","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. GT 16 ","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE and GT 16","1","","","","1"
"10 Completely satisfied","1990","1-pers.-HH","55","0.168099147345431","0.127752294802712","0.208445999888151","10"
"10 Completely satisfied","1990","(Married) couple without C. ","150","0.164342548500066","0.140752269563685","0.187932827436447","10"
"10 Completely satisfied","1990","Single parent ","37","0.180644562800046","0.126083851368898","0.235205274231193","10"
"10 Completely satisfied","1990","Couple + C. LE 16 ","171","0.12551632884798","0.108585909272424","0.142446748423537","10"
"10 Completely satisfied","1990","Couple + C. GT 16 ","133","0.149752000601895","0.125373482686038","0.174130518517752","10"
"10 Completely satisfied","1990","Couple + C. LE and GT 16","40","0.126149891957707","0.0897152368292339","0.16258454708618","10"
"2 on Scale 1 to 10","1990","1-pers.-HH","8","","","","2"
"2 on Scale 1 to 10","1990","(Married) couple without C. ","18","","","","2"
"2 on Scale 1 to 10","1990","Single parent ","4","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE 16 ","14","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. GT 16 ","5","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE and GT 16","1","","","","2"
"3 on Scale 1 to 10","1990","1-pers.-HH","14","","","","3"
"3 on Scale 1 to 10","1990","(Married) couple without C. ","29","","","","3"
"3 on Scale 1 to 10","1990","Single parent ","9","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. LE 16 ","35","0.0245159894434063","0.0166132703483388","0.0324187085384739","3"
"3 on Scale 1 to 10","1990","Couple + C. GT 16 ","17","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. LE and GT 16","2","","","","3"
"4 on Scale 1 to 10","1990","1-pers.-HH","10","","","","4"
"4 on Scale 1 to 10","1990","(Married) couple without C. ","23","","","","4"
"4 on Scale 1 to 10","1990","Single parent ","5","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. LE 16 ","24","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. LE and GT 16","7","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. GT 16 ","18","","","","4"
"5 on Scale 1 to 10","1990","1-pers.-HH","59","0.173584932857657","0.132720427416204","0.21444943829911","5"
"5 on Scale 1 to 10","1990","(Married) couple without C. ","129","0.143381552725286","0.121072338528207","0.165690766922365","5"
"5 on Scale 1 to 10","1990","Single parent ","18","","","","5"
"5 on Scale 1 to 10","1990","Couple + C. LE 16 ","157","0.105201829621191","0.0895229168181704","0.120880742424212","5"
"5 on Scale 1 to 10","1990","Couple + C. GT 16 ","85","0.102461382011398","0.0817430470578103","0.123179716964986","5"
"5 on Scale 1 to 10","1990","Couple + C. LE and GT 16","24","","","","5"
"6 on Scale 1 to 10","1990","1-pers.-HH","21","","","","6"
"6 on Scale 1 to 10","1990","(Married) couple without C. ","62","0.0639605201273777","0.0483848407386885","0.0795361995160669","6"
"6 on Scale 1 to 10","1990","Single parent ","21","","","","6"
"6 on Scale 1 to 10","1990","Couple + C. LE 16 ","80","0.0544033660707803","0.0428127212110415","0.0659940109305191","6"
"6 on Scale 1 to 10","1990","Couple + C. GT 16 ","58","0.076191891997231","0.0580662483573809","0.0943175356370811","6"
"6 on Scale 1 to 10","1990","Couple + C. LE and GT 16","31","0.098491076973847","0.0657919462487191","0.131190207698975","6"
"7 on Scale 1 to 10","1990","1-pers.-HH","43","0.131615018655905","0.0951396241487457","0.168090413163064","7"
"7 on Scale 1 to 10","1990","(Married) couple without C. ","123","0.129423326575763","0.108055826475233","0.150790826676293","7"
"7 on Scale 1 to 10","1990","Single parent ","22","","","","7"
"7 on Scale 1 to 10","1990","Couple + C. LE 16 ","203","0.136813394089537","0.119252023424426","0.154374764754648","7"
"7 on Scale 1 to 10","1990","Couple + C. GT 16 ","135","0.174799395843929","0.148851753345564","0.200747038342294","7"
"7 on Scale 1 to 10","1990","Couple + C. LE and GT 16","41","0.120360462990643","0.0846539824899365","0.15606694349135","7"
"8 on Scale 1 to 10","1990","(Married) couple without C. ","248","0.25194133682447","0.224306209779321","0.279576463869619","8"
"8 on Scale 1 to 10","1990","Couple + C. LE 16 ","487","0.335167229530603","0.311044372741679","0.359290086319526","8"
"8 on Scale 1 to 10","1990","1-pers.-HH","71","0.199497959792627","0.156381651163904","0.242614268421351","8"
"8 on Scale 1 to 10","1990","Single parent ","38","0.202246193879525","0.145281465817854","0.259210921941196","8"
"8 on Scale 1 to 10","1990","Couple + C. GT 16 ","219","0.264757683916173","0.234614598287533","0.294900769544812","8"
"8 on Scale 1 to 10","1990","Couple + C. LE and GT 16","98","0.317613343621451","0.266525522291518","0.368701164951383","8"
"9 on Scale 1 to 10","1990","1-pers.-HH","41","0.124553369171858","0.0889260045285106","0.160180733815206","9"
"9 on Scale 1 to 10","1990","(Married) couple without C. ","148","0.153657626023136","0.130701741860912","0.17661351018536","9"
"9 on Scale 1 to 10","1990","Single parent ","34","0.186134557805367","0.130936827853173","0.241332287757561","9"
"9 on Scale 1 to 10","1990","Couple + C. LE 16 ","290","0.191995749986318","0.171868039135436","0.212123460837199","9"
"9 on Scale 1 to 10","1990","Couple + C. GT 16 ","150","0.173856944446288","0.147964573338709","0.199749315553867","9"
"9 on Scale 1 to 10","1990","Couple + C. LE and GT 16","73","0.228196366745239","0.182143091552075","0.274249641938403","9"
"0 Completely dissatisfied","1991","1-pers.-HH","17","","","","0"
"0 Completely dissatisfied","1991","(Married) couple without C. ","14","","","","0"
"0 Completely dissatisfied","1991","Single parent ","2","","","","0"
"0 Completely dissatisfied","1991","Couple + C. LE 16 ","11","","","","0"
"0 Completely dissatisfied","1991","Couple + C. GT 16 ","7","","","","0"
"0 Completely dissatisfied","1991","Couple + C. LE and GT 16","","","","","0"
"1 on Scale 1 to 10","1991","Single parent ","5","","","","1"
"1 on Scale 1 to 10","1991","1-pers.-HH","16","","","","1"
"1 on Scale 1 to 10","1991","(Married) couple without C. ","14","","","","1"
"1 on Scale 1 to 10","1991","Couple + C. LE 16 ","6","","","","1"
"1 on Scale 1 to 10","1991","Couple + C. GT 16 ","6","","","","1"
"1 on Scale 1 to 10","1991","Couple + C. LE and GT 16","4","","","","1"
"10 Completely satisfied","1991","1-pers.-HH","96","0.0700533318921682","0.056114268957182","0.0839923948271544","10"
"10 Completely satisfied","1991","(Married) couple without C. ","352","0.106738359160478","0.0959484364121242","0.117528281908832","10"
"10 Completely satisfied","1991","Couple + C. LE 16 ","247","0.0696969624653783","0.0611504280351045","0.0782434968956522","10"
"10 Completely satisfied","1991","Single parent ","51","0.060812328149138","0.042209650146033","0.079415006152243","10"
"10 Completely satisfied","1991","Couple + C. GT 16 ","195","0.0695214661931777","0.0600068876150918","0.0790360447712636","10"
"10 Completely satisfied","1991","Couple + C. LE and GT 16","110","0.0775455354137871","0.062431997306712","0.0926590735208622","10"
"2 on Scale 1 to 10","1991","1-pers.-HH","24","","","","2"
"2 on Scale 1 to 10","1991","Single parent ","12","","","","2"
"2 on Scale 1 to 10","1991","(Married) couple without C. ","41","0.0125734636563854","0.00867988821032948","0.0164670391024413","2"
"2 on Scale 1 to 10","1991","Couple + C. LE 16 ","14","","","","2"
"2 on Scale 1 to 10","1991","Couple + C. GT 16 ","31","0.0113956222696131","0.00742501252682212","0.0153662320124041","2"
"2 on Scale 1 to 10","1991","Couple + C. LE and GT 16","5","","","","2"
"3 on Scale 1 to 10","1991","1-pers.-HH","44","0.0342822154082351","0.0243453429881902","0.04421908782828","3"
"3 on Scale 1 to 10","1991","(Married) couple without C. ","85","0.0301984425464828","0.0242184252089418","0.0361784598840238","3"
"3 on Scale 1 to 10","1991","Single parent ","13","","","","3"
"3 on Scale 1 to 10","1991","Couple + C. LE 16 ","45","0.0141710571677548","0.0102039602668674","0.0181381540686423","3"
"3 on Scale 1 to 10","1991","Couple + C. GT 16 ","58","0.0214514349864741","0.0160314724634438","0.0268713975095044","3"
"3 on Scale 1 to 10","1991","Couple + C. LE and GT 16","26","","","","3"
