"plh0183","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","no migration background","Urban Area","13","","","","0"
"0 Completely dissatisfied","1990","no migration background","Rural Area","19","","","","0"
"0 Completely dissatisfied","1990","direct migration background","Urban Area","1","","","","0"
"0 Completely dissatisfied","1990","direct migration background","Rural Area","","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","Urban Area","","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","Rural Area","","","","","0"
"1 on Scale 1 to 10","1990","no migration background","Urban Area","5","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","Rural Area","","","","","1"
"1 on Scale 1 to 10","1990","no migration background","Rural Area","6","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","1"
"10 Completely satisfied","1990","no migration background","Urban Area","183","0.134370014655708","0.116929691758958","0.151810337552458","10"
"10 Completely satisfied","1990","no migration background","Rural Area","409","0.156092139283573","0.142422350836335","0.169761927730811","10"
"10 Completely satisfied","1990","direct migration background","Urban Area","6","","","","10"
"10 Completely satisfied","1990","direct migration background","Rural Area","23","","","","10"
"10 Completely satisfied","1990","indirect migration background","Urban Area","","","","","10"
"10 Completely satisfied","1990","indirect migration background","Rural Area","1","","","","10"
"2 on Scale 1 to 10","1990","no migration background","Urban Area","23","","","","2"
"2 on Scale 1 to 10","1990","no migration background","Rural Area","28","","","","2"
"2 on Scale 1 to 10","1990","direct migration background","Urban Area","","","","","2"
"2 on Scale 1 to 10","1990","direct migration background","Rural Area","","","","","2"
"2 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","2"
"2 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","2"
"3 on Scale 1 to 10","1990","no migration background","Urban Area","48","0.0363282937777321","0.0267602258994168","0.0458963616560474","3"
"3 on Scale 1 to 10","1990","no migration background","Rural Area","60","0.0232322561420496","0.0175585725925036","0.0289059396915955","3"
"3 on Scale 1 to 10","1990","direct migration background","Urban Area","1","","","","3"
"3 on Scale 1 to 10","1990","direct migration background","Rural Area","2","","","","3"
"3 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","3"
"3 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","3"
"4 on Scale 1 to 10","1990","no migration background","Urban Area","38","0.027049793891962","0.0187538753224661","0.0353457124614579","4"
"4 on Scale 1 to 10","1990","no migration background","Rural Area","54","0.0212421243640566","0.0158113673797063","0.0266728813484069","4"
"4 on Scale 1 to 10","1990","direct migration background","Urban Area","","","","","4"
"4 on Scale 1 to 10","1990","direct migration background","Rural Area","1","","","","4"
"4 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","4"
"4 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","4"
"5 on Scale 1 to 10","1990","no migration background","Urban Area","173","0.124180602373274","0.107316184527869","0.141045020218679","5"
"5 on Scale 1 to 10","1990","no migration background","Rural Area","303","0.115808809896159","0.103756573207281","0.127861046585036","5"
"5 on Scale 1 to 10","1990","direct migration background","Urban Area","14","","","","5"
"5 on Scale 1 to 10","1990","direct migration background","Rural Area","9","","","","5"
"5 on Scale 1 to 10","1990","indirect migration background","Urban Area","1","","","","5"
"5 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","5"
"6 on Scale 1 to 10","1990","no migration background","Urban Area","103","0.0726283439105976","0.0593569306522033","0.0858997571689918","6"
"6 on Scale 1 to 10","1990","no migration background","Rural Area","190","0.0714033270662569","0.0617050062375276","0.0811016478949863","6"
"6 on Scale 1 to 10","1990","direct migration background","Urban Area","3","","","","6"
"6 on Scale 1 to 10","1990","direct migration background","Rural Area","4","","","","6"
"6 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","6"
"6 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","6"
"7 on Scale 1 to 10","1990","no migration background","Urban Area","200","0.129365119550506","0.112203280629119","0.146526958471893","7"
"7 on Scale 1 to 10","1990","no migration background","Rural Area","366","0.136667460281522","0.123730108775187","0.149604811787858","7"
"7 on Scale 1 to 10","1990","direct migration background","Urban Area","9","","","","7"
"7 on Scale 1 to 10","1990","direct migration background","Rural Area","18","","","","7"
"7 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","7"
"7 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","7"
"8 on Scale 1 to 10","1990","no migration background","Rural Area","750","0.267361511251865","0.250692184109434","0.284030838394296","8"
"8 on Scale 1 to 10","1990","direct migration background","Rural Area","22","","","","8"
"8 on Scale 1 to 10","1990","no migration background","Urban Area","450","0.288032250492301","0.264874950980901","0.3111895500037","8"
"8 on Scale 1 to 10","1990","direct migration background","Urban Area","5","","","","8"
"8 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","8"
"8 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","8"
"9 on Scale 1 to 10","1990","no migration background","Urban Area","233","0.153140367377463","0.134724687738359","0.171556047016568","9"
"9 on Scale 1 to 10","1990","no migration background","Rural Area","523","0.185597767856382","0.170954783006167","0.200240752706597","9"
"9 on Scale 1 to 10","1990","direct migration background","Urban Area","10","","","","9"
"9 on Scale 1 to 10","1990","direct migration background","Rural Area","13","","","","9"
"9 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","9"
"9 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","9"
"0 Completely dissatisfied","1991","no migration background","Urban Area","26","","","","0"
"0 Completely dissatisfied","1991","no migration background","Rural Area","19","","","","0"
"0 Completely dissatisfied","1991","direct migration background","Urban Area","10","","","","0"
"0 Completely dissatisfied","1991","direct migration background","Rural Area","1","","","","0"
"0 Completely dissatisfied","1991","indirect migration background","Urban Area","","","","","0"
"0 Completely dissatisfied","1991","indirect migration background","Rural Area","","","","","0"
"1 on Scale 1 to 10","1991","direct migration background","Urban Area","8","","","","1"
"1 on Scale 1 to 10","1991","no migration background","Urban Area","29","","","","1"
"1 on Scale 1 to 10","1991","no migration background","Rural Area","16","","","","1"
"1 on Scale 1 to 10","1991","direct migration background","Rural Area","1","","","","1"
"1 on Scale 1 to 10","1991","indirect migration background","Urban Area","","","","","1"
"1 on Scale 1 to 10","1991","indirect migration background","Rural Area","","","","","1"
"10 Completely satisfied","1991","no migration background","Urban Area","485","0.0764744305491916","0.0698582874023253","0.0830905736960579","10"
"10 Completely satisfied","1991","no migration background","Rural Area","318","0.0750668448799335","0.067026721113262","0.0831069686466051","10"
"10 Completely satisfied","1991","direct migration background","Rural Area","46","0.11470196039601","0.0834736658555618","0.145930254936458","10"
"10 Completely satisfied","1991","direct migration background","Urban Area","209","0.0996298351339267","0.0871059719034097","0.112153698364444","10"
"10 Completely satisfied","1991","indirect migration background","Urban Area","49","0.17726673777801","0.133538957215437","0.220994518340583","10"
"10 Completely satisfied","1991","indirect migration background","Rural Area","6","","","","10"
"2 on Scale 1 to 10","1991","no migration background","Urban Area","66","0.0112646615660719","0.00863729053262344","0.0138920325995203","2"
"2 on Scale 1 to 10","1991","direct migration background","Urban Area","19","","","","2"
"2 on Scale 1 to 10","1991","no migration background","Rural Area","50","0.0127228803098521","0.00930311945977986","0.0161426411599244","2"
"2 on Scale 1 to 10","1991","direct migration background","Rural Area","3","","","","2"
"2 on Scale 1 to 10","1991","indirect migration background","Urban Area","2","","","","2"
"2 on Scale 1 to 10","1991","indirect migration background","Rural Area","","","","","2"
"3 on Scale 1 to 10","1991","no migration background","Urban Area","127","0.0240684028327963","0.0202528661744065","0.0278839394911862","3"
"3 on Scale 1 to 10","1991","no migration background","Rural Area","86","0.0230543045824021","0.0184750508896408","0.0276335582751635","3"
"3 on Scale 1 to 10","1991","direct migration background","Urban Area","63","0.0333947054053008","0.0258819983311694","0.0409074124794322","3"
"3 on Scale 1 to 10","1991","direct migration background","Rural Area","8","","","","3"
