"plh0183","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","no migration background","Male","13","","","","0"
"0 Completely dissatisfied","1990","no migration background","Female","19","","","","0"
"0 Completely dissatisfied","1990","direct migration background","Male","1","","","","0"
"0 Completely dissatisfied","1990","direct migration background","Female","","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","Male","","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","Female","","","","","0"
"1 on Scale 1 to 10","1990","no migration background","Male","4","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","Male","","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","Female","","","","","1"
"1 on Scale 1 to 10","1990","no migration background","Female","7","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","Male","","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","Female","","","","","1"
"10 Completely satisfied","1990","no migration background","Male","282","0.146240886432695","0.130858514839743","0.161623258025646","10"
"10 Completely satisfied","1990","no migration background","Female","320","0.14893056734722","0.134173957003971","0.163687177690468","10"
"10 Completely satisfied","1990","direct migration background","Male","11","","","","10"
"10 Completely satisfied","1990","direct migration background","Female","18","","","","10"
"10 Completely satisfied","1990","indirect migration background","Male","","","","","10"
"10 Completely satisfied","1990","indirect migration background","Female","1","","","","10"
"2 on Scale 1 to 10","1990","no migration background","Male","24","","","","2"
"2 on Scale 1 to 10","1990","no migration background","Female","29","","","","2"
"2 on Scale 1 to 10","1990","direct migration background","Male","","","","","2"
"2 on Scale 1 to 10","1990","direct migration background","Female","","","","","2"
"2 on Scale 1 to 10","1990","indirect migration background","Male","","","","","2"
"2 on Scale 1 to 10","1990","indirect migration background","Female","","","","","2"
"3 on Scale 1 to 10","1990","no migration background","Male","49","0.026759749144922","0.0197343295674822","0.0337851687223617","3"
"3 on Scale 1 to 10","1990","no migration background","Female","62","0.0295776109462748","0.0225553956363991","0.0365998262561505","3"
"3 on Scale 1 to 10","1990","direct migration background","Male","2","","","","3"
"3 on Scale 1 to 10","1990","direct migration background","Female","1","","","","3"
"3 on Scale 1 to 10","1990","indirect migration background","Male","","","","","3"
"3 on Scale 1 to 10","1990","indirect migration background","Female","","","","","3"
"4 on Scale 1 to 10","1990","no migration background","Male","41","0.0212596765661658","0.0149800577242045","0.0275392954081271","4"
"4 on Scale 1 to 10","1990","no migration background","Female","53","0.0250986249279828","0.0186150057653777","0.031582244090588","4"
"4 on Scale 1 to 10","1990","direct migration background","Male","","","","","4"
"4 on Scale 1 to 10","1990","direct migration background","Female","1","","","","4"
"4 on Scale 1 to 10","1990","indirect migration background","Female","","","","","4"
"4 on Scale 1 to 10","1990","indirect migration background","Male","","","","","4"
