"plh0183","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","no migration background","West Germany","","","","","0"
"0 Completely dissatisfied","1990","no migration background","East Germany","32","0.0108180488427589","0.00771275297476859","0.0139233447107493","0"
"0 Completely dissatisfied","1990","direct migration background","West Germany","","","","","0"
"0 Completely dissatisfied","1990","direct migration background","East Germany","1","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","West Germany","","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","East Germany","","","","","0"
"1 on Scale 1 to 10","1990","no migration background","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","East Germany","","","","","1"
"1 on Scale 1 to 10","1990","no migration background","East Germany","11","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","East Germany","","","","","1"
"10 Completely satisfied","1990","no migration background","West Germany","","","","","10"
"10 Completely satisfied","1990","no migration background","East Germany","602","0.147660784208191","0.137011283536024","0.158310284880357","10"
"10 Completely satisfied","1990","direct migration background","West Germany","","","","","10"
"10 Completely satisfied","1990","direct migration background","East Germany","29","","","","10"
"10 Completely satisfied","1990","indirect migration background","West Germany","","","","","10"
"10 Completely satisfied","1990","indirect migration background","East Germany","1","","","","10"
"2 on Scale 1 to 10","1990","no migration background","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","no migration background","East Germany","53","0.0132271951198128","0.00979767866684707","0.0166567115727785","2"
"2 on Scale 1 to 10","1990","direct migration background","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","direct migration background","East Germany","","","","","2"
"2 on Scale 1 to 10","1990","indirect migration background","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","indirect migration background","East Germany","","","","","2"
"3 on Scale 1 to 10","1990","no migration background","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","no migration background","East Germany","111","0.0282473143359412","0.023273874359559","0.0332207543123235","3"
"3 on Scale 1 to 10","1990","direct migration background","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","direct migration background","East Germany","3","","","","3"
"3 on Scale 1 to 10","1990","indirect migration background","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","indirect migration background","East Germany","","","","","3"
"4 on Scale 1 to 10","1990","no migration background","West Germany","","","","","4"
"4 on Scale 1 to 10","1990","no migration background","East Germany","94","0.0232862791307124","0.0187591371138775","0.0278134211475474","4"
