"ple0015","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","West Germany","515","0.0380031580547712","0.0347853000403995","0.0412210160691429"
"Yes","2009","East Germany","168","0.0382776975993023","0.0327107055131625","0.043844689685442"
"No","2009","West Germany","13048","0.961996841945229","0.958778983930857","0.9652146999596"
"No","2009","East Germany","4395","0.961722302400698","0.956155310314558","0.967289294486837"
"Yes","2010","West Germany","","","",""
"Yes","2010","East Germany","","","",""
"No","2010","West Germany","","","",""
"No","2010","East Germany","","","",""
"Yes","2011","West Germany","741","0.046843653928588","0.0435621349427305","0.0501251729144455"
"Yes","2011","East Germany","209","0.0435346939090645","0.0378397570223329","0.049229630795796"
"No","2011","West Germany","15187","0.953156346071412","0.949874827085554","0.956437865057269"
"No","2011","East Germany","4723","0.956465306090936","0.950770369204204","0.962160242977667"
"Yes","2012","West Germany","","","",""
"Yes","2012","East Germany","","","",""
"No","2012","West Germany","","","",""
"No","2012","East Germany","","","",""
"Yes","2013","West Germany","790","0.0591915557721729","0.0553490956793737","0.063034015864972"
"Yes","2013","East Germany","259","0.0642319172912616","0.0570544417399074","0.0714093928426158"
"No","2013","West Germany","13699","0.940808444227827","0.936965984135028","0.944650904320626"
"No","2013","East Germany","4223","0.935768082708738","0.928590607157384","0.942945558260093"
"Yes","2014","West Germany","","","",""
"Yes","2014","East Germany","","","",""
"No","2014","West Germany","","","",""
"No","2014","East Germany","","","",""
"Yes","2015","West Germany","895","0.0553541117250134","0.0521753330824322","0.0585328903675945"
"Yes","2015","East Germany","277","0.0626943683517156","0.0561625501435053","0.0692261865599259"
"No","2015","West Germany","18984","0.944645888274987","0.941467109632405","0.947824666917568"
"No","2015","East Germany","5014","0.937305631648284","0.930773813440074","0.943837449856495"
"Yes","2016","West Germany","","","",""
"Yes","2016","East Germany","","","",""
"No","2016","West Germany","","","",""
"No","2016","East Germany","","","",""
"Yes","2017","West Germany","1012","0.0549360373862518","0.051860357354754","0.0580117174177497"
"Yes","2017","East Germany","286","0.0603101930856533","0.0540972674355784","0.0665231187357282"
"No","2017","West Germany","20071","0.945063962613748","0.94198828258225","0.948139642645246"
"No","2017","East Germany","5354","0.939689806914347","0.933476881264272","0.945902732564422"
"Yes","2018","West Germany","","","",""
"Yes","2018","East Germany","","","",""
"No","2018","West Germany","","","",""
"No","2018","East Germany","","","",""
"Yes","2019","West Germany","1074","0.059597508187844","0.0563342613074153","0.0628607550682726"
"Yes","2019","East Germany","315","0.0577884820680125","0.0516676688751109","0.063909295260914"
"No","2019","West Germany","19144","0.940402491812156","0.937139244931728","0.943665738692585"
"No","2019","East Germany","5268","0.942211517931988","0.936090704739086","0.948332331124889"
