"ple0015","year","n","percent","lower_confidence","upper_confidence","value"
"No","2009","17443","0.961945542478778","0.959160222373077","0.964730862584479","2"
"Yes","2009","683","0.0380544575212217","0.0352691374155205","0.0408397776269229","1"
"No","2010","","","","","2"
"Yes","2010","","","","","1"
"No","2011","19910","0.95376334182349","0.950913606860665","0.956613076786316","2"
"Yes","2011","950","0.0462366581765098","0.0433869232136842","0.0490863931393354","1"
"No","2012","","","","","2"
"Yes","2012","","","","","1"
"No","2013","17922","0.939843080363205","0.936459523744977","0.943226636981433","2"
"Yes","2013","1049","0.0601569196367951","0.0567733630185668","0.0635404762550234","1"
"No","2014","","","","","2"
"Yes","2014","","","","","1"
"No","2015","23998","0.943330455968638","0.940474093812782","0.946186818124495","2"
"Yes","2015","1172","0.0566695440313616","0.0538131818755051","0.059525906187218","1"
"No","2016","","","","","2"
"Yes","2016","","","","","1"
"No","2017","25425","0.94413258364683","0.941378980990304","0.946886186303355","2"
"Yes","2017","1298","0.0558674163531703","0.053113813696645","0.0586210190096956","1"
"No","2018","","","","","2"
"Yes","2018","","","","","1"
"No","2019","24485","0.940691746805293","0.937814035729172","0.943569457881413","2"
"Yes","2019","1395","0.0593082531947075","0.0564305421185865","0.0621859642708284","1"
