"ple0015","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Saxony","Urban Area","671","0.958067364525376","0.943187266072702","0.97294746297805","2"
"No","2009","Lower Saxony","Urban Area","788","0.948877095226981","0.93390231966791","0.963851870786052","2"
"No","2009","Mecklenburg-Western Pomerania","Rural Area","401","0.949613239466318","0.928643571718452","0.970582907214183","2"
"No","2009","Brandenburg","Rural Area","710","0.971963142222945","0.959988122746269","0.983938161699622","2"
"No","2009","Lower Saxony","Rural Area","789","0.974073211422691","0.963169529484153","0.984976893361229","2"
"No","2009","Schleswig-Holstein","Rural Area","308","0.959795776378548","0.938272996745731","0.981318556011364","2"
"No","2009","Hamburg","Rural Area","","","","","2"
"No","2009","Hamburg","Urban Area","255","0.952467887783943","0.927135147323986","0.9778006282439","2"
"No","2009","Brandenburg","Urban Area","61","0.919561518670692","0.853444427511656","0.985678609829727","2"
"No","2009","Bremen","Rural Area","","","","","2"
"No","2009","Mecklenburg-Western Pomerania","Urban Area","56","0.986398383308988","0.956588825348732","1.01620794126924","2"
"No","2009","North Rhine-Westphalia","Rural Area","103","0.987023082950706","0.965478178252931","1.00856798764848","2"
"No","2009","Saxony","Rural Area","654","0.969001503765549","0.955946220619313","0.982056786911785","2"
"No","2009","Schleswig-Holstein","Urban Area","187","0.945789653504016","0.914089714520021","0.97748959248801","2"
"No","2009","Bremen","Urban Area","114","0.929882751418925","0.884196660790384","0.975568842047467","2"
"No","2009","North Rhine-Westphalia","Urban Area","3410","0.959549270317325","0.953058374633933","0.966040166000717","2"
"No","2009","Saxony-Anhalt","Urban Area","199","0.969892980489851","0.946557848005161","0.99322811297454","2"
"No","2009","Hesse","Urban Area","971","0.973298193658364","0.963331334076889","0.983265053239838","2"
"No","2009","Hesse","Rural Area","213","0.960194652610941","0.934419437115922","0.985969868105959","2"
"No","2009","Rhineland-Palatinate,Saarland","Urban Area","751","0.970306632477511","0.958379322139286","0.982233942815736","2"
"No","2009","Rhineland-Palatinate,Saarland","Rural Area","240","0.955207571503587","0.929515471715586","0.980899671291588","2"
"No","2009","Saxony-Anhalt","Rural Area","544","0.953414545954827","0.936052299025773","0.97077679288388","2"
"No","2009","Baden-Württemberg","Urban Area","1853","0.963127952426268","0.954711858551486","0.97154404630105","2"
"No","2009","Baden-Württemberg","Rural Area","188","0.984381635149092","0.966842950879384","1.0019203194188","2"
"No","2009","Bavaria","Urban Area","1184","0.953447644030667","0.941726190833525","0.965169097227809","2"
"No","2009","Bavaria","Rural Area","1346","0.970622080471878","0.961735279327027","0.97950888161673","2"
"No","2009","Berlin","Urban Area","651","0.949814003684343","0.933476090178552","0.966151917190134","2"
"No","2009","Berlin","Rural Area","","","","","2"
"No","2009","Thuringia","Urban Area","236","0.971637245312106","0.950934597419173","0.992339893205038","2"
"No","2009","Thuringia","Rural Area","560","0.971254373293146","0.957632508784276","0.984876237802015","2"
"Yes","2009","Schleswig-Holstein","Urban Area","9","","","","1"
"Yes","2009","Schleswig-Holstein","Rural Area","12","","","","1"
"Yes","2009","Hamburg","Urban Area","16","","","","1"
"Yes","2009","Hamburg","Rural Area","","","","","1"
