"ple0015","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Urban Area","479","0.0407129987944112","0.0371572035480594","0.0442687940407629"
"Yes","2009","Rural Area","204","0.032379098784195","0.0279943378151937","0.0367638597531963"
"No","2009","Urban Area","11387","0.959287001205589","0.955731205959237","0.962842796451941"
"No","2009","Rural Area","6056","0.967620901215805","0.963236140246804","0.972005662184806"
"Yes","2010","Urban Area","","","",""
"Yes","2010","Rural Area","","","",""
"No","2010","Urban Area","","","",""
"No","2010","Rural Area","","","",""
"Yes","2011","Urban Area","642","0.0476734595871568","0.0440918867179489","0.0512550324563648"
"Yes","2011","Rural Area","308","0.0431432047150649","0.0384708065269052","0.0478156029032246"
"No","2011","Urban Area","12954","0.952326540412843","0.948744967543635","0.955908113282051"
"No","2011","Rural Area","6956","0.956856795284935","0.952184397096775","0.961529193473095"
"Yes","2012","Urban Area","","","",""
"Yes","2012","Rural Area","","","",""
"No","2012","Urban Area","","","",""
"No","2012","Rural Area","","","",""
"Yes","2013","Urban Area","705","0.0631314892273174","0.0588309506408452","0.0674320278137897"
"Yes","2013","Rural Area","344","0.0540963180558061","0.0486741594607873","0.059518476650825"
"No","2013","Urban Area","11580","0.936868510772683","0.93256797218621","0.941169049359155"
"No","2013","Rural Area","6342","0.945903681944194","0.940481523349175","0.951325840539213"
"Yes","2014","Urban Area","","","",""
"Yes","2014","Rural Area","","","",""
"No","2014","Urban Area","","","",""
"No","2014","Rural Area","","","",""
"Yes","2015","Urban Area","786","0.0587219852560973","0.0551271796064599","0.0623167909057347"
"Yes","2015","Rural Area","386","0.052232071411184","0.0475672303596111","0.0568969124627569"
"No","2015","Urban Area","15645","0.941278014743903","0.937683209094265","0.94487282039354"
"No","2015","Rural Area","8353","0.947767928588816","0.943103087537243","0.952432769640389"
"Yes","2016","Urban Area","","","",""
"Yes","2016","Rural Area","","","",""
"No","2016","Urban Area","","","",""
"No","2016","Rural Area","","","",""
"Yes","2017","Urban Area","850","0.0566903962277688","0.0532415707104137","0.0601392217451239"
"Yes","2017","Rural Area","448","0.0540691588277899","0.0495099368882596","0.0586283807673201"
"No","2017","Urban Area","16421","0.943309603772231","0.939860778254876","0.946758429289586"
"No","2017","Rural Area","9004","0.94593084117221","0.94137161923268","0.95049006311174"
"Yes","2018","Urban Area","","","",""
"Yes","2018","Rural Area","","","",""
"No","2018","Urban Area","","","",""
"No","2018","Rural Area","","","",""
"Yes","2019","Urban Area","827","0.0598743018971294","0.0561363653569421","0.0636122384373166"
"Yes","2019","Rural Area","468","0.0557081466285015","0.0509380230267383","0.0604782702302647"
"No","2019","Urban Area","14649","0.940125698102871","0.936387761562683","0.943863634643058"
"No","2019","Rural Area","8413","0.944291853371499","0.939521729769735","0.949061976973262"
