"ple0015","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Full Time","Urban Area","85","0.0174345171554075","0.0136365066263064","0.0212325276845087"
"Yes","2009","Full Time","Rural Area","37","0.0137498002782804","0.00914055727478841","0.0183590432817724"
"Yes","2009","Part Time","Urban Area","69","0.0286539225522573","0.0225019002434438","0.0348059448610708"
"Yes","2009","Part Time","Rural Area","32","0.030402345365404","0.0214311489636838","0.0393735417671242"
"Yes","2009","Not Working","Urban Area","325","0.0713749736175909","0.0638353314964862","0.0789146157386956"
"Yes","2009","Not Working","Rural Area","135","0.0524130788075921","0.0434988992942663","0.0613272583209178"
"No","2009","Full Time","Urban Area","4477","0.982565482844593","0.978767472315491","0.986363493373694"
"No","2009","Full Time","Rural Area","2415","0.98625019972172","0.981640956718228","0.990859442725212"
"No","2009","Part Time","Urban Area","2756","0.971346077447743","0.965194055138929","0.977498099756556"
"No","2009","Part Time","Rural Area","1375","0.969597654634596","0.960626458232876","0.978568851036316"
"No","2009","Not Working","Urban Area","4154","0.928625026382409","0.921085384261304","0.936164668503514"
"No","2009","Not Working","Rural Area","2266","0.947586921192408","0.938672741679082","0.956501100705734"
"Yes","2010","Full Time","Urban Area","","","",""
"Yes","2010","Full Time","Rural Area","","","",""
"Yes","2010","Part Time","Urban Area","","","",""
"Yes","2010","Part Time","Rural Area","","","",""
"Yes","2010","Not Working","Urban Area","","","",""
"Yes","2010","Not Working","Rural Area","","","",""
"No","2010","Full Time","Urban Area","","","",""
"No","2010","Full Time","Rural Area","","","",""
"No","2010","Part Time","Urban Area","","","",""
"No","2010","Part Time","Rural Area","","","",""
"No","2010","Not Working","Urban Area","","","",""
"No","2010","Not Working","Rural Area","","","",""
"Yes","2011","Full Time","Urban Area","122","0.0240139854968778","0.0197903604381658","0.0282376105555898"
"Yes","2011","Full Time","Rural Area","47","0.0150691937781003","0.0105265830938961","0.0196118044623045"
"Yes","2011","Part Time","Urban Area","107","0.0402763157240422","0.0335023684936529","0.0470502629544315"
"Yes","2011","Part Time","Rural Area","52","0.0425751002447247","0.0328860710064444","0.052264129483005"
"Yes","2011","Not Working","Urban Area","413","0.0753488437843886","0.0682513431852965","0.0824463443834807"
"Yes","2011","Not Working","Rural Area","209","0.0728667551007917","0.0632956828244979","0.0824378273770855"
"No","2011","Full Time","Urban Area","4925","0.975986014503122","0.97176238944441","0.980209639561834"
"No","2011","Full Time","Rural Area","2716","0.9849308062219","0.980388195537695","0.989473416906104"
"No","2011","Part Time","Urban Area","3129","0.959723684275958","0.952949737045568","0.966497631506347"
"No","2011","Part Time","Rural Area","1616","0.957424899755275","0.947735870516995","0.967113928993556"
"No","2011","Not Working","Urban Area","4900","0.924651156215611","0.917553655616519","0.931748656814704"
