"ple0015","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2009","in school","Urban Area","","","",""
"Yes","2009","in school","Rural Area","","","",""
"Yes","2009","inadequately","Urban Area","2","","",""
"Yes","2009","inadequately","Rural Area","","","",""
"Yes","2009","general elemantary","Urban Area","39","0.0388126084559663","0.0279116449605774","0.0497135719513552"
"Yes","2009","general elemantary","Rural Area","12","","",""
"Yes","2009","middle vocational","Urban Area","245","0.0443752541940878","0.0390199019227151","0.0497306064654606"
"Yes","2009","middle vocational","Rural Area","122","0.0401720566443814","0.0336015862939567","0.046742526994806"
"Yes","2009","vocational + Abi","Urban Area","22","","",""
"Yes","2009","vocational + Abi","Rural Area","6","","",""
"Yes","2009","higher vocational","Urban Area","42","0.0541307634971928","0.038652788557461","0.0696087384369246"
"Yes","2009","higher vocational","Rural Area","18","","",""
"Yes","2009","higher education","Urban Area","129","0.0402893802930279","0.033072678258394","0.0475060823276619"
"Yes","2009","higher education","Rural Area","45","0.0305076659301361","0.0207650025703395","0.0402503292899327"
"No","2009","in school","Urban Area","219","1","1","1"
"No","2009","in school","Rural Area","94","1","1","1"
"No","2009","inadequately","Urban Area","124","0.98858594590449","0.970038248681582","1.0071336431274"
"No","2009","inadequately","Rural Area","43","1","1","1"
"No","2009","general elemantary","Urban Area","1167","0.961187391544034","0.950286428048645","0.972088355039423"
"No","2009","general elemantary","Rural Area","594","0.986185621924612","0.976892603867522","0.995478639981702"
"No","2009","middle vocational","Urban Area","5435","0.955624745805912","0.950269393534539","0.960980098077285"
"No","2009","middle vocational","Rural Area","3309","0.959827943355619","0.953257473005194","0.966398413706043"
"No","2009","vocational + Abi","Urban Area","724","0.96747208475228","0.954742154810249","0.98020201469431"
"No","2009","vocational + Abi","Rural Area","251","0.976426645044666","0.957878006501887","0.994975283587446"
"No","2009","higher vocational","Urban Area","779","0.945869236502807","0.930391261563075","0.961347211442539"
"No","2009","higher vocational","Rural Area","499","0.970982179335083","0.95651310175336","0.985451256916806"
"No","2009","higher education","Urban Area","2723","0.959710619706972","0.952493917672338","0.966927321741606"
"No","2009","higher education","Rural Area","1152","0.969492334069864","0.959749670710067","0.97923499742966"
"Yes","2010","in school","Urban Area","","","",""
"Yes","2010","in school","Rural Area","","","",""
"Yes","2010","inadequately","Urban Area","","","",""
"Yes","2010","inadequately","Rural Area","","","",""
"Yes","2010","general elemantary","Urban Area","","","",""
"Yes","2010","general elemantary","Rural Area","","","",""
"Yes","2010","middle vocational","Urban Area","","","",""
"Yes","2010","middle vocational","Rural Area","","","",""
"Yes","2010","vocational + Abi","Urban Area","","","",""
"Yes","2010","vocational + Abi","Rural Area","","","",""
"Yes","2010","higher vocational","Urban Area","","","",""
"Yes","2010","higher vocational","Rural Area","","","",""
"Yes","2010","higher education","Urban Area","","","",""
"Yes","2010","higher education","Rural Area","","","",""
"No","2010","in school","Urban Area","","","",""
"No","2010","in school","Rural Area","","","",""
"No","2010","inadequately","Urban Area","","","",""
"No","2010","inadequately","Rural Area","","","",""
"No","2010","general elemantary","Urban Area","","","",""
"No","2010","general elemantary","Rural Area","","","",""
"No","2010","middle vocational","Urban Area","","","",""
"No","2010","middle vocational","Rural Area","","","",""
"No","2010","vocational + Abi","Urban Area","","","",""
"No","2010","vocational + Abi","Rural Area","","","",""
"No","2010","higher vocational","Urban Area","","","",""
"No","2010","higher vocational","Rural Area","","","",""
"No","2010","higher education","Urban Area","","","",""
"No","2010","higher education","Rural Area","","","",""
"Yes","2011","in school","Urban Area","2","","",""
"Yes","2011","in school","Rural Area","","","",""
"Yes","2011","inadequately","Urban Area","7","","",""
"Yes","2011","inadequately","Rural Area","4","","",""
"Yes","2011","general elemantary","Urban Area","58","0.0455806061174385","0.0347928642269608","0.0563683480079161"
"Yes","2011","general elemantary","Rural Area","32","0.0343331933794597","0.0213192197533433","0.047347167005576"
"Yes","2011","middle vocational","Urban Area","321","0.0512195609706104","0.0458662188285622","0.0565729031126586"
"Yes","2011","middle vocational","Rural Area","169","0.048284061217512","0.0416689719165077","0.0548991505185162"
"Yes","2011","vocational + Abi","Urban Area","37","0.0421361931111707","0.0289225936574411","0.0553497925649003"
"Yes","2011","vocational + Abi","Rural Area","5","","",""
"Yes","2011","higher vocational","Urban Area","51","0.0527037905217289","0.0379072610547919","0.0675003199886659"
"Yes","2011","higher vocational","Rural Area","22","","",""
"Yes","2011","higher education","Urban Area","165","0.045925556300867","0.0387389433615153","0.0531121692402188"
"Yes","2011","higher education","Rural Area","75","0.0535802911833976","0.0415277638606956","0.0656328185060997"
"No","2011","in school","Urban Area","234","0.990716442605212","0.978480878736378","1.00295200647405"
"No","2011","in school","Rural Area","77","1","1","1"
"No","2011","inadequately","Urban Area","160","0.943233193148636","0.90813808168595","0.978328304611321"
"No","2011","inadequately","Rural Area","62","0.969895460565047","0.928671038081766","1.01111988304833"
"No","2011","general elemantary","Urban Area","1378","0.954419393882561","0.943631651992084","0.965207135773039"
"No","2011","general elemantary","Rural Area","720","0.96566680662054","0.952652832994424","0.978680780246657"
"No","2011","middle vocational","Urban Area","6193","0.94878043902939","0.943427096887341","0.954133781171438"
"No","2011","middle vocational","Rural Area","3865","0.951715938782488","0.945100849481484","0.958331028083492"
"No","2011","vocational + Abi","Urban Area","851","0.957863806888829","0.9446502074351","0.971077406342559"
"No","2011","vocational + Abi","Rural Area","316","0.983540348821925","0.969621542909067","0.997459154734783"
"No","2011","higher vocational","Urban Area","825","0.947296209478271","0.932499680011334","0.962092738945208"
"No","2011","higher vocational","Rural Area","556","0.971701002615292","0.958182268647526","0.985219736583057"
"No","2011","higher education","Urban Area","3094","0.954074443699133","0.946887830759781","0.961261056638485"
"No","2011","higher education","Rural Area","1266","0.946419708816602","0.9343671814939","0.958472236139304"
"Yes","2012","in school","Urban Area","","","",""
"Yes","2012","in school","Rural Area","","","",""
"Yes","2012","inadequately","Urban Area","","","",""
"Yes","2012","inadequately","Rural Area","","","",""
"Yes","2012","general elemantary","Urban Area","","","",""
"Yes","2012","general elemantary","Rural Area","","","",""
"Yes","2012","middle vocational","Urban Area","","","",""
"Yes","2012","middle vocational","Rural Area","","","",""
"Yes","2012","vocational + Abi","Urban Area","","","",""
"Yes","2012","vocational + Abi","Rural Area","","","",""
"Yes","2012","higher vocational","Urban Area","","","",""
"Yes","2012","higher vocational","Rural Area","","","",""
"Yes","2012","higher education","Urban Area","","","",""
"Yes","2012","higher education","Rural Area","","","",""
"No","2012","in school","Urban Area","","","",""
"No","2012","in school","Rural Area","","","",""
"No","2012","inadequately","Urban Area","","","",""
"No","2012","inadequately","Rural Area","","","",""
"No","2012","general elemantary","Urban Area","","","",""
"No","2012","general elemantary","Rural Area","","","",""
"No","2012","middle vocational","Urban Area","","","",""
"No","2012","middle vocational","Rural Area","","","",""
"No","2012","vocational + Abi","Urban Area","","","",""
"No","2012","vocational + Abi","Rural Area","","","",""
"No","2012","higher vocational","Urban Area","","","",""
"No","2012","higher vocational","Rural Area","","","",""
"No","2012","higher education","Urban Area","","","",""
"No","2012","higher education","Rural Area","","","",""
"Yes","2013","in school","Urban Area","1","","",""
"Yes","2013","in school","Rural Area","","","",""
"Yes","2013","inadequately","Urban Area","6","","",""
"Yes","2013","inadequately","Rural Area","2","","",""
"Yes","2013","general elemantary","Urban Area","67","0.0688100698249653","0.0547096220812926","0.0829105175686378"
