"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","2.8","3","9475","2","2","4","4","5","2.78","2.82","1","5","3","3"
"1991","","","","","","","","","","","","","",""
"1992","","","","","","","","","","","","","",""
"1993","","","","","","","","","","","","","",""
"1994","","","","","","","","","","","","","",""
"1995","2.74","3","13294","2","2","3","4","5","2.72","2.76","1","5","3","3"
"1996","","","","","","","","","","","","","",""
"1997","","","","","","","","","","","","","",""
"1998","2.69","3","14242","2","2","3","4","5","2.67","2.71","1","5","2","3"
"1999","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","",""
"2003","2.73","3","22166","2","2","3","4","5","2.72","2.74","1","5","3","3"
"2004","","","","","","","","","","","","","",""
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","2.75","3","19349","2","2","4","4","5","2.74","2.76","1","5","3","3"
"2009","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","",""
"2013","2.78","3","25536","2","2","4","4","5","2.77","2.79","1","5","3","3"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","","","","","","","","","","","","","",""
"2018","","","","","","","","","","","","","",""
"2019","2.81","3","25807","2","2","4","4","5","2.8","2.82","1","5","3","3"
