"year","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","Employed","2.82","3","6145","2","2","4","4","5","2.8","2.84","1","5","3","3"
"1990","Not Employed","2.77","3","3330","2","2","4","4","5","2.74","2.8","1","5","3","3"
"1991","Employed","","","","","","","","","","","","","",""
"1991","Not Employed","","","","","","","","","","","","","",""
"1992","Employed","","","","","","","","","","","","","",""
"1992","Not Employed","","","","","","","","","","","","","",""
"1993","Employed","","","","","","","","","","","","","",""
"1993","Not Employed","","","","","","","","","","","","","",""
"1994","Employed","","","","","","","","","","","","","",""
"1994","Not Employed","","","","","","","","","","","","","",""
"1995","Employed","2.78","3","8492","2","2","3","4","5","2.76","2.8","1","5","3","3"
"1995","Not Employed","2.69","3","4802","2","2","3","4","5","2.66","2.72","1","5","2","3"
"1996","Employed","","","","","","","","","","","","","",""
"1996","Not Employed","","","","","","","","","","","","","",""
"1997","Employed","","","","","","","","","","","","","",""
"1997","Not Employed","","","","","","","","","","","","","",""
"1998","Employed","2.74","3","8848","2","2","3","4","5","2.72","2.76","1","5","3","3"
"1998","Not Employed","2.63","2","5394","1","2","3","4","5","2.6","2.66","1","5","2","2"
"1999","Employed","","","","","","","","","","","","","",""
"1999","Not Employed","","","","","","","","","","","","","",""
"2000","Employed","","","","","","","","","","","","","",""
"2000","Not Employed","","","","","","","","","","","","","",""
"2001","Employed","","","","","","","","","","","","","",""
"2001","Not Employed","","","","","","","","","","","","","",""
"2002","Employed","","","","","","","","","","","","","",""
"2002","Not Employed","","","","","","","","","","","","","",""
"2003","Employed","2.74","3","14001","2","2","3","4","5","2.72","2.76","1","5","3","3"
"2003","Not Employed","2.72","3","8165","2","2","3","4","5","2.7","2.74","1","5","3","3"
"2004","Employed","","","","","","","","","","","","","",""
"2004","Not Employed","","","","","","","","","","","","","",""
"2005","Employed","","","","","","","","","","","","","",""
"2005","Not Employed","","","","","","","","","","","","","",""
"2006","Employed","","","","","","","","","","","","","",""
"2006","Not Employed","","","","","","","","","","","","","",""
"2007","Employed","","","","","","","","","","","","","",""
"2007","Not Employed","","","","","","","","","","","","","",""
"2008","Employed","2.76","3","11882","2","2","3","4","5","2.74","2.78","1","5","3","3"
"2008","Not Employed","2.74","3","7467","2","2","4","4","5","2.72","2.76","1","5","3","3"
"2009","Employed","","","","","","","","","","","","","",""
"2009","Not Employed","","","","","","","","","","","","","",""
"2010","Employed","","","","","","","","","","","","","",""
"2010","Not Employed","","","","","","","","","","","","","",""
"2011","Employed","","","","","","","","","","","","","",""
"2011","Not Employed","","","","","","","","","","","","","",""
"2012","Employed","","","","","","","","","","","","","",""
"2012","Not Employed","","","","","","","","","","","","","",""
"2013","Employed","2.77","3","16735","2","2","3","4","5","2.76","2.78","1","5","3","3"
"2013","Not Employed","2.78","3","8801","2","2","4","4","5","2.76","2.8","1","5","3","3"
"2014","Employed","","","","","","","","","","","","","",""
"2014","Not Employed","","","","","","","","","","","","","",""
"2015","Employed","","","","","","","","","","","","","",""
"2015","Not Employed","","","","","","","","","","","","","",""
"2016","Employed","","","","","","","","","","","","","",""
"2016","Not Employed","","","","","","","","","","","","","",""
"2017","Employed","","","","","","","","","","","","","",""
"2017","Not Employed","","","","","","","","","","","","","",""
"2018","Employed","","","","","","","","","","","","","",""
"2018","Not Employed","","","","","","","","","","","","","",""
"2019","Employed","2.8","3","17715","2","2","4","4","5","2.79","2.81","1","5","3","3"
"2019","Not Employed","2.84","3","8092","2","2","4","4","5","2.82","2.86","1","5","3","3"
