"plh0187","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","lower secondary degree","in school","","","",""
"Very rare","2007","lower secondary degree","inadequately","","","",""
"Very rare","2007","lower secondary degree","general elemantary","258","0.183445550449013","0.163251159943349","0.203639940954676"
"Very rare","2007","lower secondary degree","middle vocational","1151","0.215685519329245","0.204150565133597","0.227220473524894"
"Very rare","2007","lower secondary degree","vocational + Abi","5","","",""
"Very rare","2007","lower secondary degree","higher vocational","117","0.273682849821267","0.232071123111151","0.315294576531383"
"Very rare","2007","lower secondary degree","higher education","45","0.278597184802756","0.214513652145037","0.342680717460475"
"Very rare","2007","secondary school degree","in school","","","",""
"Very rare","2007","secondary school degree","inadequately","","","",""
"Very rare","2007","secondary school degree","general elemantary","108","0.202258318789214","0.167766700762783","0.236749936815645"
"Very rare","2007","secondary school degree","middle vocational","847","0.190181031377298","0.178293978836152","0.202068083918443"
"Very rare","2007","secondary school degree","vocational + Abi","5","","",""
"Very rare","2007","secondary school degree","higher vocational","145","0.221141398798791","0.189994110692631","0.252288686904952"
"Very rare","2007","secondary school degree","higher education","137","0.239129922849725","0.205848213336723","0.272411632362727"
"Very rare","2007","college entrance qualification","in school","","","",""
"Very rare","2007","college entrance qualification","inadequately","","","",""
"Very rare","2007","college entrance qualification","general elemantary","","","",""
"Very rare","2007","college entrance qualification","middle vocational","166","0.213944236485254","0.184555949922328","0.24333252304818"
"Very rare","2007","college entrance qualification","vocational + Abi","217","0.217009580731935","0.191435472528365","0.242583688935506"
"Very rare","2007","college entrance qualification","higher vocational","77","0.200002015677136","0.158096064610495","0.241907966743776"
"Very rare","2007","college entrance qualification","higher education","822","0.234061190215351","0.219710370816685","0.248412009614018"
"Very rare","2007","Other degree","in school","","","",""
"Very rare","2007","Other degree","inadequately","8","","",""
"Very rare","2007","Other degree","general elemantary","53","0.151099868913577","0.109736853555531","0.192462884271623"
"Very rare","2007","Other degree","middle vocational","77","0.185040433369755","0.145256391995996","0.224824474743514"
"Very rare","2007","Other degree","vocational + Abi","29","","",""
"Very rare","2007","Other degree","higher vocational","10","","",""
"Very rare","2007","Other degree","higher education","46","0.138836039824174","0.0911527250840803","0.186519354564268"
"Very rare","2007","no degree/no degree yet","in school","77","0.238644178451088","0.193402348795557","0.28388600810662"
"Very rare","2007","no degree/no degree yet","inadequately","30","0.164039278477549","0.109174209701903","0.218904347253195"
"Very rare","2007","no degree/no degree yet","general elemantary","","","",""
"Very rare","2007","no degree/no degree yet","middle vocational","13","","",""
"Very rare","2007","no degree/no degree yet","vocational + Abi","","","",""
"Very rare","2007","no degree/no degree yet","higher vocational","","","",""
"Very rare","2007","no degree/no degree yet","higher education","","","",""
"Rarely","2007","lower secondary degree","in school","","","",""
"Rarely","2007","lower secondary degree","inadequately","","","",""
"Rarely","2007","lower secondary degree","general elemantary","383","0.240591507513197","0.218288550074184","0.262894464952209"
"Rarely","2007","lower secondary degree","middle vocational","1581","0.315130799201482","0.302101846519499","0.328159751883466"
"Rarely","2007","lower secondary degree","vocational + Abi","5","","",""
"Rarely","2007","lower secondary degree","higher vocational","158","0.39311544796142","0.347528355602049","0.43870254032079"
"Rarely","2007","lower secondary degree","higher education","74","0.358109414558165","0.28957518440922","0.42664364470711"
"Rarely","2007","secondary school degree","in school","","","",""
"Rarely","2007","secondary school degree","inadequately","","","",""
"Rarely","2007","secondary school degree","general elemantary","154","0.279610441964534","0.241072401630984","0.318148482298083"
"Rarely","2007","secondary school degree","middle vocational","1444","0.320191778363416","0.306060062232032","0.334323494494801"
"Rarely","2007","secondary school degree","vocational + Abi","15","","",""
"Rarely","2007","secondary school degree","higher vocational","235","0.316427588920784","0.281522774133828","0.351332403707739"
"Rarely","2007","secondary school degree","higher education","241","0.356799728339744","0.319421494341735","0.394177962337753"
"Rarely","2007","college entrance qualification","in school","","","",""
"Rarely","2007","college entrance qualification","inadequately","","","",""
"Rarely","2007","college entrance qualification","general elemantary","","","",""
"Rarely","2007","college entrance qualification","middle vocational","241","0.331832479982825","0.298088258047717","0.365576701917934"
"Rarely","2007","college entrance qualification","vocational + Abi","337","0.33277658917134","0.303542144979725","0.362011033362956"
