"plh0187","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","16-34 y.","1-pers.-HH","114","0.175599024300377","0.146637486080851","0.204560562519903"
"Very rare","2007","16-34 y.","(Married) couple without C. ","180","0.183915706877025","0.157977819510972","0.209853594243078"
"Very rare","2007","16-34 y.","Single parent ","84","0.187049045987864","0.150019088561363","0.224079003414365"
"Very rare","2007","16-34 y.","Couple + C. LE 16 ","217","0.201386979601715","0.176799923589447","0.225974035613983"
"Very rare","2007","16-34 y.","Couple + C. GT 16 ","278","0.223312025050733","0.199797624428971","0.246826425672495"
"Very rare","2007","16-34 y.","Couple + C. LE and GT 16","84","0.186936885023499","0.149245958742745","0.224627811304253"
"Very rare","2007","35-65 y.","1-pers.-HH","222","0.172310813732593","0.151710450542278","0.192911176922909"
"Very rare","2007","35-65 y.","(Married) couple without C. ","864","0.232042453091733","0.218447900086013","0.245637006097453"
"Very rare","2007","35-65 y.","Single parent ","93","0.154071498128342","0.125184630752261","0.182958365504422"
"Very rare","2007","35-65 y.","Couple + C. LE 16 ","638","0.228792598801596","0.212501730805042","0.24508346679815"
"Very rare","2007","35-65 y.","Couple + C. GT 16 ","464","0.219641874336286","0.202117591677037","0.237166156995536"
"Very rare","2007","35-65 y.","Couple + C. LE and GT 16","207","0.18461941003902","0.159656629031971","0.20958219104607"
"Very rare","2007","66 and older","1-pers.-HH","211","0.17290398911689","0.151605122730208","0.194202855503572"
"Very rare","2007","66 and older","(Married) couple without C. ","727","0.24780067977531","0.231834907282172","0.263766452268449"
"Very rare","2007","66 and older","Single parent ","11","","",""
"Very rare","2007","66 and older","Couple + C. LE 16 ","1","","",""
"Very rare","2007","66 and older","Couple + C. GT 16 ","42","0.268609906625619","0.20421552949455","0.333004283756689"
"Very rare","2007","66 and older","Couple + C. LE and GT 16","2","","",""
"Rarely","2007","16-34 y.","1-pers.-HH","209","0.318713281326695","0.283243674945474","0.354182887707917"
"Rarely","2007","16-34 y.","(Married) couple without C. ","317","0.332983968678991","0.301431199628319","0.364536737729663"
"Rarely","2007","16-34 y.","Single parent ","125","0.290995381349811","0.247862261551104","0.334128501148519"
"Rarely","2007","16-34 y.","Couple + C. LE 16 ","345","0.354373914528273","0.325048507371308","0.383699321685237"
"Rarely","2007","16-34 y.","Couple + C. GT 16 ","415","0.314511757765008","0.288295360134264","0.340728155395752"
"Rarely","2007","16-34 y.","Couple + C. LE and GT 16","127","0.284896958928884","0.241259907317324","0.328534010540444"
"Rarely","2007","35-65 y.","1-pers.-HH","362","0.270517212712745","0.246285174437575","0.294749250987914"
"Rarely","2007","35-65 y.","(Married) couple without C. ","1284","0.338390291610127","0.323152484066793","0.35362809915346"
"Rarely","2007","35-65 y.","Single parent ","152","0.228332420542946","0.194745407469567","0.261919433616325"
"Rarely","2007","35-65 y.","Couple + C. LE 16 ","912","0.337689265600708","0.319348089981469","0.356030441219947"
